"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min0.5_20",0.5,"0.98","7.76",0.01063,"13.21","13.5","13.35","7.53","7.77","7.65","Ch1","2024-02-19 14:51:37.951","SMR","19.47","02-19_145"
"min20.5_40",20.5,"0.772","7.45",0.00316,"13.25","13.75","13.48","7.47","7.58","7.54","Ch1","2024-02-19 15:11:37.472","SMR","19.47","02-19_145"
"min40.5_60",40.5,"0.584","7.7",0.00372,"13.21","13.69","13.47","7.46","7.58","7.51","Ch1","2024-02-19 15:31:37.909","SMR","19.46","02-19_145"
"min60.5_80",60.5,"0.775","7.83",0.0048,"13.28","13.68","13.43","7.43","7.54","7.5","Ch1","2024-02-19 15:51:37.69","SMR","19.48","02-19_145"
"min80.5_100",80.5,"0.278","7.35",0.0015,"13.18","13.68","13.4","7.43","7.52","7.48","Ch1","2024-02-19 16:11:37.139","SMR","19.47","02-19_145"
"min100.5_120",100.5,"0.093","7.33",0.00089,"13.31","13.62","13.47","7.39","7.47","7.43","Ch1","2024-02-19 16:31:37.533","SMR","19.48","02-19_145"
"min120.5_140",120.5,"0.908","8.15",0.00557,"13.2","13.62","13.38","7.36","7.48","7.42","Ch1","2024-02-19 16:51:37.925","SMR","19.47","02-19_145"
"min140.5_160",140.5,"0.046","7.32",0.00063,"13.17","13.68","13.35","7.36","7.45","7.41","Ch1","2024-02-19 17:11:37.289","SMR","19.47","02-19_145"
"min160.5_180",160.5,"0.23","7.11",0.00144,"13.34","13.72","13.52","7.31","7.4","7.36","Ch1","2024-02-19 17:31:37.66","SMR","19.48","02-19_145"
"min180.5_200",180.5,"0.847","8.44",0.00566,"13.16","13.63","13.34","7.28","7.41","7.36","Ch1","2024-02-19 17:51:38.035","SMR","19.47","02-19_145"
"min0.5_20",0.5,"0.956","7.98",0.01,"13.21","13.5","13.35","7.76","7.98","7.88","Ch2","2024-02-19 14:51:37.951","SMR","19.47","02-19_145"
"min20.5_40",20.5,"0.781","7.66",0.00355,"13.25","13.75","13.48","7.71","7.81","7.77","Ch2","2024-02-19 15:11:37.472","SMR","19.47","02-19_145"
"min40.5_60",40.5,"0.576","7.94",0.00407,"13.21","13.69","13.47","7.69","7.81","7.73","Ch2","2024-02-19 15:31:37.909","SMR","19.46","02-19_145"
"min60.5_80",60.5,"0.753","8.07",0.00499,"13.28","13.68","13.43","7.66","7.78","7.72","Ch2","2024-02-19 15:51:37.69","SMR","19.48","02-19_145"
"min80.5_100",80.5,"0.344","7.54",0.00188,"13.18","13.68","13.4","7.66","7.75","7.71","Ch2","2024-02-19 16:11:37.139","SMR","19.47","02-19_145"
"min100.5_120",100.5,"0.103","7.54",0.00105,"13.31","13.62","13.47","7.62","7.7","7.66","Ch2","2024-02-19 16:31:37.533","SMR","19.48","02-19_145"
"min120.5_140",120.5,"0.91","8.44",0.00612,"13.2","13.62","13.38","7.58","7.7","7.64","Ch2","2024-02-19 16:51:37.925","SMR","19.47","02-19_145"
"min140.5_160",140.5,"0.068","7.51",0.00086,"13.17","13.68","13.35","7.58","7.67","7.64","Ch2","2024-02-19 17:11:37.289","SMR","19.47","02-19_145"
"min160.5_180",160.5,"0.182","7.33",0.00143,"13.34","13.72","13.52","7.52","7.62","7.57","Ch2","2024-02-19 17:31:37.66","SMR","19.48","02-19_145"
"min180.5_200",180.5,"0.844","8.74",0.00608,"13.16","13.63","13.34","7.5","7.63","7.58","Ch2","2024-02-19 17:51:38.035","SMR","19.47","02-19_145"
"min0.5_20",0.5,"0.895","7.96",0.00721,"13.21","13.5","13.35","7.79","7.96","7.89","Ch4","2024-02-19 14:51:37.951","SMR","19.47","02-19_145"
"min20.5_40",20.5,"0.855","7.67",0.0046,"13.25","13.75","13.48","7.74","7.87","7.81","Ch4","2024-02-19 15:11:37.472","SMR","19.47","02-19_145"
"min40.5_60",40.5,"0.54","7.98",0.00384,"13.21","13.69","13.47","7.74","7.86","7.79","Ch4","2024-02-19 15:31:37.909","SMR","19.46","02-19_145"
"min60.5_80",60.5,"0.72","8.12",0.00479,"13.28","13.68","13.43","7.72","7.83","7.79","Ch4","2024-02-19 15:51:37.69","SMR","19.48","02-19_145"
"min80.5_100",80.5,"0.523","7.54",0.00271,"13.18","13.68","13.4","7.72","7.82","7.78","Ch4","2024-02-19 16:11:37.139","SMR","19.47","02-19_145"
"min100.5_120",100.5,"0.113","7.6",0.00116,"13.31","13.62","13.47","7.69","7.77","7.73","Ch4","2024-02-19 16:31:37.533","SMR","19.48","02-19_145"
"min120.5_140",120.5,"0.916","8.54",0.00631,"13.2","13.62","13.38","7.66","7.78","7.72","Ch4","2024-02-19 16:51:37.925","SMR","19.47","02-19_145"
"min140.5_160",140.5,"0.228","7.46",0.00177,"13.17","13.68","13.35","7.65","7.76","7.72","Ch4","2024-02-19 17:11:37.289","SMR","19.47","02-19_145"
"min160.5_180",160.5,"0.246","7.36",0.00182,"13.34","13.72","13.52","7.62","7.72","7.67","Ch4","2024-02-19 17:31:37.66","SMR","19.48","02-19_145"
"min180.5_200",180.5,"0.823","8.83",0.00606,"13.16","13.63","13.34","7.6","7.73","7.68","Ch4","2024-02-19 17:51:38.035","SMR","19.47","02-19_145"
