"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min0.5_20",0.5,"0.409","7.64",0.00445,"13.22","13.62","13.44","7.54","7.73","7.6","Ch1","2024-02-20 09:27:15.715","SMR","19.47","02-20_092"
"min20.5_40",20.5,"0.663","7.68",0.0035,"13.25","13.63","13.4","7.51","7.62","7.57","Ch1","2024-02-20 09:47:15.126","SMR","19.47","02-20_092"
"min40.5_60",40.5,"0.781","7.8",0.00488,"13.19","13.6","13.33","7.48","7.6","7.56","Ch1","2024-02-20 10:07:15.483","SMR","19.47","02-20_092"
"min60.5_80",60.5,"0.383","7.39",0.0019,"13.27","13.72","13.44","7.47","7.56","7.53","Ch1","2024-02-20 10:27:15.595","SMR","19.47","02-20_092"
"min80.5_100",80.5,"0.153","7.39",0.00107,"13.36","13.7","13.52","7.44","7.52","7.48","Ch1","2024-02-20 10:47:14.99","SMR","19.48","02-20_092"
"min100.5_120",100.5,"0.916","8.13",0.00603,"13.23","13.68","13.42","7.41","7.53","7.47","Ch1","2024-02-20 11:07:15.389","SMR","19.47","02-20_092"
"min120.5_140",120.5,"0.025","7.4",0.00044,"13.22","13.65","13.39","7.41","7.49","7.46","Ch1","2024-02-20 11:27:15.774","SMR","19.46","02-20_092"
"min140.5_160",140.5,"0.569","7.09",0.00221,"13.27","13.62","13.46","7.38","7.46","7.42","Ch1","2024-02-20 11:47:15.761","SMR","19.47","02-20_092"
"min160.5_180",160.5,"0.929","8.45",0.00617,"13.15","13.66","13.35","7.33","7.46","7.4","Ch1","2024-02-20 12:07:15.2","SMR","19.47","02-20_092"
"min0.5_20",0.5,"0.339","7.83",0.00383,"13.22","13.62","13.44","7.74","7.92","7.8","Ch2","2024-02-20 09:27:15.715","SMR","19.47","02-20_092"
"min20.5_40",20.5,"0.68","7.89",0.00384,"13.25","13.63","13.4","7.72","7.83","7.78","Ch2","2024-02-20 09:47:15.126","SMR","19.47","02-20_092"
"min40.5_60",40.5,"0.767","8.03",0.00545,"13.19","13.6","13.33","7.67","7.81","7.76","Ch2","2024-02-20 10:07:15.483","SMR","19.47","02-20_092"
"min60.5_80",60.5,"0.383","7.57",0.00208,"13.27","13.72","13.44","7.65","7.75","7.72","Ch2","2024-02-20 10:27:15.595","SMR","19.47","02-20_092"
"min80.5_100",80.5,"0.094","7.59",0.00089,"13.36","13.7","13.52","7.63","7.71","7.67","Ch2","2024-02-20 10:47:14.99","SMR","19.48","02-20_092"
"min100.5_120",100.5,"0.932","8.39",0.00676,"13.23","13.68","13.42","7.58","7.71","7.65","Ch2","2024-02-20 11:07:15.389","SMR","19.47","02-20_092"
"min120.5_140",120.5,"0.014","7.59",0.00035,"13.22","13.65","13.39","7.58","7.67","7.63","Ch2","2024-02-20 11:27:15.774","SMR","19.46","02-20_092"
"min140.5_160",140.5,"0.477","7.28",0.00198,"13.27","13.62","13.46","7.54","7.62","7.58","Ch2","2024-02-20 11:47:15.761","SMR","19.47","02-20_092"
"min160.5_180",160.5,"0.939","8.8",0.00733,"13.15","13.66","13.35","7.48","7.62","7.55","Ch2","2024-02-20 12:07:15.2","SMR","19.47","02-20_092"
"min0.5_20",0.5,"0.001","7.8",0.00011,"13.22","13.62","13.44","7.76","7.87","7.8","Ch4","2024-02-20 09:27:15.715","SMR","19.47","02-20_092"
"min20.5_40",20.5,"0.644","7.93",0.00343,"13.25","13.63","13.4","7.76","7.86","7.82","Ch4","2024-02-20 09:47:15.126","SMR","19.47","02-20_092"
"min40.5_60",40.5,"0.733","8.07",0.00524,"13.19","13.6","13.33","7.72","7.85","7.81","Ch4","2024-02-20 10:07:15.483","SMR","19.47","02-20_092"
"min60.5_80",60.5,"0.466","7.61",0.00232,"13.27","13.72","13.44","7.7","7.81","7.77","Ch4","2024-02-20 10:27:15.595","SMR","19.47","02-20_092"
"min80.5_100",80.5,"0.13","7.63",0.00107,"13.36","13.7","13.52","7.68","7.76","7.72","Ch4","2024-02-20 10:47:14.99","SMR","19.48","02-20_092"
"min100.5_120",100.5,"0.927","8.46",0.0068,"13.23","13.68","13.42","7.64","7.77","7.71","Ch4","2024-02-20 11:07:15.389","SMR","19.47","02-20_092"
"min120.5_140",120.5,"0.084","7.58",0.00086,"13.22","13.65","13.39","7.65","7.73","7.7","Ch4","2024-02-20 11:27:15.774","SMR","19.46","02-20_092"
"min140.5_160",140.5,"0.463","7.34",0.00203,"13.27","13.62","13.46","7.61","7.68","7.64","Ch4","2024-02-20 11:47:15.761","SMR","19.47","02-20_092"
"min160.5_180",160.5,"0.943","8.89",0.00749,"13.15","13.66","13.35","7.54","7.69","7.62","Ch4","2024-02-20 12:07:15.2","SMR","19.47","02-20_092"
