"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min0.5_20",0.5,"0.135","7.94",0.0015,"13.3","13.6","13.47","7.91","8.03","7.96","Ch1","2024-02-21 13:31:18.466","SMR","19.46","02-21_133"
"min20.5_40",20.5,"0.705","8.08",0.00499,"13.23","13.74","13.51","7.88","8.01","7.93","Ch1","2024-02-21 13:51:18.07","SMR","19.48","02-21_133"
"min40.5_60",40.5,"0.029","7.98",0.00056,"13.27","13.68","13.44","7.9","7.99","7.95","Ch1","2024-02-21 14:11:18.518","SMR","19.46","02-21_133"
"min0.5_20",0.5,"0.073","7.95",0.00108,"13.3","13.6","13.47","7.92","8.03","7.96","Ch2","2024-02-21 13:31:18.466","SMR","19.46","02-21_133"
"min20.5_40",20.5,"0.727","8.08",0.00507,"13.23","13.74","13.51","7.87","8.01","7.93","Ch2","2024-02-21 13:51:18.07","SMR","19.48","02-21_133"
"min40.5_60",40.5,"0.083","7.99",0.00094,"13.27","13.68","13.44","7.89","7.98","7.94","Ch2","2024-02-21 14:11:18.518","SMR","19.46","02-21_133"
"min0.5_20",0.5,"0.499","7.91",0.00331,"13.3","13.6","13.47","7.9","8","7.94","Ch3","2024-02-21 13:31:18.466","SMR","19.46","02-21_133"
"min20.5_40",20.5,"0.617","8.06",0.00381,"13.23","13.74","13.51","7.89","8.01","7.94","Ch3","2024-02-21 13:51:18.07","SMR","19.48","02-21_133"
"min40.5_60",40.5,"0.026","8",0.00049,"13.27","13.68","13.44","7.92","8.01","7.97","Ch3","2024-02-21 14:11:18.518","SMR","19.46","02-21_133"
"min0.5_20",0.5,"0.063","8.01",0.00087,"13.3","13.6","13.47","7.97","8.08","8","Ch4","2024-02-21 13:31:18.466","SMR","19.46","02-21_133"
"min20.5_40",20.5,"0.629","8.08",0.00398,"13.23","13.74","13.51","7.91","8.03","7.96","Ch4","2024-02-21 13:51:18.07","SMR","19.48","02-21_133"
"min40.5_60",40.5,"0.148","8.04",0.00124,"13.27","13.68","13.44","7.93","8.01","7.98","Ch4","2024-02-21 14:11:18.518","SMR","19.46","02-21_133"
