"date","time","time_sec","Ch1_O2","Ch1_temp","Ch2_O2","Ch3_O2","Ch4_O2"
"10-12-2023","16:06:05.026",0.255,NA,NA,NA,NA,NA
"10-12-2023","16:06:06.025",1.254,NA,NA,NA,NA,NA
"10-12-2023","16:06:07.028",2.256,NA,NA,NA,NA,NA
"10-12-2023","16:06:08.028",3.257,NA,NA,NA,NA,NA
"10-12-2023","16:06:09.027",4.256,NA,NA,NA,NA,NA
"10-12-2023","16:06:10.028",5.257,NA,NA,NA,NA,NA
"10-12-2023","16:06:11.029",6.258,NA,NA,NA,NA,NA
"10-12-2023","16:06:12.029",7.258,NA,NA,NA,NA,NA
"10-12-2023","16:06:13.028",8.257,NA,NA,NA,NA,NA
"10-12-2023","16:06:14.034",9.262,NA,NA,NA,NA,NA
"10-12-2023","16:06:15.032",10.26,NA,NA,NA,NA,NA
"10-12-2023","16:06:16.033",11.261,NA,NA,NA,NA,NA
"10-12-2023","16:06:17.035",12.263,NA,NA,NA,NA,NA
"10-12-2023","16:06:18.036",13.264,NA,NA,NA,NA,NA
"10-12-2023","16:06:19.037",14.265,NA,NA,NA,NA,NA
"10-12-2023","16:06:20.037",15.266,NA,NA,NA,NA,NA
"10-12-2023","16:06:21.034",16.263,NA,NA,NA,NA,NA
"10-12-2023","16:06:22.037",17.265,NA,NA,NA,NA,NA
"10-12-2023","16:06:23.037",18.266,NA,NA,NA,NA,NA
"10-12-2023","16:06:24.036",19.265,NA,NA,NA,NA,NA
"10-12-2023","16:06:25.036",20.265,NA,NA,NA,NA,NA
"10-12-2023","16:06:26.038",21.266,NA,NA,NA,NA,NA
"10-12-2023","16:06:27.038",22.266,NA,NA,NA,NA,NA
"10-12-2023","16:06:28.037",23.266,NA,NA,NA,NA,NA
"10-12-2023","16:06:29.037",24.266,NA,NA,NA,NA,NA
"10-12-2023","16:06:30.037",25.266,NA,NA,NA,NA,NA
"10-12-2023","16:06:31.038",26.267,NA,NA,NA,NA,NA
"10-12-2023","16:06:32.036",27.264,NA,NA,NA,NA,NA
"10-12-2023","16:06:33.039",28.267,NA,NA,NA,NA,NA
"10-12-2023","16:06:34.040",29.269,NA,NA,NA,NA,NA
"10-12-2023","16:06:35.040",30.268,NA,NA,NA,NA,NA
"10-12-2023","16:06:36.042",31.27,NA,NA,NA,NA,NA
"10-12-2023","16:06:37.041",32.27,NA,NA,NA,NA,NA
"10-12-2023","16:06:38.040",33.269,NA,NA,NA,NA,NA
"10-12-2023","16:06:39.041",34.269,NA,NA,NA,NA,NA
"10-12-2023","16:06:40.042",35.27,NA,NA,NA,NA,NA
"10-12-2023","16:06:41.043",36.272,NA,NA,NA,NA,NA
"10-12-2023","16:06:42.042",37.27,NA,NA,NA,NA,NA
"10-12-2023","16:06:43.041",38.269,NA,NA,NA,NA,NA
"10-12-2023","16:06:44.042",39.27,NA,NA,NA,NA,NA
"10-12-2023","16:06:45.043",40.272,NA,NA,NA,NA,NA
"10-12-2023","16:06:46.044",41.272,NA,NA,NA,NA,NA
"10-12-2023","16:06:47.042",42.27,NA,NA,NA,NA,NA
"10-12-2023","16:06:48.044",43.272,NA,NA,NA,NA,NA
"10-12-2023","16:06:49.045",44.273,NA,NA,NA,NA,NA
"10-12-2023","16:06:50.045",45.273,NA,NA,NA,NA,NA
"10-12-2023","16:06:51.044",46.273,NA,NA,NA,NA,NA
"10-12-2023","16:06:52.045",47.274,NA,NA,NA,NA,NA
"10-12-2023","16:06:53.046",48.275,NA,NA,NA,NA,NA
"10-12-2023","16:06:54.043",49.272,NA,NA,NA,NA,NA
"10-12-2023","16:06:55.047",50.275,NA,NA,NA,NA,NA
"10-12-2023","16:06:56.047",51.275,NA,NA,NA,NA,NA
"10-12-2023","16:06:57.046",52.274,NA,NA,NA,NA,NA
"10-12-2023","16:06:58.048",53.276,NA,NA,NA,NA,NA
"10-12-2023","16:06:59.048",54.276,NA,NA,NA,NA,NA
"10-12-2023","16:07:00.046",55.275,NA,NA,NA,NA,NA
"10-12-2023","16:07:01.050",56.278,NA,NA,NA,NA,NA
"10-12-2023","16:07:02.052",57.28,NA,NA,NA,NA,NA
"10-12-2023","16:07:03.051",58.279,NA,NA,NA,NA,NA
"10-12-2023","16:07:04.052",59.281,NA,NA,NA,NA,NA
"10-12-2023","16:07:05.051",60.279,NA,NA,NA,NA,NA
"10-12-2023","16:07:06.053",61.281,NA,NA,NA,NA,NA
"10-12-2023","16:07:07.051",62.28,NA,NA,NA,NA,NA
"10-12-2023","16:07:08.053",63.281,NA,NA,NA,NA,NA
"10-12-2023","16:07:09.053",64.281,NA,NA,NA,NA,NA
"10-12-2023","16:07:10.054",65.283,NA,NA,NA,NA,NA
"10-12-2023","16:07:11.053",66.281,NA,NA,NA,NA,NA
"10-12-2023","16:07:12.054",67.283,NA,NA,NA,NA,NA
"10-12-2023","16:07:13.056",68.284,NA,NA,NA,NA,NA
"10-12-2023","16:07:14.055",69.284,NA,NA,NA,NA,NA
"10-12-2023","16:07:15.055",70.284,NA,NA,NA,NA,NA
"10-12-2023","16:07:16.052",71.281,NA,NA,NA,NA,NA
"10-12-2023","16:07:17.056",72.284,NA,NA,NA,NA,NA
"10-12-2023","16:07:18.056",73.284,NA,NA,NA,NA,NA
"10-12-2023","16:07:19.055",74.284,NA,NA,NA,NA,NA
"10-12-2023","16:07:20.054",75.283,NA,NA,NA,NA,NA
"10-12-2023","16:07:21.056",76.285,NA,NA,NA,NA,NA
"10-12-2023","16:07:22.057",77.285,NA,NA,NA,NA,NA
"10-12-2023","16:07:23.056",78.285,NA,NA,NA,NA,NA
"10-12-2023","16:07:24.055",79.284,NA,NA,NA,NA,NA
"10-12-2023","16:07:25.056",80.285,NA,NA,NA,NA,NA
"10-12-2023","16:07:26.055",81.284,NA,NA,NA,NA,NA
"10-12-2023","16:07:27.056",82.284,NA,NA,NA,NA,NA
"10-12-2023","16:07:28.059",83.287,NA,NA,NA,NA,NA
"10-12-2023","16:07:29.059",84.287,NA,NA,NA,NA,NA
"10-12-2023","16:07:30.061",85.289,NA,NA,NA,NA,NA
"10-12-2023","16:07:31.061",86.289,NA,NA,NA,NA,NA
"10-12-2023","16:07:32.058",87.287,NA,NA,NA,NA,NA
"10-12-2023","16:07:33.059",88.288,NA,NA,NA,NA,NA
"10-12-2023","16:07:34.060",89.288,NA,NA,NA,NA,NA
"10-12-2023","16:07:35.062",90.29,NA,NA,NA,NA,NA
"10-12-2023","16:07:36.064",91.292,NA,NA,NA,NA,NA
"10-12-2023","16:07:37.060",92.289,NA,NA,NA,NA,NA
"10-12-2023","16:07:38.064",93.292,NA,NA,NA,NA,NA
"10-12-2023","16:07:39.065",94.293,NA,NA,NA,NA,NA
"10-12-2023","16:07:40.063",95.292,NA,NA,NA,NA,NA
"10-12-2023","16:07:41.066",96.295,NA,NA,NA,NA,NA
"10-12-2023","16:07:42.067",97.296,NA,NA,NA,NA,NA
"10-12-2023","16:07:43.069",98.297,NA,NA,NA,NA,NA
"10-12-2023","16:07:44.068",99.297,NA,NA,NA,NA,NA
"10-12-2023","16:07:45.067",100.296,NA,NA,NA,NA,NA
"10-12-2023","16:07:46.069",101.298,NA,NA,NA,NA,NA
"10-12-2023","16:07:47.070",102.298,NA,NA,NA,NA,NA
"10-12-2023","16:07:48.069",103.298,NA,NA,NA,NA,NA
"10-12-2023","16:07:49.072",104.3,NA,NA,NA,NA,NA
"10-12-2023","16:07:50.074",105.302,NA,NA,NA,NA,NA
"10-12-2023","16:07:51.074",106.302,NA,NA,NA,NA,NA
"10-12-2023","16:07:52.074",107.302,NA,NA,NA,NA,NA
"10-12-2023","16:07:53.073",108.301,NA,NA,NA,NA,NA
"10-12-2023","16:07:54.073",109.302,NA,NA,NA,NA,NA
"10-12-2023","16:07:55.074",110.302,NA,NA,NA,NA,NA
"10-12-2023","16:07:56.072",111.3,NA,NA,NA,NA,NA
"10-12-2023","16:07:57.075",112.303,NA,NA,NA,NA,NA
"10-12-2023","16:07:58.076",113.304,NA,NA,NA,NA,NA
"10-12-2023","16:07:59.073",114.301,NA,NA,NA,NA,NA
"10-12-2023","16:08:00.075",115.304,NA,NA,NA,NA,NA
"10-12-2023","16:08:01.076",116.304,NA,NA,NA,NA,NA
"10-12-2023","16:08:02.076",117.304,NA,NA,NA,NA,NA
"10-12-2023","16:08:03.074",118.302,NA,NA,NA,NA,NA
"10-12-2023","16:08:04.076",119.304,NA,NA,NA,NA,NA
"10-12-2023","16:08:05.076",120.304,NA,NA,NA,NA,NA
"10-12-2023","16:08:06.075",121.303,NA,NA,NA,NA,NA
"10-12-2023","16:08:07.074",122.302,NA,NA,NA,NA,NA
"10-12-2023","16:08:08.079",123.307,NA,NA,NA,NA,NA
"10-12-2023","16:08:09.078",124.306,NA,NA,NA,NA,NA
"10-12-2023","16:08:10.076",125.305,NA,NA,NA,NA,NA
"10-12-2023","16:08:11.077",126.305,NA,NA,NA,NA,NA
"10-12-2023","16:08:12.081",127.309,NA,NA,NA,NA,NA
"10-12-2023","16:08:13.078",128.306,NA,NA,NA,NA,NA
"10-12-2023","16:08:14.080",129.308,NA,NA,NA,NA,NA
"10-12-2023","16:08:15.080",130.308,NA,NA,NA,NA,NA
"10-12-2023","16:08:16.080",131.309,NA,NA,NA,NA,NA
"10-12-2023","16:08:17.080",132.309,NA,NA,NA,NA,NA
"10-12-2023","16:08:18.081",133.309,NA,NA,NA,NA,NA
"10-12-2023","16:08:19.082",134.31,NA,NA,NA,NA,NA
"10-12-2023","16:08:20.081",135.309,NA,NA,NA,NA,NA
"10-12-2023","16:08:21.079",136.307,NA,NA,NA,NA,NA
"10-12-2023","16:08:22.082",137.31,NA,NA,NA,NA,NA
"10-12-2023","16:08:23.081",138.31,NA,NA,NA,NA,NA
"10-12-2023","16:08:24.078",139.307,NA,NA,NA,NA,NA
"10-12-2023","16:08:25.081",140.309,NA,NA,NA,NA,NA
"10-12-2023","16:08:26.080",141.308,NA,NA,NA,NA,NA
"10-12-2023","16:08:27.079",142.307,NA,NA,NA,NA,NA
"10-12-2023","16:08:28.081",143.31,NA,NA,NA,NA,NA
"10-12-2023","16:08:29.079",144.307,NA,NA,NA,NA,NA
"10-12-2023","16:08:30.078",145.307,NA,NA,NA,NA,NA
"10-12-2023","16:08:31.080",146.308,NA,NA,NA,NA,NA
"10-12-2023","16:08:32.079",147.307,NA,NA,NA,NA,NA
"10-12-2023","16:08:33.078",148.307,NA,NA,NA,NA,NA
"10-12-2023","16:08:34.078",149.307,NA,NA,NA,NA,NA
"10-12-2023","16:08:35.078",150.306,NA,NA,NA,NA,NA
"10-12-2023","16:08:36.079",151.307,NA,NA,NA,NA,NA
"10-12-2023","16:08:37.079",152.307,NA,NA,NA,NA,NA
"10-12-2023","16:08:38.080",153.308,NA,NA,NA,NA,NA
"10-12-2023","16:08:39.080",154.309,NA,NA,NA,NA,NA
"10-12-2023","16:08:40.080",155.309,NA,NA,NA,NA,NA
"10-12-2023","16:08:41.083",156.312,NA,NA,NA,NA,NA
"10-12-2023","16:08:42.083",157.311,NA,NA,NA,NA,NA
"10-12-2023","16:08:43.082",158.31,NA,NA,NA,NA,NA
"10-12-2023","16:08:44.084",159.312,NA,NA,NA,NA,NA
"10-12-2023","16:08:45.086",160.315,NA,NA,NA,NA,NA
"10-12-2023","16:08:46.087",161.316,NA,NA,NA,NA,NA
"10-12-2023","16:08:47.089",162.317,NA,NA,NA,NA,NA
"10-12-2023","16:08:48.090",163.318,NA,NA,NA,NA,NA
"10-12-2023","16:08:49.091",164.319,NA,NA,NA,NA,NA
"10-12-2023","16:08:50.089",165.317,NA,NA,NA,NA,NA
"10-12-2023","16:08:51.094",166.322,NA,NA,NA,NA,NA
"10-12-2023","16:08:52.093",167.321,NA,NA,NA,NA,NA
"10-12-2023","16:08:53.090",168.319,NA,NA,NA,NA,NA
"10-12-2023","16:08:54.092",169.32,NA,NA,NA,NA,NA
"10-12-2023","16:08:55.092",170.32,NA,NA,NA,NA,NA
"10-12-2023","16:08:56.092",171.321,NA,NA,NA,NA,NA
"10-12-2023","16:08:57.093",172.322,NA,NA,NA,NA,NA
"10-12-2023","16:08:58.092",173.32,NA,NA,NA,NA,NA
"10-12-2023","16:08:59.092",174.32,NA,NA,NA,NA,NA
"10-12-2023","16:09:00.090",175.319,NA,NA,NA,NA,NA
"10-12-2023","16:09:01.093",176.321,NA,NA,NA,NA,NA
"10-12-2023","16:09:02.094",177.323,NA,NA,NA,NA,NA
"10-12-2023","16:09:03.096",178.325,NA,NA,NA,NA,NA
"10-12-2023","16:09:04.093",179.321,NA,NA,NA,NA,NA
"10-12-2023","16:09:05.096",180.325,NA,NA,NA,NA,NA
"10-12-2023","16:09:06.099",181.328,NA,NA,NA,NA,NA
"10-12-2023","16:09:07.100",182.328,NA,NA,NA,NA,NA
"10-12-2023","16:09:08.101",183.329,NA,NA,NA,NA,NA
"10-12-2023","16:09:09.102",184.33,NA,NA,NA,NA,NA
"10-12-2023","16:09:10.101",185.33,NA,NA,NA,NA,NA
"10-12-2023","16:09:11.102",186.33,NA,NA,NA,NA,NA
"10-12-2023","16:09:12.100",187.328,NA,NA,NA,NA,NA
"10-12-2023","16:09:13.102",188.33,NA,NA,NA,NA,NA
"10-12-2023","16:09:14.100",189.329,NA,NA,NA,NA,NA
"10-12-2023","16:09:15.100",190.328,NA,NA,NA,NA,NA
"10-12-2023","16:09:16.101",191.33,NA,NA,NA,NA,NA
"10-12-2023","16:09:17.104",192.333,NA,NA,NA,NA,NA
"10-12-2023","16:09:18.102",193.331,NA,NA,NA,NA,NA
"10-12-2023","16:09:19.104",194.333,NA,NA,NA,NA,NA
"10-12-2023","16:09:20.105",195.334,NA,NA,NA,NA,NA
"10-12-2023","16:09:21.104",196.333,NA,NA,NA,NA,NA
"10-12-2023","16:09:22.106",197.334,NA,NA,NA,NA,NA
"10-12-2023","16:09:23.105",198.333,NA,NA,NA,NA,NA
"10-12-2023","16:09:24.105",199.333,NA,NA,NA,NA,NA
"10-12-2023","16:09:25.103",200.332,NA,NA,NA,NA,NA
"10-12-2023","16:09:26.105",201.333,NA,NA,NA,NA,NA
"10-12-2023","16:09:27.107",202.335,NA,NA,NA,NA,NA
"10-12-2023","16:09:28.110",203.338,NA,NA,NA,NA,NA
"10-12-2023","16:09:29.110",204.338,NA,NA,NA,NA,NA
"10-12-2023","16:09:30.108",205.336,NA,NA,NA,NA,NA
"10-12-2023","16:09:31.110",206.338,NA,NA,NA,NA,NA
"10-12-2023","16:09:32.108",207.336,NA,NA,NA,NA,NA
"10-12-2023","16:09:33.110",208.338,NA,NA,NA,NA,NA
"10-12-2023","16:09:34.110",209.338,NA,NA,NA,NA,NA
"10-12-2023","16:09:35.110",210.338,NA,NA,NA,NA,NA
"10-12-2023","16:09:36.107",211.335,NA,NA,NA,NA,NA
"10-12-2023","16:09:37.110",212.338,NA,NA,NA,NA,NA
"10-12-2023","16:09:38.111",213.34,NA,NA,NA,NA,NA
"10-12-2023","16:09:39.110",214.338,NA,NA,NA,NA,NA
"10-12-2023","16:09:40.110",215.338,NA,NA,NA,NA,NA
"10-12-2023","16:09:41.111",216.34,NA,NA,NA,NA,NA
"10-12-2023","16:09:42.113",217.341,NA,NA,NA,NA,NA
"10-12-2023","16:09:43.111",218.339,NA,NA,NA,NA,NA
"10-12-2023","16:09:44.112",219.34,NA,NA,NA,NA,NA
"10-12-2023","16:09:45.113",220.341,NA,NA,NA,NA,NA
"10-12-2023","16:09:46.110",221.338,NA,NA,NA,NA,NA
"10-12-2023","16:09:47.110",222.338,NA,NA,NA,NA,NA
"10-12-2023","16:09:48.112",223.34,NA,NA,NA,NA,NA
"10-12-2023","16:09:49.112",224.34,NA,NA,NA,NA,NA
"10-12-2023","16:09:50.113",225.342,NA,NA,NA,NA,NA
"10-12-2023","16:09:51.113",226.342,NA,NA,NA,NA,NA
"10-12-2023","16:09:52.114",227.342,NA,NA,NA,NA,NA
"10-12-2023","16:09:53.114",228.343,NA,NA,NA,NA,NA
"10-12-2023","16:09:54.113",229.341,NA,NA,NA,NA,NA
"10-12-2023","16:09:55.111",230.339,NA,NA,NA,NA,NA
"10-12-2023","16:09:56.112",231.34,NA,NA,NA,NA,NA
"10-12-2023","16:09:57.112",232.34,NA,NA,NA,NA,NA
"10-12-2023","16:09:58.116",233.345,NA,NA,NA,NA,NA
"10-12-2023","16:09:59.115",234.344,NA,NA,NA,NA,NA
"10-12-2023","16:10:00.116",235.344,NA,NA,NA,NA,NA
"10-12-2023","16:10:01.115",236.344,NA,NA,NA,NA,NA
"10-12-2023","16:10:02.114",237.343,NA,NA,NA,NA,NA
"10-12-2023","16:10:03.116",238.344,NA,NA,NA,NA,NA
"10-12-2023","16:10:04.118",239.347,NA,NA,NA,NA,NA
"10-12-2023","16:10:05.121",240.349,NA,NA,NA,NA,NA
"10-12-2023","16:10:06.122",241.35,NA,NA,NA,NA,NA
"10-12-2023","16:10:07.121",242.35,NA,NA,NA,NA,NA
"10-12-2023","16:10:08.118",243.346,NA,NA,NA,NA,NA
"10-12-2023","16:10:09.120",244.348,NA,NA,NA,NA,NA
"10-12-2023","16:10:10.120",245.349,NA,NA,NA,NA,NA
"10-12-2023","16:10:11.120",246.349,NA,NA,NA,NA,NA
"10-12-2023","16:10:12.120",247.348,NA,NA,NA,NA,NA
"10-12-2023","16:10:13.122",248.351,NA,NA,NA,NA,NA
"10-12-2023","16:10:14.120",249.349,NA,NA,NA,NA,NA
"10-12-2023","16:10:15.122",250.351,NA,NA,NA,NA,NA
"10-12-2023","16:10:16.120",251.349,NA,NA,NA,NA,NA
"10-12-2023","16:10:17.120",252.348,NA,NA,NA,NA,NA
"10-12-2023","16:10:18.120",253.348,NA,NA,NA,NA,NA
"10-12-2023","16:10:19.120",254.348,NA,NA,NA,NA,NA
"10-12-2023","16:10:20.123",255.351,NA,NA,NA,NA,NA
"10-12-2023","16:10:21.122",256.35,NA,NA,NA,NA,NA
"10-12-2023","16:10:22.125",257.354,NA,NA,NA,NA,NA
"10-12-2023","16:10:23.125",258.353,NA,NA,NA,NA,NA
"10-12-2023","16:10:24.124",259.353,NA,NA,NA,NA,NA
"10-12-2023","16:10:25.126",260.354,NA,NA,NA,NA,NA
"10-12-2023","16:10:26.127",261.356,NA,NA,NA,NA,NA
"10-12-2023","16:10:27.125",262.353,NA,NA,NA,NA,NA
"10-12-2023","16:10:28.122",263.351,NA,NA,NA,NA,NA
"10-12-2023","16:10:29.122",264.35,NA,NA,NA,NA,NA
"10-12-2023","16:10:30.127",265.355,NA,NA,NA,NA,NA
"10-12-2023","16:10:31.127",266.356,NA,NA,NA,NA,NA
"10-12-2023","16:10:32.127",267.356,NA,NA,NA,NA,NA
"10-12-2023","16:10:33.126",268.354,NA,NA,NA,NA,NA
"10-12-2023","16:10:34.127",269.356,NA,NA,NA,NA,NA
"10-12-2023","16:10:35.128",270.356,NA,NA,NA,NA,NA
"10-12-2023","16:10:36.128",271.356,NA,NA,NA,NA,NA
"10-12-2023","16:10:37.128",272.356,NA,NA,NA,NA,NA
"10-12-2023","16:10:38.129",273.358,NA,NA,NA,NA,NA
"10-12-2023","16:10:39.130",274.358,NA,NA,NA,NA,NA
"10-12-2023","16:10:40.127",275.356,NA,NA,NA,NA,NA
"10-12-2023","16:10:41.128",276.357,NA,NA,NA,NA,NA
"10-12-2023","16:10:42.129",277.357,NA,NA,NA,NA,NA
"10-12-2023","16:10:43.129",278.357,NA,NA,NA,NA,NA
"10-12-2023","16:10:44.129",279.357,NA,NA,NA,NA,NA
"10-12-2023","16:10:45.131",280.36,NA,NA,NA,NA,NA
"10-12-2023","16:10:46.133",281.361,NA,NA,NA,NA,NA
