"date","time","time_sec","Ch1_O2","Ch1_temp","Ch2_O2","Ch3_O2","Ch4_O2"
"11-12-2023","17:11:15.255",0.854,NA,NA,NA,NA,NA
"11-12-2023","17:11:16.257",1.856,NA,NA,NA,NA,NA
"11-12-2023","17:11:17.258",2.856,NA,NA,NA,NA,NA
"11-12-2023","17:11:18.255",3.854,NA,NA,NA,NA,NA
"11-12-2023","17:11:19.256",4.855,NA,NA,NA,NA,NA
"11-12-2023","17:11:20.257",5.855,NA,NA,NA,NA,NA
"11-12-2023","17:11:21.255",6.854,NA,NA,NA,NA,NA
"11-12-2023","17:11:22.259",7.858,NA,NA,NA,NA,NA
"11-12-2023","17:11:23.261",8.859,NA,NA,NA,NA,NA
"11-12-2023","17:11:24.258",9.857,NA,NA,NA,NA,NA
"11-12-2023","17:11:25.260",10.859,NA,NA,NA,NA,NA
"11-12-2023","17:11:26.259",11.858,NA,NA,NA,NA,NA
"11-12-2023","17:11:27.259",12.857,NA,NA,NA,NA,NA
"11-12-2023","17:11:28.264",13.863,NA,NA,NA,NA,NA
"11-12-2023","17:11:29.262",14.86,NA,NA,NA,NA,NA
"11-12-2023","17:11:30.261",15.86,NA,NA,NA,NA,NA
"11-12-2023","17:11:31.261",16.86,NA,NA,NA,NA,NA
"11-12-2023","17:11:32.260",17.859,NA,NA,NA,NA,NA
"11-12-2023","17:11:33.262",18.86,NA,NA,NA,NA,NA
"11-12-2023","17:11:34.263",19.861,NA,NA,NA,NA,NA
"11-12-2023","17:11:35.263",20.862,NA,NA,NA,NA,NA
"11-12-2023","17:11:36.262",21.861,NA,NA,NA,NA,NA
"11-12-2023","17:11:37.264",22.862,NA,NA,NA,NA,NA
"11-12-2023","17:11:38.263",23.861,NA,NA,NA,NA,NA
"11-12-2023","17:11:39.262",24.86,NA,NA,NA,NA,NA
"11-12-2023","17:11:40.264",25.863,NA,NA,NA,NA,NA
"11-12-2023","17:11:41.263",26.862,NA,NA,NA,NA,NA
"11-12-2023","17:11:42.263",27.862,NA,NA,NA,NA,NA
"11-12-2023","17:11:43.267",28.866,NA,NA,NA,NA,NA
"11-12-2023","17:11:44.265",29.863,NA,NA,NA,NA,NA
"11-12-2023","17:11:45.266",30.865,NA,NA,NA,NA,NA
"11-12-2023","17:11:46.266",31.865,NA,NA,NA,NA,NA
"11-12-2023","17:11:47.267",32.866,NA,NA,NA,NA,NA
"11-12-2023","17:11:48.266",33.865,NA,NA,NA,NA,NA
"11-12-2023","17:11:49.267",34.866,NA,NA,NA,NA,NA
"11-12-2023","17:11:50.267",35.866,NA,NA,NA,NA,NA
"11-12-2023","17:11:51.267",36.866,NA,NA,NA,NA,NA
"11-12-2023","17:11:52.268",37.867,NA,NA,NA,NA,NA
"11-12-2023","17:11:53.272",38.871,NA,NA,NA,NA,NA
"11-12-2023","17:11:54.269",39.868,NA,NA,NA,NA,NA
"11-12-2023","17:11:55.273",40.872,NA,NA,NA,NA,NA
"11-12-2023","17:11:56.271",41.87,NA,NA,NA,NA,NA
"11-12-2023","17:11:57.274",42.872,NA,NA,NA,NA,NA
"11-12-2023","17:11:58.274",43.873,NA,NA,NA,NA,NA
"11-12-2023","17:11:59.273",44.872,NA,NA,NA,NA,NA
"11-12-2023","17:12:00.275",45.873,NA,NA,NA,NA,NA
"11-12-2023","17:12:01.275",46.874,NA,NA,NA,NA,NA
"11-12-2023","17:12:02.275",47.873,NA,NA,NA,NA,NA
"11-12-2023","17:12:03.273",48.871,NA,NA,NA,NA,NA
"11-12-2023","17:12:04.274",49.872,NA,NA,NA,NA,NA
"11-12-2023","17:12:05.276",50.874,NA,NA,NA,NA,NA
"11-12-2023","17:12:06.278",51.877,NA,NA,NA,NA,NA
"11-12-2023","17:12:07.280",52.878,NA,NA,NA,NA,NA
"11-12-2023","17:12:08.279",53.878,NA,NA,NA,NA,NA
"11-12-2023","17:12:09.279",54.877,NA,NA,NA,NA,NA
"11-12-2023","17:12:10.277",55.876,NA,NA,NA,NA,NA
"11-12-2023","17:12:11.281",56.879,NA,NA,NA,NA,NA
"11-12-2023","17:12:12.279",57.878,NA,NA,NA,NA,NA
