"date","time","time_sec","Ch1_O2","Ch1_temp","Ch2_O2","Ch3_O2","Ch4_O2"
"12-12-2023","11:06:37.478",0.461,NA,NA,NA,NA,NA
"12-12-2023","11:06:38.477",1.46,NA,NA,NA,NA,NA
"12-12-2023","11:06:39.479",2.462,NA,NA,NA,NA,NA
"12-12-2023","11:06:40.480",3.463,NA,NA,NA,NA,NA
"12-12-2023","11:06:41.479",4.462,NA,NA,NA,NA,NA
"12-12-2023","11:06:42.480",5.463,NA,NA,NA,NA,NA
"12-12-2023","11:06:43.482",6.465,NA,NA,NA,NA,NA
"12-12-2023","11:06:44.483",7.466,NA,NA,NA,NA,NA
"12-12-2023","11:06:45.483",8.466,NA,NA,NA,NA,NA
"12-12-2023","11:06:46.485",9.468,NA,NA,NA,NA,NA
"12-12-2023","11:06:47.483",10.466,NA,NA,NA,NA,NA
"12-12-2023","11:06:48.481",11.464,NA,NA,NA,NA,NA
"12-12-2023","11:06:49.482",12.465,NA,NA,NA,NA,NA
"12-12-2023","11:06:50.485",13.468,NA,NA,NA,NA,NA
"12-12-2023","11:06:51.485",14.468,NA,NA,NA,NA,NA
"12-12-2023","11:06:52.485",15.468,NA,NA,NA,NA,NA
"12-12-2023","11:06:53.489",16.472,NA,NA,NA,NA,NA
"12-12-2023","11:06:54.487",17.47,NA,NA,NA,NA,NA
"12-12-2023","11:06:55.489",18.472,NA,NA,NA,NA,NA
"12-12-2023","11:06:56.489",19.472,NA,NA,NA,NA,NA
"12-12-2023","11:06:57.489",20.472,NA,NA,NA,NA,NA
"12-12-2023","11:06:58.490",21.473,NA,NA,NA,NA,NA
"12-12-2023","11:06:59.489",22.472,NA,NA,NA,NA,NA
"12-12-2023","11:07:00.489",23.472,NA,NA,NA,NA,NA
"12-12-2023","11:07:01.487",24.47,NA,NA,NA,NA,NA
"12-12-2023","11:07:02.487",25.47,NA,NA,NA,NA,NA
"12-12-2023","11:07:03.491",26.474,NA,NA,NA,NA,NA
"12-12-2023","11:07:04.493",27.476,NA,NA,NA,NA,NA
"12-12-2023","11:07:05.492",28.475,NA,NA,NA,NA,NA
"12-12-2023","11:07:06.489",29.472,NA,NA,NA,NA,NA
"12-12-2023","11:07:07.491",30.474,NA,NA,NA,NA,NA
"12-12-2023","11:07:08.490",31.473,NA,NA,NA,NA,NA
"12-12-2023","11:07:09.492",32.475,NA,NA,NA,NA,NA
"12-12-2023","11:07:10.491",33.474,NA,NA,NA,NA,NA
"12-12-2023","11:07:11.490",34.473,NA,NA,NA,NA,NA
"12-12-2023","11:07:12.492",35.475,NA,NA,NA,NA,NA
"12-12-2023","11:07:13.491",36.474,NA,NA,NA,NA,NA
"12-12-2023","11:07:14.490",37.473,NA,NA,NA,NA,NA
"12-12-2023","11:07:15.488",38.471,NA,NA,NA,NA,NA
"12-12-2023","11:07:16.492",39.475,NA,NA,NA,NA,NA
"12-12-2023","11:07:17.493",40.476,NA,NA,NA,NA,NA
"12-12-2023","11:07:18.491",41.474,NA,NA,NA,NA,NA
"12-12-2023","11:07:19.492",42.475,NA,NA,NA,NA,NA
"12-12-2023","11:07:20.494",43.477,NA,NA,NA,NA,NA
"12-12-2023","11:07:21.494",44.477,NA,NA,NA,NA,NA
"12-12-2023","11:07:22.495",45.478,NA,NA,NA,NA,NA
"12-12-2023","11:07:23.495",46.478,NA,NA,NA,NA,NA
"12-12-2023","11:07:24.495",47.478,NA,NA,NA,NA,NA
"12-12-2023","11:07:25.496",48.479,NA,NA,NA,NA,NA
"12-12-2023","11:07:26.497",49.48,NA,NA,NA,NA,NA
"12-12-2023","11:07:27.493",50.476,NA,NA,NA,NA,NA
"12-12-2023","11:07:28.494",51.477,NA,NA,NA,NA,NA
"12-12-2023","11:07:29.498",52.481,NA,NA,NA,NA,NA
"12-12-2023","11:07:30.496",53.479,NA,NA,NA,NA,NA
"12-12-2023","11:07:31.498",54.481,NA,NA,NA,NA,NA
"12-12-2023","11:07:32.497",55.48,NA,NA,NA,NA,NA
"12-12-2023","11:07:33.498",56.481,NA,NA,NA,NA,NA
"12-12-2023","11:07:34.500",57.483,NA,NA,NA,NA,NA
"12-12-2023","11:07:35.501",58.484,NA,NA,NA,NA,NA
"12-12-2023","11:07:36.500",59.484,NA,NA,NA,NA,NA
"12-12-2023","11:07:37.501",60.484,NA,NA,NA,NA,NA
"12-12-2023","11:07:38.502",61.485,NA,NA,NA,NA,NA
"12-12-2023","11:07:39.501",62.484,NA,NA,NA,NA,NA
"12-12-2023","11:07:40.498",63.481,NA,NA,NA,NA,NA
"12-12-2023","11:07:41.499",64.482,NA,NA,NA,NA,NA
"12-12-2023","11:07:42.503",65.486,NA,NA,NA,NA,NA
