"date","time","time_sec","Ch1_O2","Ch1_temp","Ch2_O2","Ch3_O2","Ch4_O2"
"12-12-2023","17:22:16.468",0.885,NA,NA,NA,NA,NA
"12-12-2023","17:22:17.471",1.888,NA,NA,NA,NA,NA
"12-12-2023","17:22:18.472",2.889,NA,NA,NA,NA,NA
"12-12-2023","17:22:19.475",3.892,NA,NA,NA,NA,NA
"12-12-2023","17:22:20.476",4.893,NA,NA,NA,NA,NA
"12-12-2023","17:22:21.476",5.893,NA,NA,NA,NA,NA
"12-12-2023","17:22:22.475",6.892,NA,NA,NA,NA,NA
"12-12-2023","17:22:23.474",7.891,NA,NA,NA,NA,NA
"12-12-2023","17:22:24.474",8.891,NA,NA,NA,NA,NA
"12-12-2023","17:22:25.479",9.896,NA,NA,NA,NA,NA
"12-12-2023","17:22:26.476",10.893,NA,NA,NA,NA,NA
"12-12-2023","17:22:27.478",11.895,NA,NA,NA,NA,NA
"12-12-2023","17:22:28.478",12.895,NA,NA,NA,NA,NA
"12-12-2023","17:22:29.477",13.894,NA,NA,NA,NA,NA
"12-12-2023","17:22:30.481",14.898,NA,NA,NA,NA,NA
"12-12-2023","17:22:31.479",15.896,NA,NA,NA,NA,NA
"12-12-2023","17:22:32.483",16.9,NA,NA,NA,NA,NA
"12-12-2023","17:22:33.481",17.898,NA,NA,NA,NA,NA
"12-12-2023","17:22:34.479",18.896,NA,NA,NA,NA,NA
"12-12-2023","17:22:35.480",19.897,NA,NA,NA,NA,NA
"12-12-2023","17:22:36.485",20.902,NA,NA,NA,NA,NA
"12-12-2023","17:22:37.485",21.902,NA,NA,NA,NA,NA
"12-12-2023","17:22:38.485",22.902,NA,NA,NA,NA,NA
"12-12-2023","17:22:39.483",23.9,NA,NA,NA,NA,NA
"12-12-2023","17:22:40.484",24.901,NA,NA,NA,NA,NA
"12-12-2023","17:22:41.485",25.902,NA,NA,NA,NA,NA
"12-12-2023","17:22:42.486",26.904,NA,NA,NA,NA,NA
"12-12-2023","17:22:43.490",27.907,NA,NA,NA,NA,NA
"12-12-2023","17:22:44.487",28.904,NA,NA,NA,NA,NA
"12-12-2023","17:22:45.486",29.903,NA,NA,NA,NA,NA
"12-12-2023","17:22:46.486",30.903,NA,NA,NA,NA,NA
"12-12-2023","17:22:47.488",31.905,NA,NA,NA,NA,NA
"12-12-2023","17:22:48.490",32.907,NA,NA,NA,NA,NA
"12-12-2023","17:22:49.487",33.904,NA,NA,NA,NA,NA
