#--- Experiment --------------------------------------------------------------------------
#113023_19C_B6B7B8B9_cory
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.4] - Oxygen Sensor - XB7-536-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/24/2023	11/24/2023	23.486000	53.362000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.403000	19.245000	100.000000	21.411000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.4 Main]	Time [A Ch.4 Main]	 dt (s) [A Ch.4 Main]	Oxygen (%air sat.) [A Ch.4 Main]	dphi (°) [A Ch.4 Main]	Signal Intensity (mV) [A Ch.4 Main]	Ambient Light (mV) [A Ch.4 Main]	Status [A Ch.4 Main]	Date [A Ch.4 CompT]	Time [A Ch.4 CompT]	 dt (s) [A Ch.4 CompT]	Sample Temp. (°C) [A Ch.4 CompT]	Status [A Ch.4 CompT]	Date [A Ch.4 CompP]	Time [A Ch.4 CompP]	 dt (s) [A Ch.4 CompP]	Pressure (mbar) [A Ch.4 CompP]	Status [A Ch.4 CompP]
30-11-2023	12:21:41.359	-0.055	105.277	22.917	280	0	OK	30-11-2023	12:21:41.359	-0.055	18.932	OK	30-11-2023	12:21:41.359	-0.055	1013	OK
30-11-2023	12:21:42.359	0.944	105.365	22.907	280	0	OK	30-11-2023	12:21:42.359	0.944	18.933	OK	30-11-2023	12:21:42.359	0.944	1013	OK
30-11-2023	12:21:43.357	1.943	105.393	22.904	280	0	OK	30-11-2023	12:21:43.357	1.943	18.932	OK	30-11-2023	12:21:43.357	1.943	1013	OK
30-11-2023	12:21:44.360	2.945	105.384	22.905	280	0	OK	30-11-2023	12:21:44.360	2.945	18.932	OK	30-11-2023	12:21:44.360	2.945	1013	OK
30-11-2023	12:21:45.360	3.946	105.328	22.911	280	0	OK	30-11-2023	12:21:45.360	3.946	18.935	OK	30-11-2023	12:21:45.360	3.946	1013	OK
30-11-2023	12:21:46.358	4.943	105.330	22.911	280	0	OK	30-11-2023	12:21:46.358	4.943	18.933	OK	30-11-2023	12:21:46.358	4.943	1013	OK
30-11-2023	12:21:47.360	5.946	105.322	22.912	280	0	OK	30-11-2023	12:21:47.360	5.946	18.931	OK	30-11-2023	12:21:47.360	5.946	1013	OK
30-11-2023	12:21:48.358	6.944	105.342	22.910	280	0	OK	30-11-2023	12:21:48.358	6.944	18.929	OK	30-11-2023	12:21:48.358	6.944	1013	OK
30-11-2023	12:21:49.365	7.951	105.308	22.914	280	0	OK	30-11-2023	12:21:49.365	7.951	18.927	OK	30-11-2023	12:21:49.365	7.951	1013	OK
30-11-2023	12:21:50.365	8.951	105.382	22.906	280	0	OK	30-11-2023	12:21:50.365	8.951	18.925	OK	30-11-2023	12:21:50.365	8.951	1013	OK
30-11-2023	12:21:51.363	9.949	105.309	22.914	280	0	OK	30-11-2023	12:21:51.363	9.949	18.926	OK	30-11-2023	12:21:51.363	9.949	1013	OK
30-11-2023	12:21:52.367	10.953	105.352	22.909	280	0	OK	30-11-2023	12:21:52.367	10.953	18.928	OK	30-11-2023	12:21:52.367	10.953	1013	OK
30-11-2023	12:21:53.366	11.952	105.323	22.912	280	0	OK	30-11-2023	12:21:53.366	11.952	18.930	OK	30-11-2023	12:21:53.366	11.952	1013	OK
30-11-2023	12:21:54.363	12.949	105.289	22.916	280	0	OK	30-11-2023	12:21:54.363	12.949	18.928	OK	30-11-2023	12:21:54.363	12.949	1013	OK
30-11-2023	12:21:55.366	13.952	105.326	22.912	280	0	OK	30-11-2023	12:21:55.366	13.952	18.927	OK	30-11-2023	12:21:55.366	13.952	1013	OK
30-11-2023	12:21:56.367	14.953	105.299	22.915	280	0	OK	30-11-2023	12:21:56.367	14.953	18.927	OK	30-11-2023	12:21:56.367	14.953	1013	OK
30-11-2023	12:21:57.366	15.952	105.255	22.920	280	0	OK	30-11-2023	12:21:57.366	15.952	18.926	OK	30-11-2023	12:21:57.366	15.952	1013	OK
30-11-2023	12:21:58.368	16.954	105.282	22.917	280	0	OK	30-11-2023	12:21:58.368	16.954	18.926	OK	30-11-2023	12:21:58.368	16.954	1013	OK
30-11-2023	12:21:59.366	17.952	105.337	22.911	280	0	OK	30-11-2023	12:21:59.366	17.952	18.925	OK	30-11-2023	12:21:59.366	17.952	1013	OK
30-11-2023	12:22:00.365	18.951	105.309	22.914	280	0	OK	30-11-2023	12:22:00.365	18.951	18.926	OK	30-11-2023	12:22:00.365	18.951	1013	OK
30-11-2023	12:22:01.370	19.956	105.257	22.920	280	0	OK	30-11-2023	12:22:01.370	19.956	18.924	OK	30-11-2023	12:22:01.370	19.956	1013	OK
30-11-2023	12:22:02.372	20.958	105.248	22.921	280	0	OK	30-11-2023	12:22:02.372	20.958	18.924	OK	30-11-2023	12:22:02.372	20.958	1013	OK
30-11-2023	12:22:03.368	21.954	105.385	22.906	280	0	OK	30-11-2023	12:22:03.368	21.954	18.922	OK	30-11-2023	12:22:03.368	21.954	1013	OK
30-11-2023	12:22:04.366	22.951	105.322	22.913	280	0	OK	30-11-2023	12:22:04.366	22.951	18.922	OK	30-11-2023	12:22:04.366	22.951	1013	OK
30-11-2023	12:22:05.369	23.955	105.369	22.908	280	0	OK	30-11-2023	12:22:05.369	23.955	18.920	OK	30-11-2023	12:22:05.369	23.955	1013	OK
30-11-2023	12:22:06.369	24.954	105.294	22.916	280	0	OK	30-11-2023	12:22:06.369	24.954	18.923	OK	30-11-2023	12:22:06.369	24.954	1013	OK
30-11-2023	12:22:07.367	25.953	105.300	22.915	280	0	OK	30-11-2023	12:22:07.367	25.953	18.926	OK	30-11-2023	12:22:07.367	25.953	1013	OK
30-11-2023	12:22:08.367	26.953	105.307	22.914	280	0	OK	30-11-2023	12:22:08.367	26.953	18.928	OK	30-11-2023	12:22:08.367	26.953	1013	OK
30-11-2023	12:22:09.370	27.956	105.351	22.909	280	0	OK	30-11-2023	12:22:09.370	27.956	18.929	OK	30-11-2023	12:22:09.370	27.956	1013	OK
30-11-2023	12:22:10.372	28.958	105.305	22.914	280	0	OK	30-11-2023	12:22:10.372	28.958	18.930	OK	30-11-2023	12:22:10.372	28.958	1013	OK
30-11-2023	12:22:11.372	29.957	105.366	22.907	280	0	OK	30-11-2023	12:22:11.372	29.957	18.932	OK	30-11-2023	12:22:11.372	29.957	1013	OK
30-11-2023	12:22:12.372	30.958	105.305	22.914	280	0	OK	30-11-2023	12:22:12.372	30.958	18.931	OK	30-11-2023	12:22:12.372	30.958	1013	OK
30-11-2023	12:22:13.374	31.960	105.339	22.910	280	0	OK	30-11-2023	12:22:13.374	31.960	18.932	OK	30-11-2023	12:22:13.374	31.960	1013	OK
30-11-2023	12:22:14.373	32.959	105.322	22.912	280	0	OK	30-11-2023	12:22:14.373	32.959	18.932	OK	30-11-2023	12:22:14.373	32.959	1013	OK
30-11-2023	12:22:15.374	33.960	105.347	22.909	280	0	OK	30-11-2023	12:22:15.374	33.960	18.934	OK	30-11-2023	12:22:15.374	33.960	1013	OK
30-11-2023	12:22:16.372	34.958	105.293	22.915	280	0	OK	30-11-2023	12:22:16.372	34.958	18.934	OK	30-11-2023	12:22:16.372	34.958	1013	OK
30-11-2023	12:22:17.374	35.959	105.366	22.907	280	0	OK	30-11-2023	12:22:17.374	35.959	18.932	OK	30-11-2023	12:22:17.374	35.959	1013	OK
30-11-2023	12:22:18.375	36.961	105.323	22.912	280	0	OK	30-11-2023	12:22:18.375	36.961	18.930	OK	30-11-2023	12:22:18.375	36.961	1013	OK
30-11-2023	12:22:19.377	37.963	105.363	22.908	280	0	OK	30-11-2023	12:22:19.377	37.963	18.926	OK	30-11-2023	12:22:19.377	37.963	1013	OK
30-11-2023	12:22:20.374	38.960	105.279	22.917	280	0	OK	30-11-2023	12:22:20.374	38.960	18.930	OK	30-11-2023	12:22:20.374	38.960	1013	OK
30-11-2023	12:22:21.375	39.961	105.288	22.916	280	0	OK	30-11-2023	12:22:21.375	39.961	18.929	OK	30-11-2023	12:22:21.375	39.961	1013	OK
30-11-2023	12:22:22.373	40.959	105.323	22.912	280	0	OK	30-11-2023	12:22:22.373	40.959	18.930	OK	30-11-2023	12:22:22.373	40.959	1013	OK
30-11-2023	12:22:23.377	41.963	105.307	22.914	280	0	OK	30-11-2023	12:22:23.377	41.963	18.928	OK	30-11-2023	12:22:23.377	41.963	1013	OK
30-11-2023	12:22:24.373	42.959	105.298	22.915	280	0	OK	30-11-2023	12:22:24.373	42.959	18.928	OK	30-11-2023	12:22:24.373	42.959	1013	OK
30-11-2023	12:22:25.372	43.958	105.290	22.916	280	0	OK	30-11-2023	12:22:25.372	43.958	18.927	OK	30-11-2023	12:22:25.372	43.958	1013	OK
30-11-2023	12:22:26.373	44.959	105.326	22.912	280	0	OK	30-11-2023	12:22:26.373	44.959	18.927	OK	30-11-2023	12:22:26.373	44.959	1013	OK
30-11-2023	12:22:27.376	45.962	105.336	22.911	280	0	OK	30-11-2023	12:22:27.376	45.962	18.926	OK	30-11-2023	12:22:27.376	45.962	1013	OK
30-11-2023	12:22:28.476	47.062	105.236	22.922	280	0	OK	30-11-2023	12:22:28.476	47.062	18.928	OK	30-11-2023	12:22:28.476	47.062	1013	OK
30-11-2023	12:22:29.376	47.962	105.407	22.903	280	0	OK	30-11-2023	12:22:29.376	47.962	18.927	OK	30-11-2023	12:22:29.376	47.962	1013	OK
30-11-2023	12:22:30.463	49.049	105.309	22.914	280	0	OK	30-11-2023	12:22:30.463	49.049	18.926	OK	30-11-2023	12:22:30.463	49.049	1013	OK
