#--- Experiment --------------------------------------------------------------------------
#113023_19C_B6B7B8B9_cory
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
30-11-2023	12:21:41.727	0.313	18.931	OK
30-11-2023	12:21:42.725	1.311	18.932	OK
30-11-2023	12:21:43.732	2.318	18.932	OK
30-11-2023	12:21:44.726	3.312	18.934	OK
30-11-2023	12:21:45.732	4.318	18.934	OK
30-11-2023	12:21:46.743	5.329	18.933	OK
30-11-2023	12:21:47.735	6.320	18.930	OK
30-11-2023	12:21:48.732	7.318	18.928	OK
30-11-2023	12:21:49.740	8.326	18.926	OK
30-11-2023	12:21:50.742	9.327	18.926	OK
30-11-2023	12:21:51.738	10.324	18.927	OK
30-11-2023	12:21:52.742	11.328	18.928	OK
30-11-2023	12:21:53.738	12.324	18.929	OK
30-11-2023	12:21:54.736	13.322	18.926	OK
30-11-2023	12:21:55.745	14.331	18.928	OK
30-11-2023	12:21:56.735	15.321	18.926	OK
30-11-2023	12:21:57.743	16.328	18.927	OK
30-11-2023	12:21:58.739	17.325	18.926	OK
30-11-2023	12:21:59.735	18.321	18.925	OK
30-11-2023	12:22:00.742	19.328	18.924	OK
30-11-2023	12:22:01.743	20.329	18.925	OK
30-11-2023	12:22:02.744	21.330	18.923	OK
30-11-2023	12:22:03.741	22.327	18.921	OK
30-11-2023	12:22:04.743	23.329	18.921	OK
30-11-2023	12:22:05.743	24.329	18.922	OK
30-11-2023	12:22:06.742	25.328	18.924	OK
30-11-2023	12:22:07.741	26.327	18.928	OK
30-11-2023	12:22:08.741	27.326	18.929	OK
30-11-2023	12:22:09.742	28.328	18.930	OK
30-11-2023	12:22:10.741	29.326	18.930	OK
30-11-2023	12:22:11.748	30.334	18.932	OK
30-11-2023	12:22:12.747	31.332	18.932	OK
30-11-2023	12:22:13.745	32.331	18.931	OK
30-11-2023	12:22:14.747	33.333	18.932	OK
30-11-2023	12:22:15.759	34.345	18.935	OK
30-11-2023	12:22:16.742	35.328	18.933	OK
30-11-2023	12:22:17.745	36.331	18.931	OK
30-11-2023	12:22:18.745	37.331	18.929	OK
30-11-2023	12:22:19.755	38.341	18.926	OK
30-11-2023	12:22:20.752	39.337	18.930	OK
30-11-2023	12:22:21.752	40.338	18.929	OK
30-11-2023	12:22:22.744	41.330	18.929	OK
30-11-2023	12:22:23.753	42.339	18.928	OK
30-11-2023	12:22:24.741	43.327	18.928	OK
30-11-2023	12:22:25.733	44.319	18.928	OK
30-11-2023	12:22:26.736	45.322	18.926	OK
30-11-2023	12:22:27.751	46.337	18.925	OK
30-11-2023	12:22:28.753	47.339	18.927	OK
30-11-2023	12:22:29.735	48.321	18.927	OK
30-11-2023	12:22:30.742	49.328	18.926	OK
30-11-2023	12:22:31.738	50.324	18.927	OK
30-11-2023	12:22:32.738	51.324	18.928	OK
30-11-2023	12:22:33.737	52.323	18.930	OK
30-11-2023	12:22:34.737	53.323	18.930	OK
30-11-2023	12:22:35.738	54.324	18.927	OK
30-11-2023	12:22:36.752	55.338	18.927	OK
30-11-2023	12:22:37.760	56.346	18.925	OK
30-11-2023	12:22:38.754	57.340	18.929	OK
