#--- Experiment --------------------------------------------------------------------------
#113023_19C_B6B7B8B9_tile
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - XB7-538-217 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/24/2023	11/24/2023	23.326000	53.493000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.203000	19.184000	100.000000	21.670000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (%air sat.) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
30-11-2023	15:58:22.917	0.582	104.401	22.835	242	0	OK	30-11-2023	15:58:22.917	0.582	19.043	OK	30-11-2023	15:58:22.917	0.582	1013	OK
30-11-2023	15:58:23.916	1.581	104.430	22.832	242	0	OK	30-11-2023	15:58:23.916	1.581	19.041	OK	30-11-2023	15:58:23.916	1.581	1013	OK
30-11-2023	15:58:24.916	2.581	104.490	22.825	242	0	OK	30-11-2023	15:58:24.916	2.581	19.043	OK	30-11-2023	15:58:24.916	2.581	1013	OK
30-11-2023	15:58:25.918	3.584	104.535	22.820	242	0	OK	30-11-2023	15:58:25.918	3.584	19.043	OK	30-11-2023	15:58:25.918	3.584	1013	OK
30-11-2023	15:58:26.918	4.583	104.481	22.826	242	0	OK	30-11-2023	15:58:26.918	4.583	19.043	OK	30-11-2023	15:58:26.918	4.583	1013	OK
30-11-2023	15:58:27.917	5.583	104.480	22.826	242	0	OK	30-11-2023	15:58:27.917	5.583	19.044	OK	30-11-2023	15:58:27.917	5.583	1013	OK
30-11-2023	15:58:28.917	6.582	104.507	22.823	242	0	OK	30-11-2023	15:58:28.917	6.582	19.044	OK	30-11-2023	15:58:28.917	6.582	1013	OK
30-11-2023	15:58:29.916	7.581	104.526	22.821	242	0	OK	30-11-2023	15:58:29.916	7.581	19.043	OK	30-11-2023	15:58:29.916	7.581	1013	OK
30-11-2023	15:58:30.917	8.582	104.578	22.815	242	0	OK	30-11-2023	15:58:30.917	8.582	19.044	OK	30-11-2023	15:58:30.917	8.582	1013	OK
30-11-2023	15:58:31.917	9.583	104.598	22.813	242	0	OK	30-11-2023	15:58:31.917	9.583	19.042	OK	30-11-2023	15:58:31.917	9.583	1013	OK
30-11-2023	15:58:32.917	10.582	104.567	22.816	242	0	OK	30-11-2023	15:58:32.917	10.582	19.046	OK	30-11-2023	15:58:32.917	10.582	1013	OK
30-11-2023	15:58:33.917	11.582	104.584	22.814	242	0	OK	30-11-2023	15:58:33.917	11.582	19.047	OK	30-11-2023	15:58:33.917	11.582	1013	OK
30-11-2023	15:58:34.918	12.583	104.481	22.825	242	0	OK	30-11-2023	15:58:34.918	12.583	19.053	OK	30-11-2023	15:58:34.918	12.583	1013	OK
30-11-2023	15:58:35.917	13.583	104.540	22.818	242	0	OK	30-11-2023	15:58:35.917	13.583	19.056	OK	30-11-2023	15:58:35.917	13.583	1013	OK
30-11-2023	15:58:36.931	14.597	104.547	22.817	242	0	OK	30-11-2023	15:58:36.931	14.597	19.058	OK	30-11-2023	15:58:36.931	14.597	1013	OK
