#--- Experiment --------------------------------------------------------------------------
#113023_19C_B6B7B8B9_tile
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.3] - Oxygen Sensor - XA7-533-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/24/2023	11/24/2023	22.829000	52.792000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.346000	19.205000	100.000000	21.498000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.3 Main]	Time [A Ch.3 Main]	 dt (s) [A Ch.3 Main]	Oxygen (%air sat.) [A Ch.3 Main]	dphi (°) [A Ch.3 Main]	Signal Intensity (mV) [A Ch.3 Main]	Ambient Light (mV) [A Ch.3 Main]	Status [A Ch.3 Main]	Date [A Ch.3 CompT]	Time [A Ch.3 CompT]	 dt (s) [A Ch.3 CompT]	Sample Temp. (°C) [A Ch.3 CompT]	Status [A Ch.3 CompT]	Date [A Ch.3 CompP]	Time [A Ch.3 CompP]	 dt (s) [A Ch.3 CompP]	Pressure (mbar) [A Ch.3 CompP]	Status [A Ch.3 CompP]
30-11-2023	15:58:22.814	0.480	101.908	22.630	199	0	OK	30-11-2023	15:58:22.814	0.480	19.043	OK	30-11-2023	15:58:22.814	0.480	1013	OK
30-11-2023	15:58:23.815	1.480	101.691	22.655	198	0	OK	30-11-2023	15:58:23.815	1.480	19.041	OK	30-11-2023	15:58:23.815	1.480	1013	OK
30-11-2023	15:58:24.813	2.478	101.715	22.652	198	0	OK	30-11-2023	15:58:24.813	2.478	19.043	OK	30-11-2023	15:58:24.813	2.478	1013	OK
30-11-2023	15:58:25.815	3.480	101.768	22.646	198	0	OK	30-11-2023	15:58:25.815	3.480	19.043	OK	30-11-2023	15:58:25.815	3.480	1013	OK
30-11-2023	15:58:26.818	4.483	101.786	22.644	198	0	OK	30-11-2023	15:58:26.818	4.483	19.043	OK	30-11-2023	15:58:26.818	4.483	1013	OK
30-11-2023	15:58:27.816	5.481	101.750	22.648	198	0	OK	30-11-2023	15:58:27.816	5.481	19.044	OK	30-11-2023	15:58:27.816	5.481	1013	OK
30-11-2023	15:58:28.817	6.482	101.811	22.641	199	0	OK	30-11-2023	15:58:28.817	6.482	19.044	OK	30-11-2023	15:58:28.817	6.482	1013	OK
30-11-2023	15:58:29.817	7.483	101.803	22.642	198	0	OK	30-11-2023	15:58:29.817	7.483	19.043	OK	30-11-2023	15:58:29.817	7.483	1013	OK
30-11-2023	15:58:30.817	8.482	101.786	22.644	198	0	OK	30-11-2023	15:58:30.817	8.482	19.043	OK	30-11-2023	15:58:30.817	8.482	1013	OK
30-11-2023	15:58:31.816	9.482	101.672	22.657	198	0	OK	30-11-2023	15:58:31.816	9.482	19.043	OK	30-11-2023	15:58:31.816	9.482	1013	OK
30-11-2023	15:58:32.818	10.483	101.756	22.647	198	0	OK	30-11-2023	15:58:32.818	10.483	19.047	OK	30-11-2023	15:58:32.818	10.483	1013	OK
30-11-2023	15:58:33.817	11.482	101.791	22.643	198	0	OK	30-11-2023	15:58:33.817	11.482	19.047	OK	30-11-2023	15:58:33.817	11.482	1013	OK
30-11-2023	15:58:34.817	12.482	101.794	22.642	198	0	OK	30-11-2023	15:58:34.817	12.482	19.053	OK	30-11-2023	15:58:34.817	12.482	1013	OK
30-11-2023	15:58:35.819	13.484	101.774	22.644	199	0	OK	30-11-2023	15:58:35.819	13.484	19.056	OK	30-11-2023	15:58:35.819	13.484	1013	OK
30-11-2023	15:58:36.821	14.486	101.816	22.639	198	0	OK	30-11-2023	15:58:36.821	14.486	19.058	OK	30-11-2023	15:58:36.821	14.486	1013	OK
30-11-2023	15:58:37.821	15.486	101.781	22.643	198	0	OK	30-11-2023	15:58:37.821	15.486	19.058	OK	30-11-2023	15:58:37.821	15.486	1013	OK
30-11-2023	15:58:38.820	16.485	101.755	22.646	198	0	OK	30-11-2023	15:58:38.820	16.485	19.057	OK	30-11-2023	15:58:38.820	16.485	1013	OK
30-11-2023	15:58:39.819	17.484	101.763	22.645	198	0	OK	30-11-2023	15:58:39.819	17.484	19.058	OK	30-11-2023	15:58:39.819	17.484	1013	OK
30-11-2023	15:58:40.819	18.484	101.782	22.643	198	0	OK	30-11-2023	15:58:40.819	18.484	19.057	OK	30-11-2023	15:58:40.819	18.484	1013	OK
30-11-2023	15:58:41.821	19.487	101.748	22.647	198	0	OK	30-11-2023	15:58:41.821	19.487	19.056	OK	30-11-2023	15:58:41.821	19.487	1013	OK
30-11-2023	15:58:42.822	20.487	101.711	22.651	198	0	OK	30-11-2023	15:58:42.822	20.487	19.058	OK	30-11-2023	15:58:42.822	20.487	1013	OK
30-11-2023	15:58:43.822	21.488	101.816	22.639	198	0	OK	30-11-2023	15:58:43.822	21.488	19.058	OK	30-11-2023	15:58:43.822	21.488	1013	OK
30-11-2023	15:58:44.833	22.499	101.683	22.654	198	0	OK	30-11-2023	15:58:44.833	22.499	19.060	OK	30-11-2023	15:58:44.833	22.499	1013	OK
30-11-2023	15:58:45.823	23.488	101.840	22.636	198	0	OK	30-11-2023	15:58:45.823	23.488	19.060	OK	30-11-2023	15:58:45.823	23.488	1013	OK
30-11-2023	15:58:46.826	24.492	101.811	22.639	198	0	OK	30-11-2023	15:58:46.826	24.492	19.063	OK	30-11-2023	15:58:46.826	24.492	1013	OK
30-11-2023	15:58:47.826	25.491	101.854	22.634	198	0	OK	30-11-2023	15:58:47.826	25.491	19.064	OK	30-11-2023	15:58:47.826	25.491	1013	OK
30-11-2023	15:58:48.824	26.489	101.802	22.640	198	0	OK	30-11-2023	15:58:48.824	26.489	19.064	OK	30-11-2023	15:58:48.824	26.489	1013	OK
30-11-2023	15:58:49.826	27.491	101.801	22.640	198	0	OK	30-11-2023	15:58:49.826	27.491	19.065	OK	30-11-2023	15:58:49.826	27.491	1013	OK
30-11-2023	15:58:50.829	28.494	101.756	22.645	198	0	OK	30-11-2023	15:58:50.829	28.494	19.066	OK	30-11-2023	15:58:50.829	28.494	1013	OK
30-11-2023	15:58:51.827	29.492	101.695	22.652	198	0	OK	30-11-2023	15:58:51.827	29.492	19.066	OK	30-11-2023	15:58:51.827	29.492	1013	OK
30-11-2023	15:58:52.825	30.491	101.828	22.637	198	0	OK	30-11-2023	15:58:52.825	30.491	19.064	OK	30-11-2023	15:58:52.825	30.491	1013	OK
30-11-2023	15:58:53.830	31.496	101.769	22.644	198	0	OK	30-11-2023	15:58:53.830	31.496	19.062	OK	30-11-2023	15:58:53.830	31.496	1013	OK
30-11-2023	15:58:54.833	32.498	101.778	22.643	198	0	OK	30-11-2023	15:58:54.833	32.498	19.061	OK	30-11-2023	15:58:54.833	32.498	1013	OK
30-11-2023	15:58:55.833	33.498	101.837	22.636	198	0	OK	30-11-2023	15:58:55.833	33.498	19.064	OK	30-11-2023	15:58:55.833	33.498	1013	OK
30-11-2023	15:58:56.836	34.501	101.782	22.642	198	0	OK	30-11-2023	15:58:56.836	34.501	19.066	OK	30-11-2023	15:58:56.836	34.501	1013	OK
30-11-2023	15:58:57.834	35.499	101.824	22.637	198	0	OK	30-11-2023	15:58:57.834	35.499	19.069	OK	30-11-2023	15:58:57.834	35.499	1013	OK
30-11-2023	15:58:58.834	36.499	101.817	22.638	198	0	OK	30-11-2023	15:58:58.834	36.499	19.067	OK	30-11-2023	15:58:58.834	36.499	1013	OK
30-11-2023	15:58:59.834	37.499	101.799	22.640	198	0	OK	30-11-2023	15:58:59.834	37.499	19.067	OK	30-11-2023	15:58:59.834	37.499	1013	OK
30-11-2023	15:59:00.833	38.499	101.782	22.642	198	0	OK	30-11-2023	15:59:00.833	38.499	19.066	OK	30-11-2023	15:59:00.833	38.499	1013	OK
30-11-2023	15:59:01.837	39.502	101.774	22.643	198	0	OK	30-11-2023	15:59:01.837	39.502	19.066	OK	30-11-2023	15:59:01.837	39.502	1013	OK
30-11-2023	15:59:02.836	40.502	101.791	22.641	198	0	OK	30-11-2023	15:59:02.836	40.502	19.066	OK	30-11-2023	15:59:02.836	40.502	1013	OK
30-11-2023	15:59:03.834	41.499	101.855	22.634	198	0	OK	30-11-2023	15:59:03.834	41.499	19.063	OK	30-11-2023	15:59:03.834	41.499	1013	OK
30-11-2023	15:59:04.839	42.505	101.874	22.632	198	0	OK	30-11-2023	15:59:04.839	42.505	19.062	OK	30-11-2023	15:59:04.839	42.505	1013	OK
30-11-2023	15:59:05.837	43.503	101.848	22.635	198	0	OK	30-11-2023	15:59:05.837	43.503	19.061	OK	30-11-2023	15:59:05.837	43.503	1013	OK
30-11-2023	15:59:06.838	44.503	101.821	22.638	198	1	OK	30-11-2023	15:59:06.838	44.503	19.062	OK	30-11-2023	15:59:06.838	44.503	1013	OK
30-11-2023	15:59:07.840	45.505	101.768	22.644	198	0	OK	30-11-2023	15:59:07.840	45.505	19.063	OK	30-11-2023	15:59:07.840	45.505	1013	OK
30-11-2023	15:59:08.839	46.504	101.882	22.631	198	0	OK	30-11-2023	15:59:08.839	46.504	19.063	OK	30-11-2023	15:59:08.839	46.504	1013	OK
30-11-2023	15:59:09.840	47.505	101.881	22.631	198	0	OK	30-11-2023	15:59:09.840	47.505	19.064	OK	30-11-2023	15:59:09.840	47.505	1013	OK
30-11-2023	15:59:10.838	48.504	101.861	22.633	198	0	OK	30-11-2023	15:59:10.838	48.504	19.066	OK	30-11-2023	15:59:10.838	48.504	1013	OK
30-11-2023	15:59:11.839	49.504	101.792	22.641	198	0	OK	30-11-2023	15:59:11.839	49.504	19.065	OK	30-11-2023	15:59:11.839	49.504	1013	OK
30-11-2023	15:59:12.839	50.504	101.906	22.628	198	0	OK	30-11-2023	15:59:12.839	50.504	19.065	OK	30-11-2023	15:59:12.839	50.504	1013	OK
30-11-2023	15:59:13.839	51.505	101.740	22.647	198	0	OK	30-11-2023	15:59:13.839	51.505	19.064	OK	30-11-2023	15:59:13.839	51.505	1013	OK
30-11-2023	15:59:14.841	52.506	101.865	22.633	198	0	OK	30-11-2023	15:59:14.841	52.506	19.062	OK	30-11-2023	15:59:14.841	52.506	1013	OK
30-11-2023	15:59:15.842	53.508	101.814	22.639	198	0	OK	30-11-2023	15:59:15.842	53.508	19.060	OK	30-11-2023	15:59:15.842	53.508	1013	OK
30-11-2023	15:59:16.842	54.508	101.840	22.636	198	0	OK	30-11-2023	15:59:16.842	54.508	19.060	OK	30-11-2023	15:59:16.842	54.508	1013	OK
