#--- Experiment --------------------------------------------------------------------------
#113023_19C_empty
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - XB7-538-217 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/24/2023	11/24/2023	23.326000	53.493000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.203000	19.184000	100.000000	21.670000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (%air sat.) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
30-11-2023	17:09:22.767	-0.037	104.607	22.820	244	0	OK	30-11-2023	17:09:22.767	-0.037	18.964	OK	30-11-2023	17:09:22.767	-0.037	1013	OK
30-11-2023	17:09:23.763	0.959	104.495	22.833	244	0	OK	30-11-2023	17:09:23.763	0.959	18.960	OK	30-11-2023	17:09:23.763	0.959	1013	OK
30-11-2023	17:09:24.764	1.960	104.507	22.832	244	0	OK	30-11-2023	17:09:24.764	1.960	18.957	OK	30-11-2023	17:09:24.764	1.960	1013	OK
30-11-2023	17:09:25.760	2.956	104.499	22.833	244	0	OK	30-11-2023	17:09:25.760	2.956	18.956	OK	30-11-2023	17:09:25.760	2.956	1013	OK
30-11-2023	17:09:26.757	3.953	104.518	22.831	244	0	OK	30-11-2023	17:09:26.757	3.953	18.955	OK	30-11-2023	17:09:26.757	3.953	1013	OK
30-11-2023	17:09:27.763	4.959	104.501	22.833	244	0	OK	30-11-2023	17:09:27.763	4.959	18.954	OK	30-11-2023	17:09:27.763	4.959	1013	OK
30-11-2023	17:09:28.761	5.957	104.564	22.826	244	0	OK	30-11-2023	17:09:28.761	5.957	18.953	OK	30-11-2023	17:09:28.761	5.957	1013	OK
30-11-2023	17:09:29.760	6.956	104.576	22.825	243	0	OK	30-11-2023	17:09:29.760	6.956	18.950	OK	30-11-2023	17:09:29.760	6.956	1013	OK
30-11-2023	17:09:30.762	7.958	104.603	22.822	243	0	OK	30-11-2023	17:09:30.762	7.958	18.949	OK	30-11-2023	17:09:30.762	7.958	1013	OK
30-11-2023	17:09:31.762	8.958	104.514	22.832	243	0	OK	30-11-2023	17:09:31.762	8.958	18.949	OK	30-11-2023	17:09:31.762	8.958	1013	OK
30-11-2023	17:09:32.760	9.956	104.550	22.828	244	0	OK	30-11-2023	17:09:32.760	9.956	18.949	OK	30-11-2023	17:09:32.760	9.956	1013	OK
30-11-2023	17:09:33.762	10.958	104.514	22.832	243	0	OK	30-11-2023	17:09:33.762	10.958	18.949	OK	30-11-2023	17:09:33.762	10.958	1013	OK
30-11-2023	17:09:34.760	11.956	104.453	22.839	243	0	OK	30-11-2023	17:09:34.760	11.956	18.948	OK	30-11-2023	17:09:34.760	11.956	1013	OK
30-11-2023	17:09:35.763	12.959	104.541	22.829	243	0	OK	30-11-2023	17:09:35.763	12.959	18.949	OK	30-11-2023	17:09:35.763	12.959	1013	OK
30-11-2023	17:09:36.761	13.957	104.552	22.828	243	0	OK	30-11-2023	17:09:36.761	13.957	18.947	OK	30-11-2023	17:09:36.761	13.957	1013	OK
