#--- Experiment --------------------------------------------------------------------------
#120123_19C_E6E7E8E9_cory
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.4] - Oxygen Sensor - XB7-536-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/24/2023	11/24/2023	23.486000	53.362000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.403000	19.245000	100.000000	21.411000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.4 Main]	Time [A Ch.4 Main]	 dt (s) [A Ch.4 Main]	Oxygen (%air sat.) [A Ch.4 Main]	dphi (°) [A Ch.4 Main]	Signal Intensity (mV) [A Ch.4 Main]	Ambient Light (mV) [A Ch.4 Main]	Status [A Ch.4 Main]	Date [A Ch.4 CompT]	Time [A Ch.4 CompT]	 dt (s) [A Ch.4 CompT]	Sample Temp. (°C) [A Ch.4 CompT]	Status [A Ch.4 CompT]	Date [A Ch.4 CompP]	Time [A Ch.4 CompP]	 dt (s) [A Ch.4 CompP]	Pressure (mbar) [A Ch.4 CompP]	Status [A Ch.4 CompP]
01-12-2023	12:27:55.313	0.021	106.572	22.770	279	0	OK	01-12-2023	12:27:55.313	0.021	18.966	OK	01-12-2023	12:27:55.313	0.021	1013	OK
01-12-2023	12:27:56.326	1.034	106.464	22.782	279	0	OK	01-12-2023	12:27:56.326	1.034	18.965	OK	01-12-2023	12:27:56.326	1.034	1013	OK
01-12-2023	12:27:57.317	2.026	106.508	22.777	279	0	OK	01-12-2023	12:27:57.317	2.026	18.966	OK	01-12-2023	12:27:57.317	2.026	1013	OK
01-12-2023	12:27:58.321	3.029	106.520	22.776	279	0	OK	01-12-2023	12:27:58.321	3.029	18.963	OK	01-12-2023	12:27:58.321	3.029	1013	OK
01-12-2023	12:27:59.320	4.029	106.513	22.777	279	0	OK	01-12-2023	12:27:59.320	4.029	18.961	OK	01-12-2023	12:27:59.320	4.029	1013	OK
01-12-2023	12:28:00.317	5.026	106.413	22.788	279	0	OK	01-12-2023	12:28:00.317	5.026	18.961	OK	01-12-2023	12:28:00.317	5.026	1013	OK
01-12-2023	12:28:01.320	6.028	106.487	22.780	279	0	OK	01-12-2023	12:28:01.320	6.028	18.960	OK	01-12-2023	12:28:01.320	6.028	1013	OK
01-12-2023	12:28:02.328	7.036	106.578	22.770	279	0	OK	01-12-2023	12:28:02.328	7.036	18.960	OK	01-12-2023	12:28:02.328	7.036	1013	OK
01-12-2023	12:28:03.313	8.021	106.586	22.769	279	0	OK	01-12-2023	12:28:03.313	8.021	18.961	OK	01-12-2023	12:28:03.313	8.021	1013	OK
01-12-2023	12:28:04.323	9.031	106.550	22.773	279	0	OK	01-12-2023	12:28:04.323	9.031	18.960	OK	01-12-2023	12:28:04.323	9.031	1013	OK
01-12-2023	12:28:05.325	10.033	106.467	22.782	279	0	OK	01-12-2023	12:28:05.325	10.033	18.962	OK	01-12-2023	12:28:05.325	10.033	1013	OK
01-12-2023	12:28:06.325	11.033	106.557	22.772	279	0	OK	01-12-2023	12:28:06.325	11.033	18.963	OK	01-12-2023	12:28:06.325	11.033	1013	OK
01-12-2023	12:28:07.327	12.035	106.548	22.773	279	0	OK	01-12-2023	12:28:07.327	12.035	18.963	OK	01-12-2023	12:28:07.327	12.035	1013	OK
01-12-2023	12:28:08.329	13.037	106.566	22.771	279	0	OK	01-12-2023	12:28:08.329	13.037	18.963	OK	01-12-2023	12:28:08.329	13.037	1013	OK
01-12-2023	12:28:09.329	14.038	106.458	22.783	279	0	OK	01-12-2023	12:28:09.329	14.038	18.962	OK	01-12-2023	12:28:09.329	14.038	1013	OK
01-12-2023	12:28:10.329	15.038	106.493	22.779	279	0	OK	01-12-2023	12:28:10.329	15.038	18.963	OK	01-12-2023	12:28:10.329	15.038	1013	OK
01-12-2023	12:28:11.326	16.034	106.559	22.772	279	0	OK	01-12-2023	12:28:11.326	16.034	18.961	OK	01-12-2023	12:28:11.326	16.034	1013	OK
01-12-2023	12:28:12.319	17.027	106.512	22.777	279	0	OK	01-12-2023	12:28:12.319	17.027	18.962	OK	01-12-2023	12:28:12.319	17.027	1013	OK
01-12-2023	12:28:13.323	18.031	106.541	22.774	279	0	OK	01-12-2023	12:28:13.323	18.031	18.960	OK	01-12-2023	12:28:13.323	18.031	1013	OK
01-12-2023	12:28:14.326	19.034	106.556	22.772	279	0	OK	01-12-2023	12:28:14.326	19.034	18.964	OK	01-12-2023	12:28:14.326	19.034	1013	OK
01-12-2023	12:28:15.320	20.028	106.519	22.776	279	0	OK	01-12-2023	12:28:15.320	20.028	18.965	OK	01-12-2023	12:28:15.320	20.028	1013	OK
01-12-2023	12:28:16.328	21.036	106.464	22.782	279	0	OK	01-12-2023	12:28:16.328	21.036	18.965	OK	01-12-2023	12:28:16.328	21.036	1013	OK
01-12-2023	12:28:17.323	22.031	106.519	22.776	279	0	OK	01-12-2023	12:28:17.323	22.031	18.965	OK	01-12-2023	12:28:17.323	22.031	1013	OK
01-12-2023	12:28:18.328	23.036	106.466	22.782	279	0	OK	01-12-2023	12:28:18.328	23.036	18.963	OK	01-12-2023	12:28:18.328	23.036	1013	OK
01-12-2023	12:28:19.328	24.036	106.475	22.781	279	0	OK	01-12-2023	12:28:19.328	24.036	18.963	OK	01-12-2023	12:28:19.328	24.036	1013	OK
01-12-2023	12:28:20.328	25.037	106.484	22.780	279	0	OK	01-12-2023	12:28:20.328	25.037	18.963	OK	01-12-2023	12:28:20.328	25.037	1013	OK
01-12-2023	12:28:21.328	26.036	106.566	22.771	279	0	OK	01-12-2023	12:28:21.328	26.036	18.963	OK	01-12-2023	12:28:21.328	26.036	1013	OK
01-12-2023	12:28:22.330	27.038	106.463	22.782	279	0	OK	01-12-2023	12:28:22.330	27.038	18.966	OK	01-12-2023	12:28:22.330	27.038	1013	OK
01-12-2023	12:28:23.323	28.031	106.479	22.780	279	0	OK	01-12-2023	12:28:23.323	28.031	18.968	OK	01-12-2023	12:28:23.323	28.031	1013	OK
01-12-2023	12:28:24.324	29.033	106.513	22.776	279	0	OK	01-12-2023	12:28:24.324	29.033	18.971	OK	01-12-2023	12:28:24.324	29.033	1013	OK
01-12-2023	12:28:25.326	30.034	106.551	22.772	279	0	OK	01-12-2023	12:28:25.326	30.034	18.969	OK	01-12-2023	12:28:25.326	30.034	1013	OK
01-12-2023	12:28:26.330	31.038	106.498	22.778	279	0	OK	01-12-2023	12:28:26.330	31.038	18.967	OK	01-12-2023	12:28:26.330	31.038	1013	OK
01-12-2023	12:28:27.328	32.036	106.428	22.786	279	0	OK	01-12-2023	12:28:27.328	32.036	18.965	OK	01-12-2023	12:28:27.328	32.036	1013	OK
01-12-2023	12:28:28.331	33.039	106.518	22.776	279	0	OK	01-12-2023	12:28:28.331	33.039	18.966	OK	01-12-2023	12:28:28.331	33.039	1013	OK
01-12-2023	12:28:29.327	34.035	106.532	22.774	279	0	OK	01-12-2023	12:28:29.327	34.035	18.970	OK	01-12-2023	12:28:29.327	34.035	1013	OK
01-12-2023	12:28:30.329	35.037	106.566	22.770	279	0	OK	01-12-2023	12:28:30.329	35.037	18.973	OK	01-12-2023	12:28:30.329	35.037	1013	OK
01-12-2023	12:28:31.332	36.041	106.482	22.779	279	0	OK	01-12-2023	12:28:31.332	36.041	18.975	OK	01-12-2023	12:28:31.332	36.041	1013	OK
01-12-2023	12:28:32.329	37.037	106.554	22.771	279	0	OK	01-12-2023	12:28:32.329	37.037	18.976	OK	01-12-2023	12:28:32.329	37.037	1013	OK
01-12-2023	12:28:33.325	38.034	106.473	22.780	279	0	OK	01-12-2023	12:28:33.325	38.034	18.975	OK	01-12-2023	12:28:33.325	38.034	1013	OK
01-12-2023	12:28:34.324	39.032	106.538	22.773	279	0	OK	01-12-2023	12:28:34.324	39.032	18.973	OK	01-12-2023	12:28:34.324	39.032	1013	OK
01-12-2023	12:28:35.322	40.030	106.512	22.776	279	0	OK	01-12-2023	12:28:35.322	40.030	18.972	OK	01-12-2023	12:28:35.322	40.030	1013	OK
01-12-2023	12:28:36.324	41.033	106.485	22.779	279	0	OK	01-12-2023	12:28:36.324	41.033	18.972	OK	01-12-2023	12:28:36.324	41.033	1013	OK
01-12-2023	12:28:37.330	42.038	106.465	22.781	279	0	OK	01-12-2023	12:28:37.330	42.038	18.974	OK	01-12-2023	12:28:37.330	42.038	1013	OK
01-12-2023	12:28:38.330	43.038	106.508	22.776	279	0	OK	01-12-2023	12:28:38.330	43.038	18.976	OK	01-12-2023	12:28:38.330	43.038	1013	OK
01-12-2023	12:28:39.339	44.047	106.443	22.783	279	0	OK	01-12-2023	12:28:39.339	44.047	18.978	OK	01-12-2023	12:28:39.339	44.047	1013	OK
01-12-2023	12:28:40.334	45.042	106.494	22.777	279	0	OK	01-12-2023	12:28:40.334	45.042	18.981	OK	01-12-2023	12:28:40.334	45.042	1013	OK
01-12-2023	12:28:41.342	46.050	106.555	22.770	279	0	OK	01-12-2023	12:28:41.342	46.050	18.984	OK	01-12-2023	12:28:41.342	46.050	1013	OK
01-12-2023	12:28:42.336	47.044	106.369	22.790	279	0	OK	01-12-2023	12:28:42.336	47.044	18.989	OK	01-12-2023	12:28:42.336	47.044	1013	OK
01-12-2023	12:28:43.332	48.040	106.557	22.769	279	0	OK	01-12-2023	12:28:43.332	48.040	18.992	OK	01-12-2023	12:28:43.332	48.040	1013	OK
01-12-2023	12:28:44.330	49.039	106.481	22.777	279	0	OK	01-12-2023	12:28:44.330	49.039	18.995	OK	01-12-2023	12:28:44.330	49.039	1013	OK
01-12-2023	12:28:45.337	50.045	106.498	22.775	279	0	OK	01-12-2023	12:28:45.337	50.045	18.997	OK	01-12-2023	12:28:45.337	50.045	1013	OK
01-12-2023	12:28:46.332	51.040	106.499	22.775	279	0	OK	01-12-2023	12:28:46.332	51.040	18.996	OK	01-12-2023	12:28:46.332	51.040	1013	OK
01-12-2023	12:28:47.336	52.044	106.499	22.775	279	0	OK	01-12-2023	12:28:47.336	52.044	18.996	OK	01-12-2023	12:28:47.336	52.044	1013	OK
01-12-2023	12:28:48.339	53.048	106.436	22.782	279	0	OK	01-12-2023	12:28:48.339	53.048	18.995	OK	01-12-2023	12:28:48.339	53.048	1013	OK
01-12-2023	12:28:49.337	54.045	106.471	22.778	279	0	OK	01-12-2023	12:28:49.337	54.045	18.996	OK	01-12-2023	12:28:49.337	54.045	1013	OK
01-12-2023	12:28:50.340	55.048	106.490	22.776	279	0	OK	01-12-2023	12:28:50.340	55.048	18.995	OK	01-12-2023	12:28:50.340	55.048	1013	OK
01-12-2023	12:28:51.335	56.043	106.581	22.766	279	0	OK	01-12-2023	12:28:51.335	56.043	18.995	OK	01-12-2023	12:28:51.335	56.043	1013	OK
01-12-2023	12:28:52.337	57.045	106.519	22.773	279	0	OK	01-12-2023	12:28:52.337	57.045	18.993	OK	01-12-2023	12:28:52.337	57.045	1013	OK
01-12-2023	12:28:53.338	58.047	106.546	22.770	279	0	OK	01-12-2023	12:28:53.338	58.047	18.994	OK	01-12-2023	12:28:53.338	58.047	1013	OK
01-12-2023	12:28:54.333	59.041	106.574	22.767	279	0	OK	01-12-2023	12:28:54.333	59.041	18.993	OK	01-12-2023	12:28:54.333	59.041	1013	OK
01-12-2023	12:28:55.334	60.042	106.511	22.774	279	0	OK	01-12-2023	12:28:55.334	60.042	18.992	OK	01-12-2023	12:28:55.334	60.042	1013	OK
01-12-2023	12:28:56.335	61.044	106.561	22.769	279	0	OK	01-12-2023	12:28:56.335	61.044	18.987	OK	01-12-2023	12:28:56.335	61.044	1013	OK
01-12-2023	12:28:57.330	62.038	106.543	22.771	279	0	OK	01-12-2023	12:28:57.330	62.038	18.987	OK	01-12-2023	12:28:57.330	62.038	1013	OK
01-12-2023	12:28:58.336	63.044	106.553	22.770	279	0	OK	01-12-2023	12:28:58.336	63.044	18.986	OK	01-12-2023	12:28:58.336	63.044	1013	OK
