#--- Experiment --------------------------------------------------------------------------
#120123_19C_E6E7E8E9_cory
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
01-12-2023	12:27:55.396	0.105	18.966	OK
01-12-2023	12:27:56.412	1.121	18.965	OK
01-12-2023	12:27:57.414	2.122	18.966	OK
01-12-2023	12:27:58.414	3.122	18.963	OK
01-12-2023	12:27:59.414	4.123	18.961	OK
01-12-2023	12:28:00.418	5.126	18.961	OK
01-12-2023	12:28:01.418	6.126	18.960	OK
01-12-2023	12:28:02.418	7.127	18.960	OK
01-12-2023	12:28:03.417	8.126	18.960	OK
01-12-2023	12:28:04.417	9.126	18.959	OK
01-12-2023	12:28:05.417	10.125	18.963	OK
01-12-2023	12:28:06.417	11.126	18.963	OK
01-12-2023	12:28:07.419	12.127	18.963	OK
01-12-2023	12:28:08.418	13.126	18.963	OK
01-12-2023	12:28:09.418	14.127	18.963	OK
01-12-2023	12:28:10.418	15.127	18.963	OK
01-12-2023	12:28:11.420	16.128	18.961	OK
01-12-2023	12:28:12.419	17.127	18.962	OK
01-12-2023	12:28:13.419	18.127	18.960	OK
01-12-2023	12:28:14.418	19.127	18.964	OK
01-12-2023	12:28:15.419	20.127	18.965	OK
01-12-2023	12:28:16.419	21.127	18.965	OK
01-12-2023	12:28:17.420	22.129	18.964	OK
01-12-2023	12:28:18.422	23.130	18.963	OK
01-12-2023	12:28:19.422	24.130	18.964	OK
01-12-2023	12:28:20.425	25.133	18.962	OK
01-12-2023	12:28:21.425	26.133	18.964	OK
01-12-2023	12:28:22.425	27.133	18.966	OK
01-12-2023	12:28:23.428	28.136	18.970	OK
01-12-2023	12:28:24.425	29.133	18.971	OK
01-12-2023	12:28:25.424	30.133	18.969	OK
01-12-2023	12:28:26.424	31.132	18.967	OK
01-12-2023	12:28:27.425	32.133	18.965	OK
01-12-2023	12:28:28.425	33.133	18.966	OK
01-12-2023	12:28:29.426	34.134	18.970	OK
01-12-2023	12:28:30.428	35.136	18.973	OK
01-12-2023	12:28:31.426	36.134	18.975	OK
01-12-2023	12:28:32.426	37.134	18.976	OK
01-12-2023	12:28:33.426	38.134	18.974	OK
01-12-2023	12:28:34.426	39.134	18.973	OK
01-12-2023	12:28:35.427	40.135	18.972	OK
01-12-2023	12:28:36.428	41.136	18.972	OK
01-12-2023	12:28:37.428	42.136	18.974	OK
01-12-2023	12:28:38.433	43.141	18.976	OK
01-12-2023	12:28:39.428	44.136	18.978	OK
01-12-2023	12:28:40.434	45.142	18.981	OK
01-12-2023	12:28:41.432	46.140	18.984	OK
01-12-2023	12:28:42.431	47.139	18.989	OK
01-12-2023	12:28:43.430	48.139	18.992	OK
01-12-2023	12:28:44.432	49.140	18.995	OK
01-12-2023	12:28:45.437	50.145	18.997	OK
01-12-2023	12:28:46.432	51.140	18.996	OK
01-12-2023	12:28:47.432	52.141	18.995	OK
01-12-2023	12:28:48.432	53.140	18.995	OK
01-12-2023	12:28:49.432	54.140	18.996	OK
01-12-2023	12:28:50.432	55.140	18.995	OK
01-12-2023	12:28:51.432	56.141	18.995	OK
01-12-2023	12:28:52.433	57.141	18.993	OK
01-12-2023	12:28:53.433	58.141	18.994	OK
01-12-2023	12:28:54.433	59.141	18.993	OK
01-12-2023	12:28:55.433	60.141	18.992	OK
01-12-2023	12:28:56.433	61.141	18.987	OK
01-12-2023	12:28:57.431	62.140	18.987	OK
01-12-2023	12:28:58.433	63.141	18.987	OK
01-12-2023	12:28:59.433	64.142	18.988	OK
01-12-2023	12:29:00.435	65.143	18.986	OK
01-12-2023	12:29:01.435	66.143	18.987	OK
01-12-2023	12:29:02.435	67.143	18.989	OK
01-12-2023	12:29:03.435	68.143	18.989	OK
01-12-2023	12:29:04.439	69.148	18.989	OK
01-12-2023	12:29:05.436	70.144	18.988	OK
01-12-2023	12:29:06.434	71.143	18.984	OK
01-12-2023	12:29:07.435	72.143	18.984	OK
01-12-2023	12:29:08.434	73.143	18.985	OK
01-12-2023	12:29:09.434	74.142	18.986	OK
01-12-2023	12:29:10.441	75.149	18.986	OK
01-12-2023	12:29:11.436	76.144	18.985	OK
01-12-2023	12:29:12.437	77.145	18.985	OK
01-12-2023	12:29:13.437	78.145	18.986	OK
01-12-2023	12:29:14.436	79.144	18.986	OK
01-12-2023	12:29:15.439	80.147	18.986	OK
01-12-2023	12:29:16.438	81.146	18.985	OK
01-12-2023	12:29:17.438	82.146	18.986	OK
01-12-2023	12:29:18.438	83.146	18.984	OK
01-12-2023	12:29:19.438	84.146	18.984	OK
01-12-2023	12:29:20.438	85.146	18.981	OK
01-12-2023	12:29:21.444	86.152	18.979	OK
01-12-2023	12:29:22.440	87.148	18.979	OK
01-12-2023	12:29:23.440	88.149	18.978	OK
01-12-2023	12:29:24.441	89.149	18.977	OK
01-12-2023	12:29:25.442	90.150	18.976	OK
01-12-2023	12:29:26.442	91.150	18.974	OK
01-12-2023	12:29:27.443	92.151	18.976	OK
01-12-2023	12:29:28.442	93.150	18.975	OK
01-12-2023	12:29:29.443	94.151	18.975	OK
01-12-2023	12:29:30.442	95.150	18.974	OK
01-12-2023	12:29:31.444	96.152	18.973	OK
01-12-2023	12:29:32.443	97.152	18.974	OK
01-12-2023	12:29:33.445	98.153	18.975	OK
01-12-2023	12:29:34.452	99.160	18.978	OK
01-12-2023	12:29:35.450	100.158	18.978	OK
01-12-2023	12:29:36.450	101.158	18.976	OK
01-12-2023	12:29:37.448	102.156	18.975	OK
01-12-2023	12:29:38.447	103.156	18.977	OK
01-12-2023	12:29:39.449	104.157	18.978	OK
01-12-2023	12:29:40.449	105.157	18.976	OK
01-12-2023	12:29:41.448	106.157	18.976	OK
01-12-2023	12:29:42.456	107.164	18.978	OK
01-12-2023	12:29:43.451	108.159	18.979	OK
01-12-2023	12:29:44.452	109.160	18.978	OK
01-12-2023	12:29:45.451	110.160	18.979	OK
01-12-2023	12:29:46.452	111.160	18.982	OK
01-12-2023	12:29:47.453	112.161	18.984	OK
01-12-2023	12:29:48.452	113.160	18.983	OK
01-12-2023	12:29:49.452	114.160	18.982	OK
01-12-2023	12:29:50.452	115.160	18.982	OK
01-12-2023	12:29:51.452	116.160	18.980	OK
01-12-2023	12:29:52.460	117.168	18.981	OK
01-12-2023	12:29:53.453	118.162	18.978	OK
01-12-2023	12:29:54.452	119.161	18.979	OK
01-12-2023	12:29:55.454	120.162	18.977	OK
01-12-2023	12:29:56.453	121.161	18.978	OK
01-12-2023	12:29:57.454	122.162	18.976	OK
01-12-2023	12:29:58.453	123.162	18.976	OK
01-12-2023	12:29:59.453	124.162	18.977	OK
01-12-2023	12:30:00.455	125.163	18.980	OK
01-12-2023	12:30:01.454	126.163	18.981	OK
01-12-2023	12:30:02.455	127.163	18.981	OK
01-12-2023	12:30:03.457	128.165	18.980	OK
01-12-2023	12:30:04.458	129.167	18.981	OK
01-12-2023	12:30:05.457	130.166	18.981	OK
01-12-2023	12:30:06.456	131.165	18.980	OK
01-12-2023	12:30:07.456	132.165	18.978	OK
01-12-2023	12:30:08.456	133.165	18.976	OK
01-12-2023	12:30:09.456	134.165	18.978	OK
01-12-2023	12:30:10.457	135.165	18.980	OK
01-12-2023	12:30:11.457	136.165	18.981	OK
01-12-2023	12:30:12.456	137.164	18.979	OK
01-12-2023	12:30:13.461	138.170	18.978	OK
01-12-2023	12:30:14.459	139.167	18.977	OK
01-12-2023	12:30:15.457	140.166	18.980	OK
01-12-2023	12:30:16.460	141.168	18.983	OK
01-12-2023	12:30:17.467	142.175	18.983	OK
01-12-2023	12:30:18.459	143.168	18.984	OK
01-12-2023	12:30:19.460	144.169	18.982	OK
01-12-2023	12:30:20.462	145.170	18.983	OK
01-12-2023	12:30:21.462	146.170	18.984	OK
01-12-2023	12:30:22.463	147.171	18.982	OK
01-12-2023	12:30:23.462	148.171	18.983	OK
01-12-2023	12:30:24.463	149.171	18.982	OK
01-12-2023	12:30:25.463	150.172	18.981	OK
01-12-2023	12:30:26.462	151.170	18.980	OK
01-12-2023	12:30:27.465	152.174	18.979	OK
01-12-2023	12:30:28.463	153.171	18.978	OK
01-12-2023	12:30:29.465	154.173	18.979	OK
01-12-2023	12:30:30.465	155.173	18.977	OK
01-12-2023	12:30:31.465	156.173	18.979	OK
01-12-2023	12:30:32.466	157.174	18.980	OK
01-12-2023	12:30:33.465	158.173	18.980	OK
01-12-2023	12:30:34.467	159.175	18.980	OK
01-12-2023	12:30:35.466	160.175	18.980	OK
01-12-2023	12:30:36.471	161.179	18.981	OK
01-12-2023	12:30:37.470	162.178	18.979	OK
01-12-2023	12:30:38.470	163.178	18.981	OK
01-12-2023	12:30:39.469	164.177	18.981	OK
01-12-2023	12:30:40.470	165.178	18.982	OK
01-12-2023	12:30:41.470	166.178	18.980	OK
01-12-2023	12:30:42.469	167.178	18.979	OK
