#--- Experiment --------------------------------------------------------------------------
#120123_19C_B6B10E8E10_cory
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.2] - Oxygen Sensor - XB7-528-210 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/24/2023	11/24/2023	22.788000	52.916000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.304000	19.227000	100.000000	21.417000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (%air sat.) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]
01-12-2023	17:46:57.628	0.875	102.109	22.579	141	0	OK	01-12-2023	17:46:57.628	0.875	18.932	OK	01-12-2023	17:46:57.628	0.875	1013	OK
01-12-2023	17:46:58.627	1.875	102.163	22.573	141	0	OK	01-12-2023	17:46:58.627	1.875	18.931	OK	01-12-2023	17:46:58.627	1.875	1013	OK
01-12-2023	17:46:59.627	2.874	102.127	22.577	141	0	OK	01-12-2023	17:46:59.627	2.874	18.932	OK	01-12-2023	17:46:59.627	2.874	1013	OK
01-12-2023	17:47:00.629	3.876	102.046	22.586	141	0	OK	01-12-2023	17:47:00.629	3.876	18.934	OK	01-12-2023	17:47:00.629	3.876	1013	OK
01-12-2023	17:47:01.629	4.876	102.107	22.579	141	0	OK	01-12-2023	17:47:01.629	4.876	18.934	OK	01-12-2023	17:47:01.629	4.876	1013	OK
01-12-2023	17:47:02.630	5.877	102.278	22.560	141	0	OK	01-12-2023	17:47:02.630	5.877	18.930	OK	01-12-2023	17:47:02.630	5.877	1013	OK
01-12-2023	17:47:03.618	6.865	102.282	22.561	141	0	OK	01-12-2023	17:47:03.618	6.865	18.916	OK	01-12-2023	17:47:03.618	6.865	1013	OK
01-12-2023	17:47:04.630	7.877	102.202	22.571	141	0	OK	01-12-2023	17:47:04.630	7.877	18.907	OK	01-12-2023	17:47:04.630	7.877	1013	OK
01-12-2023	17:47:05.631	8.878	102.260	22.565	141	0	OK	01-12-2023	17:47:05.631	8.878	18.901	OK	01-12-2023	17:47:05.631	8.878	1013	OK
01-12-2023	17:47:06.648	9.895	102.235	22.567	141	0	OK	01-12-2023	17:47:06.648	9.895	18.910	OK	01-12-2023	17:47:06.648	9.895	1013	OK
01-12-2023	17:47:07.629	10.876	102.327	22.556	141	0	OK	01-12-2023	17:47:07.629	10.876	18.915	OK	01-12-2023	17:47:07.629	10.876	1013	OK
01-12-2023	17:47:08.630	11.877	102.234	22.566	141	0	OK	01-12-2023	17:47:08.630	11.877	18.920	OK	01-12-2023	17:47:08.630	11.877	1013	OK
01-12-2023	17:47:09.718	12.965	102.223	22.567	141	0	OK	01-12-2023	17:47:09.718	12.965	18.923	OK	01-12-2023	17:47:09.718	12.965	1013	OK
01-12-2023	17:47:10.724	13.971	102.231	22.566	141	0	OK	01-12-2023	17:47:10.724	13.971	18.924	OK	01-12-2023	17:47:10.724	13.971	1013	OK
01-12-2023	17:47:11.716	14.964	102.252	22.564	141	0	OK	01-12-2023	17:47:11.716	14.964	18.920	OK	01-12-2023	17:47:11.716	14.964	1013	OK
01-12-2023	17:47:12.716	15.963	102.281	22.561	141	0	OK	01-12-2023	17:47:12.716	15.963	18.917	OK	01-12-2023	17:47:12.716	15.963	1013	OK
01-12-2023	17:47:13.715	16.962	102.175	22.573	141	0	OK	01-12-2023	17:47:13.715	16.962	18.918	OK	01-12-2023	17:47:13.715	16.962	1013	OK
01-12-2023	17:47:14.719	17.967	102.282	22.561	141	0	OK	01-12-2023	17:47:14.719	17.967	18.916	OK	01-12-2023	17:47:14.719	17.967	1013	OK
01-12-2023	17:47:15.724	18.971	102.313	22.557	141	0	OK	01-12-2023	17:47:15.724	18.971	18.921	OK	01-12-2023	17:47:15.724	18.971	1013	OK
01-12-2023	17:47:16.721	19.968	102.232	22.566	141	0	OK	01-12-2023	17:47:16.721	19.968	18.923	OK	01-12-2023	17:47:16.721	19.968	1013	OK
01-12-2023	17:47:17.726	20.973	102.240	22.565	141	0	OK	01-12-2023	17:47:17.726	20.973	18.923	OK	01-12-2023	17:47:17.726	20.973	1013	OK
01-12-2023	17:47:18.736	21.983	102.307	22.557	141	0	OK	01-12-2023	17:47:18.736	21.983	18.927	OK	01-12-2023	17:47:18.736	21.983	1013	OK
01-12-2023	17:47:19.717	22.964	102.277	22.560	141	0	OK	01-12-2023	17:47:19.717	22.964	18.931	OK	01-12-2023	17:47:19.717	22.964	1013	OK
01-12-2023	17:47:20.721	23.968	102.248	22.563	141	0	OK	01-12-2023	17:47:20.721	23.968	18.934	OK	01-12-2023	17:47:20.721	23.968	1013	OK
01-12-2023	17:47:21.720	24.967	102.212	22.567	141	0	OK	01-12-2023	17:47:21.720	24.967	18.935	OK	01-12-2023	17:47:21.720	24.967	1013	OK
01-12-2023	17:47:22.733	25.980	102.221	22.566	141	0	OK	01-12-2023	17:47:22.733	25.980	18.935	OK	01-12-2023	17:47:22.733	25.980	1013	OK
01-12-2023	17:47:23.720	26.967	102.170	22.572	141	0	OK	01-12-2023	17:47:23.720	26.967	18.933	OK	01-12-2023	17:47:23.720	26.967	1013	OK
01-12-2023	17:47:24.727	27.974	102.198	22.569	141	0	OK	01-12-2023	17:47:24.727	27.974	18.931	OK	01-12-2023	17:47:24.727	27.974	1013	OK
01-12-2023	17:47:25.722	28.969	102.130	22.577	141	0	OK	01-12-2023	17:47:25.722	28.969	18.928	OK	01-12-2023	17:47:25.722	28.969	1013	OK
01-12-2023	17:47:26.727	29.974	102.270	22.561	141	0	OK	01-12-2023	17:47:26.727	29.974	18.929	OK	01-12-2023	17:47:26.727	29.974	1013	OK
01-12-2023	17:47:27.723	30.970	102.272	22.561	141	0	OK	01-12-2023	17:47:27.723	30.970	18.927	OK	01-12-2023	17:47:27.723	30.970	1013	OK
01-12-2023	17:47:28.726	31.973	102.195	22.570	141	0	OK	01-12-2023	17:47:28.726	31.973	18.925	OK	01-12-2023	17:47:28.726	31.973	1013	OK
01-12-2023	17:47:29.725	32.972	102.204	22.569	141	0	OK	01-12-2023	17:47:29.725	32.972	18.924	OK	01-12-2023	17:47:29.725	32.972	1013	OK
01-12-2023	17:47:30.718	33.965	102.303	22.558	141	0	OK	01-12-2023	17:47:30.718	33.965	18.922	OK	01-12-2023	17:47:30.718	33.965	1013	OK
01-12-2023	17:47:31.732	34.979	102.118	22.579	141	0	OK	01-12-2023	17:47:31.732	34.979	18.922	OK	01-12-2023	17:47:31.732	34.979	1013	OK
01-12-2023	17:47:32.728	35.975	102.261	22.563	141	0	OK	01-12-2023	17:47:32.728	35.975	18.920	OK	01-12-2023	17:47:32.728	35.975	1013	OK
01-12-2023	17:47:33.732	36.979	102.227	22.567	141	0	OK	01-12-2023	17:47:33.732	36.979	18.919	OK	01-12-2023	17:47:33.732	36.979	1013	OK
01-12-2023	17:47:34.728	37.975	102.306	22.558	141	0	OK	01-12-2023	17:47:34.728	37.975	18.919	OK	01-12-2023	17:47:34.728	37.975	1013	OK
01-12-2023	17:47:35.731	38.978	102.263	22.563	141	0	OK	01-12-2023	17:47:35.731	38.978	18.918	OK	01-12-2023	17:47:35.731	38.978	1013	OK
01-12-2023	17:47:36.746	39.993	102.201	22.570	141	0	OK	01-12-2023	17:47:36.746	39.993	18.918	OK	01-12-2023	17:47:36.746	39.993	1013	OK
01-12-2023	17:47:37.729	40.977	102.244	22.565	141	0	OK	01-12-2023	17:47:37.729	40.977	18.919	OK	01-12-2023	17:47:37.729	40.977	1013	OK
01-12-2023	17:47:38.727	41.974	102.287	22.560	141	0	OK	01-12-2023	17:47:38.727	41.974	18.920	OK	01-12-2023	17:47:38.727	41.974	1013	OK
01-12-2023	17:47:39.721	42.968	102.209	22.569	141	0	OK	01-12-2023	17:47:39.721	42.968	18.919	OK	01-12-2023	17:47:39.721	42.968	1013	OK
01-12-2023	17:47:40.724	43.971	102.297	22.559	141	1	OK	01-12-2023	17:47:40.724	43.971	18.919	OK	01-12-2023	17:47:40.724	43.971	1013	OK
01-12-2023	17:47:41.727	44.974	102.245	22.565	141	0	OK	01-12-2023	17:47:41.727	44.974	18.918	OK	01-12-2023	17:47:41.727	44.974	1013	OK
01-12-2023	17:47:42.732	45.979	102.260	22.563	141	0	OK	01-12-2023	17:47:42.732	45.979	18.921	OK	01-12-2023	17:47:42.732	45.979	1013	OK
01-12-2023	17:47:43.745	46.993	102.154	22.575	141	0	OK	01-12-2023	17:47:43.745	46.993	18.921	OK	01-12-2023	17:47:43.745	46.993	1013	OK
01-12-2023	17:47:44.727	47.974	102.198	22.570	141	0	OK	01-12-2023	17:47:44.727	47.974	18.921	OK	01-12-2023	17:47:44.727	47.974	1013	OK
01-12-2023	17:47:45.742	48.989	102.352	22.553	141	0	OK	01-12-2023	17:47:45.742	48.989	18.917	OK	01-12-2023	17:47:45.742	48.989	1013	OK
01-12-2023	17:47:46.731	49.978	102.301	22.559	141	0	OK	01-12-2023	17:47:46.731	49.978	18.915	OK	01-12-2023	17:47:46.731	49.978	1013	OK
01-12-2023	17:47:47.731	50.978	102.191	22.571	141	0	OK	01-12-2023	17:47:47.731	50.978	18.919	OK	01-12-2023	17:47:47.731	50.978	1013	OK
01-12-2023	17:47:48.727	51.975	102.223	22.567	141	0	OK	01-12-2023	17:47:48.727	51.975	18.923	OK	01-12-2023	17:47:48.727	51.975	1013	OK
01-12-2023	17:47:49.738	52.985	102.261	22.562	141	0	OK	01-12-2023	17:47:49.738	52.985	18.930	OK	01-12-2023	17:47:49.738	52.985	1013	OK
01-12-2023	17:47:50.728	53.975	102.286	22.559	141	0	OK	01-12-2023	17:47:50.728	53.975	18.931	OK	01-12-2023	17:47:50.728	53.975	1013	OK
01-12-2023	17:47:51.735	54.982	102.287	22.559	141	0	OK	01-12-2023	17:47:51.735	54.982	18.930	OK	01-12-2023	17:47:51.735	54.982	1013	OK
01-12-2023	17:47:52.729	55.976	102.299	22.558	141	0	OK	01-12-2023	17:47:52.729	55.976	18.927	OK	01-12-2023	17:47:52.729	55.976	1013	OK
01-12-2023	17:47:53.733	56.980	102.326	22.555	141	0	OK	01-12-2023	17:47:53.733	56.980	18.926	OK	01-12-2023	17:47:53.733	56.980	1013	OK
01-12-2023	17:47:54.737	57.984	102.292	22.559	141	0	OK	01-12-2023	17:47:54.737	57.984	18.924	OK	01-12-2023	17:47:54.737	57.984	1013	OK
01-12-2023	17:47:55.733	58.980	102.197	22.570	141	0	OK	01-12-2023	17:47:55.733	58.980	18.922	OK	01-12-2023	17:47:55.733	58.980	1013	OK
01-12-2023	17:47:56.730	59.977	102.284	22.560	141	0	OK	01-12-2023	17:47:56.730	59.977	18.924	OK	01-12-2023	17:47:56.730	59.977	1013	OK
01-12-2023	17:47:57.722	60.969	102.319	22.556	141	0	OK	01-12-2023	17:47:57.722	60.969	18.924	OK	01-12-2023	17:47:57.722	60.969	1013	OK
01-12-2023	17:47:58.729	61.976	102.259	22.563	141	0	OK	01-12-2023	17:47:58.729	61.976	18.922	OK	01-12-2023	17:47:58.729	61.976	1013	OK
01-12-2023	17:47:59.732	62.979	102.295	22.559	141	0	OK	01-12-2023	17:47:59.732	62.979	18.921	OK	01-12-2023	17:47:59.732	62.979	1013	OK
01-12-2023	17:48:00.732	63.979	102.270	22.562	141	0	OK	01-12-2023	17:48:00.732	63.979	18.920	OK	01-12-2023	17:48:00.732	63.979	1013	OK
01-12-2023	17:48:01.746	64.994	102.330	22.555	141	0	OK	01-12-2023	17:48:01.746	64.994	18.922	OK	01-12-2023	17:48:01.746	64.994	1013	OK
01-12-2023	17:48:02.734	65.981	102.330	22.555	141	0	OK	01-12-2023	17:48:02.734	65.981	18.922	OK	01-12-2023	17:48:02.734	65.981	1013	OK
01-12-2023	17:48:03.737	66.984	102.197	22.570	141	0	OK	01-12-2023	17:48:03.737	66.984	18.922	OK	01-12-2023	17:48:03.737	66.984	1013	OK
01-12-2023	17:48:04.731	67.978	102.293	22.559	141	0	OK	01-12-2023	17:48:04.731	67.978	18.923	OK	01-12-2023	17:48:04.731	67.978	1013	OK
01-12-2023	17:48:05.736	68.983	102.294	22.559	141	0	OK	01-12-2023	17:48:05.736	68.983	18.922	OK	01-12-2023	17:48:05.736	68.983	1013	OK
01-12-2023	17:48:06.730	69.977	102.302	22.558	141	0	OK	01-12-2023	17:48:06.730	69.977	18.923	OK	01-12-2023	17:48:06.730	69.977	1013	OK
01-12-2023	17:48:07.731	70.978	102.319	22.556	141	0	OK	01-12-2023	17:48:07.731	70.978	18.924	OK	01-12-2023	17:48:07.731	70.978	1013	OK
01-12-2023	17:48:08.751	71.998	102.213	22.568	141	0	OK	01-12-2023	17:48:08.751	71.998	18.924	OK	01-12-2023	17:48:08.751	71.998	1013	OK
01-12-2023	17:48:09.738	72.985	102.294	22.559	141	0	OK	01-12-2023	17:48:09.738	72.985	18.922	OK	01-12-2023	17:48:09.738	72.985	1013	OK
01-12-2023	17:48:10.742	73.989	102.383	22.549	141	0	OK	01-12-2023	17:48:10.742	73.989	18.921	OK	01-12-2023	17:48:10.742	73.989	1013	OK
01-12-2023	17:48:11.739	74.987	102.250	22.564	141	0	OK	01-12-2023	17:48:11.739	74.987	18.922	OK	01-12-2023	17:48:11.739	74.987	1013	OK
01-12-2023	17:48:12.737	75.985	102.229	22.566	141	0	OK	01-12-2023	17:48:12.737	75.985	18.926	OK	01-12-2023	17:48:12.737	75.985	1013	OK
01-12-2023	17:48:13.742	76.989	102.226	22.566	141	0	OK	01-12-2023	17:48:13.742	76.989	18.929	OK	01-12-2023	17:48:13.742	76.989	1013	OK
01-12-2023	17:48:14.741	77.988	102.161	22.573	141	0	OK	01-12-2023	17:48:14.741	77.988	18.933	OK	01-12-2023	17:48:14.741	77.988	1013	OK
01-12-2023	17:48:15.735	78.982	102.272	22.560	141	0	OK	01-12-2023	17:48:15.735	78.982	18.937	OK	01-12-2023	17:48:15.735	78.982	1013	OK
01-12-2023	17:48:16.736	79.983	102.217	22.566	141	0	OK	01-12-2023	17:48:16.736	79.983	18.939	OK	01-12-2023	17:48:16.736	79.983	1013	OK
01-12-2023	17:48:17.738	80.985	102.282	22.559	141	0	OK	01-12-2023	17:48:17.738	80.985	18.936	OK	01-12-2023	17:48:17.738	80.985	1013	OK
01-12-2023	17:48:18.739	81.986	102.252	22.563	141	0	OK	01-12-2023	17:48:18.739	81.986	18.930	OK	01-12-2023	17:48:18.739	81.986	1013	OK
