#--- Experiment --------------------------------------------------------------------------
#120123_19C_B6B10E8E10_tile
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - XB7-538-217 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/24/2023	11/24/2023	23.326000	53.493000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.203000	19.184000	100.000000	21.670000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (%air sat.) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
01-12-2023	21:14:54.073	0.258	104.406	22.841	240	0	OK	01-12-2023	21:14:54.073	0.258	18.980	OK	01-12-2023	21:14:54.073	0.258	1013	OK
01-12-2023	21:14:55.072	1.257	104.440	22.837	240	0	OK	01-12-2023	21:14:55.072	1.257	18.981	OK	01-12-2023	21:14:55.072	1.257	1013	OK
01-12-2023	21:14:56.072	2.257	104.424	22.839	240	0	OK	01-12-2023	21:14:56.072	2.257	18.979	OK	01-12-2023	21:14:56.072	2.257	1013	OK
01-12-2023	21:14:57.074	3.260	104.389	22.843	240	0	OK	01-12-2023	21:14:57.074	3.260	18.979	OK	01-12-2023	21:14:57.074	3.260	1013	OK
01-12-2023	21:14:58.077	4.262	104.382	22.844	240	0	OK	01-12-2023	21:14:58.077	4.262	18.977	OK	01-12-2023	21:14:58.077	4.262	1013	OK
01-12-2023	21:14:59.076	5.262	104.370	22.845	240	0	OK	01-12-2023	21:14:59.076	5.262	18.980	OK	01-12-2023	21:14:59.076	5.262	1013	OK
01-12-2023	21:15:00.075	6.260	104.406	22.841	240	0	OK	01-12-2023	21:15:00.075	6.260	18.980	OK	01-12-2023	21:15:00.075	6.260	1013	OK
01-12-2023	21:15:01.079	7.264	104.396	22.842	240	0	OK	01-12-2023	21:15:01.079	7.264	18.981	OK	01-12-2023	21:15:01.079	7.264	1013	OK
01-12-2023	21:15:02.079	8.265	104.394	22.842	240	0	OK	01-12-2023	21:15:02.079	8.265	18.983	OK	01-12-2023	21:15:02.079	8.265	1013	OK
01-12-2023	21:15:03.078	9.263	104.339	22.848	240	0	OK	01-12-2023	21:15:03.078	9.263	18.985	OK	01-12-2023	21:15:03.078	9.263	1013	OK
01-12-2023	21:15:04.080	10.265	104.406	22.840	240	0	OK	01-12-2023	21:15:04.080	10.265	18.989	OK	01-12-2023	21:15:04.080	10.265	1013	OK
01-12-2023	21:15:05.081	11.266	104.307	22.851	240	0	OK	01-12-2023	21:15:05.081	11.266	18.991	OK	01-12-2023	21:15:05.081	11.266	1013	OK
01-12-2023	21:15:06.082	12.267	104.349	22.846	240	0	OK	01-12-2023	21:15:06.082	12.267	18.994	OK	01-12-2023	21:15:06.082	12.267	1013	OK
01-12-2023	21:15:07.080	13.265	104.412	22.839	240	0	OK	01-12-2023	21:15:07.080	13.265	18.993	OK	01-12-2023	21:15:07.080	13.265	1013	OK
01-12-2023	21:15:08.081	14.267	104.349	22.846	240	0	OK	01-12-2023	21:15:08.081	14.267	18.994	OK	01-12-2023	21:15:08.081	14.267	1013	OK
