#--- Experiment --------------------------------------------------------------------------
#120123_19C_B6B10E8E10_tile
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.3] - Oxygen Sensor - XA7-533-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/24/2023	11/24/2023	22.829000	52.792000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.346000	19.205000	100.000000	21.498000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.3 Main]	Time [A Ch.3 Main]	 dt (s) [A Ch.3 Main]	Oxygen (%air sat.) [A Ch.3 Main]	dphi (°) [A Ch.3 Main]	Signal Intensity (mV) [A Ch.3 Main]	Ambient Light (mV) [A Ch.3 Main]	Status [A Ch.3 Main]	Date [A Ch.3 CompT]	Time [A Ch.3 CompT]	 dt (s) [A Ch.3 CompT]	Sample Temp. (°C) [A Ch.3 CompT]	Status [A Ch.3 CompT]	Date [A Ch.3 CompP]	Time [A Ch.3 CompP]	 dt (s) [A Ch.3 CompP]	Pressure (mbar) [A Ch.3 CompP]	Status [A Ch.3 CompP]
01-12-2023	21:14:54.275	0.461	102.715	22.545	194	0	OK	01-12-2023	21:14:54.275	0.461	18.981	OK	01-12-2023	21:14:54.275	0.461	1013	OK
01-12-2023	21:14:55.273	1.458	102.689	22.548	193	0	OK	01-12-2023	21:14:55.273	1.458	18.980	OK	01-12-2023	21:14:55.273	1.458	1013	OK
01-12-2023	21:14:56.275	2.460	102.637	22.554	194	0	OK	01-12-2023	21:14:56.275	2.460	18.979	OK	01-12-2023	21:14:56.275	2.460	1013	OK
01-12-2023	21:14:57.282	3.467	102.753	22.541	194	0	OK	01-12-2023	21:14:57.282	3.467	18.978	OK	01-12-2023	21:14:57.282	3.467	1013	OK
01-12-2023	21:14:58.284	4.469	102.771	22.539	194	0	OK	01-12-2023	21:14:58.284	4.469	18.977	OK	01-12-2023	21:14:58.284	4.469	1013	OK
01-12-2023	21:14:59.283	5.468	102.689	22.548	194	0	OK	01-12-2023	21:14:59.283	5.468	18.980	OK	01-12-2023	21:14:59.283	5.468	1013	OK
01-12-2023	21:15:00.280	6.466	102.653	22.552	194	0	OK	01-12-2023	21:15:00.280	6.466	18.980	OK	01-12-2023	21:15:00.280	6.466	1013	OK
01-12-2023	21:15:01.276	7.462	102.661	22.551	194	0	OK	01-12-2023	21:15:01.276	7.462	18.981	OK	01-12-2023	21:15:01.276	7.462	1013	OK
01-12-2023	21:15:02.283	8.469	102.756	22.540	194	0	OK	01-12-2023	21:15:02.283	8.469	18.984	OK	01-12-2023	21:15:02.283	8.469	1013	OK
01-12-2023	21:15:03.277	9.462	102.729	22.543	194	0	OK	01-12-2023	21:15:03.277	9.462	18.985	OK	01-12-2023	21:15:03.277	9.462	1013	OK
01-12-2023	21:15:04.274	10.459	102.706	22.545	194	0	OK	01-12-2023	21:15:04.274	10.459	18.990	OK	01-12-2023	21:15:04.274	10.459	1013	OK
01-12-2023	21:15:05.285	11.471	102.731	22.542	194	0	OK	01-12-2023	21:15:05.285	11.471	18.992	OK	01-12-2023	21:15:05.285	11.471	1013	OK
01-12-2023	21:15:06.283	12.468	102.659	22.550	194	0	OK	01-12-2023	21:15:06.283	12.468	18.994	OK	01-12-2023	21:15:06.283	12.468	1013	OK
01-12-2023	21:15:07.285	13.471	102.792	22.535	194	0	OK	01-12-2023	21:15:07.285	13.471	18.993	OK	01-12-2023	21:15:07.285	13.471	1013	OK
01-12-2023	21:15:08.287	14.473	102.659	22.550	194	0	OK	01-12-2023	21:15:08.287	14.473	18.994	OK	01-12-2023	21:15:08.287	14.473	1013	OK
01-12-2023	21:15:09.287	15.472	102.784	22.536	194	0	OK	01-12-2023	21:15:09.287	15.472	18.992	OK	01-12-2023	21:15:09.287	15.472	1013	OK
01-12-2023	21:15:10.299	16.485	102.694	22.546	194	0	OK	01-12-2023	21:15:10.299	16.485	18.994	OK	01-12-2023	21:15:10.299	16.485	1013	OK
01-12-2023	21:15:11.283	17.468	102.765	22.538	193	0	OK	01-12-2023	21:15:11.283	17.468	18.994	OK	01-12-2023	21:15:11.283	17.468	1013	OK
