#--- Experiment --------------------------------------------------------------------------
#120123_19C_B6B10E8E10_tile
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
01-12-2023	21:14:53.838	0.023	18.979	OK
01-12-2023	21:14:54.841	1.026	18.981	OK
01-12-2023	21:14:55.839	2.025	18.978	OK
01-12-2023	21:14:56.841	3.026	18.979	OK
01-12-2023	21:14:57.840	4.025	18.976	OK
01-12-2023	21:14:58.841	5.027	18.980	OK
01-12-2023	21:14:59.842	6.027	18.981	OK
01-12-2023	21:15:00.840	7.025	18.981	OK
01-12-2023	21:15:01.842	8.027	18.981	OK
01-12-2023	21:15:02.845	9.030	18.985	OK
01-12-2023	21:15:03.843	10.028	18.988	OK
01-12-2023	21:15:04.843	11.028	18.990	OK
01-12-2023	21:15:05.844	12.029	18.993	OK
01-12-2023	21:15:06.844	13.030	18.995	OK
01-12-2023	21:15:07.845	14.030	18.993	OK
01-12-2023	21:15:08.844	15.029	18.994	OK
01-12-2023	21:15:09.845	16.030	18.991	OK
01-12-2023	21:15:10.845	17.030	18.994	OK
01-12-2023	21:15:11.844	18.030	18.992	OK
01-12-2023	21:15:12.847	19.033	18.994	OK
01-12-2023	21:15:13.848	20.033	18.995	OK
01-12-2023	21:15:14.848	21.033	18.996	OK
01-12-2023	21:15:15.848	22.033	18.997	OK
01-12-2023	21:15:16.849	23.034	18.998	OK
01-12-2023	21:15:17.848	24.034	18.997	OK
01-12-2023	21:15:18.850	25.036	18.995	OK
01-12-2023	21:15:19.850	26.035	18.995	OK
01-12-2023	21:15:20.852	27.037	18.995	OK
01-12-2023	21:15:21.853	28.038	18.991	OK
01-12-2023	21:15:22.854	29.039	18.990	OK
01-12-2023	21:15:23.854	30.039	18.990	OK
01-12-2023	21:15:24.856	31.042	18.990	OK
01-12-2023	21:15:25.853	32.038	18.993	OK
01-12-2023	21:15:26.856	33.041	18.992	OK
01-12-2023	21:15:27.857	34.043	18.993	OK
01-12-2023	21:15:28.858	35.043	18.995	OK
01-12-2023	21:15:29.858	36.043	18.995	OK
01-12-2023	21:15:30.857	37.043	18.995	OK
01-12-2023	21:15:31.857	38.043	18.998	OK
01-12-2023	21:15:32.859	39.044	19.001	OK
01-12-2023	21:15:33.857	40.043	19.002	OK
01-12-2023	21:15:34.858	41.043	19.002	OK
01-12-2023	21:15:35.859	42.044	19.003	OK
01-12-2023	21:15:36.859	43.044	19.002	OK
01-12-2023	21:15:37.858	44.043	19.001	OK
01-12-2023	21:15:38.861	45.046	19.000	OK
01-12-2023	21:15:39.861	46.046	19.000	OK
01-12-2023	21:15:40.860	47.046	19.001	OK
01-12-2023	21:15:41.859	48.044	19.000	OK
01-12-2023	21:15:42.858	49.044	19.002	OK
01-12-2023	21:15:43.859	50.044	19.001	OK
01-12-2023	21:15:44.859	51.045	19.001	OK
01-12-2023	21:15:45.860	52.046	18.999	OK
01-12-2023	21:15:46.862	53.047	18.998	OK
01-12-2023	21:15:47.864	54.049	18.996	OK
01-12-2023	21:15:48.864	55.049	18.995	OK
01-12-2023	21:15:49.861	56.046	18.996	OK
01-12-2023	21:15:50.862	57.047	18.997	OK
01-12-2023	21:15:51.864	58.049	18.999	OK
01-12-2023	21:15:52.864	59.049	18.999	OK
01-12-2023	21:15:53.865	60.051	18.998	OK
01-12-2023	21:15:54.865	61.050	18.999	OK
01-12-2023	21:15:55.864	62.049	19.002	OK
01-12-2023	21:15:56.865	63.050	19.006	OK
01-12-2023	21:15:57.862	64.047	19.011	OK
01-12-2023	21:15:58.863	65.048	19.014	OK
01-12-2023	21:15:59.865	66.051	19.016	OK
01-12-2023	21:16:00.863	67.048	19.013	OK
01-12-2023	21:16:01.867	68.052	19.010	OK
01-12-2023	21:16:02.871	69.057	19.008	OK
01-12-2023	21:16:03.869	70.054	19.011	OK
01-12-2023	21:16:04.870	71.055	19.012	OK
01-12-2023	21:16:05.869	72.054	19.012	OK
01-12-2023	21:16:06.868	73.054	19.012	OK
01-12-2023	21:16:07.872	74.057	19.014	OK
01-12-2023	21:16:08.873	75.058	19.011	OK
01-12-2023	21:16:09.873	76.058	19.009	OK
01-12-2023	21:16:10.872	77.057	19.007	OK
01-12-2023	21:16:11.872	78.057	19.005	OK
01-12-2023	21:16:12.875	79.060	19.005	OK
01-12-2023	21:16:13.874	80.059	19.005	OK
01-12-2023	21:16:14.873	81.058	19.009	OK
01-12-2023	21:16:15.875	82.061	19.014	OK
01-12-2023	21:16:16.876	83.061	19.015	OK
01-12-2023	21:16:17.876	84.062	19.015	OK
01-12-2023	21:16:18.877	85.063	19.013	OK
01-12-2023	21:16:19.876	86.062	19.015	OK
01-12-2023	21:16:20.879	87.064	19.016	OK
01-12-2023	21:16:21.879	88.065	19.018	OK
01-12-2023	21:16:22.878	89.063	19.020	OK
01-12-2023	21:16:23.879	90.065	19.019	OK
01-12-2023	21:16:24.881	91.066	19.020	OK
01-12-2023	21:16:25.878	92.064	19.014	OK
01-12-2023	21:16:26.879	93.065	19.015	OK
01-12-2023	21:16:27.882	94.068	19.014	OK
01-12-2023	21:16:28.884	95.069	19.015	OK
01-12-2023	21:16:29.884	96.069	19.015	OK
01-12-2023	21:16:30.883	97.068	19.015	OK
01-12-2023	21:16:31.885	98.070	19.016	OK
01-12-2023	21:16:32.885	99.071	19.019	OK
01-12-2023	21:16:33.882	100.068	19.022	OK
01-12-2023	21:16:34.885	101.070	19.023	OK
01-12-2023	21:16:35.886	102.072	19.022	OK
01-12-2023	21:16:36.887	103.073	19.022	OK
01-12-2023	21:16:37.888	104.073	19.020	OK
01-12-2023	21:16:38.885	105.071	19.020	OK
01-12-2023	21:16:39.888	106.074	19.019	OK
01-12-2023	21:16:40.889	107.074	19.018	OK
01-12-2023	21:16:41.889	108.074	19.019	OK
01-12-2023	21:16:42.891	109.076	19.020	OK
01-12-2023	21:16:43.889	110.074	19.022	OK
01-12-2023	21:16:44.888	111.074	19.023	OK
01-12-2023	21:16:45.891	112.076	19.026	OK
01-12-2023	21:16:46.889	113.075	19.028	OK
01-12-2023	21:16:47.893	114.078	19.029	OK
01-12-2023	21:16:48.894	115.079	19.034	OK
01-12-2023	21:16:49.893	116.079	19.035	OK
01-12-2023	21:16:50.894	117.079	19.036	OK
01-12-2023	21:16:51.894	118.080	19.038	OK
01-12-2023	21:16:52.895	119.080	19.040	OK
01-12-2023	21:16:53.895	120.080	19.041	OK
01-12-2023	21:16:54.892	121.078	19.042	OK
01-12-2023	21:16:55.895	122.080	19.042	OK
01-12-2023	21:16:56.895	123.081	19.043	OK
01-12-2023	21:16:57.897	124.082	19.044	OK
01-12-2023	21:16:58.894	125.080	19.043	OK
01-12-2023	21:16:59.897	126.082	19.043	OK
01-12-2023	21:17:00.897	127.082	19.043	OK
01-12-2023	21:17:01.899	128.085	19.044	OK
01-12-2023	21:17:02.898	129.083	19.045	OK
01-12-2023	21:17:03.897	130.083	19.047	OK
01-12-2023	21:17:04.899	131.085	19.048	OK
01-12-2023	21:17:05.900	132.085	19.050	OK
01-12-2023	21:17:06.898	133.083	19.051	OK
01-12-2023	21:17:07.899	134.084	19.051	OK
01-12-2023	21:17:08.901	135.086	19.049	OK
01-12-2023	21:17:09.902	136.087	19.048	OK
01-12-2023	21:17:10.900	137.085	19.050	OK
01-12-2023	21:17:11.899	138.084	19.054	OK
01-12-2023	21:17:12.906	139.092	19.059	OK
01-12-2023	21:17:13.903	140.089	19.065	OK
01-12-2023	21:17:14.903	141.088	19.068	OK
01-12-2023	21:17:15.903	142.088	19.071	OK
01-12-2023	21:17:16.902	143.088	19.071	OK
01-12-2023	21:17:17.904	144.090	19.073	OK
01-12-2023	21:17:18.906	145.091	19.075	OK
01-12-2023	21:17:19.903	146.089	19.075	OK
01-12-2023	21:17:20.906	147.091	19.076	OK
01-12-2023	21:17:21.906	148.091	19.077	OK
01-12-2023	21:17:22.907	149.092	19.079	OK
01-12-2023	21:17:23.907	150.092	19.078	OK
01-12-2023	21:17:24.907	151.093	19.077	OK
01-12-2023	21:17:25.906	152.091	19.077	OK
01-12-2023	21:17:26.906	153.091	19.076	OK
01-12-2023	21:17:27.906	154.091	19.077	OK
01-12-2023	21:17:28.909	155.095	19.073	OK
01-12-2023	21:17:29.908	156.093	19.076	OK
01-12-2023	21:17:30.908	157.093	19.076	OK
01-12-2023	21:17:31.907	158.093	19.082	OK
01-12-2023	21:17:32.908	159.093	19.084	OK
01-12-2023	21:17:33.908	160.093	19.084	OK
01-12-2023	21:17:34.909	161.094	19.083	OK
01-12-2023	21:17:35.907	162.092	19.083	OK
01-12-2023	21:17:36.907	163.093	19.083	OK
01-12-2023	21:17:37.908	164.093	19.082	OK
01-12-2023	21:17:38.909	165.094	19.080	OK
01-12-2023	21:17:39.909	166.094	19.080	OK
01-12-2023	21:17:40.908	167.093	19.078	OK
01-12-2023	21:17:41.909	168.095	19.078	OK
01-12-2023	21:17:42.911	169.096	19.076	OK
01-12-2023	21:17:43.908	170.093	19.078	OK
01-12-2023	21:17:44.910	171.095	19.077	OK
01-12-2023	21:17:45.910	172.095	19.077	OK
01-12-2023	21:17:46.908	173.094	19.077	OK
01-12-2023	21:17:47.909	174.094	19.078	OK
01-12-2023	21:17:48.908	175.094	19.080	OK
01-12-2023	21:17:49.910	176.095	19.081	OK
01-12-2023	21:17:50.910	177.095	19.082	OK
01-12-2023	21:17:51.908	178.093	19.081	OK
01-12-2023	21:17:52.910	179.095	19.081	OK
01-12-2023	21:17:53.912	180.097	19.082	OK
01-12-2023	21:17:54.911	181.096	19.079	OK
01-12-2023	21:17:55.911	182.096	19.081	OK
01-12-2023	21:17:56.912	183.097	19.082	OK
01-12-2023	21:17:57.910	184.095	19.085	OK
01-12-2023	21:17:58.912	185.097	19.088	OK
01-12-2023	21:17:59.910	186.095	19.091	OK
01-12-2023	21:18:00.911	187.096	19.093	OK
01-12-2023	21:18:01.911	188.097	19.095	OK
01-12-2023	21:18:02.913	189.098	19.097	OK
01-12-2023	21:18:03.913	190.098	19.101	OK
01-12-2023	21:18:04.914	191.099	19.100	OK
01-12-2023	21:18:05.915	192.100	19.100	OK
01-12-2023	21:18:06.915	193.100	19.105	OK
01-12-2023	21:18:07.915	194.100	19.109	OK
01-12-2023	21:18:08.916	195.101	19.113	OK
