#--- Experiment --------------------------------------------------------------------------
#120123_19C_empty
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.3] - Oxygen Sensor - XA7-533-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/24/2023	11/24/2023	22.829000	52.792000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.346000	19.205000	100.000000	21.498000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.3 Main]	Time [A Ch.3 Main]	 dt (s) [A Ch.3 Main]	Oxygen (%air sat.) [A Ch.3 Main]	dphi (°) [A Ch.3 Main]	Signal Intensity (mV) [A Ch.3 Main]	Ambient Light (mV) [A Ch.3 Main]	Status [A Ch.3 Main]	Date [A Ch.3 CompT]	Time [A Ch.3 CompT]	 dt (s) [A Ch.3 CompT]	Sample Temp. (°C) [A Ch.3 CompT]	Status [A Ch.3 CompT]	Date [A Ch.3 CompP]	Time [A Ch.3 CompP]	 dt (s) [A Ch.3 CompP]	Pressure (mbar) [A Ch.3 CompP]	Status [A Ch.3 CompP]
01-12-2023	22:37:47.815	0.135	103.389	22.466	195	0	OK	01-12-2023	22:37:47.815	0.135	19.013	OK	01-12-2023	22:37:47.815	0.135	1013	OK
01-12-2023	22:37:48.821	1.141	103.316	22.474	195	0	OK	01-12-2023	22:37:48.821	1.141	19.014	OK	01-12-2023	22:37:48.821	1.141	1013	OK
01-12-2023	22:37:49.831	2.151	103.305	22.475	195	0	OK	01-12-2023	22:37:49.831	2.151	19.017	OK	01-12-2023	22:37:49.831	2.151	1013	OK
01-12-2023	22:37:50.827	3.148	103.357	22.469	195	0	OK	01-12-2023	22:37:50.827	3.148	19.018	OK	01-12-2023	22:37:50.827	3.148	1013	OK
01-12-2023	22:37:51.844	4.164	103.310	22.474	195	0	OK	01-12-2023	22:37:51.844	4.164	19.021	OK	01-12-2023	22:37:51.844	4.164	1013	OK
01-12-2023	22:37:52.828	5.148	103.317	22.473	195	0	OK	01-12-2023	22:37:52.828	5.148	19.023	OK	01-12-2023	22:37:52.828	5.148	1013	OK
01-12-2023	22:37:53.832	6.152	103.359	22.468	195	0	OK	01-12-2023	22:37:53.832	6.152	19.026	OK	01-12-2023	22:37:53.832	6.152	1013	OK
01-12-2023	22:37:54.822	7.142	103.305	22.474	195	0	OK	01-12-2023	22:37:54.822	7.142	19.026	OK	01-12-2023	22:37:54.822	7.142	1013	OK
01-12-2023	22:37:55.827	8.147	103.329	22.472	195	0	OK	01-12-2023	22:37:55.827	8.147	19.020	OK	01-12-2023	22:37:55.827	8.147	1013	OK
01-12-2023	22:37:56.836	9.157	103.364	22.468	195	0	OK	01-12-2023	22:37:56.836	9.157	19.021	OK	01-12-2023	22:37:56.836	9.157	1013	OK
01-12-2023	22:37:57.829	10.150	103.365	22.468	195	0	OK	01-12-2023	22:37:57.829	10.150	19.020	OK	01-12-2023	22:37:57.829	10.150	1013	OK
01-12-2023	22:37:58.832	11.153	103.332	22.471	195	0	OK	01-12-2023	22:37:58.832	11.153	19.026	OK	01-12-2023	22:37:58.832	11.153	1013	OK
01-12-2023	22:37:59.833	12.153	103.304	22.474	195	0	OK	01-12-2023	22:37:59.833	12.153	19.028	OK	01-12-2023	22:37:59.833	12.153	1013	OK
01-12-2023	22:38:00.834	13.154	103.389	22.464	195	0	OK	01-12-2023	22:38:00.834	13.154	19.032	OK	01-12-2023	22:38:00.834	13.154	1013	OK
01-12-2023	22:38:01.835	14.155	103.433	22.459	195	0	OK	01-12-2023	22:38:01.835	14.155	19.033	OK	01-12-2023	22:38:01.835	14.155	1013	OK
