#--- Experiment --------------------------------------------------------------------------
#120223_19C_A6A8A9A10_cory
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.4] - Oxygen Sensor - XB7-536-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/24/2023	11/24/2023	23.486000	53.362000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.403000	19.245000	100.000000	21.411000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.4 Main]	Time [A Ch.4 Main]	 dt (s) [A Ch.4 Main]	Oxygen (%air sat.) [A Ch.4 Main]	dphi (°) [A Ch.4 Main]	Signal Intensity (mV) [A Ch.4 Main]	Ambient Light (mV) [A Ch.4 Main]	Status [A Ch.4 Main]	Date [A Ch.4 CompT]	Time [A Ch.4 CompT]	 dt (s) [A Ch.4 CompT]	Sample Temp. (°C) [A Ch.4 CompT]	Status [A Ch.4 CompT]	Date [A Ch.4 CompP]	Time [A Ch.4 CompP]	 dt (s) [A Ch.4 CompP]	Pressure (mbar) [A Ch.4 CompP]	Status [A Ch.4 CompP]
02-12-2023	12:52:29.290	0.012	107.046	22.719	271	0	OK	02-12-2023	12:52:29.290	0.012	18.956	OK	02-12-2023	12:52:29.290	0.012	1013	OK
02-12-2023	12:52:30.276	0.999	106.976	22.727	271	0	OK	02-12-2023	12:52:30.276	0.999	18.953	OK	02-12-2023	12:52:30.276	0.999	1013	OK
02-12-2023	12:52:31.279	2.002	107.104	22.713	271	0	OK	02-12-2023	12:52:31.279	2.002	18.953	OK	02-12-2023	12:52:31.279	2.002	1013	OK
02-12-2023	12:52:32.285	3.007	107.108	22.712	271	0	OK	02-12-2023	12:52:32.285	3.007	18.959	OK	02-12-2023	12:52:32.285	3.007	1013	OK
02-12-2023	12:52:33.282	4.005	107.075	22.715	271	0	OK	02-12-2023	12:52:33.282	4.005	18.965	OK	02-12-2023	12:52:33.282	4.005	1013	OK
02-12-2023	12:52:34.285	5.008	107.121	22.710	271	0	OK	02-12-2023	12:52:34.285	5.008	18.964	OK	02-12-2023	12:52:34.285	5.008	1013	OK
02-12-2023	12:52:35.283	6.006	107.120	22.710	271	0	OK	02-12-2023	12:52:35.283	6.006	18.965	OK	02-12-2023	12:52:35.283	6.006	1013	OK
02-12-2023	12:52:36.285	7.007	107.076	22.715	271	0	OK	02-12-2023	12:52:36.285	7.007	18.963	OK	02-12-2023	12:52:36.285	7.007	1013	OK
02-12-2023	12:52:37.285	8.007	107.038	22.719	271	0	OK	02-12-2023	12:52:37.285	8.007	18.965	OK	02-12-2023	12:52:37.285	8.007	1013	OK
02-12-2023	12:52:38.291	9.013	107.036	22.719	271	0	OK	02-12-2023	12:52:38.291	9.013	18.967	OK	02-12-2023	12:52:38.291	9.013	1013	OK
02-12-2023	12:52:39.292	10.015	107.042	22.718	271	0	OK	02-12-2023	12:52:39.292	10.015	18.970	OK	02-12-2023	12:52:39.292	10.015	1013	OK
02-12-2023	12:52:40.295	11.018	107.075	22.714	271	0	OK	02-12-2023	12:52:40.295	11.018	18.974	OK	02-12-2023	12:52:40.295	11.018	1013	OK
02-12-2023	12:52:41.291	12.014	107.053	22.716	271	0	OK	02-12-2023	12:52:41.291	12.014	18.978	OK	02-12-2023	12:52:41.291	12.014	1013	OK
02-12-2023	12:52:42.293	13.016	107.035	22.718	271	0	OK	02-12-2023	12:52:42.293	13.016	18.978	OK	02-12-2023	12:52:42.293	13.016	1013	OK
02-12-2023	12:52:43.295	14.018	107.009	22.721	271	0	OK	02-12-2023	12:52:43.295	14.018	18.976	OK	02-12-2023	12:52:43.295	14.018	1013	OK
