#--- Experiment --------------------------------------------------------------------------
#120223_19C_A6A8A9A10_tile
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - XB7-538-217 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/24/2023	11/24/2023	23.326000	53.493000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.203000	19.184000	100.000000	21.670000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (%air sat.) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
02-12-2023	16:18:19.973	-0.028	106.397	22.621	238	0	OK	02-12-2023	16:18:19.973	-0.028	18.963	OK	02-12-2023	16:18:19.973	-0.028	1013	OK
02-12-2023	16:18:20.973	0.972	106.254	22.637	238	0	OK	02-12-2023	16:18:20.973	0.972	18.961	OK	02-12-2023	16:18:20.973	0.972	1013	OK
02-12-2023	16:18:21.971	1.970	106.281	22.634	238	0	OK	02-12-2023	16:18:21.971	1.970	18.961	OK	02-12-2023	16:18:21.971	1.970	1013	OK
02-12-2023	16:18:22.976	2.975	106.219	22.641	238	0	OK	02-12-2023	16:18:22.976	2.975	18.960	OK	02-12-2023	16:18:22.976	2.975	1013	OK
02-12-2023	16:18:23.990	3.989	106.157	22.648	238	0	OK	02-12-2023	16:18:23.990	3.989	18.958	OK	02-12-2023	16:18:23.990	3.989	1013	OK
02-12-2023	16:18:24.977	4.976	106.328	22.629	238	0	OK	02-12-2023	16:18:24.977	4.976	18.959	OK	02-12-2023	16:18:24.977	4.976	1013	OK
02-12-2023	16:18:25.980	5.979	106.220	22.641	238	0	OK	02-12-2023	16:18:25.980	5.979	18.959	OK	02-12-2023	16:18:25.980	5.979	1013	OK
02-12-2023	16:18:26.989	6.988	106.284	22.634	238	0	OK	02-12-2023	16:18:26.989	6.988	18.958	OK	02-12-2023	16:18:26.989	6.988	1013	OK
02-12-2023	16:18:27.990	7.989	106.222	22.641	238	0	OK	02-12-2023	16:18:27.990	7.989	18.956	OK	02-12-2023	16:18:27.990	7.989	1013	OK
02-12-2023	16:18:28.975	8.974	106.241	22.639	238	0	OK	02-12-2023	16:18:28.975	8.974	18.955	OK	02-12-2023	16:18:28.975	8.974	1013	OK
02-12-2023	16:18:29.978	9.977	106.298	22.633	238	0	OK	02-12-2023	16:18:29.978	9.977	18.953	OK	02-12-2023	16:18:29.978	9.977	1013	OK
02-12-2023	16:18:30.976	10.975	106.134	22.651	238	0	OK	02-12-2023	16:18:30.976	10.975	18.954	OK	02-12-2023	16:18:30.976	10.975	1013	OK
02-12-2023	16:18:31.974	11.973	106.142	22.650	238	0	OK	02-12-2023	16:18:31.974	11.973	18.955	OK	02-12-2023	16:18:31.974	11.973	1013	OK
02-12-2023	16:18:32.973	12.972	106.267	22.636	238	0	OK	02-12-2023	16:18:32.973	12.972	18.957	OK	02-12-2023	16:18:32.973	12.972	1013	OK
02-12-2023	16:18:33.983	13.982	106.248	22.638	238	0	OK	02-12-2023	16:18:33.983	13.982	18.958	OK	02-12-2023	16:18:33.983	13.982	1013	OK
