#--- Experiment --------------------------------------------------------------------------
#120223_19C_A6A7nono_cory
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - XB7-538-217 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/24/2023	11/24/2023	23.326000	53.493000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.203000	19.184000	100.000000	21.670000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (%air sat.) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
02-12-2023	18:03:01.710	0.389	106.473	22.586	239	0	OK	02-12-2023	18:03:01.710	0.389	19.222	OK	02-12-2023	18:03:01.710	0.389	1013	OK
02-12-2023	18:03:02.715	1.394	106.513	22.582	239	0	OK	02-12-2023	18:03:02.715	1.394	19.219	OK	02-12-2023	18:03:02.715	1.394	1013	OK
02-12-2023	18:03:03.734	2.414	106.507	22.583	239	0	OK	02-12-2023	18:03:03.734	2.414	19.215	OK	02-12-2023	18:03:03.734	2.414	1013	OK
02-12-2023	18:03:04.714	3.394	106.437	22.591	239	0	OK	02-12-2023	18:03:04.714	3.394	19.212	OK	02-12-2023	18:03:04.714	3.394	1013	OK
02-12-2023	18:03:05.713	4.392	106.475	22.587	239	0	OK	02-12-2023	18:03:05.713	4.392	19.211	OK	02-12-2023	18:03:05.713	4.392	1013	OK
02-12-2023	18:03:06.717	5.396	106.512	22.583	239	0	OK	02-12-2023	18:03:06.717	5.396	19.210	OK	02-12-2023	18:03:06.717	5.396	1013	OK
02-12-2023	18:03:07.722	6.401	106.513	22.583	239	0	OK	02-12-2023	18:03:07.722	6.401	19.209	OK	02-12-2023	18:03:07.722	6.401	1013	OK
02-12-2023	18:03:08.720	7.399	106.404	22.595	239	0	OK	02-12-2023	18:03:08.720	7.399	19.209	OK	02-12-2023	18:03:08.720	7.399	1013	OK
02-12-2023	18:03:09.718	8.397	106.532	22.581	239	0	OK	02-12-2023	18:03:09.718	8.397	19.208	OK	02-12-2023	18:03:09.718	8.397	1013	OK
02-12-2023	18:03:10.719	9.398	106.541	22.580	239	0	OK	02-12-2023	18:03:10.719	9.398	19.208	OK	02-12-2023	18:03:10.719	9.398	1013	OK
02-12-2023	18:03:11.709	10.388	106.483	22.587	239	0	OK	02-12-2023	18:03:11.709	10.388	19.202	OK	02-12-2023	18:03:11.709	10.388	1013	OK
02-12-2023	18:03:12.715	11.394	106.418	22.595	239	0	OK	02-12-2023	18:03:12.715	11.394	19.194	OK	02-12-2023	18:03:12.715	11.394	1013	OK
02-12-2023	18:03:13.717	12.396	106.499	22.587	239	0	OK	02-12-2023	18:03:13.717	12.396	19.185	OK	02-12-2023	18:03:13.717	12.396	1013	OK
02-12-2023	18:03:14.720	13.400	106.443	22.594	239	0	OK	02-12-2023	18:03:14.720	13.400	19.177	OK	02-12-2023	18:03:14.720	13.400	1013	OK
02-12-2023	18:03:15.719	14.399	106.482	22.590	239	0	OK	02-12-2023	18:03:15.719	14.399	19.174	OK	02-12-2023	18:03:15.719	14.399	1013	OK
02-12-2023	18:03:16.716	15.396	106.556	22.582	239	0	OK	02-12-2023	18:03:16.716	15.396	19.172	OK	02-12-2023	18:03:16.716	15.396	1013	OK
02-12-2023	18:03:17.718	16.397	106.549	22.583	239	0	OK	02-12-2023	18:03:17.718	16.397	19.170	OK	02-12-2023	18:03:17.718	16.397	1013	OK
02-12-2023	18:03:18.722	17.401	106.494	22.589	239	0	OK	02-12-2023	18:03:18.722	17.401	19.171	OK	02-12-2023	18:03:18.722	17.401	1013	OK
02-12-2023	18:03:19.726	18.405	106.510	22.587	239	0	OK	02-12-2023	18:03:19.726	18.405	19.173	OK	02-12-2023	18:03:19.726	18.405	1013	OK
02-12-2023	18:03:20.721	19.400	106.414	22.597	239	0	OK	02-12-2023	18:03:20.721	19.400	19.179	OK	02-12-2023	18:03:20.721	19.400	1013	OK
02-12-2023	18:03:21.723	20.403	106.483	22.589	239	0	OK	02-12-2023	18:03:21.723	20.403	19.182	OK	02-12-2023	18:03:21.723	20.403	1013	OK
02-12-2023	18:03:22.717	21.396	106.626	22.573	239	0	OK	02-12-2023	18:03:22.717	21.396	19.185	OK	02-12-2023	18:03:22.717	21.396	1013	OK
02-12-2023	18:03:23.726	22.406	106.514	22.585	239	0	OK	02-12-2023	18:03:23.726	22.406	19.188	OK	02-12-2023	18:03:23.726	22.406	1013	OK
02-12-2023	18:03:24.725	23.404	106.547	22.581	239	0	OK	02-12-2023	18:03:24.725	23.404	19.192	OK	02-12-2023	18:03:24.725	23.404	1013	OK
02-12-2023	18:03:25.725	24.405	106.510	22.585	239	0	OK	02-12-2023	18:03:25.725	24.405	19.193	OK	02-12-2023	18:03:25.725	24.405	1013	OK
02-12-2023	18:03:26.727	25.406	106.501	22.586	239	0	OK	02-12-2023	18:03:26.727	25.406	19.192	OK	02-12-2023	18:03:26.727	25.406	1013	OK
02-12-2023	18:03:27.721	26.400	106.473	22.589	239	0	OK	02-12-2023	18:03:27.721	26.400	19.193	OK	02-12-2023	18:03:27.721	26.400	1013	OK
02-12-2023	18:03:28.721	27.400	106.493	22.587	239	0	OK	02-12-2023	18:03:28.721	27.400	19.191	OK	02-12-2023	18:03:28.721	27.400	1013	OK
02-12-2023	18:03:29.727	28.406	106.500	22.586	239	0	OK	02-12-2023	18:03:29.727	28.406	19.193	OK	02-12-2023	18:03:29.727	28.406	1013	OK
02-12-2023	18:03:30.726	29.406	106.420	22.595	239	0	OK	02-12-2023	18:03:30.726	29.406	19.192	OK	02-12-2023	18:03:30.726	29.406	1013	OK
02-12-2023	18:03:31.726	30.405	106.531	22.583	239	0	OK	02-12-2023	18:03:31.726	30.405	19.190	OK	02-12-2023	18:03:31.726	30.405	1013	OK
02-12-2023	18:03:32.729	31.408	106.490	22.588	239	0	OK	02-12-2023	18:03:32.729	31.408	19.185	OK	02-12-2023	18:03:32.729	31.408	1013	OK
02-12-2023	18:03:33.719	32.399	106.485	22.589	239	0	OK	02-12-2023	18:03:33.719	32.399	19.180	OK	02-12-2023	18:03:33.719	32.399	1013	OK
02-12-2023	18:03:34.727	33.407	106.546	22.583	239	0	OK	02-12-2023	18:03:34.727	33.407	19.173	OK	02-12-2023	18:03:34.727	33.407	1013	OK
02-12-2023	18:03:35.730	34.409	106.555	22.583	239	0	OK	02-12-2023	18:03:35.730	34.409	19.164	OK	02-12-2023	18:03:35.730	34.409	1013	OK
02-12-2023	18:03:36.729	35.409	106.511	22.588	239	0	OK	02-12-2023	18:03:36.729	35.409	19.162	OK	02-12-2023	18:03:36.729	35.409	1013	OK
02-12-2023	18:03:37.732	36.411	106.485	22.591	239	0	OK	02-12-2023	18:03:37.732	36.411	19.161	OK	02-12-2023	18:03:37.732	36.411	1013	OK
02-12-2023	18:03:38.726	37.405	106.572	22.581	239	0	OK	02-12-2023	18:03:38.726	37.405	19.165	OK	02-12-2023	18:03:38.726	37.405	1013	OK
02-12-2023	18:03:39.725	38.404	106.555	22.583	239	0	OK	02-12-2023	18:03:39.725	38.404	19.164	OK	02-12-2023	18:03:39.725	38.404	1013	OK
02-12-2023	18:03:40.730	39.410	106.480	22.591	239	0	OK	02-12-2023	18:03:40.730	39.410	19.166	OK	02-12-2023	18:03:40.730	39.410	1013	OK
02-12-2023	18:03:41.736	40.415	106.543	22.584	239	0	OK	02-12-2023	18:03:41.736	40.415	19.167	OK	02-12-2023	18:03:41.736	40.415	1013	OK
02-12-2023	18:03:42.730	41.410	106.604	22.577	239	0	OK	02-12-2023	18:03:42.730	41.410	19.170	OK	02-12-2023	18:03:42.730	41.410	1013	OK
02-12-2023	18:03:43.733	42.412	106.538	22.584	239	0	OK	02-12-2023	18:03:43.733	42.412	19.172	OK	02-12-2023	18:03:43.733	42.412	1013	OK
02-12-2023	18:03:44.725	43.404	106.481	22.590	239	0	OK	02-12-2023	18:03:44.725	43.404	19.175	OK	02-12-2023	18:03:44.725	43.404	1013	OK
02-12-2023	18:03:45.732	44.411	106.598	22.577	239	0	OK	02-12-2023	18:03:45.732	44.411	19.176	OK	02-12-2023	18:03:45.732	44.411	1013	OK
02-12-2023	18:03:46.733	45.412	106.477	22.590	239	0	OK	02-12-2023	18:03:46.733	45.412	19.179	OK	02-12-2023	18:03:46.733	45.412	1013	OK
02-12-2023	18:03:47.730	46.409	106.576	22.579	239	0	OK	02-12-2023	18:03:47.730	46.409	19.180	OK	02-12-2023	18:03:47.730	46.409	1013	OK
02-12-2023	18:03:48.731	47.411	106.548	22.582	239	0	OK	02-12-2023	18:03:48.731	47.411	19.181	OK	02-12-2023	18:03:48.731	47.411	1013	OK
02-12-2023	18:03:49.731	48.410	106.556	22.581	239	0	OK	02-12-2023	18:03:49.731	48.410	19.182	OK	02-12-2023	18:03:49.731	48.410	1013	OK
02-12-2023	18:03:50.729	49.408	106.602	22.576	239	0	OK	02-12-2023	18:03:50.729	49.408	19.182	OK	02-12-2023	18:03:50.729	49.408	1013	OK
02-12-2023	18:03:51.729	50.409	106.429	22.595	239	0	OK	02-12-2023	18:03:51.729	50.409	19.182	OK	02-12-2023	18:03:51.729	50.409	1013	OK
02-12-2023	18:03:52.733	51.412	106.585	22.578	239	0	OK	02-12-2023	18:03:52.733	51.412	19.180	OK	02-12-2023	18:03:52.733	51.412	1013	OK
02-12-2023	18:03:53.734	52.413	106.513	22.586	239	0	OK	02-12-2023	18:03:53.734	52.413	19.180	OK	02-12-2023	18:03:53.734	52.413	1013	OK
02-12-2023	18:03:54.733	53.412	106.448	22.593	239	0	OK	02-12-2023	18:03:54.733	53.412	19.181	OK	02-12-2023	18:03:54.733	53.412	1013	OK
02-12-2023	18:03:55.728	54.407	106.637	22.572	239	0	OK	02-12-2023	18:03:55.728	54.407	19.183	OK	02-12-2023	18:03:55.728	54.407	1013	OK
02-12-2023	18:03:56.739	55.418	106.508	22.586	239	0	OK	02-12-2023	18:03:56.739	55.418	19.185	OK	02-12-2023	18:03:56.739	55.418	1013	OK
02-12-2023	18:03:57.735	56.414	106.491	22.588	239	0	OK	02-12-2023	18:03:57.735	56.414	19.184	OK	02-12-2023	18:03:57.735	56.414	1013	OK
02-12-2023	18:03:58.734	57.414	106.448	22.593	239	0	OK	02-12-2023	18:03:58.734	57.414	19.181	OK	02-12-2023	18:03:58.734	57.414	1013	OK
02-12-2023	18:03:59.736	58.415	106.476	22.590	239	0	OK	02-12-2023	18:03:59.736	58.415	19.180	OK	02-12-2023	18:03:59.736	58.415	1013	OK
02-12-2023	18:04:00.731	59.410	106.531	22.584	239	0	OK	02-12-2023	18:04:00.731	59.410	19.180	OK	02-12-2023	18:04:00.731	59.410	1013	OK
02-12-2023	18:04:01.732	60.411	106.518	22.585	239	0	OK	02-12-2023	18:04:01.732	60.411	19.184	OK	02-12-2023	18:04:01.732	60.411	1013	OK
