#--- Experiment --------------------------------------------------------------------------
#120223_19C_A6A7nono_cory
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
02-12-2023	18:03:01.333	0.012	19.222	OK
02-12-2023	18:03:02.335	1.014	19.220	OK
02-12-2023	18:03:03.336	2.015	19.217	OK
02-12-2023	18:03:04.334	3.013	19.214	OK
02-12-2023	18:03:05.336	4.016	19.211	OK
02-12-2023	18:03:06.338	5.017	19.210	OK
02-12-2023	18:03:07.338	6.017	19.209	OK
02-12-2023	18:03:08.340	7.019	19.210	OK
02-12-2023	18:03:09.337	8.016	19.209	OK
02-12-2023	18:03:10.337	9.016	19.209	OK
02-12-2023	18:03:11.338	10.017	19.204	OK
02-12-2023	18:03:12.340	11.019	19.197	OK
02-12-2023	18:03:13.340	12.019	19.188	OK
02-12-2023	18:03:14.340	13.019	19.180	OK
02-12-2023	18:03:15.338	14.017	19.176	OK
02-12-2023	18:03:16.338	15.017	19.173	OK
02-12-2023	18:03:17.339	16.019	19.169	OK
02-12-2023	18:03:18.340	17.019	19.170	OK
02-12-2023	18:03:19.340	18.019	19.172	OK
02-12-2023	18:03:20.339	19.018	19.177	OK
02-12-2023	18:03:21.340	20.019	19.180	OK
02-12-2023	18:03:22.340	21.019	19.183	OK
02-12-2023	18:03:23.342	22.021	19.188	OK
02-12-2023	18:03:24.343	23.022	19.190	OK
02-12-2023	18:03:25.343	24.022	19.194	OK
02-12-2023	18:03:26.341	25.020	19.193	OK
02-12-2023	18:03:27.341	26.020	19.192	OK
02-12-2023	18:03:28.343	27.022	19.191	OK
02-12-2023	18:03:29.343	28.023	19.193	OK
02-12-2023	18:03:30.345	29.024	19.191	OK
02-12-2023	18:03:31.342	30.021	19.191	OK
02-12-2023	18:03:32.343	31.022	19.188	OK
02-12-2023	18:03:33.345	32.025	19.183	OK
02-12-2023	18:03:34.346	33.025	19.174	OK
02-12-2023	18:03:35.346	34.026	19.167	OK
02-12-2023	18:03:36.345	35.024	19.164	OK
02-12-2023	18:03:37.343	36.023	19.162	OK
02-12-2023	18:03:38.347	37.026	19.163	OK
02-12-2023	18:03:39.348	38.027	19.164	OK
02-12-2023	18:03:40.346	39.026	19.166	OK
02-12-2023	18:03:41.346	40.026	19.166	OK
02-12-2023	18:03:42.350	41.029	19.170	OK
02-12-2023	18:03:43.351	42.030	19.173	OK
02-12-2023	18:03:44.350	43.029	19.175	OK
02-12-2023	18:03:45.351	44.030	19.176	OK
02-12-2023	18:03:46.351	45.031	19.178	OK
02-12-2023	18:03:47.351	46.030	19.180	OK
02-12-2023	18:03:48.351	47.030	19.180	OK
02-12-2023	18:03:49.352	48.032	19.182	OK
02-12-2023	18:03:50.352	49.032	19.181	OK
02-12-2023	18:03:51.353	50.032	19.181	OK
02-12-2023	18:03:52.353	51.032	19.180	OK
02-12-2023	18:03:53.350	52.029	19.179	OK
02-12-2023	18:03:54.352	53.031	19.181	OK
02-12-2023	18:03:55.353	54.032	19.182	OK
02-12-2023	18:03:56.354	55.033	19.184	OK
02-12-2023	18:03:57.355	56.034	19.185	OK
02-12-2023	18:03:58.354	57.033	19.182	OK
02-12-2023	18:03:59.353	58.033	19.182	OK
02-12-2023	18:04:00.356	59.035	19.180	OK
02-12-2023	18:04:01.357	60.036	19.182	OK
02-12-2023	18:04:02.356	61.036	19.183	OK
02-12-2023	18:04:03.357	62.036	19.180	OK
02-12-2023	18:04:04.356	63.035	19.180	OK
02-12-2023	18:04:05.358	64.037	19.181	OK
02-12-2023	18:04:06.359	65.039	19.185	OK
02-12-2023	18:04:07.360	66.039	19.186	OK
02-12-2023	18:04:08.358	67.038	19.185	OK
02-12-2023	18:04:09.361	68.040	19.187	OK
02-12-2023	18:04:10.359	69.038	19.185	OK
02-12-2023	18:04:11.362	70.041	19.183	OK
02-12-2023	18:04:12.361	71.041	19.180	OK
02-12-2023	18:04:13.361	72.040	19.180	OK
02-12-2023	18:04:14.363	73.042	19.182	OK
02-12-2023	18:04:15.360	74.040	19.186	OK
02-12-2023	18:04:16.361	75.040	19.190	OK
02-12-2023	18:04:17.363	76.042	19.194	OK
02-12-2023	18:04:18.362	77.041	19.200	OK
02-12-2023	18:04:19.362	78.041	19.206	OK
02-12-2023	18:04:20.364	79.043	19.207	OK
02-12-2023	18:04:21.361	80.040	19.210	OK
02-12-2023	18:04:22.365	81.044	19.210	OK
02-12-2023	18:04:23.366	82.045	19.208	OK
02-12-2023	18:04:24.366	83.045	19.204	OK
02-12-2023	18:04:25.367	84.046	19.204	OK
02-12-2023	18:04:26.365	85.044	19.203	OK
02-12-2023	18:04:27.365	86.045	19.203	OK
02-12-2023	18:04:28.368	87.047	19.201	OK
02-12-2023	18:04:29.369	88.048	19.197	OK
02-12-2023	18:04:30.369	89.048	19.194	OK
02-12-2023	18:04:31.368	90.047	19.189	OK
02-12-2023	18:04:32.369	91.048	19.186	OK
02-12-2023	18:04:33.372	92.051	19.186	OK
02-12-2023	18:04:34.371	93.051	19.184	OK
02-12-2023	18:04:35.371	94.051	19.186	OK
02-12-2023	18:04:36.372	95.051	19.185	OK
02-12-2023	18:04:37.369	96.048	19.185	OK
02-12-2023	18:04:38.372	97.051	19.182	OK
02-12-2023	18:04:39.374	98.053	19.179	OK
02-12-2023	18:04:40.373	99.053	19.179	OK
02-12-2023	18:04:41.374	100.053	19.180	OK
02-12-2023	18:04:42.372	101.052	19.182	OK
02-12-2023	18:04:43.371	102.050	19.178	OK
02-12-2023	18:04:44.374	103.053	19.177	OK
02-12-2023	18:04:45.374	104.053	19.172	OK
02-12-2023	18:04:46.375	105.054	19.176	OK
02-12-2023	18:04:47.376	106.055	19.176	OK
02-12-2023	18:04:48.375	107.054	19.175	OK
02-12-2023	18:04:49.376	108.055	19.170	OK
02-12-2023	18:04:50.377	109.056	19.168	OK
02-12-2023	18:04:51.377	110.056	19.165	OK
02-12-2023	18:04:52.377	111.056	19.164	OK
02-12-2023	18:04:53.376	112.055	19.160	OK
02-12-2023	18:04:54.375	113.054	19.158	OK
02-12-2023	18:04:55.378	114.057	19.158	OK
02-12-2023	18:04:56.377	115.057	19.157	OK
02-12-2023	18:04:57.377	116.056	19.159	OK
02-12-2023	18:04:58.378	117.058	19.159	OK
02-12-2023	18:04:59.376	118.055	19.160	OK
02-12-2023	18:05:00.380	119.059	19.157	OK
02-12-2023	18:05:01.377	120.056	19.156	OK
02-12-2023	18:05:02.378	121.057	19.156	OK
02-12-2023	18:05:03.379	122.058	19.161	OK
02-12-2023	18:05:04.378	123.058	19.165	OK
02-12-2023	18:05:05.377	124.056	19.167	OK
02-12-2023	18:05:06.380	125.059	19.169	OK
02-12-2023	18:05:07.379	126.058	19.170	OK
02-12-2023	18:05:08.379	127.059	19.170	OK
02-12-2023	18:05:09.379	128.059	19.171	OK
02-12-2023	18:05:10.378	129.057	19.171	OK
02-12-2023	18:05:11.381	130.060	19.170	OK
02-12-2023	18:05:12.380	131.059	19.169	OK
02-12-2023	18:05:13.382	132.062	19.169	OK
02-12-2023	18:05:14.381	133.061	19.169	OK
02-12-2023	18:05:15.381	134.060	19.168	OK
02-12-2023	18:05:16.380	135.059	19.164	OK
02-12-2023	18:05:17.382	136.061	19.161	OK
02-12-2023	18:05:18.382	137.061	19.160	OK
02-12-2023	18:05:19.382	138.061	19.158	OK
02-12-2023	18:05:20.383	139.062	19.157	OK
02-12-2023	18:05:21.383	140.062	19.153	OK
02-12-2023	18:05:22.383	141.062	19.148	OK
02-12-2023	18:05:23.383	142.063	19.144	OK
02-12-2023	18:05:24.385	143.065	19.141	OK
02-12-2023	18:05:25.387	144.066	19.141	OK
02-12-2023	18:05:26.387	145.066	19.141	OK
02-12-2023	18:05:27.386	146.065	19.142	OK
02-12-2023	18:05:28.388	147.067	19.142	OK
02-12-2023	18:05:29.390	148.069	19.143	OK
02-12-2023	18:05:30.388	149.067	19.142	OK
02-12-2023	18:05:31.390	150.069	19.144	OK
02-12-2023	18:05:32.388	151.067	19.144	OK
02-12-2023	18:05:33.389	152.068	19.143	OK
02-12-2023	18:05:34.390	153.070	19.141	OK
02-12-2023	18:05:35.390	154.069	19.140	OK
02-12-2023	18:05:36.390	155.070	19.143	OK
02-12-2023	18:05:37.390	156.069	19.143	OK
02-12-2023	18:05:38.388	157.067	19.143	OK
02-12-2023	18:05:39.391	158.070	19.144	OK
02-12-2023	18:05:40.391	159.070	19.145	OK
02-12-2023	18:05:41.391	160.070	19.146	OK
02-12-2023	18:05:42.391	161.071	19.144	OK
02-12-2023	18:05:43.391	162.070	19.145	OK
02-12-2023	18:05:44.394	163.073	19.146	OK
02-12-2023	18:05:45.395	164.074	19.150	OK
02-12-2023	18:05:46.394	165.073	19.156	OK
02-12-2023	18:05:47.396	166.075	19.166	OK
02-12-2023	18:05:48.396	167.075	19.180	OK
02-12-2023	18:05:49.393	168.072	19.197	OK
02-12-2023	18:05:50.396	169.075	19.215	OK
02-12-2023	18:05:51.395	170.075	19.229	OK
02-12-2023	18:05:52.397	171.076	19.240	OK
02-12-2023	18:05:53.398	172.077	19.249	OK
02-12-2023	18:05:54.395	173.074	19.251	OK
02-12-2023	18:05:55.398	174.077	19.249	OK
02-12-2023	18:05:56.398	175.077	19.242	OK
02-12-2023	18:05:57.399	176.078	19.231	OK
02-12-2023	18:05:58.398	177.078	19.219	OK
02-12-2023	18:05:59.400	178.079	19.205	OK
02-12-2023	18:06:00.399	179.078	19.197	OK
02-12-2023	18:06:01.403	180.082	19.188	OK
02-12-2023	18:06:02.403	181.082	19.185	OK
02-12-2023	18:06:03.402	182.082	19.180	OK
02-12-2023	18:06:04.401	183.080	19.179	OK
02-12-2023	18:06:05.401	184.080	19.174	OK
02-12-2023	18:06:06.404	185.083	19.171	OK
02-12-2023	18:06:07.404	186.084	19.168	OK
02-12-2023	18:06:08.405	187.084	19.163	OK
02-12-2023	18:06:09.404	188.083	19.157	OK
02-12-2023	18:06:10.405	189.085	19.154	OK
