#--- Experiment --------------------------------------------------------------------------
#120323_23C_A11A12A13A14
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.2] - Oxygen Sensor - XB7-528-210 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/24/2023	11/24/2023	22.788000	52.916000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.304000	19.227000	100.000000	21.417000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (%air sat.) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]
03-12-2023	11:47:12.780	0.918	107.758	21.566	134	0	OK	03-12-2023	11:47:12.780	0.918	22.986	OK	03-12-2023	11:47:12.780	0.918	1013	OK
03-12-2023	11:47:13.781	1.919	107.885	21.553	134	0	OK	03-12-2023	11:47:13.781	1.919	22.982	OK	03-12-2023	11:47:13.781	1.919	1013	OK
03-12-2023	11:47:14.779	2.918	107.820	21.560	134	0	OK	03-12-2023	11:47:14.779	2.918	22.980	OK	03-12-2023	11:47:14.779	2.918	1013	OK
03-12-2023	11:47:15.780	3.919	107.720	21.571	134	0	OK	03-12-2023	11:47:15.780	3.919	22.976	OK	03-12-2023	11:47:15.780	3.919	1013	OK
03-12-2023	11:47:16.786	4.925	107.900	21.552	134	0	OK	03-12-2023	11:47:16.786	4.925	22.975	OK	03-12-2023	11:47:16.786	4.925	1013	OK
03-12-2023	11:47:17.773	5.911	107.730	21.570	134	0	OK	03-12-2023	11:47:17.773	5.911	22.975	OK	03-12-2023	11:47:17.773	5.911	1013	OK
03-12-2023	11:47:18.787	6.925	107.854	21.557	134	0	OK	03-12-2023	11:47:18.787	6.925	22.974	OK	03-12-2023	11:47:18.787	6.925	1013	OK
03-12-2023	11:47:19.781	7.919	107.798	21.563	134	0	OK	03-12-2023	11:47:19.781	7.919	22.973	OK	03-12-2023	11:47:19.781	7.919	1013	OK
03-12-2023	11:47:20.779	8.917	107.769	21.566	134	0	OK	03-12-2023	11:47:20.779	8.917	22.974	OK	03-12-2023	11:47:20.779	8.917	1013	OK
03-12-2023	11:47:21.788	9.926	107.788	21.564	134	0	OK	03-12-2023	11:47:21.788	9.926	22.974	OK	03-12-2023	11:47:21.788	9.926	1013	OK
03-12-2023	11:47:22.788	10.926	107.741	21.569	134	0	OK	03-12-2023	11:47:22.788	10.926	22.973	OK	03-12-2023	11:47:22.788	10.926	1013	OK
03-12-2023	11:47:23.788	11.926	107.636	21.580	134	0	OK	03-12-2023	11:47:23.788	11.926	22.974	OK	03-12-2023	11:47:23.788	11.926	1013	OK
03-12-2023	11:47:24.786	12.924	107.807	21.562	134	0	OK	03-12-2023	11:47:24.786	12.924	22.973	OK	03-12-2023	11:47:24.786	12.924	1013	OK
03-12-2023	11:47:25.785	13.924	107.664	21.577	134	0	OK	03-12-2023	11:47:25.785	13.924	22.975	OK	03-12-2023	11:47:25.785	13.924	1013	OK
03-12-2023	11:47:26.783	14.922	107.696	21.574	134	0	OK	03-12-2023	11:47:26.783	14.922	22.971	OK	03-12-2023	11:47:26.783	14.922	1013	OK
