#--- Experiment --------------------------------------------------------------------------
#120323_23C_A11A12A13A14_tile
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
03-12-2023	15:30:50.953	0.096	23.076	OK
03-12-2023	15:30:51.969	1.111	23.072	OK
03-12-2023	15:30:52.968	2.110	23.068	OK
03-12-2023	15:30:53.971	3.113	23.069	OK
03-12-2023	15:30:54.968	4.110	23.070	OK
03-12-2023	15:30:55.970	5.112	23.073	OK
03-12-2023	15:30:56.970	6.112	23.074	OK
03-12-2023	15:30:57.970	7.113	23.077	OK
03-12-2023	15:30:58.971	8.114	23.075	OK
03-12-2023	15:30:59.973	9.115	23.075	OK
03-12-2023	15:31:00.972	10.114	23.072	OK
03-12-2023	15:31:01.972	11.114	23.073	OK
03-12-2023	15:31:02.972	12.115	23.070	OK
03-12-2023	15:31:03.974	13.116	23.067	OK
03-12-2023	15:31:04.975	14.117	23.064	OK
03-12-2023	15:31:05.977	15.119	23.059	OK
03-12-2023	15:31:06.977	16.119	23.059	OK
03-12-2023	15:31:07.974	17.117	23.056	OK
03-12-2023	15:31:08.978	18.120	23.056	OK
03-12-2023	15:31:09.978	19.120	23.054	OK
03-12-2023	15:31:10.977	20.119	23.057	OK
03-12-2023	15:31:11.975	21.117	23.058	OK
03-12-2023	15:31:12.976	22.118	23.058	OK
03-12-2023	15:31:13.979	23.121	23.058	OK
03-12-2023	15:31:14.979	24.122	23.060	OK
03-12-2023	15:31:15.978	25.120	23.061	OK
03-12-2023	15:31:16.980	26.123	23.055	OK
03-12-2023	15:31:17.979	27.122	23.043	OK
03-12-2023	15:31:18.980	28.122	23.033	OK
03-12-2023	15:31:19.982	29.124	23.029	OK
03-12-2023	15:31:20.981	30.124	23.034	OK
03-12-2023	15:31:21.983	31.125	23.037	OK
03-12-2023	15:31:22.981	32.123	23.039	OK
03-12-2023	15:31:23.982	33.124	23.039	OK
03-12-2023	15:31:24.983	34.125	23.038	OK
03-12-2023	15:31:25.984	35.127	23.036	OK
03-12-2023	15:31:26.984	36.126	23.034	OK
03-12-2023	15:31:27.985	37.127	23.034	OK
03-12-2023	15:31:28.983	38.126	23.037	OK
03-12-2023	15:31:29.983	39.125	23.040	OK
03-12-2023	15:31:30.984	40.126	23.043	OK
03-12-2023	15:31:31.985	41.127	23.046	OK
03-12-2023	15:31:32.985	42.127	23.048	OK
03-12-2023	15:31:33.983	43.125	23.051	OK
03-12-2023	15:31:34.984	44.126	23.054	OK
03-12-2023	15:31:35.983	45.126	23.054	OK
03-12-2023	15:31:36.984	46.126	23.058	OK
03-12-2023	15:31:37.983	47.125	23.057	OK
03-12-2023	15:31:38.984	48.126	23.057	OK
03-12-2023	15:31:39.984	49.126	23.055	OK
03-12-2023	15:31:40.984	50.126	23.053	OK
03-12-2023	15:31:41.987	51.129	23.049	OK
03-12-2023	15:31:42.984	52.127	23.049	OK
03-12-2023	15:31:43.987	53.129	23.048	OK
03-12-2023	15:31:44.988	54.130	23.049	OK
03-12-2023	15:31:45.988	55.131	23.046	OK
03-12-2023	15:31:46.987	56.129	23.044	OK
03-12-2023	15:31:47.988	57.130	23.040	OK
03-12-2023	15:31:48.989	58.131	23.037	OK
03-12-2023	15:31:49.988	59.131	23.033	OK
03-12-2023	15:31:50.988	60.131	23.023	OK
03-12-2023	15:31:51.990	61.132	23.014	OK
03-12-2023	15:31:52.989	62.131	23.001	OK
03-12-2023	15:31:53.989	63.131	22.992	OK
