#--- Experiment --------------------------------------------------------------------------
#120323_23C_B11B12B13B14_cory
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.3] - Oxygen Sensor - XA7-533-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/24/2023	11/24/2023	22.829000	52.792000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.346000	19.205000	100.000000	21.498000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.3 Main]	Time [A Ch.3 Main]	 dt (s) [A Ch.3 Main]	Oxygen (%air sat.) [A Ch.3 Main]	dphi (°) [A Ch.3 Main]	Signal Intensity (mV) [A Ch.3 Main]	Ambient Light (mV) [A Ch.3 Main]	Status [A Ch.3 Main]	Date [A Ch.3 CompT]	Time [A Ch.3 CompT]	 dt (s) [A Ch.3 CompT]	Sample Temp. (°C) [A Ch.3 CompT]	Status [A Ch.3 CompT]	Date [A Ch.3 CompP]	Time [A Ch.3 CompP]	 dt (s) [A Ch.3 CompP]	Pressure (mbar) [A Ch.3 CompP]	Status [A Ch.3 CompP]
03-12-2023	17:17:28.433	0.100	106.926	21.681	185	0	OK	03-12-2023	17:17:28.433	0.100	23.135	OK	03-12-2023	17:17:28.433	0.100	1013	OK
03-12-2023	17:17:29.430	1.096	106.842	21.690	185	0	OK	03-12-2023	17:17:29.430	1.096	23.134	OK	03-12-2023	17:17:29.430	1.096	1013	OK
03-12-2023	17:17:30.430	2.097	106.916	21.682	185	0	OK	03-12-2023	17:17:30.430	2.097	23.136	OK	03-12-2023	17:17:30.430	2.097	1013	OK
03-12-2023	17:17:31.433	3.100	106.876	21.686	185	0	OK	03-12-2023	17:17:31.433	3.100	23.138	OK	03-12-2023	17:17:31.433	3.100	1013	OK
03-12-2023	17:17:32.431	4.098	106.995	21.673	185	0	OK	03-12-2023	17:17:32.431	4.098	23.142	OK	03-12-2023	17:17:32.431	4.098	1013	OK
03-12-2023	17:17:33.431	5.098	106.832	21.690	185	0	OK	03-12-2023	17:17:33.431	5.098	23.146	OK	03-12-2023	17:17:33.431	5.098	1013	OK
03-12-2023	17:17:34.430	6.096	106.904	21.682	185	0	OK	03-12-2023	17:17:34.430	6.096	23.150	OK	03-12-2023	17:17:34.430	6.096	1013	OK
03-12-2023	17:17:35.437	7.103	106.882	21.684	185	0	OK	03-12-2023	17:17:35.437	7.103	23.153	OK	03-12-2023	17:17:35.437	7.103	1013	OK
03-12-2023	17:17:36.437	8.103	106.909	21.681	185	0	OK	03-12-2023	17:17:36.437	8.103	23.155	OK	03-12-2023	17:17:36.437	8.103	1013	OK
03-12-2023	17:17:37.439	9.106	106.842	21.688	185	0	OK	03-12-2023	17:17:37.439	9.106	23.156	OK	03-12-2023	17:17:37.439	9.106	1013	OK
03-12-2023	17:17:38.433	10.099	106.861	21.686	185	0	OK	03-12-2023	17:17:38.433	10.099	23.156	OK	03-12-2023	17:17:38.433	10.099	1013	OK
03-12-2023	17:17:39.435	11.102	106.816	21.691	185	0	OK	03-12-2023	17:17:39.435	11.102	23.154	OK	03-12-2023	17:17:39.435	11.102	1013	OK
03-12-2023	17:17:40.436	12.103	106.873	21.685	185	0	OK	03-12-2023	17:17:40.436	12.103	23.153	OK	03-12-2023	17:17:40.436	12.103	1013	OK
03-12-2023	17:17:41.433	13.100	106.965	21.675	185	0	OK	03-12-2023	17:17:41.433	13.100	23.155	OK	03-12-2023	17:17:41.433	13.100	1013	OK
03-12-2023	17:17:42.432	14.099	106.803	21.692	185	0	OK	03-12-2023	17:17:42.432	14.099	23.158	OK	03-12-2023	17:17:42.432	14.099	1013	OK
