#--- Experiment --------------------------------------------------------------------------
#120323_23C_B11B12B13B14_tile
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
03-12-2023	20:46:17.590	0.018	23.120	OK
03-12-2023	20:46:18.592	1.020	23.122	OK
03-12-2023	20:46:19.592	2.020	23.121	OK
03-12-2023	20:46:20.590	3.018	23.120	OK
03-12-2023	20:46:21.591	4.020	23.118	OK
03-12-2023	20:46:22.592	5.020	23.119	OK
03-12-2023	20:46:23.593	6.021	23.120	OK
03-12-2023	20:46:24.590	7.019	23.120	OK
03-12-2023	20:46:25.594	8.023	23.120	OK
03-12-2023	20:46:26.593	9.022	23.120	OK
03-12-2023	20:46:27.593	10.022	23.115	OK
03-12-2023	20:46:28.595	11.024	23.113	OK
03-12-2023	20:46:29.594	12.022	23.112	OK
03-12-2023	20:46:30.594	13.022	23.112	OK
03-12-2023	20:46:31.595	14.023	23.106	OK
03-12-2023	20:46:32.595	15.024	22.979	OK
03-12-2023	20:46:33.596	16.024	22.799	OK
03-12-2023	20:46:34.597	17.025	22.725	OK
03-12-2023	20:46:35.596	18.025	22.753	OK
03-12-2023	20:46:36.599	19.027	22.919	OK
03-12-2023	20:46:37.598	20.026	23.005	OK
03-12-2023	20:46:38.602	21.030	23.030	OK
03-12-2023	20:46:39.600	22.028	23.038	OK
03-12-2023	20:46:40.602	23.030	23.041	OK
03-12-2023	20:46:41.599	24.027	23.042	OK
03-12-2023	20:46:42.602	25.030	23.044	OK
03-12-2023	20:46:43.601	26.029	23.045	OK
03-12-2023	20:46:44.602	27.030	23.045	OK
03-12-2023	20:46:45.599	28.027	23.046	OK
03-12-2023	20:46:46.601	29.029	23.050	OK
03-12-2023	20:46:47.602	30.030	23.056	OK
03-12-2023	20:46:48.603	31.031	23.062	OK
03-12-2023	20:46:49.600	32.029	23.066	OK
03-12-2023	20:46:50.603	33.031	23.071	OK
03-12-2023	20:46:51.603	34.031	23.075	OK
03-12-2023	20:46:52.601	35.029	23.076	OK
