#--- Experiment --------------------------------------------------------------------------
#120423_23C_E11E12E13E14_cory
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.3] - Oxygen Sensor - XA7-533-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/24/2023	11/24/2023	22.829000	52.792000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.346000	19.205000	100.000000	21.498000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.3 Main]	Time [A Ch.3 Main]	 dt (s) [A Ch.3 Main]	Oxygen (%air sat.) [A Ch.3 Main]	dphi (°) [A Ch.3 Main]	Signal Intensity (mV) [A Ch.3 Main]	Ambient Light (mV) [A Ch.3 Main]	Status [A Ch.3 Main]	Date [A Ch.3 CompT]	Time [A Ch.3 CompT]	 dt (s) [A Ch.3 CompT]	Sample Temp. (°C) [A Ch.3 CompT]	Status [A Ch.3 CompT]	Date [A Ch.3 CompP]	Time [A Ch.3 CompP]	 dt (s) [A Ch.3 CompP]	Pressure (mbar) [A Ch.3 CompP]	Status [A Ch.3 CompP]
04-12-2023	10:23:32.983	0.703	109.274	21.462	187	0	OK	04-12-2023	10:23:32.983	0.703	22.828	OK	04-12-2023	10:23:32.983	0.703	1013	OK
04-12-2023	10:23:33.983	1.703	109.313	21.458	187	0	OK	04-12-2023	10:23:33.983	1.703	22.828	OK	04-12-2023	10:23:33.983	1.703	1013	OK
04-12-2023	10:23:34.984	2.704	109.393	21.450	187	0	OK	04-12-2023	10:23:34.984	2.704	22.824	OK	04-12-2023	10:23:34.984	2.704	1013	OK
04-12-2023	10:23:35.871	3.590	109.335	21.456	187	0	OK	04-12-2023	10:23:35.871	3.590	22.825	OK	04-12-2023	10:23:35.871	3.590	1013	OK
04-12-2023	10:23:36.876	4.596	109.374	21.452	187	0	OK	04-12-2023	10:23:36.876	4.596	22.824	OK	04-12-2023	10:23:36.876	4.596	1013	OK
04-12-2023	10:23:37.874	5.594	109.441	21.445	187	0	OK	04-12-2023	10:23:37.874	5.594	22.825	OK	04-12-2023	10:23:37.874	5.594	1013	OK
04-12-2023	10:23:38.990	6.710	109.297	21.460	187	0	OK	04-12-2023	10:23:38.990	6.710	22.824	OK	04-12-2023	10:23:38.990	6.710	1013	OK
04-12-2023	10:23:39.987	7.707	109.318	21.458	187	0	OK	04-12-2023	10:23:39.987	7.707	22.822	OK	04-12-2023	10:23:39.987	7.707	1013	OK
04-12-2023	10:23:40.993	8.713	109.484	21.441	187	0	OK	04-12-2023	10:23:40.993	8.713	22.820	OK	04-12-2023	10:23:40.993	8.713	1013	OK
04-12-2023	10:23:41.995	9.715	109.319	21.458	187	0	OK	04-12-2023	10:23:41.995	9.715	22.821	OK	04-12-2023	10:23:41.995	9.715	1013	OK
04-12-2023	10:23:42.994	10.714	109.320	21.458	187	0	OK	04-12-2023	10:23:42.994	10.714	22.820	OK	04-12-2023	10:23:42.994	10.714	1013	OK
04-12-2023	10:23:43.996	11.716	109.350	21.455	187	0	OK	04-12-2023	10:23:43.996	11.716	22.818	OK	04-12-2023	10:23:43.996	11.716	1013	OK
04-12-2023	10:23:44.987	12.707	109.315	21.459	187	0	OK	04-12-2023	10:23:44.987	12.707	22.815	OK	04-12-2023	10:23:44.987	12.707	1013	OK
04-12-2023	10:23:46.001	13.720	109.335	21.457	187	0	OK	04-12-2023	10:23:46.001	13.720	22.814	OK	04-12-2023	10:23:46.001	13.720	1013	OK
04-12-2023	10:23:46.997	14.717	109.371	21.453	187	0	OK	04-12-2023	10:23:46.997	14.717	22.816	OK	04-12-2023	10:23:46.997	14.717	1013	OK
