#--- Experiment --------------------------------------------------------------------------																																																																															
#120423_23C_E11E12E13E14_tile																																																																															
#																																																																															
#--- System ------------------------------------------------------------------------------																																																																															
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com																																																																															
#HOFFMAN-LAB01																																																																															
#--- Instrument --------------------------------------------------------------------------																																																																															
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001																																																																															
#--- Channel -----------------------------------------------------------------------------																																																																															
#Channel [A Ch.1] - Oxygen Sensor - XB7-538-217 																																																																															
#--- Settings & Calibration --------------------------------------------------------------																																																																															
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																																																											
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000																																																											
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																																																											
#	11/24/2023	11/24/2023	23.326000	53.493000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.203000	19.184000	100.000000	21.670000	20.950000																																																											
#--- Temperature Compensation Channel ----------------------------------------------------																																																																															
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Pressure Compensation Channel -------------------------------------------------------																																																																															
#Compensation Channel [A P1] - Fixed Pressure																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Channel -----------------------------------------------------------------------------																																																																															
#Channel [A Ch.2] - Oxygen Sensor - XB7-528-210 																																																																															
#--- Settings & Calibration --------------------------------------------------------------																																																																															
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																																																											
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000																																																											
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																																																											
#	11/24/2023	11/24/2023	22.788000	52.916000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.304000	19.227000	100.000000	21.417000	20.950000																																																											
#--- Temperature Compensation Channel ----------------------------------------------------																																																																															
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Pressure Compensation Channel -------------------------------------------------------																																																																															
#Compensation Channel [A P1] - Fixed Pressure																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Channel -----------------------------------------------------------------------------																																																																															
#Channel [A Ch.3] - Oxygen Sensor - XA7-533-211 																																																																															
#--- Settings & Calibration --------------------------------------------------------------																																																																															
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																																																											
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000																																																											
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																																																											
#	11/24/2023	11/24/2023	22.829000	52.792000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.346000	19.205000	100.000000	21.498000	20.950000																																																											
#--- Temperature Compensation Channel ----------------------------------------------------																																																																															
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Pressure Compensation Channel -------------------------------------------------------																																																																															
#Compensation Channel [A P1] - Fixed Pressure																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Channel -----------------------------------------------------------------------------																																																																															
#Channel [A Ch.4] - Oxygen Sensor - XB7-536-211 																																																																															
#--- Settings & Calibration --------------------------------------------------------------																																																																															
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																																																											
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000																																																											
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																																																											
#	11/24/2023	11/24/2023	23.486000	53.362000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.403000	19.245000	100.000000	21.411000	20.950000																																																											
#--- Temperature Compensation Channel ----------------------------------------------------																																																																															
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Pressure Compensation Channel -------------------------------------------------------																																																																															
#Compensation Channel [A P1] - Fixed Pressure																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Channel -----------------------------------------------------------------------------																																																																															
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C																																																																															
#--- Measurement Data --------------------------------------------------------------------																																																																															
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (%air sat.) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]	Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (%air sat.) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]	Date [A Ch.3 Main]	Time [A Ch.3 Main]	 dt (s) [A Ch.3 Main]	Oxygen (%air sat.) [A Ch.3 Main]	dphi (°) [A Ch.3 Main]	Signal Intensity (mV) [A Ch.3 Main]	Ambient Light (mV) [A Ch.3 Main]	Status [A Ch.3 Main]	Date [A Ch.3 CompT]	Time [A Ch.3 CompT]	 dt (s) [A Ch.3 CompT]	Sample Temp. (°C) [A Ch.3 CompT]	Status [A Ch.3 CompT]	Date [A Ch.3 CompP]	Time [A Ch.3 CompP]	 dt (s) [A Ch.3 CompP]	Pressure (mbar) [A Ch.3 CompP]	Status [A Ch.3 CompP]	Date [A Ch.4 Main]	Time [A Ch.4 Main]	 dt (s) [A Ch.4 Main]	Oxygen (%air sat.) [A Ch.4 Main]	dphi (°) [A Ch.4 Main]	Signal Intensity (mV) [A Ch.4 Main]	Ambient Light (mV) [A Ch.4 Main]	Status [A Ch.4 Main]	Date [A Ch.4 CompT]	Time [A Ch.4 CompT]	 dt (s) [A Ch.4 CompT]	Sample Temp. (°C) [A Ch.4 CompT]	Status [A Ch.4 CompT]	Date [A Ch.4 CompP]	Time [A Ch.4 CompP]	 dt (s) [A Ch.4 CompP]	Pressure (mbar) [A Ch.4 CompP]	Status [A Ch.4 CompP]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
04-12-2023	14:15:07.975	0.589	113.499	21.484	221	0	OK	04-12-2023	14:15:07.975	0.589	22.936	OK	04-12-2023	14:15:07.975	0.589	1013	OK	04-12-2023	14:15:08.065	0.680	109.444	21.394	129	0	OK	04-12-2023	14:15:08.065	0.680	22.936	OK	04-12-2023	14:15:08.065	0.680	1013	OK	04-12-2023	14:15:07.866	0.480	109.701	21.408	180	0	OK	04-12-2023	14:15:07.866	0.480	22.935	OK	04-12-2023	14:15:07.866	0.480	1013	OK	04-12-2023	14:15:08.179	0.794	113.995	21.601	240	0	OK	04-12-2023	14:15:08.179	0.794	22.936	OK	04-12-2023	14:15:08.179	0.794	1013	OK	04-12-2023	14:15:07.407	0.022	22.935	OK			
04-12-2023	14:15:08.975	1.590	113.313	21.503	221	0	OK	04-12-2023	14:15:08.975	1.590	22.934	OK	04-12-2023	14:15:08.975	1.590	1013	OK	04-12-2023	14:15:09.063	1.678	109.378	21.401	129	0	OK	04-12-2023	14:15:09.063	1.678	22.934	OK	04-12-2023	14:15:09.063	1.678	1013	OK	04-12-2023	14:15:08.866	1.481	109.565	21.422	180	0	OK	04-12-2023	14:15:08.866	1.481	22.935	OK	04-12-2023	14:15:08.866	1.481	1013	OK	04-12-2023	14:15:09.172	1.787	114.087	21.592	240	0	OK	04-12-2023	14:15:09.172	1.787	22.933	OK	04-12-2023	14:15:09.172	1.787	1013	OK	04-12-2023	14:15:08.409	1.024	22.936	OK			
04-12-2023	14:15:09.976	2.591	113.363	21.498	221	0	OK	04-12-2023	14:15:09.976	2.591	22.934	OK	04-12-2023	14:15:09.976	2.591	1013	OK	04-12-2023	14:15:10.066	2.680	109.532	21.385	129	0	OK	04-12-2023	14:15:10.066	2.680	22.934	OK	04-12-2023	14:15:10.066	2.680	1013	OK	04-12-2023	14:15:09.869	2.484	109.693	21.409	180	1	OK	04-12-2023	14:15:09.869	2.484	22.933	OK	04-12-2023	14:15:09.869	2.484	1013	OK	04-12-2023	14:15:10.178	2.793	114.065	21.594	240	1	OK	04-12-2023	14:15:10.178	2.793	22.935	OK	04-12-2023	14:15:10.178	2.793	1013	OK	04-12-2023	14:15:09.410	2.025	22.932	OK			
04-12-2023	14:15:10.976	3.591	113.432	21.491	221	0	OK	04-12-2023	14:15:10.976	3.591	22.934	OK	04-12-2023	14:15:10.976	3.591	1013	OK	04-12-2023	14:15:11.154	3.769	109.523	21.386	129	1	OK	04-12-2023	14:15:11.154	3.769	22.933	OK	04-12-2023	14:15:11.154	3.769	1013	OK	04-12-2023	14:15:10.868	3.483	109.721	21.406	180	0	OK	04-12-2023	14:15:10.868	3.483	22.934	OK	04-12-2023	14:15:10.868	3.483	1013	OK	04-12-2023	14:15:11.066	3.681	114.006	21.600	240	0	OK	04-12-2023	14:15:11.066	3.681	22.934	OK	04-12-2023	14:15:11.066	3.681	1013	OK	04-12-2023	14:15:10.408	3.023	22.936	OK			
04-12-2023	14:15:11.975	4.590	113.502	21.484	221	0	OK	04-12-2023	14:15:11.975	4.590	22.933	OK	04-12-2023	14:15:11.975	4.590	1013	OK	04-12-2023	14:15:12.159	4.774	109.495	21.389	129	0	OK	04-12-2023	14:15:12.159	4.774	22.933	OK	04-12-2023	14:15:12.159	4.774	1013	OK	04-12-2023	14:15:11.866	4.481	109.780	21.400	180	0	OK	04-12-2023	14:15:11.866	4.481	22.933	OK	04-12-2023	14:15:11.866	4.481	1013	OK	04-12-2023	14:15:12.068	4.682	114.017	21.599	240	0	OK	04-12-2023	14:15:12.068	4.682	22.933	OK	04-12-2023	14:15:12.068	4.682	1013	OK	04-12-2023	14:15:11.412	4.027	22.933	OK			
04-12-2023	14:15:12.976	5.590	113.480	21.486	221	0	OK	04-12-2023	14:15:12.976	5.590	22.935	OK	04-12-2023	14:15:12.976	5.590	1013	OK	04-12-2023	14:15:13.149	5.764	109.454	21.393	129	0	OK	04-12-2023	14:15:13.149	5.764	22.935	OK	04-12-2023	14:15:13.149	5.764	1013	OK	04-12-2023	14:15:12.869	5.484	109.662	21.412	180	0	OK	04-12-2023	14:15:12.869	5.484	22.935	OK	04-12-2023	14:15:12.869	5.484	1013	OK	04-12-2023	14:15:13.063	5.678	113.976	21.603	240	0	OK	04-12-2023	14:15:13.063	5.678	22.935	OK	04-12-2023	14:15:13.063	5.678	1013	OK	04-12-2023	14:15:12.411	5.025	22.934	OK			
04-12-2023	14:15:13.977	6.592	113.433	21.491	221	0	OK	04-12-2023	14:15:13.977	6.592	22.933	OK	04-12-2023	14:15:13.977	6.592	1013	OK	04-12-2023	14:15:14.155	6.770	109.437	21.395	129	0	OK	04-12-2023	14:15:14.155	6.770	22.933	OK	04-12-2023	14:15:14.155	6.770	1013	OK	04-12-2023	14:15:13.868	6.483	109.606	21.418	180	0	OK	04-12-2023	14:15:13.868	6.483	22.933	OK	04-12-2023	14:15:13.868	6.483	1013	OK	04-12-2023	14:15:14.066	6.681	113.987	21.602	240	0	OK	04-12-2023	14:15:14.066	6.681	22.933	OK	04-12-2023	14:15:14.066	6.681	1013	OK	04-12-2023	14:15:13.412	6.027	22.933	OK			
04-12-2023	14:15:14.978	7.592	113.561	21.478	221	0	OK	04-12-2023	14:15:14.978	7.592	22.933	OK	04-12-2023	14:15:14.978	7.592	1013	OK	04-12-2023	14:15:15.158	7.773	109.465	21.392	129	0	OK	04-12-2023	14:15:15.158	7.773	22.934	OK	04-12-2023	14:15:15.158	7.773	1013	OK	04-12-2023	14:15:14.871	7.486	109.722	21.406	180	0	OK	04-12-2023	14:15:14.871	7.486	22.933	OK	04-12-2023	14:15:14.871	7.486	1013	OK	04-12-2023	14:15:15.071	7.685	114.006	21.600	240	0	OK	04-12-2023	14:15:15.071	7.685	22.934	OK	04-12-2023	14:15:15.071	7.685	1013	OK	04-12-2023	14:15:14.409	7.024	22.934	OK			
04-12-2023	14:15:15.975	8.590	113.391	21.495	221	0	OK	04-12-2023	14:15:15.975	8.590	22.935	OK	04-12-2023	14:15:15.975	8.590	1013	OK	04-12-2023	14:15:16.152	8.767	109.502	21.388	129	1	OK	04-12-2023	14:15:16.152	8.767	22.935	OK	04-12-2023	14:15:16.152	8.767	1013	OK	04-12-2023	14:15:15.868	8.483	109.710	21.407	180	0	OK	04-12-2023	14:15:15.868	8.483	22.935	OK	04-12-2023	14:15:15.868	8.483	1013	OK	04-12-2023	14:15:16.064	8.679	113.866	21.614	240	0	OK	04-12-2023	14:15:16.064	8.679	22.935	OK	04-12-2023	14:15:16.064	8.679	1013	OK	04-12-2023	14:15:15.413	8.028	22.935	OK			
04-12-2023	14:15:16.977	9.592	113.508	21.483	221	0	OK	04-12-2023	14:15:16.977	9.592	22.937	OK	04-12-2023	14:15:16.977	9.592	1013	OK	04-12-2023	14:15:17.155	9.770	109.385	21.400	129	0	OK	04-12-2023	14:15:17.155	9.770	22.937	OK	04-12-2023	14:15:17.155	9.770	1013	OK	04-12-2023	14:15:16.870	9.485	109.660	21.412	180	0	OK	04-12-2023	14:15:16.870	9.485	22.937	OK	04-12-2023	14:15:16.870	9.485	1013	OK	04-12-2023	14:15:17.070	9.685	114.004	21.600	240	0	OK	04-12-2023	14:15:17.070	9.685	22.937	OK	04-12-2023	14:15:17.070	9.685	1013	OK	04-12-2023	14:15:16.412	9.027	22.936	OK			
04-12-2023	14:15:17.978	10.592	113.418	21.492	221	0	OK	04-12-2023	14:15:17.978	10.592	22.938	OK	04-12-2023	14:15:17.978	10.592	1013	OK	04-12-2023	14:15:18.158	10.773	109.461	21.392	129	0	OK	04-12-2023	14:15:18.158	10.773	22.938	OK	04-12-2023	14:15:18.158	10.773	1013	OK	04-12-2023	14:15:17.872	10.487	109.746	21.403	180	0	OK	04-12-2023	14:15:17.872	10.487	22.938	OK	04-12-2023	14:15:17.872	10.487	1013	OK	04-12-2023	14:15:18.070	10.684	113.993	21.601	240	0	OK	04-12-2023	14:15:18.070	10.684	22.938	OK	04-12-2023	14:15:18.070	10.684	1013	OK	04-12-2023	14:15:17.411	10.026	22.937	OK			
04-12-2023	14:15:18.978	11.593	113.340	21.500	221	0	OK	04-12-2023	14:15:18.978	11.593	22.937	OK	04-12-2023	14:15:18.978	11.593	1013	OK	04-12-2023	14:15:19.179	11.794	109.433	21.395	129	0	OK	04-12-2023	14:15:19.179	11.794	22.937	OK	04-12-2023	14:15:19.179	11.794	1013	OK	04-12-2023	14:15:18.871	11.486	109.641	21.414	180	0	OK	04-12-2023	14:15:18.871	11.486	22.937	OK	04-12-2023	14:15:18.871	11.486	1013	OK	04-12-2023	14:15:19.088	11.702	113.984	21.602	240	0	OK	04-12-2023	14:15:19.088	11.702	22.937	OK	04-12-2023	14:15:19.088	11.702	1013	OK	04-12-2023	14:15:18.412	11.027	22.937	OK			
04-12-2023	14:15:19.978	12.593	113.451	21.489	221	0	OK	04-12-2023	14:15:19.978	12.593	22.935	OK	04-12-2023	14:15:19.978	12.593	1013	OK	04-12-2023	14:15:20.167	12.782	109.416	21.397	129	0	OK	04-12-2023	14:15:20.167	12.782	22.935	OK	04-12-2023	14:15:20.167	12.782	1013	OK	04-12-2023	14:15:19.874	12.489	109.633	21.415	180	0	OK	04-12-2023	14:15:19.874	12.489	22.935	OK	04-12-2023	14:15:19.874	12.489	1013	OK	04-12-2023	14:15:20.066	12.681	113.906	21.610	240	0	OK	04-12-2023	14:15:20.066	12.681	22.935	OK	04-12-2023	14:15:20.066	12.681	1013	OK	04-12-2023	14:15:19.412	12.027	22.937	OK			
04-12-2023	14:15:20.980	13.595	113.414	21.493	221	0	OK	04-12-2023	14:15:20.980	13.595	22.932	OK	04-12-2023	14:15:20.980	13.595	1013	OK	04-12-2023	14:15:21.161	13.775	109.429	21.396	129	0	OK	04-12-2023	14:15:21.161	13.775	22.931	OK	04-12-2023	14:15:21.161	13.775	1013	OK	04-12-2023	14:15:20.875	13.490	109.694	21.409	180	0	OK	04-12-2023	14:15:20.875	13.490	22.932	OK	04-12-2023	14:15:20.875	13.490	1013	OK	04-12-2023	14:15:21.070	13.685	113.899	21.611	240	0	OK	04-12-2023	14:15:21.070	13.685	22.932	OK	04-12-2023	14:15:21.070	13.685	1013	OK	04-12-2023	14:15:20.413	13.028	22.934	OK			
