#--- Experiment --------------------------------------------------------------------------
#120423_23C_E11E12E13E14_tile
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.4] - Oxygen Sensor - XB7-536-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/24/2023	11/24/2023	23.486000	53.362000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.403000	19.245000	100.000000	21.411000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.4 Main]	Time [A Ch.4 Main]	 dt (s) [A Ch.4 Main]	Oxygen (%air sat.) [A Ch.4 Main]	dphi (°) [A Ch.4 Main]	Signal Intensity (mV) [A Ch.4 Main]	Ambient Light (mV) [A Ch.4 Main]	Status [A Ch.4 Main]	Date [A Ch.4 CompT]	Time [A Ch.4 CompT]	 dt (s) [A Ch.4 CompT]	Sample Temp. (°C) [A Ch.4 CompT]	Status [A Ch.4 CompT]	Date [A Ch.4 CompP]	Time [A Ch.4 CompP]	 dt (s) [A Ch.4 CompP]	Pressure (mbar) [A Ch.4 CompP]	Status [A Ch.4 CompP]
04-12-2023	14:15:08.179	0.794	113.995	21.601	240	0	OK	04-12-2023	14:15:08.179	0.794	22.936	OK	04-12-2023	14:15:08.179	0.794	1013	OK
04-12-2023	14:15:09.172	1.787	114.087	21.592	240	0	OK	04-12-2023	14:15:09.172	1.787	22.933	OK	04-12-2023	14:15:09.172	1.787	1013	OK
04-12-2023	14:15:10.178	2.793	114.065	21.594	240	1	OK	04-12-2023	14:15:10.178	2.793	22.935	OK	04-12-2023	14:15:10.178	2.793	1013	OK
04-12-2023	14:15:11.066	3.681	114.006	21.600	240	0	OK	04-12-2023	14:15:11.066	3.681	22.934	OK	04-12-2023	14:15:11.066	3.681	1013	OK
04-12-2023	14:15:12.068	4.682	114.017	21.599	240	0	OK	04-12-2023	14:15:12.068	4.682	22.933	OK	04-12-2023	14:15:12.068	4.682	1013	OK
04-12-2023	14:15:13.063	5.678	113.976	21.603	240	0	OK	04-12-2023	14:15:13.063	5.678	22.935	OK	04-12-2023	14:15:13.063	5.678	1013	OK
04-12-2023	14:15:14.066	6.681	113.987	21.602	240	0	OK	04-12-2023	14:15:14.066	6.681	22.933	OK	04-12-2023	14:15:14.066	6.681	1013	OK
04-12-2023	14:15:15.071	7.685	114.006	21.600	240	0	OK	04-12-2023	14:15:15.071	7.685	22.934	OK	04-12-2023	14:15:15.071	7.685	1013	OK
04-12-2023	14:15:16.064	8.679	113.866	21.614	240	0	OK	04-12-2023	14:15:16.064	8.679	22.935	OK	04-12-2023	14:15:16.064	8.679	1013	OK
04-12-2023	14:15:17.070	9.685	114.004	21.600	240	0	OK	04-12-2023	14:15:17.070	9.685	22.937	OK	04-12-2023	14:15:17.070	9.685	1013	OK
04-12-2023	14:15:18.070	10.684	113.993	21.601	240	0	OK	04-12-2023	14:15:18.070	10.684	22.938	OK	04-12-2023	14:15:18.070	10.684	1013	OK
04-12-2023	14:15:19.088	11.702	113.984	21.602	240	0	OK	04-12-2023	14:15:19.088	11.702	22.937	OK	04-12-2023	14:15:19.088	11.702	1013	OK
04-12-2023	14:15:20.066	12.681	113.906	21.610	240	0	OK	04-12-2023	14:15:20.066	12.681	22.935	OK	04-12-2023	14:15:20.066	12.681	1013	OK
04-12-2023	14:15:21.070	13.685	113.899	21.611	240	0	OK	04-12-2023	14:15:21.070	13.685	22.932	OK	04-12-2023	14:15:21.070	13.685	1013	OK
04-12-2023	14:15:22.073	14.688	113.909	21.610	240	0	OK	04-12-2023	14:15:22.073	14.688	22.932	OK	04-12-2023	14:15:22.073	14.688	1013	OK
04-12-2023	14:15:23.180	15.795	113.940	21.607	240	0	OK	04-12-2023	14:15:23.180	15.795	22.930	OK	04-12-2023	14:15:23.180	15.795	1013	OK
04-12-2023	14:15:24.176	16.791	113.958	21.605	240	0	OK	04-12-2023	14:15:24.176	16.791	22.933	OK	04-12-2023	14:15:24.176	16.791	1013	OK
04-12-2023	14:15:25.187	17.802	113.939	21.607	240	0	OK	04-12-2023	14:15:25.187	17.802	22.931	OK	04-12-2023	14:15:25.187	17.802	1013	OK
04-12-2023	14:15:26.185	18.800	113.921	21.609	240	0	OK	04-12-2023	14:15:26.185	18.800	22.930	OK	04-12-2023	14:15:26.185	18.800	1013	OK
04-12-2023	14:15:27.176	19.791	113.862	21.615	240	0	OK	04-12-2023	14:15:27.176	19.791	22.929	OK	04-12-2023	14:15:27.176	19.791	1013	OK
04-12-2023	14:15:28.186	20.801	113.905	21.611	240	0	OK	04-12-2023	14:15:28.186	20.801	22.925	OK	04-12-2023	14:15:28.186	20.801	1013	OK
04-12-2023	14:15:29.183	21.798	113.926	21.609	240	0	OK	04-12-2023	14:15:29.183	21.798	22.924	OK	04-12-2023	14:15:29.183	21.798	1013	OK
04-12-2023	14:15:30.178	22.793	113.925	21.609	240	0	OK	04-12-2023	14:15:30.178	22.793	22.925	OK	04-12-2023	14:15:30.178	22.793	1013	OK
04-12-2023	14:15:31.178	23.793	113.795	21.622	240	0	OK	04-12-2023	14:15:31.178	23.793	22.926	OK	04-12-2023	14:15:31.178	23.793	1013	OK
04-12-2023	14:15:32.188	24.803	113.981	21.603	240	0	OK	04-12-2023	14:15:32.188	24.803	22.929	OK	04-12-2023	14:15:32.188	24.803	1013	OK
04-12-2023	14:15:33.192	25.807	113.964	21.605	240	0	OK	04-12-2023	14:15:33.192	25.807	22.926	OK	04-12-2023	14:15:33.192	25.807	1013	OK
04-12-2023	14:15:34.184	26.798	113.994	21.602	240	0	OK	04-12-2023	14:15:34.184	26.798	22.926	OK	04-12-2023	14:15:34.184	26.798	1013	OK
04-12-2023	14:15:35.187	27.802	113.915	21.610	240	0	OK	04-12-2023	14:15:35.187	27.802	22.925	OK	04-12-2023	14:15:35.187	27.802	1013	OK
04-12-2023	14:15:36.186	28.801	113.935	21.608	240	0	OK	04-12-2023	14:15:36.186	28.801	22.925	OK	04-12-2023	14:15:36.186	28.801	1013	OK
04-12-2023	14:15:37.203	29.818	114.005	21.601	240	0	OK	04-12-2023	14:15:37.203	29.818	22.924	OK	04-12-2023	14:15:37.203	29.818	1013	OK
04-12-2023	14:15:38.179	30.794	113.886	21.613	240	0	OK	04-12-2023	14:15:38.179	30.794	22.924	OK	04-12-2023	14:15:38.179	30.794	1013	OK
04-12-2023	14:15:39.194	31.809	113.909	21.611	240	0	OK	04-12-2023	14:15:39.194	31.809	22.921	OK	04-12-2023	14:15:39.194	31.809	1013	OK
04-12-2023	14:15:40.195	32.809	113.946	21.607	240	0	OK	04-12-2023	14:15:40.195	32.809	22.924	OK	04-12-2023	14:15:40.195	32.809	1013	OK
04-12-2023	14:15:41.190	33.805	113.861	21.615	240	0	OK	04-12-2023	14:15:41.190	33.805	22.930	OK	04-12-2023	14:15:41.190	33.805	1013	OK
04-12-2023	14:15:42.186	34.800	114.016	21.599	240	0	OK	04-12-2023	14:15:42.186	34.800	22.934	OK	04-12-2023	14:15:42.186	34.800	1013	OK
04-12-2023	14:15:43.196	35.810	113.924	21.608	240	0	OK	04-12-2023	14:15:43.196	35.810	22.937	OK	04-12-2023	14:15:43.196	35.810	1013	OK
04-12-2023	14:15:44.190	36.805	113.788	21.622	240	0	OK	04-12-2023	14:15:44.190	36.805	22.934	OK	04-12-2023	14:15:44.190	36.805	1013	OK
04-12-2023	14:15:45.184	37.799	113.948	21.606	240	0	OK	04-12-2023	14:15:45.184	37.799	22.933	OK	04-12-2023	14:15:45.184	37.799	1013	OK
04-12-2023	14:15:46.188	38.803	113.940	21.607	240	0	OK	04-12-2023	14:15:46.188	38.803	22.930	OK	04-12-2023	14:15:46.188	38.803	1013	OK
04-12-2023	14:15:47.193	39.808	113.873	21.614	240	0	OK	04-12-2023	14:15:47.193	39.808	22.928	OK	04-12-2023	14:15:47.193	39.808	1013	OK
04-12-2023	14:15:48.194	40.809	113.837	21.618	240	0	OK	04-12-2023	14:15:48.194	40.809	22.924	OK	04-12-2023	14:15:48.194	40.809	1013	OK
04-12-2023	14:15:49.187	41.802	113.895	21.612	240	0	OK	04-12-2023	14:15:49.187	41.802	22.925	OK	04-12-2023	14:15:49.187	41.802	1013	OK
04-12-2023	14:15:50.199	42.814	113.835	21.618	240	0	OK	04-12-2023	14:15:50.199	42.814	22.926	OK	04-12-2023	14:15:50.199	42.814	1013	OK
