#--- Experiment --------------------------------------------------------------------------
#120523_23C_E11A15B15E15
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - XB7-538-217 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/24/2023	11/24/2023	23.326000	53.493000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.203000	19.184000	100.000000	21.670000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (%air sat.) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
05-12-2023	10:20:09.625	0.794	113.911	21.444	228	0	OK	05-12-2023	10:20:09.625	0.794	22.920	OK	05-12-2023	10:20:09.625	0.794	1013	OK
05-12-2023	10:20:10.626	1.795	113.901	21.445	228	0	OK	05-12-2023	10:20:10.626	1.795	22.920	OK	05-12-2023	10:20:10.626	1.795	1013	OK
05-12-2023	10:20:11.627	2.796	113.850	21.450	228	0	OK	05-12-2023	10:20:11.627	2.796	22.921	OK	05-12-2023	10:20:11.627	2.796	1013	OK
05-12-2023	10:20:12.627	3.796	113.880	21.447	228	0	OK	05-12-2023	10:20:12.627	3.796	22.921	OK	05-12-2023	10:20:12.627	3.796	1013	OK
05-12-2023	10:20:13.624	4.793	113.907	21.444	228	0	OK	05-12-2023	10:20:13.624	4.793	22.924	OK	05-12-2023	10:20:13.624	4.793	1013	OK
05-12-2023	10:20:14.627	5.796	113.953	21.439	228	0	OK	05-12-2023	10:20:14.627	5.796	22.928	OK	05-12-2023	10:20:14.627	5.796	1013	OK
05-12-2023	10:20:15.625	6.794	113.873	21.447	228	0	OK	05-12-2023	10:20:15.625	6.794	22.928	OK	05-12-2023	10:20:15.625	6.794	1013	OK
05-12-2023	10:20:16.625	7.793	113.873	21.447	228	0	OK	05-12-2023	10:20:16.625	7.793	22.929	OK	05-12-2023	10:20:16.625	7.793	1013	OK
05-12-2023	10:20:17.625	8.793	113.910	21.443	228	0	OK	05-12-2023	10:20:17.625	8.793	22.931	OK	05-12-2023	10:20:17.625	8.793	1013	OK
05-12-2023	10:20:18.628	9.797	113.909	21.443	228	0	OK	05-12-2023	10:20:18.628	9.797	22.933	OK	05-12-2023	10:20:18.628	9.797	1013	OK
05-12-2023	10:20:19.628	10.797	113.868	21.447	228	0	OK	05-12-2023	10:20:19.628	10.797	22.934	OK	05-12-2023	10:20:19.628	10.797	1013	OK
05-12-2023	10:20:20.627	11.796	113.927	21.441	228	0	OK	05-12-2023	10:20:20.627	11.796	22.935	OK	05-12-2023	10:20:20.627	11.796	1013	OK
05-12-2023	10:20:21.633	12.802	113.837	21.450	228	0	OK	05-12-2023	10:20:21.633	12.802	22.935	OK	05-12-2023	10:20:21.633	12.802	1013	OK
05-12-2023	10:20:22.632	13.800	113.788	21.455	228	0	OK	05-12-2023	10:20:22.632	13.800	22.935	OK	05-12-2023	10:20:22.632	13.800	1013	OK
05-12-2023	10:20:23.628	14.797	113.984	21.435	228	0	OK	05-12-2023	10:20:23.628	14.797	22.938	OK	05-12-2023	10:20:23.628	14.797	1013	OK
05-12-2023	10:20:24.633	15.802	113.834	21.450	228	0	OK	05-12-2023	10:20:24.633	15.802	22.939	OK	05-12-2023	10:20:24.633	15.802	1013	OK
