#--- Experiment --------------------------------------------------------------------------
#120523_23C_E11A15B15E15
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
05-12-2023	10:20:09.032	0.201	22.921	OK
05-12-2023	10:20:10.050	1.219	22.921	OK
05-12-2023	10:20:11.052	2.220	22.919	OK
05-12-2023	10:20:12.049	3.218	22.922	OK
05-12-2023	10:20:13.052	4.220	22.923	OK
05-12-2023	10:20:14.054	5.223	22.925	OK
05-12-2023	10:20:15.051	6.219	22.927	OK
05-12-2023	10:20:16.052	7.220	22.928	OK
05-12-2023	10:20:17.054	8.222	22.929	OK
05-12-2023	10:20:18.052	9.220	22.931	OK
05-12-2023	10:20:19.053	10.222	22.935	OK
05-12-2023	10:20:20.053	11.222	22.935	OK
05-12-2023	10:20:21.052	12.220	22.934	OK
05-12-2023	10:20:22.052	13.221	22.934	OK
05-12-2023	10:20:23.053	14.222	22.936	OK
05-12-2023	10:20:24.056	15.225	22.939	OK
05-12-2023	10:20:25.053	16.222	22.940	OK
05-12-2023	10:20:26.054	17.222	22.940	OK
05-12-2023	10:20:27.055	18.223	22.940	OK
05-12-2023	10:20:28.054	19.223	22.939	OK
05-12-2023	10:20:29.055	20.224	22.939	OK
05-12-2023	10:20:30.059	21.228	22.937	OK
05-12-2023	10:20:31.055	22.223	22.936	OK
05-12-2023	10:20:32.055	23.224	22.935	OK
05-12-2023	10:20:33.056	24.225	22.936	OK
05-12-2023	10:20:34.055	25.224	22.935	OK
05-12-2023	10:20:35.057	26.226	22.936	OK
05-12-2023	10:20:36.059	27.228	22.933	OK
05-12-2023	10:20:37.057	28.226	22.932	OK
05-12-2023	10:20:38.059	29.228	22.928	OK
05-12-2023	10:20:39.058	30.227	22.927	OK
05-12-2023	10:20:40.057	31.226	22.927	OK
05-12-2023	10:20:41.058	32.227	22.927	OK
05-12-2023	10:20:42.058	33.227	22.928	OK
05-12-2023	10:20:43.060	34.229	22.927	OK
05-12-2023	10:20:44.063	35.232	22.924	OK
05-12-2023	10:20:45.061	36.230	22.922	OK
05-12-2023	10:20:46.063	37.232	22.922	OK
05-12-2023	10:20:47.064	38.233	22.926	OK
05-12-2023	10:20:48.063	39.232	22.929	OK
05-12-2023	10:20:49.063	40.231	22.931	OK
05-12-2023	10:20:50.063	41.232	22.933	OK
05-12-2023	10:20:51.064	42.233	22.935	OK
05-12-2023	10:20:52.064	43.233	22.936	OK
05-12-2023	10:20:53.066	44.235	22.937	OK
05-12-2023	10:20:54.065	45.234	22.939	OK
05-12-2023	10:20:55.067	46.236	22.941	OK
05-12-2023	10:20:56.067	47.235	22.942	OK
05-12-2023	10:20:57.065	48.234	22.941	OK
05-12-2023	10:20:58.066	49.235	22.940	OK
05-12-2023	10:20:59.066	50.234	22.940	OK
05-12-2023	10:21:00.065	51.234	22.940	OK
05-12-2023	10:21:01.065	52.234	22.939	OK
05-12-2023	10:21:02.067	53.235	22.938	OK
05-12-2023	10:21:03.066	54.234	22.937	OK
05-12-2023	10:21:04.066	55.235	22.939	OK
05-12-2023	10:21:05.069	56.237	22.939	OK
05-12-2023	10:21:06.066	57.234	22.939	OK
05-12-2023	10:21:07.068	58.237	22.941	OK
05-12-2023	10:21:08.067	59.236	22.942	OK
05-12-2023	10:21:09.067	60.236	22.943	OK
05-12-2023	10:21:10.070	61.239	22.945	OK
05-12-2023	10:21:11.068	62.237	22.945	OK
05-12-2023	10:21:12.069	63.238	22.946	OK
05-12-2023	10:21:13.068	64.236	22.946	OK
05-12-2023	10:21:14.070	65.238	22.945	OK
05-12-2023	10:21:15.069	66.238	22.946	OK
05-12-2023	10:21:16.071	67.239	22.944	OK
05-12-2023	10:21:17.071	68.240	22.942	OK
05-12-2023	10:21:18.071	69.240	22.942	OK
05-12-2023	10:21:19.072	70.240	22.942	OK
05-12-2023	10:21:20.070	71.239	22.944	OK
05-12-2023	10:21:21.073	72.242	22.944	OK
05-12-2023	10:21:22.072	73.241	22.944	OK
05-12-2023	10:21:23.073	74.242	22.941	OK
05-12-2023	10:21:24.072	75.240	22.945	OK
05-12-2023	10:21:25.072	76.241	22.946	OK
05-12-2023	10:21:26.073	77.242	22.949	OK
05-12-2023	10:21:27.073	78.242	22.947	OK
05-12-2023	10:21:28.073	79.241	22.946	OK
05-12-2023	10:21:29.073	80.242	22.947	OK
05-12-2023	10:21:30.076	81.244	22.946	OK
05-12-2023	10:21:31.076	82.245	22.945	OK
05-12-2023	10:21:32.074	83.242	22.946	OK
05-12-2023	10:21:33.079	84.247	22.949	OK
05-12-2023	10:21:34.078	85.247	22.951	OK
05-12-2023	10:21:35.075	86.244	22.951	OK
05-12-2023	10:21:36.076	87.244	22.950	OK
05-12-2023	10:21:37.079	88.248	22.949	OK
05-12-2023	10:21:38.078	89.247	22.950	OK
05-12-2023	10:21:39.077	90.246	22.949	OK
05-12-2023	10:21:40.078	91.246	22.950	OK
05-12-2023	10:21:41.079	92.247	22.952	OK
