#--- Experiment --------------------------------------------------------------------------
#120523_23C_E11A15B15E15_tile
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.2] - Oxygen Sensor - XB7-528-210 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/24/2023	11/24/2023	22.788000	52.916000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.304000	19.227000	100.000000	21.417000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (%air sat.) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]
05-12-2023	13:50:14.434	0.596	110.000	21.320	128	0	OK	05-12-2023	13:50:14.434	0.596	23.116	OK	05-12-2023	13:50:14.434	0.596	1013	OK
05-12-2023	13:50:15.435	1.598	109.915	21.329	128	0	OK	05-12-2023	13:50:15.435	1.598	23.114	OK	05-12-2023	13:50:15.435	1.598	1013	OK
05-12-2023	13:50:16.437	2.599	110.063	21.314	128	1	OK	05-12-2023	13:50:16.437	2.599	23.111	OK	05-12-2023	13:50:16.437	2.599	1013	OK
05-12-2023	13:50:17.437	3.599	109.979	21.323	128	0	OK	05-12-2023	13:50:17.437	3.599	23.107	OK	05-12-2023	13:50:17.437	3.599	1013	OK
05-12-2023	13:50:18.435	4.597	109.981	21.323	128	0	OK	05-12-2023	13:50:18.435	4.597	23.105	OK	05-12-2023	13:50:18.435	4.597	1013	OK
05-12-2023	13:50:19.436	5.598	110.051	21.316	128	0	OK	05-12-2023	13:50:19.436	5.598	23.103	OK	05-12-2023	13:50:19.436	5.598	1013	OK
05-12-2023	13:50:20.436	6.598	109.868	21.335	128	0	OK	05-12-2023	13:50:20.436	6.598	23.101	OK	05-12-2023	13:50:20.436	6.598	1013	OK
05-12-2023	13:50:21.435	7.598	109.997	21.322	128	0	OK	05-12-2023	13:50:21.435	7.598	23.098	OK	05-12-2023	13:50:21.435	7.598	1013	OK
05-12-2023	13:50:22.436	8.598	109.959	21.326	128	0	OK	05-12-2023	13:50:22.436	8.598	23.097	OK	05-12-2023	13:50:22.436	8.598	1013	OK
05-12-2023	13:50:23.437	9.599	110.064	21.316	128	1	OK	05-12-2023	13:50:23.437	9.599	23.088	OK	05-12-2023	13:50:23.437	9.599	1013	OK
05-12-2023	13:50:24.435	10.597	109.930	21.330	128	0	OK	05-12-2023	13:50:24.435	10.597	23.086	OK	05-12-2023	13:50:24.435	10.597	1013	OK
05-12-2023	13:50:25.435	11.598	110.053	21.318	128	1	OK	05-12-2023	13:50:25.435	11.598	23.079	OK	05-12-2023	13:50:25.435	11.598	1013	OK
05-12-2023	13:50:26.438	12.600	110.031	21.320	128	0	OK	05-12-2023	13:50:26.438	12.600	23.081	OK	05-12-2023	13:50:26.438	12.600	1013	OK
05-12-2023	13:50:27.436	13.598	110.020	21.321	129	0	OK	05-12-2023	13:50:27.436	13.598	23.083	OK	05-12-2023	13:50:27.436	13.598	1013	OK
05-12-2023	13:50:28.438	14.600	109.919	21.331	129	0	OK	05-12-2023	13:50:28.438	14.600	23.088	OK	05-12-2023	13:50:28.438	14.600	1013	OK
