#--- Experiment --------------------------------------------------------------------------
#120523_23C_E11A15B15E15_tile
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
05-12-2023	13:50:13.854	0.016	23.118	OK
05-12-2023	13:50:14.857	1.019	23.114	OK
05-12-2023	13:50:15.854	2.016	23.112	OK
05-12-2023	13:50:16.857	3.019	23.110	OK
05-12-2023	13:50:17.856	4.018	23.108	OK
05-12-2023	13:50:18.855	5.017	23.104	OK
05-12-2023	13:50:19.858	6.020	23.103	OK
05-12-2023	13:50:20.858	7.020	23.099	OK
05-12-2023	13:50:21.857	8.020	23.098	OK
05-12-2023	13:50:22.857	9.019	23.093	OK
05-12-2023	13:50:23.860	10.022	23.088	OK
05-12-2023	13:50:24.861	11.023	23.083	OK
05-12-2023	13:50:25.859	12.021	23.080	OK
05-12-2023	13:50:26.861	13.023	23.081	OK
05-12-2023	13:50:27.861	14.023	23.084	OK
05-12-2023	13:50:28.858	15.021	23.090	OK
05-12-2023	13:50:29.861	16.023	23.093	OK
05-12-2023	13:50:30.862	17.024	23.097	OK
05-12-2023	13:50:31.861	18.023	23.100	OK
05-12-2023	13:50:32.863	19.026	23.103	OK
05-12-2023	13:50:33.863	20.025	23.104	OK
05-12-2023	13:50:34.862	21.024	23.107	OK
05-12-2023	13:50:35.863	22.026	23.107	OK
05-12-2023	13:50:36.864	23.027	23.108	OK
05-12-2023	13:50:37.863	24.025	23.108	OK
05-12-2023	13:50:38.866	25.028	23.110	OK
05-12-2023	13:50:39.866	26.028	23.110	OK
05-12-2023	13:50:40.864	27.026	23.113	OK
05-12-2023	13:50:41.866	28.028	23.111	OK
05-12-2023	13:50:42.867	29.029	23.110	OK
05-12-2023	13:50:43.864	30.027	23.107	OK
05-12-2023	13:50:44.867	31.029	23.104	OK
05-12-2023	13:50:45.866	32.028	23.104	OK
05-12-2023	13:50:46.865	33.027	23.103	OK
05-12-2023	13:50:47.867	34.029	23.104	OK
05-12-2023	13:50:48.868	35.031	23.106	OK
05-12-2023	13:50:49.869	36.031	23.109	OK
05-12-2023	13:50:50.869	37.031	23.112	OK
05-12-2023	13:50:51.869	38.032	23.114	OK
05-12-2023	13:50:52.870	39.032	23.112	OK
05-12-2023	13:50:53.869	40.032	23.112	OK
05-12-2023	13:50:54.872	41.034	23.112	OK
05-12-2023	13:50:55.873	42.035	23.114	OK
05-12-2023	13:50:56.870	43.033	23.114	OK
05-12-2023	13:50:57.871	44.033	23.114	OK
05-12-2023	13:50:58.874	45.036	23.112	OK
05-12-2023	13:50:59.872	46.034	23.112	OK
05-12-2023	13:51:00.874	47.036	23.111	OK
05-12-2023	13:51:01.876	48.038	23.111	OK
05-12-2023	13:51:02.874	49.036	23.112	OK
05-12-2023	13:51:03.876	50.038	23.112	OK
05-12-2023	13:51:04.878	51.040	23.111	OK
05-12-2023	13:51:05.877	52.040	23.108	OK
05-12-2023	13:51:06.879	53.041	23.110	OK
05-12-2023	13:51:07.879	54.041	23.112	OK
05-12-2023	13:51:08.877	55.039	23.115	OK
05-12-2023	13:51:09.879	56.041	23.114	OK
05-12-2023	13:51:10.880	57.042	23.112	OK
05-12-2023	13:51:11.878	58.040	23.113	OK
05-12-2023	13:51:12.879	59.041	23.116	OK
05-12-2023	13:51:13.879	60.041	23.119	OK
05-12-2023	13:51:14.879	61.041	23.120	OK
05-12-2023	13:51:15.881	62.043	23.119	OK
05-12-2023	13:51:16.883	63.045	23.120	OK
05-12-2023	13:51:17.884	64.046	23.121	OK
05-12-2023	13:51:18.882	65.044	23.124	OK
05-12-2023	13:51:19.884	66.047	23.124	OK
05-12-2023	13:51:20.884	67.046	23.126	OK
05-12-2023	13:51:21.882	68.045	23.124	OK
05-12-2023	13:51:22.883	69.046	23.123	OK
05-12-2023	13:51:23.885	70.047	23.123	OK
05-12-2023	13:51:24.883	71.045	23.126	OK
05-12-2023	13:51:25.885	72.047	23.127	OK
05-12-2023	13:51:26.886	73.048	23.128	OK
05-12-2023	13:51:27.884	74.047	23.130	OK
05-12-2023	13:51:28.887	75.049	23.132	OK
05-12-2023	13:51:29.889	76.052	23.136	OK
05-12-2023	13:51:30.886	77.049	23.136	OK
05-12-2023	13:51:31.886	78.049	23.133	OK
05-12-2023	13:51:32.886	79.048	23.130	OK
05-12-2023	13:51:33.886	80.048	23.125	OK
05-12-2023	13:51:34.888	81.050	23.122	OK
05-12-2023	13:51:35.889	82.051	23.120	OK
05-12-2023	13:51:36.887	83.049	23.118	OK
05-12-2023	13:51:37.889	84.052	23.117	OK
05-12-2023	13:51:38.889	85.051	23.116	OK
05-12-2023	13:51:39.887	86.049	23.117	OK
05-12-2023	13:51:40.889	87.051	23.115	OK
05-12-2023	13:51:41.891	88.053	23.114	OK
05-12-2023	13:51:42.890	89.052	23.114	OK
05-12-2023	13:51:43.892	90.054	23.116	OK
05-12-2023	13:51:44.893	91.055	23.118	OK
05-12-2023	13:51:45.893	92.055	23.121	OK
05-12-2023	13:51:46.892	93.054	23.122	OK
05-12-2023	13:51:47.894	94.057	23.121	OK
05-12-2023	13:51:48.895	95.057	23.123	OK
05-12-2023	13:51:49.894	96.056	23.120	OK
05-12-2023	13:51:50.896	97.058	23.124	OK
05-12-2023	13:51:51.894	98.057	23.125	OK
05-12-2023	13:51:52.893	99.056	23.128	OK
05-12-2023	13:51:53.893	100.056	23.130	OK
05-12-2023	13:51:54.894	101.056	23.127	OK
05-12-2023	13:51:55.894	102.056	23.126	OK
05-12-2023	13:51:56.897	103.059	23.123	OK
05-12-2023	13:51:57.896	104.058	23.121	OK
05-12-2023	13:51:58.896	105.058	23.121	OK
05-12-2023	13:51:59.898	106.060	23.125	OK
05-12-2023	13:52:00.898	107.060	23.130	OK
05-12-2023	13:52:01.896	108.058	23.132	OK
05-12-2023	13:52:02.898	109.061	23.130	OK
05-12-2023	13:52:03.899	110.061	23.125	OK
05-12-2023	13:52:04.897	111.059	23.121	OK
05-12-2023	13:52:05.898	112.061	23.118	OK
05-12-2023	13:52:06.899	113.061	23.118	OK
05-12-2023	13:52:07.898	114.060	23.119	OK
05-12-2023	13:52:08.900	115.062	23.119	OK
05-12-2023	13:52:09.900	116.062	23.118	OK
05-12-2023	13:52:10.898	117.061	23.115	OK
05-12-2023	13:52:11.901	118.063	23.113	OK
05-12-2023	13:52:12.899	119.062	23.113	OK
05-12-2023	13:52:13.899	120.062	23.116	OK
05-12-2023	13:52:14.899	121.061	23.120	OK
05-12-2023	13:52:15.900	122.063	23.123	OK
05-12-2023	13:52:16.902	123.064	23.122	OK
05-12-2023	13:52:17.899	124.061	23.124	OK
05-12-2023	13:52:18.903	125.065	23.121	OK
05-12-2023	13:52:19.905	126.068	23.121	OK
05-12-2023	13:52:20.902	127.065	23.122	OK
05-12-2023	13:52:21.905	128.067	23.121	OK
05-12-2023	13:52:22.905	129.067	23.122	OK
05-12-2023	13:52:23.905	130.067	23.123	OK
05-12-2023	13:52:24.908	131.070	23.122	OK
05-12-2023	13:52:25.907	132.070	23.125	OK
05-12-2023	13:52:26.905	133.068	23.125	OK
05-12-2023	13:52:27.909	134.071	23.125	OK
05-12-2023	13:52:28.909	135.072	23.125	OK
05-12-2023	13:52:29.908	136.070	23.121	OK
05-12-2023	13:52:30.907	137.069	23.118	OK
05-12-2023	13:52:31.909	138.071	23.115	OK
05-12-2023	13:52:32.909	139.071	23.117	OK
05-12-2023	13:52:33.909	140.071	23.120	OK
05-12-2023	13:52:34.908	141.071	23.124	OK
05-12-2023	13:52:35.908	142.070	23.125	OK
05-12-2023	13:52:36.909	143.071	23.127	OK
05-12-2023	13:52:37.910	144.072	23.128	OK
05-12-2023	13:52:38.909	145.072	23.128	OK
05-12-2023	13:52:39.910	146.073	23.126	OK
05-12-2023	13:52:40.912	147.074	23.120	OK
05-12-2023	13:52:41.912	148.075	23.117	OK
05-12-2023	13:52:42.913	149.075	23.114	OK
05-12-2023	13:52:43.913	150.075	23.115	OK
05-12-2023	13:52:44.912	151.075	23.116	OK
05-12-2023	13:52:45.913	152.075	23.119	OK
05-12-2023	13:52:46.917	153.079	23.121	OK
05-12-2023	13:52:47.916	154.078	23.121	OK
05-12-2023	13:52:48.913	155.076	23.120	OK
05-12-2023	13:52:49.916	156.079	23.116	OK
05-12-2023	13:52:50.918	157.080	23.110	OK
05-12-2023	13:52:51.914	158.077	23.100	OK
05-12-2023	13:52:52.918	159.080	23.087	OK
05-12-2023	13:52:53.917	160.079	23.075	OK
05-12-2023	13:52:54.916	161.078	23.070	OK
05-12-2023	13:52:55.918	162.081	23.070	OK
05-12-2023	13:52:56.919	163.082	23.074	OK
05-12-2023	13:52:57.917	164.079	23.082	OK
05-12-2023	13:52:58.919	165.081	23.087	OK
05-12-2023	13:52:59.919	166.081	23.088	OK
05-12-2023	13:53:00.916	167.078	23.083	OK
05-12-2023	13:53:01.920	168.082	23.082	OK
05-12-2023	13:53:02.920	169.082	23.080	OK
05-12-2023	13:53:03.918	170.080	23.082	OK
05-12-2023	13:53:04.920	171.082	23.082	OK
05-12-2023	13:53:05.918	172.080	23.081	OK
05-12-2023	13:53:06.917	173.080	23.079	OK
05-12-2023	13:53:07.921	174.083	23.077	OK
05-12-2023	13:53:08.921	175.083	23.075	OK
05-12-2023	13:53:09.918	176.080	23.072	OK
05-12-2023	13:53:10.921	177.083	23.074	OK
05-12-2023	13:53:11.919	178.082	23.076	OK
05-12-2023	13:53:12.919	179.081	23.081	OK
05-12-2023	13:53:13.921	180.083	23.083	OK
05-12-2023	13:53:14.923	181.085	23.084	OK
05-12-2023	13:53:15.921	182.083	23.093	OK
05-12-2023	13:53:16.922	183.085	23.104	OK
05-12-2023	13:53:17.923	184.086	23.112	OK
05-12-2023	13:53:18.925	185.087	23.119	OK
05-12-2023	13:53:19.924	186.086	23.123	OK
05-12-2023	13:53:20.926	187.088	23.124	OK
05-12-2023	13:53:21.926	188.088	23.124	OK
05-12-2023	13:53:22.923	189.086	23.122	OK
05-12-2023	13:53:23.926	190.088	23.122	OK
05-12-2023	13:53:24.926	191.088	23.123	OK
05-12-2023	13:53:25.924	192.086	23.124	OK
05-12-2023	13:53:26.925	193.087	23.118	OK
05-12-2023	13:53:27.923	194.086	23.112	OK
05-12-2023	13:53:28.926	195.088	23.110	OK
