#--- Experiment --------------------------------------------------------------------------
#120623_23C_B12A13emptyx2_cory
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - XB7-538-217 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/24/2023	11/24/2023	23.326000	53.493000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.203000	19.184000	100.000000	21.670000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (%air sat.) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
06-12-2023	12:09:50.668	0.494	115.670	21.270	220	0	OK	06-12-2023	12:09:50.668	0.494	22.905	OK	06-12-2023	12:09:50.668	0.494	1013	OK
06-12-2023	12:09:51.672	1.498	115.617	21.275	220	0	OK	06-12-2023	12:09:51.672	1.498	22.907	OK	06-12-2023	12:09:51.672	1.498	1013	OK
06-12-2023	12:09:52.672	2.499	115.576	21.279	220	0	OK	06-12-2023	12:09:52.672	2.499	22.908	OK	06-12-2023	12:09:52.672	2.499	1013	OK
06-12-2023	12:09:53.669	3.496	115.647	21.272	220	0	OK	06-12-2023	12:09:53.669	3.496	22.908	OK	06-12-2023	12:09:53.669	3.496	1013	OK
06-12-2023	12:09:54.672	4.498	115.606	21.276	220	0	OK	06-12-2023	12:09:54.672	4.498	22.908	OK	06-12-2023	12:09:54.672	4.498	1013	OK
06-12-2023	12:09:55.671	5.497	115.648	21.272	220	0	OK	06-12-2023	12:09:55.671	5.497	22.906	OK	06-12-2023	12:09:55.671	5.497	1013	OK
06-12-2023	12:09:56.669	6.495	115.525	21.284	220	0	OK	06-12-2023	12:09:56.669	6.495	22.908	OK	06-12-2023	12:09:56.669	6.495	1013	OK
06-12-2023	12:09:57.671	7.497	115.486	21.288	220	0	OK	06-12-2023	12:09:57.671	7.497	22.907	OK	06-12-2023	12:09:57.671	7.497	1013	OK
06-12-2023	12:09:58.674	8.500	115.627	21.274	220	0	OK	06-12-2023	12:09:58.674	8.500	22.907	OK	06-12-2023	12:09:58.674	8.500	1013	OK
06-12-2023	12:09:59.671	9.498	115.660	21.271	220	0	OK	06-12-2023	12:09:59.671	9.498	22.904	OK	06-12-2023	12:09:59.671	9.498	1013	OK
06-12-2023	12:10:00.674	10.500	115.591	21.278	220	0	OK	06-12-2023	12:10:00.674	10.500	22.902	OK	06-12-2023	12:10:00.674	10.500	1013	OK
06-12-2023	12:10:01.672	11.498	115.695	21.268	220	0	OK	06-12-2023	12:10:01.672	11.498	22.899	OK	06-12-2023	12:10:01.672	11.498	1013	OK
06-12-2023	12:10:02.675	12.501	115.555	21.282	220	0	OK	06-12-2023	12:10:02.675	12.501	22.898	OK	06-12-2023	12:10:02.675	12.501	1013	OK
06-12-2023	12:10:03.674	13.501	115.656	21.272	220	0	OK	06-12-2023	12:10:03.674	13.501	22.898	OK	06-12-2023	12:10:03.674	13.501	1013	OK
06-12-2023	12:10:04.672	14.498	115.405	21.297	220	0	OK	06-12-2023	12:10:04.672	14.498	22.896	OK	06-12-2023	12:10:04.672	14.498	1013	OK
