#--- Experiment --------------------------------------------------------------------------
#120823_15C_A1B1A2B2A3B3_cory
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.3] - Oxygen Sensor - XA7-533-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	12/7/2023	12/7/2023	22.565000	52.772000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1016.123000	20.208000	100.000000	21.231000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.3 Main]	Time [A Ch.3 Main]	 dt (s) [A Ch.3 Main]	Oxygen (%air sat.) [A Ch.3 Main]	dphi (°) [A Ch.3 Main]	Signal Intensity (mV) [A Ch.3 Main]	Ambient Light (mV) [A Ch.3 Main]	Status [A Ch.3 Main]	Date [A Ch.3 CompT]	Time [A Ch.3 CompT]	 dt (s) [A Ch.3 CompT]	Sample Temp. (°C) [A Ch.3 CompT]	Status [A Ch.3 CompT]	Date [A Ch.3 CompP]	Time [A Ch.3 CompP]	 dt (s) [A Ch.3 CompP]	Pressure (mbar) [A Ch.3 CompP]	Status [A Ch.3 CompP]
08-12-2023	11:50:56.751	0.805	97.723	23.368	210	0	OK	08-12-2023	11:50:56.751	0.805	15.481	OK	08-12-2023	11:50:56.751	0.805	1013	OK
08-12-2023	11:50:57.750	1.805	97.699	23.371	210	1	OK	08-12-2023	11:50:57.750	1.805	15.480	OK	08-12-2023	11:50:57.750	1.805	1013	OK
08-12-2023	11:50:58.754	2.809	97.692	23.372	210	1	OK	08-12-2023	11:50:58.754	2.809	15.479	OK	08-12-2023	11:50:58.754	2.809	1013	OK
08-12-2023	11:50:59.751	3.806	97.715	23.369	210	0	OK	08-12-2023	11:50:59.751	3.806	15.481	OK	08-12-2023	11:50:59.751	3.806	1013	OK
08-12-2023	11:51:00.751	4.806	97.733	23.367	210	0	OK	08-12-2023	11:51:00.751	4.806	15.479	OK	08-12-2023	11:51:00.751	4.806	1013	OK
08-12-2023	11:51:01.752	5.807	97.659	23.376	210	0	OK	08-12-2023	11:51:01.752	5.807	15.478	OK	08-12-2023	11:51:01.752	5.807	1013	OK
08-12-2023	11:51:02.753	6.808	97.668	23.375	210	0	OK	08-12-2023	11:51:02.753	6.808	15.477	OK	08-12-2023	11:51:02.753	6.808	1013	OK
08-12-2023	11:51:03.754	7.809	97.760	23.364	210	0	OK	08-12-2023	11:51:03.754	7.809	15.477	OK	08-12-2023	11:51:03.754	7.809	1013	OK
08-12-2023	11:51:04.759	8.814	97.742	23.366	210	1	OK	08-12-2023	11:51:04.759	8.814	15.478	OK	08-12-2023	11:51:04.759	8.814	1013	OK
08-12-2023	11:51:05.756	9.811	97.708	23.370	210	1	OK	08-12-2023	11:51:05.756	9.811	15.479	OK	08-12-2023	11:51:05.756	9.811	1013	OK
08-12-2023	11:51:06.757	10.811	97.780	23.361	210	1	OK	08-12-2023	11:51:06.757	10.811	15.482	OK	08-12-2023	11:51:06.757	10.811	1013	OK
08-12-2023	11:51:07.761	11.816	97.766	23.363	210	0	OK	08-12-2023	11:51:07.761	11.816	15.479	OK	08-12-2023	11:51:07.761	11.816	1013	OK
08-12-2023	11:51:08.759	12.814	97.693	23.372	210	0	OK	08-12-2023	11:51:08.759	12.814	15.477	OK	08-12-2023	11:51:08.759	12.814	1013	OK
08-12-2023	11:51:09.760	13.815	97.710	23.370	210	0	OK	08-12-2023	11:51:09.760	13.815	15.477	OK	08-12-2023	11:51:09.760	13.815	1013	OK
08-12-2023	11:51:10.759	14.813	97.688	23.373	210	0	OK	08-12-2023	11:51:10.759	14.813	15.474	OK	08-12-2023	11:51:10.759	14.813	1013	OK
