#--- Experiment --------------------------------------------------------------------------
#120823_15C_A1B1A2B2A3B3_cory
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
08-12-2023	11:50:57.124	1.178	15.480	OK
08-12-2023	11:50:58.124	2.179	15.479	OK
08-12-2023	11:50:59.124	3.178	15.480	OK
08-12-2023	11:51:00.124	4.179	15.480	OK
08-12-2023	11:51:01.125	5.179	15.478	OK
08-12-2023	11:51:02.124	6.178	15.478	OK
08-12-2023	11:51:03.125	7.179	15.474	OK
08-12-2023	11:51:04.126	8.181	15.478	OK
08-12-2023	11:51:05.125	9.180	15.478	OK
08-12-2023	11:51:06.125	10.180	15.480	OK
08-12-2023	11:51:07.125	11.180	15.479	OK
08-12-2023	11:51:08.125	12.180	15.477	OK
08-12-2023	11:51:09.126	13.181	15.477	OK
08-12-2023	11:51:10.126	14.181	15.476	OK
08-12-2023	11:51:11.126	15.181	15.473	OK
08-12-2023	11:51:12.126	16.180	15.470	OK
08-12-2023	11:51:13.126	17.180	15.471	OK
08-12-2023	11:51:14.125	18.180	15.476	OK
08-12-2023	11:51:15.126	19.180	15.478	OK
08-12-2023	11:51:16.126	20.180	15.479	OK
08-12-2023	11:51:17.125	21.180	15.478	OK
08-12-2023	11:51:18.127	22.182	15.479	OK
08-12-2023	11:51:19.127	23.182	15.480	OK
08-12-2023	11:51:20.128	24.183	15.478	OK
08-12-2023	11:51:21.129	25.184	15.476	OK
08-12-2023	11:51:22.129	26.184	15.475	OK
08-12-2023	11:51:23.128	27.183	15.475	OK
08-12-2023	11:51:24.128	28.183	15.474	OK
08-12-2023	11:51:25.129	29.184	15.473	OK
08-12-2023	11:51:26.128	30.183	15.474	OK
08-12-2023	11:51:27.128	31.183	15.474	OK
08-12-2023	11:51:28.128	32.183	15.474	OK
08-12-2023	11:51:29.128	33.183	15.473	OK
08-12-2023	11:51:30.129	34.184	15.476	OK
08-12-2023	11:51:31.129	35.184	15.478	OK
08-12-2023	11:51:32.130	36.185	15.477	OK
08-12-2023	11:51:33.131	37.186	15.476	OK
08-12-2023	11:51:34.130	38.185	15.472	OK
08-12-2023	11:51:35.130	39.185	15.471	OK
08-12-2023	11:51:36.130	40.185	15.469	OK
08-12-2023	11:51:37.130	41.185	15.468	OK
08-12-2023	11:51:38.130	42.185	15.469	OK
08-12-2023	11:51:39.132	43.186	15.469	OK
