#--- Experiment --------------------------------------------------------------------------
#120823_15C_A1B1A2B2A3B3_cory
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX2 [B] FSO2-C4 SN:24C53407596FD0B5 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [B Ch.1] - Oxygen Sensor - XB7-538-214 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	12/7/2023	12/7/2023	22.430000	53.463000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1016.280000	20.311000	100.000000	21.238000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [B T1] - PT100 Temperature Sensor - Calibration offset = 0.10°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [B P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [B Ch.1 Main]	Time [B Ch.1 Main]	 dt (s) [B Ch.1 Main]	Oxygen (%air sat.) [B Ch.1 Main]	dphi (°) [B Ch.1 Main]	Signal Intensity (mV) [B Ch.1 Main]	Ambient Light (mV) [B Ch.1 Main]	Status [B Ch.1 Main]	Date [B Ch.1 CompT]	Time [B Ch.1 CompT]	 dt (s) [B Ch.1 CompT]	Sample Temp. (°C) [B Ch.1 CompT]	Status [B Ch.1 CompT]	Date [B Ch.1 CompP]	Time [B Ch.1 CompP]	 dt (s) [B Ch.1 CompP]	Pressure (mbar) [B Ch.1 CompP]	Status [B Ch.1 CompP]
08-12-2023	11:50:55.935	-0.010	96.882	23.385	253	0	OK	08-12-2023	11:50:55.935	-0.010	15.192	OK	08-12-2023	11:50:55.935	-0.010	1013	OK
08-12-2023	11:50:56.910	0.965	96.759	23.400	253	0	OK	08-12-2023	11:50:56.910	0.965	15.192	OK	08-12-2023	11:50:56.910	0.965	1013	OK
08-12-2023	11:50:57.913	1.968	96.847	23.389	253	0	OK	08-12-2023	11:50:57.913	1.968	15.194	OK	08-12-2023	11:50:57.913	1.968	1013	OK
08-12-2023	11:50:58.910	2.965	96.871	23.386	253	0	OK	08-12-2023	11:50:58.910	2.965	15.195	OK	08-12-2023	11:50:58.910	2.965	1013	OK
08-12-2023	11:50:59.911	3.965	96.891	23.383	253	0	OK	08-12-2023	11:50:59.911	3.965	15.200	OK	08-12-2023	11:50:59.911	3.965	1013	OK
08-12-2023	11:51:00.911	4.966	96.832	23.390	253	0	OK	08-12-2023	11:51:00.911	4.966	15.202	OK	08-12-2023	11:51:00.911	4.966	1013	OK
08-12-2023	11:51:01.913	5.968	96.863	23.386	253	0	OK	08-12-2023	11:51:01.913	5.968	15.204	OK	08-12-2023	11:51:01.913	5.968	1013	OK
08-12-2023	11:51:02.920	6.975	96.845	23.388	253	0	OK	08-12-2023	11:51:02.920	6.975	15.205	OK	08-12-2023	11:51:02.920	6.975	1013	OK
08-12-2023	11:51:03.914	7.968	96.805	23.393	254	0	OK	08-12-2023	11:51:03.914	7.968	15.205	OK	08-12-2023	11:51:03.914	7.968	1013	OK
08-12-2023	11:51:04.919	8.974	96.817	23.391	253	0	OK	08-12-2023	11:51:04.919	8.974	15.209	OK	08-12-2023	11:51:04.919	8.974	1013	OK
08-12-2023	11:51:05.915	9.969	96.872	23.384	253	0	OK	08-12-2023	11:51:05.915	9.969	15.211	OK	08-12-2023	11:51:05.915	9.969	1013	OK
08-12-2023	11:51:06.914	10.969	96.814	23.391	253	0	OK	08-12-2023	11:51:06.914	10.969	15.212	OK	08-12-2023	11:51:06.914	10.969	1013	OK
08-12-2023	11:51:07.923	11.978	96.798	23.393	253	0	OK	08-12-2023	11:51:07.923	11.978	15.212	OK	08-12-2023	11:51:07.923	11.978	1013	OK
08-12-2023	11:51:08.921	12.976	96.716	23.403	253	0	OK	08-12-2023	11:51:08.921	12.976	15.213	OK	08-12-2023	11:51:08.921	12.976	1013	OK
08-12-2023	11:51:09.925	13.980	96.773	23.396	253	0	OK	08-12-2023	11:51:09.925	13.980	15.213	OK	08-12-2023	11:51:09.925	13.980	1013	OK
