#--- Experiment --------------------------------------------------------------------------
#120823_15C_A1B1A2B2A3B3_cory
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX2 [B] FSO2-C4 SN:24C53407596FD0B5 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [B T1] - PT100 Temperature Sensor - Calibration offset = 0.10°C
#--- Measurement Data --------------------------------------------------------------------
Date [B T1]	Time [B T1]	 dt (s) [B T1]	Sample Temp. (°C) [B T1]	Status [B T1]
08-12-2023	11:50:57.084	1.139	15.192	OK
08-12-2023	11:50:58.088	2.143	15.194	OK
08-12-2023	11:50:59.087	3.142	15.197	OK
08-12-2023	11:51:00.087	4.142	15.201	OK
08-12-2023	11:51:01.083	5.138	15.203	OK
08-12-2023	11:51:02.089	6.144	15.204	OK
08-12-2023	11:51:03.095	7.149	15.205	OK
08-12-2023	11:51:04.091	8.146	15.206	OK
08-12-2023	11:51:05.095	9.150	15.209	OK
08-12-2023	11:51:06.094	10.149	15.210	OK
08-12-2023	11:51:07.090	11.145	15.212	OK
08-12-2023	11:51:08.099	12.154	15.212	OK
08-12-2023	11:51:09.102	13.157	15.213	OK
08-12-2023	11:51:10.101	14.156	15.214	OK
08-12-2023	11:51:11.093	15.148	15.217	OK
08-12-2023	11:51:12.109	16.163	15.218	OK
08-12-2023	11:51:13.100	17.155	15.221	OK
08-12-2023	11:51:14.096	18.151	15.219	OK
08-12-2023	11:51:15.101	19.155	15.219	OK
08-12-2023	11:51:16.097	20.151	15.221	OK
08-12-2023	11:51:17.099	21.154	15.223	OK
08-12-2023	11:51:18.100	22.155	15.225	OK
08-12-2023	11:51:19.101	23.156	15.225	OK
08-12-2023	11:51:20.101	24.156	15.223	OK
08-12-2023	11:51:21.104	25.159	15.223	OK
08-12-2023	11:51:22.100	26.155	15.223	OK
08-12-2023	11:51:23.101	27.156	15.225	OK
08-12-2023	11:51:24.100	28.155	15.226	OK
08-12-2023	11:51:25.096	29.151	15.225	OK
08-12-2023	11:51:26.099	30.154	15.226	OK
08-12-2023	11:51:27.100	31.154	15.226	OK
08-12-2023	11:51:28.101	32.156	15.226	OK
08-12-2023	11:51:29.101	33.156	15.229	OK
08-12-2023	11:51:30.105	34.160	15.230	OK
08-12-2023	11:51:31.105	35.159	15.231	OK
08-12-2023	11:51:32.101	36.156	15.231	OK
08-12-2023	11:51:33.100	37.155	15.231	OK
08-12-2023	11:51:34.104	38.159	15.232	OK
08-12-2023	11:51:35.106	39.161	15.232	OK
08-12-2023	11:51:36.101	40.156	15.233	OK
08-12-2023	11:51:37.102	41.157	15.232	OK
08-12-2023	11:51:38.110	42.165	15.230	OK
08-12-2023	11:51:39.112	43.166	15.228	OK
08-12-2023	11:51:40.104	44.158	15.224	OK
08-12-2023	11:51:41.102	45.157	15.222	OK
08-12-2023	11:51:42.110	46.165	15.224	OK
08-12-2023	11:51:43.110	47.165	15.222	OK
08-12-2023	11:51:44.108	48.162	15.221	OK
08-12-2023	11:51:45.110	49.165	15.219	OK
08-12-2023	11:51:46.114	50.169	15.223	OK
08-12-2023	11:51:47.108	51.163	15.223	OK
08-12-2023	11:51:48.113	52.168	15.224	OK
08-12-2023	11:51:49.117	53.171	15.223	OK
08-12-2023	11:51:50.123	54.178	15.220	OK
08-12-2023	11:51:51.124	55.178	15.219	OK
08-12-2023	11:51:52.120	56.175	15.220	OK
08-12-2023	11:51:53.124	57.179	15.220	OK
08-12-2023	11:51:54.113	58.168	15.221	OK
08-12-2023	11:51:55.117	59.172	15.220	OK
08-12-2023	11:51:56.121	60.176	15.223	OK
08-12-2023	11:51:57.127	61.182	15.224	OK
08-12-2023	11:51:58.116	62.171	15.223	OK
08-12-2023	11:51:59.110	63.165	15.222	OK
08-12-2023	11:52:00.109	64.164	15.221	OK
08-12-2023	11:52:01.111	65.166	15.222	OK
08-12-2023	11:52:02.109	66.164	15.221	OK
08-12-2023	11:52:03.107	67.162	15.222	OK
08-12-2023	11:52:04.113	68.167	15.221	OK
08-12-2023	11:52:05.120	69.174	15.218	OK
08-12-2023	11:52:06.124	70.179	15.218	OK
08-12-2023	11:52:07.122	71.176	15.216	OK
08-12-2023	11:52:08.119	72.174	15.215	OK
08-12-2023	11:52:09.121	73.175	15.214	OK
08-12-2023	11:52:10.118	74.172	15.212	OK
08-12-2023	11:52:11.117	75.172	15.209	OK
08-12-2023	11:52:12.120	76.174	15.206	OK
08-12-2023	11:52:13.138	77.193	15.204	OK
08-12-2023	11:52:14.122	78.177	15.205	OK
08-12-2023	11:52:15.123	79.177	15.205	OK
08-12-2023	11:52:16.116	80.170	15.204	OK
08-12-2023	11:52:17.121	81.175	15.202	OK
08-12-2023	11:52:18.119	82.174	15.201	OK
08-12-2023	11:52:19.123	83.177	15.203	OK
08-12-2023	11:52:20.121	84.175	15.202	OK
08-12-2023	11:52:21.136	85.191	15.203	OK
08-12-2023	11:52:22.134	86.189	15.206	OK
08-12-2023	11:52:23.141	87.196	15.207	OK
08-12-2023	11:52:24.126	88.180	15.209	OK
08-12-2023	11:52:25.122	89.177	15.209	OK
