#--- Experiment --------------------------------------------------------------------------
#120823_15C_empty
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
08-12-2023	19:49:52.479	0.020	14.885	OK
08-12-2023	19:49:53.482	1.023	14.890	OK
08-12-2023	19:49:54.484	2.025	14.899	OK
08-12-2023	19:49:55.483	3.024	14.905	OK
08-12-2023	19:49:56.481	4.022	14.907	OK
08-12-2023	19:49:57.482	5.023	14.908	OK
08-12-2023	19:49:58.483	6.025	14.907	OK
08-12-2023	19:49:59.482	7.023	14.902	OK
08-12-2023	19:50:00.482	8.024	14.899	OK
08-12-2023	19:50:01.483	9.024	14.896	OK
08-12-2023	19:50:02.483	10.024	14.891	OK
08-12-2023	19:50:03.484	11.025	14.892	OK
08-12-2023	19:50:04.484	12.026	14.889	OK
08-12-2023	19:50:05.486	13.027	14.890	OK
08-12-2023	19:50:06.484	14.025	14.888	OK
08-12-2023	19:50:07.486	15.028	14.888	OK
08-12-2023	19:50:08.488	16.030	14.891	OK
08-12-2023	19:50:09.487	17.029	14.892	OK
08-12-2023	19:50:10.488	18.029	14.893	OK
08-12-2023	19:50:11.489	19.030	14.891	OK
08-12-2023	19:50:12.488	20.030	14.890	OK
08-12-2023	19:50:13.492	21.034	14.891	OK
08-12-2023	19:50:14.488	22.030	14.896	OK
08-12-2023	19:50:15.489	23.030	14.904	OK
08-12-2023	19:50:16.486	24.028	14.909	OK
08-12-2023	19:50:17.491	25.032	14.913	OK
08-12-2023	19:50:18.489	26.031	14.909	OK
08-12-2023	19:50:19.489	27.031	14.907	OK
08-12-2023	19:50:20.489	28.030	14.902	OK
08-12-2023	19:50:21.490	29.031	14.899	OK
