#--- Experiment --------------------------------------------------------------------------
#120823_15C_empty
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX2 [B] FSO2-C4 SN:24C53407596FD0B5 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [B Ch.3] - Oxygen Sensor - XB7-538-217 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	12/7/2023	12/7/2023	23.088000	52.886000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1016.339000	20.304000	100.000000	21.213000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [B T1] - PT100 Temperature Sensor - Calibration offset = 0.10°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [B P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [B Ch.3 Main]	Time [B Ch.3 Main]	 dt (s) [B Ch.3 Main]	Oxygen (%air sat.) [B Ch.3 Main]	dphi (°) [B Ch.3 Main]	Signal Intensity (mV) [B Ch.3 Main]	Ambient Light (mV) [B Ch.3 Main]	Status [B Ch.3 Main]	Date [B Ch.3 CompT]	Time [B Ch.3 CompT]	 dt (s) [B Ch.3 CompT]	Sample Temp. (°C) [B Ch.3 CompT]	Status [B Ch.3 CompT]	Date [B Ch.3 CompP]	Time [B Ch.3 CompP]	 dt (s) [B Ch.3 CompP]	Pressure (mbar) [B Ch.3 CompP]	Status [B Ch.3 CompP]
08-12-2023	19:49:52.791	0.333	99.462	23.764	236	0	OK	08-12-2023	19:49:52.791	0.333	14.940	OK	08-12-2023	19:49:52.791	0.333	1013	OK
08-12-2023	19:49:53.789	1.330	99.449	23.765	236	0	OK	08-12-2023	19:49:53.789	1.330	14.944	OK	08-12-2023	19:49:53.789	1.330	1013	OK
08-12-2023	19:49:54.798	2.339	99.517	23.756	236	0	OK	08-12-2023	19:49:54.798	2.339	14.953	OK	08-12-2023	19:49:54.798	2.339	1013	OK
08-12-2023	19:49:55.791	3.333	99.435	23.765	236	0	OK	08-12-2023	19:49:55.791	3.333	14.959	OK	08-12-2023	19:49:55.791	3.333	1013	OK
08-12-2023	19:49:56.799	4.341	99.498	23.757	236	0	OK	08-12-2023	19:49:56.799	4.341	14.964	OK	08-12-2023	19:49:56.799	4.341	1013	OK
08-12-2023	19:49:57.794	5.336	99.487	23.758	236	0	OK	08-12-2023	19:49:57.794	5.336	14.966	OK	08-12-2023	19:49:57.794	5.336	1013	OK
08-12-2023	19:49:58.798	6.340	99.374	23.771	236	0	OK	08-12-2023	19:49:58.798	6.340	14.970	OK	08-12-2023	19:49:58.798	6.340	1013	OK
08-12-2023	19:49:59.797	7.339	99.446	23.762	236	0	OK	08-12-2023	19:49:59.797	7.339	14.974	OK	08-12-2023	19:49:59.797	7.339	1013	OK
08-12-2023	19:50:00.796	8.337	99.452	23.761	236	0	OK	08-12-2023	19:50:00.796	8.337	14.977	OK	08-12-2023	19:50:00.796	8.337	1013	OK
08-12-2023	19:50:01.814	9.355	99.373	23.770	236	0	OK	08-12-2023	19:50:01.814	9.355	14.980	OK	08-12-2023	19:50:01.814	9.355	1013	OK
08-12-2023	19:50:02.803	10.344	99.447	23.761	236	0	OK	08-12-2023	19:50:02.803	10.344	14.982	OK	08-12-2023	19:50:02.803	10.344	1013	OK
08-12-2023	19:50:03.813	11.354	99.412	23.765	236	0	OK	08-12-2023	19:50:03.813	11.354	14.983	OK	08-12-2023	19:50:03.813	11.354	1013	OK
08-12-2023	19:50:04.800	12.341	99.363	23.771	236	0	OK	08-12-2023	19:50:04.800	12.341	14.982	OK	08-12-2023	19:50:04.800	12.341	1013	OK
08-12-2023	19:50:05.801	13.343	99.481	23.757	236	0	OK	08-12-2023	19:50:05.801	13.343	14.982	OK	08-12-2023	19:50:05.801	13.343	1013	OK
08-12-2023	19:50:06.804	14.346	99.434	23.763	236	0	OK	08-12-2023	19:50:06.804	14.346	14.978	OK	08-12-2023	19:50:06.804	14.346	1013	OK
08-12-2023	19:50:07.801	15.342	99.463	23.760	236	0	OK	08-12-2023	19:50:07.801	15.342	14.974	OK	08-12-2023	19:50:07.801	15.342	1013	OK
08-12-2023	19:50:08.802	16.343	99.460	23.761	236	0	OK	08-12-2023	19:50:08.802	16.343	14.968	OK	08-12-2023	19:50:08.802	16.343	1013	OK
08-12-2023	19:50:09.804	17.346	99.471	23.760	236	0	OK	08-12-2023	19:50:09.804	17.346	14.966	OK	08-12-2023	19:50:09.804	17.346	1013	OK
08-12-2023	19:50:10.807	18.349	99.439	23.764	236	0	OK	08-12-2023	19:50:10.807	18.349	14.964	OK	08-12-2023	19:50:10.807	18.349	1013	OK
08-12-2023	19:50:11.809	19.351	99.479	23.759	236	0	OK	08-12-2023	19:50:11.809	19.351	14.966	OK	08-12-2023	19:50:11.809	19.351	1013	OK
08-12-2023	19:50:12.803	20.344	99.557	23.750	236	0	OK	08-12-2023	19:50:12.803	20.344	14.964	OK	08-12-2023	19:50:12.803	20.344	1013	OK
08-12-2023	19:50:13.816	21.357	99.505	23.756	236	0	OK	08-12-2023	19:50:13.816	21.357	14.965	OK	08-12-2023	19:50:13.816	21.357	1013	OK
08-12-2023	19:50:14.810	22.351	99.423	23.766	236	0	OK	08-12-2023	19:50:14.810	22.351	14.963	OK	08-12-2023	19:50:14.810	22.351	1013	OK
08-12-2023	19:50:15.802	23.344	99.491	23.758	236	0	OK	08-12-2023	19:50:15.802	23.344	14.962	OK	08-12-2023	19:50:15.802	23.344	1013	OK
08-12-2023	19:50:16.811	24.352	99.419	23.767	236	0	OK	08-12-2023	19:50:16.811	24.352	14.958	OK	08-12-2023	19:50:16.811	24.352	1013	OK
08-12-2023	19:50:17.809	25.351	99.440	23.765	236	0	OK	08-12-2023	19:50:17.809	25.351	14.954	OK	08-12-2023	19:50:17.809	25.351	1013	OK
08-12-2023	19:50:18.838	26.379	99.519	23.756	236	0	OK	08-12-2023	19:50:18.838	26.379	14.950	OK	08-12-2023	19:50:18.838	26.379	1013	OK
08-12-2023	19:50:19.807	27.348	99.511	23.757	236	0	OK	08-12-2023	19:50:19.807	27.348	14.950	OK	08-12-2023	19:50:19.807	27.348	1013	OK
08-12-2023	19:50:20.814	28.356	99.511	23.757	236	0	OK	08-12-2023	19:50:20.814	28.356	14.950	OK	08-12-2023	19:50:20.814	28.356	1013	OK
08-12-2023	19:50:21.808	29.349	99.520	23.756	236	0	OK	08-12-2023	19:50:21.808	29.349	14.949	OK	08-12-2023	19:50:21.808	29.349	1013	OK
08-12-2023	19:50:22.808	30.350	99.490	23.760	236	0	OK	08-12-2023	19:50:22.808	30.350	14.946	OK	08-12-2023	19:50:22.808	30.350	1013	OK
08-12-2023	19:50:23.815	31.356	99.500	23.759	236	0	OK	08-12-2023	19:50:23.815	31.356	14.944	OK	08-12-2023	19:50:23.815	31.356	1013	OK
08-12-2023	19:50:24.812	32.354	99.508	23.758	236	0	OK	08-12-2023	19:50:24.812	32.354	14.944	OK	08-12-2023	19:50:24.812	32.354	1013	OK
08-12-2023	19:50:25.816	33.358	99.457	23.764	236	0	OK	08-12-2023	19:50:25.816	33.358	14.945	OK	08-12-2023	19:50:25.816	33.358	1013	OK
08-12-2023	19:50:26.813	34.355	99.541	23.754	236	0	OK	08-12-2023	19:50:26.813	34.355	14.945	OK	08-12-2023	19:50:26.813	34.355	1013	OK
08-12-2023	19:50:27.806	35.348	99.534	23.755	236	0	OK	08-12-2023	19:50:27.806	35.348	14.944	OK	08-12-2023	19:50:27.806	35.348	1013	OK
08-12-2023	19:50:28.822	36.363	99.504	23.759	236	0	OK	08-12-2023	19:50:28.822	36.363	14.940	OK	08-12-2023	19:50:28.822	36.363	1013	OK
08-12-2023	19:50:29.810	37.352	99.555	23.753	236	0	OK	08-12-2023	19:50:29.810	37.352	14.939	OK	08-12-2023	19:50:29.810	37.352	1013	OK
08-12-2023	19:50:30.813	38.354	99.539	23.755	236	0	OK	08-12-2023	19:50:30.813	38.354	14.938	OK	08-12-2023	19:50:30.813	38.354	1013	OK
08-12-2023	19:50:31.810	39.351	99.499	23.760	236	0	OK	08-12-2023	19:50:31.810	39.351	14.936	OK	08-12-2023	19:50:31.810	39.351	1013	OK
08-12-2023	19:50:32.815	40.357	99.540	23.755	236	0	OK	08-12-2023	19:50:32.815	40.357	14.937	OK	08-12-2023	19:50:32.815	40.357	1013	OK
08-12-2023	19:50:33.816	41.357	99.432	23.768	236	0	OK	08-12-2023	19:50:33.816	41.357	14.936	OK	08-12-2023	19:50:33.816	41.357	1013	OK
08-12-2023	19:50:34.811	42.353	99.504	23.759	236	0	OK	08-12-2023	19:50:34.811	42.353	14.940	OK	08-12-2023	19:50:34.811	42.353	1013	OK
08-12-2023	19:50:35.818	43.360	99.512	23.758	236	0	OK	08-12-2023	19:50:35.818	43.360	14.940	OK	08-12-2023	19:50:35.818	43.360	1013	OK
08-12-2023	19:50:36.816	44.357	99.476	23.762	236	0	OK	08-12-2023	19:50:36.816	44.357	14.943	OK	08-12-2023	19:50:36.816	44.357	1013	OK
