#--- Experiment --------------------------------------------------------------------------
#120923_15C_A1B1A4B4A5B5_cory
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.3] - Oxygen Sensor - XA7-533-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	12/7/2023	12/7/2023	22.565000	52.772000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1016.123000	20.208000	100.000000	21.231000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.3 Main]	Time [A Ch.3 Main]	 dt (s) [A Ch.3 Main]	Oxygen (%air sat.) [A Ch.3 Main]	dphi (°) [A Ch.3 Main]	Signal Intensity (mV) [A Ch.3 Main]	Ambient Light (mV) [A Ch.3 Main]	Status [A Ch.3 Main]	Date [A Ch.3 CompT]	Time [A Ch.3 CompT]	 dt (s) [A Ch.3 CompT]	Sample Temp. (°C) [A Ch.3 CompT]	Status [A Ch.3 CompT]	Date [A Ch.3 CompP]	Time [A Ch.3 CompP]	 dt (s) [A Ch.3 CompP]	Pressure (mbar) [A Ch.3 CompP]	Status [A Ch.3 CompP]
09-12-2023	12:22:28.494	0.064	96.811	23.539	203	0	OK	09-12-2023	12:22:28.494	0.064	14.937	OK	09-12-2023	12:22:28.494	0.064	1013	OK
09-12-2023	12:22:29.490	1.060	96.771	23.544	203	0	OK	09-12-2023	12:22:29.490	1.060	14.935	OK	09-12-2023	12:22:29.490	1.060	1013	OK
09-12-2023	12:22:30.494	2.064	96.887	23.530	203	0	OK	09-12-2023	12:22:30.494	2.064	14.935	OK	09-12-2023	12:22:30.494	2.064	1013	OK
09-12-2023	12:22:31.491	3.061	96.838	23.536	203	0	OK	09-12-2023	12:22:31.491	3.061	14.934	OK	09-12-2023	12:22:31.491	3.061	1013	OK
09-12-2023	12:22:32.493	4.063	96.849	23.535	203	0	OK	09-12-2023	12:22:32.493	4.063	14.931	OK	09-12-2023	12:22:32.493	4.063	1013	OK
09-12-2023	12:22:33.509	5.079	96.830	23.537	203	1	OK	09-12-2023	12:22:33.509	5.079	14.934	OK	09-12-2023	12:22:33.509	5.079	1013	OK
09-12-2023	12:22:34.495	6.065	96.813	23.539	203	0	OK	09-12-2023	12:22:34.495	6.065	14.934	OK	09-12-2023	12:22:34.495	6.065	1013	OK
09-12-2023	12:22:35.499	7.069	96.818	23.538	203	0	OK	09-12-2023	12:22:35.499	7.069	14.938	OK	09-12-2023	12:22:35.499	7.069	1013	OK
09-12-2023	12:22:36.499	8.069	96.843	23.535	203	0	OK	09-12-2023	12:22:36.499	8.069	14.938	OK	09-12-2023	12:22:36.499	8.069	1013	OK
09-12-2023	12:22:37.497	9.067	96.818	23.538	203	0	OK	09-12-2023	12:22:37.497	9.067	14.938	OK	09-12-2023	12:22:37.497	9.067	1013	OK
09-12-2023	12:22:38.500	10.070	96.776	23.543	203	0	OK	09-12-2023	12:22:38.500	10.070	14.939	OK	09-12-2023	12:22:38.500	10.070	1013	OK
09-12-2023	12:22:39.497	11.067	96.793	23.541	203	0	OK	09-12-2023	12:22:39.497	11.067	14.938	OK	09-12-2023	12:22:39.497	11.067	1013	OK
09-12-2023	12:22:40.504	12.074	96.711	23.551	203	0	OK	09-12-2023	12:22:40.504	12.074	14.938	OK	09-12-2023	12:22:40.504	12.074	1013	OK
09-12-2023	12:22:41.504	13.074	96.767	23.544	203	0	OK	09-12-2023	12:22:41.504	13.074	14.940	OK	09-12-2023	12:22:41.504	13.074	1013	OK
09-12-2023	12:22:42.538	14.109	96.833	23.536	203	0	OK	09-12-2023	12:22:42.538	14.109	14.940	OK	09-12-2023	12:22:42.538	14.109	1013	OK
