#--- Experiment --------------------------------------------------------------------------
#120923_15C_A1B1A4B4A5B5_cory
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
09-12-2023	12:22:28.673	0.243	14.938	OK
09-12-2023	12:22:29.664	1.234	14.935	OK
09-12-2023	12:22:30.671	2.241	14.934	OK
09-12-2023	12:22:31.666	3.236	14.934	OK
09-12-2023	12:22:32.671	4.241	14.931	OK
09-12-2023	12:22:33.692	5.262	14.934	OK
09-12-2023	12:22:34.673	6.243	14.935	OK
09-12-2023	12:22:35.671	7.241	14.939	OK
09-12-2023	12:22:36.672	8.242	14.938	OK
09-12-2023	12:22:37.670	9.241	14.938	OK
09-12-2023	12:22:38.675	10.245	14.939	OK
09-12-2023	12:22:39.671	11.241	14.939	OK
09-12-2023	12:22:40.681	12.251	14.938	OK
09-12-2023	12:22:41.685	13.256	14.940	OK
09-12-2023	12:22:42.718	14.288	14.941	OK
09-12-2023	12:22:43.679	15.249	14.942	OK
09-12-2023	12:22:44.688	16.258	14.941	OK
09-12-2023	12:22:45.681	17.251	14.944	OK
09-12-2023	12:22:46.684	18.254	14.943	OK
09-12-2023	12:22:47.704	19.274	14.942	OK
09-12-2023	12:22:48.683	20.254	14.938	OK
09-12-2023	12:22:49.692	21.262	14.937	OK
09-12-2023	12:22:50.683	22.253	14.936	OK
09-12-2023	12:22:51.690	23.260	14.936	OK
09-12-2023	12:22:52.683	24.253	14.938	OK
09-12-2023	12:22:53.689	25.259	14.939	OK
09-12-2023	12:22:54.688	26.258	14.941	OK
09-12-2023	12:22:55.699	27.269	14.938	OK
09-12-2023	12:22:56.695	28.265	14.943	OK
09-12-2023	12:22:57.689	29.259	14.948	OK
09-12-2023	12:22:58.708	30.279	14.950	OK
09-12-2023	12:22:59.690	31.260	14.953	OK
09-12-2023	12:23:00.694	32.264	14.925	OK
09-12-2023	12:23:01.687	33.257	14.710	OK
09-12-2023	12:23:02.693	34.263	14.404	OK
09-12-2023	12:23:03.684	35.254	14.109	OK
09-12-2023	12:23:04.690	36.260	14.047	OK
09-12-2023	12:23:05.713	37.283	14.231	OK
09-12-2023	12:23:06.694	38.265	14.439	OK
09-12-2023	12:23:07.699	39.269	14.672	OK
09-12-2023	12:23:08.698	40.268	14.789	OK
09-12-2023	12:23:09.700	41.270	14.813	OK
09-12-2023	12:23:10.698	42.268	14.798	OK
09-12-2023	12:23:11.705	43.275	14.770	OK
09-12-2023	12:23:12.703	44.273	14.744	OK
09-12-2023	12:23:13.703	45.273	14.715	OK
09-12-2023	12:23:14.705	46.275	14.702	OK
09-12-2023	12:23:15.708	47.278	14.705	OK
09-12-2023	12:23:16.696	48.266	14.719	OK
09-12-2023	12:23:17.706	49.276	14.741	OK
09-12-2023	12:23:18.710	50.280	14.765	OK
09-12-2023	12:23:19.708	51.278	14.780	OK
09-12-2023	12:23:20.702	52.272	14.798	OK
09-12-2023	12:23:21.701	53.271	14.815	OK
09-12-2023	12:23:22.710	54.280	14.835	OK
09-12-2023	12:23:23.726	55.296	14.855	OK
09-12-2023	12:23:24.707	56.277	14.872	OK
09-12-2023	12:23:25.711	57.281	14.885	OK
09-12-2023	12:23:26.707	58.277	14.892	OK
09-12-2023	12:23:27.705	59.275	14.895	OK
09-12-2023	12:23:28.704	60.274	14.896	OK
09-12-2023	12:23:29.700	61.270	14.894	OK
09-12-2023	12:23:30.703	62.274	14.891	OK
09-12-2023	12:23:31.700	63.270	14.889	OK
09-12-2023	12:23:32.702	64.272	14.887	OK
09-12-2023	12:23:33.702	65.272	14.887	OK
09-12-2023	12:23:34.703	66.273	14.888	OK
09-12-2023	12:23:35.700	67.271	14.889	OK
09-12-2023	12:23:36.703	68.273	14.889	OK
09-12-2023	12:23:37.704	69.274	14.891	OK
09-12-2023	12:23:38.706	70.276	14.888	OK
09-12-2023	12:23:39.721	71.292	14.889	OK
09-12-2023	12:23:40.720	72.290	14.890	OK
09-12-2023	12:23:41.710	73.280	14.891	OK
09-12-2023	12:23:42.721	74.291	14.889	OK
09-12-2023	12:23:43.722	75.293	14.889	OK
09-12-2023	12:23:44.717	76.287	14.887	OK
09-12-2023	12:23:45.722	77.292	14.888	OK
09-12-2023	12:23:46.725	78.296	14.886	OK
09-12-2023	12:23:47.721	79.291	14.887	OK
09-12-2023	12:23:48.722	80.293	14.886	OK
09-12-2023	12:23:49.722	81.292	14.886	OK
09-12-2023	12:23:50.718	82.288	14.886	OK
09-12-2023	12:23:51.719	83.289	14.883	OK
09-12-2023	12:23:52.719	84.289	14.882	OK
09-12-2023	12:23:53.740	85.310	14.881	OK
09-12-2023	12:23:54.737	86.308	14.884	OK
09-12-2023	12:23:55.729	87.299	14.886	OK
09-12-2023	12:23:56.731	88.301	14.889	OK
09-12-2023	12:23:57.735	89.305	14.890	OK
09-12-2023	12:23:58.743	90.313	14.891	OK
09-12-2023	12:23:59.732	91.302	14.895	OK
09-12-2023	12:24:00.734	92.304	14.900	OK
09-12-2023	12:24:01.728	93.298	14.906	OK
09-12-2023	12:24:02.728	94.298	14.910	OK
09-12-2023	12:24:03.728	95.298	14.910	OK
09-12-2023	12:24:04.728	96.298	14.907	OK
09-12-2023	12:24:05.732	97.302	14.905	OK
09-12-2023	12:24:06.724	98.294	14.905	OK
09-12-2023	12:24:07.736	99.306	14.905	OK
09-12-2023	12:24:08.739	100.309	14.907	OK
09-12-2023	12:24:09.743	101.313	14.907	OK
09-12-2023	12:24:10.724	102.294	14.906	OK
09-12-2023	12:24:11.730	103.300	14.905	OK
09-12-2023	12:24:12.729	104.299	14.904	OK
09-12-2023	12:24:13.730	105.300	14.906	OK
09-12-2023	12:24:14.734	106.305	14.907	OK
09-12-2023	12:24:15.744	107.314	14.907	OK
09-12-2023	12:24:16.733	108.303	14.904	OK
09-12-2023	12:24:17.730	109.300	14.901	OK
09-12-2023	12:24:18.741	110.311	14.903	OK
09-12-2023	12:24:19.733	111.303	14.903	OK
09-12-2023	12:24:20.738	112.308	14.904	OK
09-12-2023	12:24:21.739	113.309	14.906	OK
09-12-2023	12:24:22.740	114.310	14.906	OK
09-12-2023	12:24:23.742	115.312	14.907	OK
09-12-2023	12:24:24.759	116.329	14.910	OK
09-12-2023	12:24:25.749	117.320	14.912	OK
09-12-2023	12:24:26.746	118.316	14.912	OK
09-12-2023	12:24:27.749	119.319	14.913	OK
09-12-2023	12:24:28.746	120.316	14.914	OK
09-12-2023	12:24:29.756	121.326	14.912	OK
09-12-2023	12:24:30.751	122.321	14.911	OK
09-12-2023	12:24:31.750	123.320	14.908	OK
09-12-2023	12:24:32.742	124.312	14.905	OK
09-12-2023	12:24:33.749	125.320	14.902	OK
09-12-2023	12:24:34.751	126.321	14.899	OK
09-12-2023	12:24:35.744	127.315	14.900	OK
09-12-2023	12:24:36.750	128.320	14.901	OK
09-12-2023	12:24:37.752	129.322	14.900	OK
09-12-2023	12:24:38.761	130.331	14.899	OK
09-12-2023	12:24:39.769	131.339	14.900	OK
09-12-2023	12:24:40.752	132.322	14.901	OK
09-12-2023	12:24:41.765	133.335	14.902	OK
09-12-2023	12:24:42.769	134.339	14.903	OK
09-12-2023	12:24:43.759	135.329	14.900	OK
09-12-2023	12:24:44.757	136.327	14.899	OK
09-12-2023	12:24:45.753	137.323	14.901	OK
09-12-2023	12:24:46.768	138.338	14.908	OK
09-12-2023	12:24:47.780	139.350	14.916	OK
09-12-2023	12:24:48.765	140.336	14.920	OK
09-12-2023	12:24:49.764	141.334	14.920	OK
09-12-2023	12:24:50.763	142.333	14.920	OK
09-12-2023	12:24:51.770	143.340	14.919	OK
09-12-2023	12:24:52.778	144.348	14.917	OK
09-12-2023	12:24:53.767	145.338	14.918	OK
09-12-2023	12:24:54.765	146.335	14.920	OK
09-12-2023	12:24:55.772	147.342	14.925	OK
09-12-2023	12:24:56.765	148.335	14.926	OK
09-12-2023	12:24:57.766	149.336	14.928	OK
09-12-2023	12:24:58.783	150.353	14.926	OK
09-12-2023	12:24:59.769	151.339	14.928	OK
09-12-2023	12:25:00.772	152.342	14.929	OK
09-12-2023	12:25:01.774	153.345	14.931	OK
09-12-2023	12:25:02.773	154.343	14.930	OK
09-12-2023	12:25:03.769	155.340	14.928	OK
09-12-2023	12:25:04.772	156.343	14.929	OK
09-12-2023	12:25:05.790	157.360	14.928	OK
09-12-2023	12:25:06.779	158.349	14.930	OK
09-12-2023	12:25:07.771	159.341	14.933	OK
