#--- Experiment --------------------------------------------------------------------------
#120923_15C_A1B1A4B4A5B5_cory
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX2 [B] FSO2-C4 SN:24C53407596FD0B5 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [B Ch.2] - Oxygen Sensor - XB7-529-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	12/7/2023	12/7/2023	23.048000	52.931000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1016.354000	20.385000	100.000000	21.223000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [B T1] - PT100 Temperature Sensor - Calibration offset = 0.10°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [B P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [B Ch.2 Main]	Time [B Ch.2 Main]	 dt (s) [B Ch.2 Main]	Oxygen (%air sat.) [B Ch.2 Main]	dphi (°) [B Ch.2 Main]	Signal Intensity (mV) [B Ch.2 Main]	Ambient Light (mV) [B Ch.2 Main]	Status [B Ch.2 Main]	Date [B Ch.2 CompT]	Time [B Ch.2 CompT]	 dt (s) [B Ch.2 CompT]	Sample Temp. (°C) [B Ch.2 CompT]	Status [B Ch.2 CompT]	Date [B Ch.2 CompP]	Time [B Ch.2 CompP]	 dt (s) [B Ch.2 CompP]	Pressure (mbar) [B Ch.2 CompP]	Status [B Ch.2 CompP]
09-12-2023	12:22:29.146	0.716	96.913	24.044	155	0	OK	09-12-2023	12:22:29.146	0.716	14.902	OK	09-12-2023	12:22:29.146	0.716	1013	OK
09-12-2023	12:22:30.149	1.719	96.921	24.043	155	0	OK	09-12-2023	12:22:30.149	1.719	14.902	OK	09-12-2023	12:22:30.149	1.719	1013	OK
09-12-2023	12:22:31.151	2.722	96.960	24.038	155	0	OK	09-12-2023	12:22:31.151	2.722	14.904	OK	09-12-2023	12:22:31.151	2.722	1013	OK
09-12-2023	12:22:32.259	3.829	96.919	24.043	155	0	OK	09-12-2023	12:22:32.259	3.829	14.905	OK	09-12-2023	12:22:32.259	3.829	1013	OK
09-12-2023	12:22:33.152	4.723	96.909	24.044	155	0	OK	09-12-2023	12:22:33.152	4.723	14.907	OK	09-12-2023	12:22:33.152	4.723	1013	OK
09-12-2023	12:22:34.331	5.901	96.950	24.039	155	0	OK	09-12-2023	12:22:34.331	5.901	14.906	OK	09-12-2023	12:22:34.331	5.901	1013	OK
09-12-2023	12:22:35.325	6.895	96.992	24.034	155	0	OK	09-12-2023	12:22:35.325	6.895	14.905	OK	09-12-2023	12:22:35.325	6.895	1013	OK
09-12-2023	12:22:36.331	7.901	96.862	24.050	155	0	OK	09-12-2023	12:22:36.331	7.901	14.904	OK	09-12-2023	12:22:36.331	7.901	1013	OK
09-12-2023	12:22:37.339	8.909	96.910	24.044	155	0	OK	09-12-2023	12:22:37.339	8.909	14.905	OK	09-12-2023	12:22:37.339	8.909	1013	OK
09-12-2023	12:22:38.324	9.894	96.920	24.043	155	0	OK	09-12-2023	12:22:38.324	9.894	14.904	OK	09-12-2023	12:22:38.324	9.894	1013	OK
09-12-2023	12:22:39.325	10.895	96.942	24.040	155	0	OK	09-12-2023	12:22:39.325	10.895	14.906	OK	09-12-2023	12:22:39.325	10.895	1013	OK
09-12-2023	12:22:40.343	11.913	96.991	24.034	155	0	OK	09-12-2023	12:22:40.343	11.913	14.906	OK	09-12-2023	12:22:40.343	11.913	1013	OK
09-12-2023	12:22:41.243	12.813	96.941	24.040	155	0	OK	09-12-2023	12:22:41.243	12.813	14.907	OK	09-12-2023	12:22:41.243	12.813	1013	OK
09-12-2023	12:22:42.324	13.895	96.925	24.042	155	0	OK	09-12-2023	12:22:42.324	13.895	14.907	OK	09-12-2023	12:22:42.324	13.895	1013	OK
09-12-2023	12:22:43.244	14.814	96.909	24.044	155	0	OK	09-12-2023	12:22:43.244	14.814	14.906	OK	09-12-2023	12:22:43.244	14.814	1013	OK
09-12-2023	12:22:44.332	15.903	96.877	24.048	155	0	OK	09-12-2023	12:22:44.332	15.903	14.906	OK	09-12-2023	12:22:44.332	15.903	1013	OK
09-12-2023	12:22:45.330	16.900	96.967	24.037	155	0	OK	09-12-2023	12:22:45.330	16.900	14.906	OK	09-12-2023	12:22:45.330	16.900	1013	OK
09-12-2023	12:22:46.334	17.904	96.933	24.041	155	0	OK	09-12-2023	12:22:46.334	17.904	14.907	OK	09-12-2023	12:22:46.334	17.904	1013	OK
09-12-2023	12:22:47.332	18.902	96.932	24.041	155	0	OK	09-12-2023	12:22:47.332	18.902	14.908	OK	09-12-2023	12:22:47.332	18.902	1013	OK
09-12-2023	12:22:48.333	19.903	97.020	24.030	155	0	OK	09-12-2023	12:22:48.333	19.903	14.910	OK	09-12-2023	12:22:48.333	19.903	1013	OK
09-12-2023	12:22:49.332	20.902	96.881	24.047	155	0	OK	09-12-2023	12:22:49.332	20.902	14.910	OK	09-12-2023	12:22:49.332	20.902	1013	OK
09-12-2023	12:22:50.332	21.902	96.919	24.042	155	0	OK	09-12-2023	12:22:50.332	21.902	14.913	OK	09-12-2023	12:22:50.332	21.902	1013	OK
09-12-2023	12:22:51.331	22.901	96.927	24.041	155	0	OK	09-12-2023	12:22:51.331	22.901	14.913	OK	09-12-2023	12:22:51.331	22.901	1013	OK
09-12-2023	12:22:52.332	23.902	96.953	24.038	155	0	OK	09-12-2023	12:22:52.332	23.902	14.912	OK	09-12-2023	12:22:52.332	23.902	1013	OK
09-12-2023	12:22:53.329	24.899	96.987	24.034	155	0	OK	09-12-2023	12:22:53.329	24.899	14.910	OK	09-12-2023	12:22:53.329	24.899	1013	OK
09-12-2023	12:22:54.329	25.899	96.850	24.051	155	0	OK	09-12-2023	12:22:54.329	25.899	14.909	OK	09-12-2023	12:22:54.329	25.899	1013	OK
09-12-2023	12:22:55.331	26.901	96.965	24.037	155	0	OK	09-12-2023	12:22:55.331	26.901	14.908	OK	09-12-2023	12:22:55.331	26.901	1013	OK
09-12-2023	12:22:56.338	27.908	96.913	24.043	155	0	OK	09-12-2023	12:22:56.338	27.908	14.911	OK	09-12-2023	12:22:56.338	27.908	1013	OK
09-12-2023	12:22:57.332	28.902	96.962	24.037	155	0	OK	09-12-2023	12:22:57.332	28.902	14.911	OK	09-12-2023	12:22:57.332	28.902	1013	OK
09-12-2023	12:22:58.333	29.903	96.961	24.037	155	0	OK	09-12-2023	12:22:58.333	29.903	14.912	OK	09-12-2023	12:22:58.333	29.903	1013	OK
