#--- Experiment --------------------------------------------------------------------------
#120923_15C_A1B1A4B4A5B5_tile
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX2 [B] FSO2-C4 SN:24C53407596FD0B5 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [B T1] - PT100 Temperature Sensor - Calibration offset = 0.10°C
#--- Measurement Data --------------------------------------------------------------------
Date [B T1]	Time [B T1]	 dt (s) [B T1]	Sample Temp. (°C) [B T1]	Status [B T1]
09-12-2023	16:07:45.589	0.022	14.848	OK
09-12-2023	16:07:46.592	1.025	14.851	OK
09-12-2023	16:07:47.591	2.024	14.852	OK
09-12-2023	16:07:48.592	3.025	14.853	OK
09-12-2023	16:07:49.592	4.025	14.854	OK
09-12-2023	16:07:50.593	5.026	14.855	OK
09-12-2023	16:07:51.593	6.026	14.858	OK
09-12-2023	16:07:52.593	7.026	14.857	OK
09-12-2023	16:07:53.594	8.027	14.857	OK
09-12-2023	16:07:54.595	9.028	14.858	OK
09-12-2023	16:07:55.593	10.026	14.861	OK
09-12-2023	16:07:56.593	11.026	14.861	OK
09-12-2023	16:07:57.594	12.027	14.861	OK
09-12-2023	16:07:58.594	13.027	14.859	OK
09-12-2023	16:07:59.595	14.028	14.860	OK
09-12-2023	16:08:00.595	15.028	14.859	OK
09-12-2023	16:08:01.595	16.028	14.857	OK
09-12-2023	16:08:02.595	17.027	14.857	OK
09-12-2023	16:08:03.595	18.028	14.859	OK
09-12-2023	16:08:04.597	19.030	14.861	OK
09-12-2023	16:08:05.596	20.029	14.861	OK
09-12-2023	16:08:06.597	21.030	14.861	OK
09-12-2023	16:08:07.597	22.030	14.860	OK
09-12-2023	16:08:08.597	23.030	14.863	OK
09-12-2023	16:08:09.598	24.031	14.864	OK
09-12-2023	16:08:10.597	25.030	14.868	OK
09-12-2023	16:08:11.598	26.031	14.872	OK
09-12-2023	16:08:12.598	27.031	14.873	OK
09-12-2023	16:08:13.597	28.030	14.875	OK
09-12-2023	16:08:14.598	29.031	14.874	OK
09-12-2023	16:08:15.599	30.032	14.874	OK
09-12-2023	16:08:16.599	31.032	14.872	OK
09-12-2023	16:08:17.599	32.032	14.871	OK
09-12-2023	16:08:18.599	33.032	14.872	OK
09-12-2023	16:08:19.600	34.033	14.873	OK
09-12-2023	16:08:20.600	35.033	14.874	OK
09-12-2023	16:08:21.601	36.034	14.875	OK
09-12-2023	16:08:22.600	37.033	14.876	OK
09-12-2023	16:08:23.600	38.033	14.876	OK
09-12-2023	16:08:24.601	39.034	14.875	OK
09-12-2023	16:08:25.602	40.035	14.876	OK
09-12-2023	16:08:26.602	41.035	14.874	OK
09-12-2023	16:08:27.601	42.034	14.875	OK
09-12-2023	16:08:28.601	43.034	14.874	OK
09-12-2023	16:08:29.603	44.036	14.877	OK
09-12-2023	16:08:30.604	45.037	14.877	OK
09-12-2023	16:08:31.604	46.037	14.878	OK
09-12-2023	16:08:32.604	47.037	14.878	OK
09-12-2023	16:08:33.603	48.036	14.880	OK
09-12-2023	16:08:34.605	49.038	14.878	OK
09-12-2023	16:08:35.604	50.037	14.879	OK
09-12-2023	16:08:36.606	51.039	14.881	OK
09-12-2023	16:08:37.607	52.040	14.885	OK
09-12-2023	16:08:38.608	53.041	14.887	OK
09-12-2023	16:08:39.610	54.043	14.889	OK
09-12-2023	16:08:40.609	55.042	14.888	OK
09-12-2023	16:08:41.609	56.042	14.891	OK
09-12-2023	16:08:42.609	57.042	14.892	OK
09-12-2023	16:08:43.608	58.041	14.890	OK
09-12-2023	16:08:44.609	59.042	14.888	OK
09-12-2023	16:08:45.609	60.042	14.887	OK
09-12-2023	16:08:46.610	61.043	14.885	OK
09-12-2023	16:08:47.611	62.044	14.887	OK
09-12-2023	16:08:48.610	63.043	14.889	OK
09-12-2023	16:08:49.611	64.044	14.892	OK
09-12-2023	16:08:50.610	65.043	14.890	OK
09-12-2023	16:08:51.611	66.044	14.891	OK
09-12-2023	16:08:52.610	67.043	14.888	OK
09-12-2023	16:08:53.611	68.044	14.888	OK
09-12-2023	16:08:54.610	69.043	14.887	OK
09-12-2023	16:08:55.611	70.044	14.889	OK
09-12-2023	16:08:56.610	71.043	14.890	OK
09-12-2023	16:08:57.612	72.045	14.889	OK
09-12-2023	16:08:58.614	73.047	14.887	OK
09-12-2023	16:08:59.615	74.048	14.886	OK
09-12-2023	16:09:00.614	75.047	14.886	OK
09-12-2023	16:09:01.612	76.045	14.887	OK
09-12-2023	16:09:02.614	77.047	14.890	OK
09-12-2023	16:09:03.613	78.046	14.890	OK
09-12-2023	16:09:04.612	79.045	14.893	OK
09-12-2023	16:09:05.614	80.047	14.896	OK
09-12-2023	16:09:06.614	81.047	14.898	OK
09-12-2023	16:09:07.616	82.049	14.901	OK
