#--- Experiment --------------------------------------------------------------------------
#121023_15C_E1E2E4E3E4E5_cory
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.2] - Oxygen Sensor - XB7-528-210 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	12/7/2023	12/7/2023	22.562000	52.422000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1016.049000	20.183000	100.000000	21.163000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (%air sat.) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]
10-12-2023	11:09:29.099	0.376	97.971	23.377	145	0	OK	10-12-2023	11:09:29.099	0.376	15.044	OK	10-12-2023	11:09:29.099	0.376	1013	OK
10-12-2023	11:09:30.100	1.378	97.938	23.381	145	0	OK	10-12-2023	11:09:30.100	1.378	15.043	OK	10-12-2023	11:09:30.100	1.378	1013	OK
10-12-2023	11:09:31.101	2.379	97.853	23.391	145	0	OK	10-12-2023	11:09:31.101	2.379	15.045	OK	10-12-2023	11:09:31.101	2.379	1013	OK
10-12-2023	11:09:32.095	3.372	97.977	23.376	145	0	OK	10-12-2023	11:09:32.095	3.372	15.047	OK	10-12-2023	11:09:32.095	3.372	1013	OK
10-12-2023	11:09:33.096	4.373	97.953	23.378	145	0	OK	10-12-2023	11:09:33.096	4.373	15.054	OK	10-12-2023	11:09:33.096	4.373	1013	OK
10-12-2023	11:09:34.094	5.372	97.949	23.378	145	0	OK	10-12-2023	11:09:34.094	5.372	15.059	OK	10-12-2023	11:09:34.094	5.372	1013	OK
10-12-2023	11:09:35.100	6.377	97.847	23.390	145	0	OK	10-12-2023	11:09:35.100	6.377	15.060	OK	10-12-2023	11:09:35.100	6.377	1013	OK
10-12-2023	11:09:36.099	7.376	97.895	23.385	145	0	OK	10-12-2023	11:09:36.099	7.376	15.053	OK	10-12-2023	11:09:36.099	7.376	1013	OK
10-12-2023	11:09:37.103	8.381	97.971	23.377	145	0	OK	10-12-2023	11:09:37.103	8.381	15.044	OK	10-12-2023	11:09:37.103	8.381	1013	OK
10-12-2023	11:09:38.104	9.382	97.919	23.384	145	0	OK	10-12-2023	11:09:38.104	9.382	15.037	OK	10-12-2023	11:09:38.104	9.382	1013	OK
10-12-2023	11:09:39.095	10.372	97.977	23.377	145	0	OK	10-12-2023	11:09:39.095	10.372	15.038	OK	10-12-2023	11:09:39.095	10.372	1013	OK
10-12-2023	11:09:40.107	11.384	97.883	23.388	145	0	OK	10-12-2023	11:09:40.107	11.384	15.039	OK	10-12-2023	11:09:40.107	11.384	1013	OK
10-12-2023	11:09:41.102	12.380	97.940	23.381	145	0	OK	10-12-2023	11:09:41.102	12.380	15.041	OK	10-12-2023	11:09:41.102	12.380	1013	OK
10-12-2023	11:09:42.105	13.382	97.907	23.386	145	0	OK	10-12-2023	11:09:42.105	13.382	15.032	OK	10-12-2023	11:09:42.105	13.382	1013	OK
10-12-2023	11:09:43.104	14.381	97.956	23.381	145	0	OK	10-12-2023	11:09:43.104	14.381	15.024	OK	10-12-2023	11:09:43.104	14.381	1013	OK
10-12-2023	11:09:44.109	15.386	97.959	23.381	145	0	OK	10-12-2023	11:09:44.109	15.386	15.021	OK	10-12-2023	11:09:44.109	15.386	1013	OK
10-12-2023	11:09:45.098	16.375	97.958	23.381	145	0	OK	10-12-2023	11:09:45.098	16.375	15.022	OK	10-12-2023	11:09:45.098	16.375	1013	OK
10-12-2023	11:09:46.099	17.376	97.985	23.378	145	0	OK	10-12-2023	11:09:46.099	17.376	15.020	OK	10-12-2023	11:09:46.099	17.376	1013	OK
10-12-2023	11:09:47.099	18.376	98.043	23.372	145	0	OK	10-12-2023	11:09:47.099	18.376	15.012	OK	10-12-2023	11:09:47.099	18.376	1013	OK
10-12-2023	11:09:48.098	19.375	97.817	23.400	145	0	OK	10-12-2023	11:09:48.098	19.375	15.002	OK	10-12-2023	11:09:48.098	19.375	1013	OK
10-12-2023	11:09:49.108	20.386	98.008	23.378	145	0	OK	10-12-2023	11:09:49.108	20.386	14.996	OK	10-12-2023	11:09:49.108	20.386	1013	OK
10-12-2023	11:09:50.106	21.384	98.050	23.373	145	0	OK	10-12-2023	11:09:50.106	21.384	14.995	OK	10-12-2023	11:09:50.106	21.384	1013	OK
10-12-2023	11:09:51.106	22.384	98.041	23.374	145	0	OK	10-12-2023	11:09:51.106	22.384	14.996	OK	10-12-2023	11:09:51.106	22.384	1013	OK
