#--- Experiment --------------------------------------------------------------------------
#121023_15C_E1E2E4E3E4E5_tile
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.4] - Oxygen Sensor - XB7-536-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	12/7/2023	12/7/2023	23.114000	53.138000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1016.089000	20.190000	100.000000	21.171000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.4 Main]	Time [A Ch.4 Main]	 dt (s) [A Ch.4 Main]	Oxygen (%air sat.) [A Ch.4 Main]	dphi (°) [A Ch.4 Main]	Signal Intensity (mV) [A Ch.4 Main]	Ambient Light (mV) [A Ch.4 Main]	Status [A Ch.4 Main]	Date [A Ch.4 CompT]	Time [A Ch.4 CompT]	 dt (s) [A Ch.4 CompT]	Sample Temp. (°C) [A Ch.4 CompT]	Status [A Ch.4 CompT]	Date [A Ch.4 CompP]	Time [A Ch.4 CompP]	 dt (s) [A Ch.4 CompP]	Pressure (mbar) [A Ch.4 CompP]	Status [A Ch.4 CompP]
10-12-2023	14:40:51.888	0.056	99.189	23.791	280	0	OK	10-12-2023	14:40:51.888	0.056	15.110	OK	10-12-2023	14:40:51.888	0.056	1013	OK
10-12-2023	14:40:52.891	1.060	99.121	23.799	280	0	OK	10-12-2023	14:40:52.891	1.060	15.111	OK	10-12-2023	14:40:52.891	1.060	1013	OK
10-12-2023	14:40:53.891	2.059	99.088	23.803	280	0	OK	10-12-2023	14:40:53.891	2.059	15.110	OK	10-12-2023	14:40:53.891	2.059	1013	OK
10-12-2023	14:40:54.988	3.156	99.098	23.802	280	0	OK	10-12-2023	14:40:54.988	3.156	15.109	OK	10-12-2023	14:40:54.988	3.156	1013	OK
10-12-2023	14:40:55.984	4.153	99.182	23.792	280	0	OK	10-12-2023	14:40:55.984	4.153	15.108	OK	10-12-2023	14:40:55.984	4.153	1013	OK
10-12-2023	14:40:56.984	5.153	99.108	23.801	280	0	OK	10-12-2023	14:40:56.984	5.153	15.107	OK	10-12-2023	14:40:56.984	5.153	1013	OK
10-12-2023	14:40:57.986	6.154	99.109	23.801	280	0	OK	10-12-2023	14:40:57.986	6.154	15.106	OK	10-12-2023	14:40:57.986	6.154	1013	OK
10-12-2023	14:40:58.985	7.153	99.084	23.804	280	0	OK	10-12-2023	14:40:58.985	7.153	15.106	OK	10-12-2023	14:40:58.985	7.153	1013	OK
10-12-2023	14:40:59.987	8.156	99.065	23.806	280	0	OK	10-12-2023	14:40:59.987	8.156	15.108	OK	10-12-2023	14:40:59.987	8.156	1013	OK
10-12-2023	14:41:00.893	9.061	99.030	23.810	280	0	OK	10-12-2023	14:41:00.893	9.061	15.110	OK	10-12-2023	14:41:00.893	9.061	1013	OK
10-12-2023	14:41:01.981	10.150	99.080	23.804	280	0	OK	10-12-2023	14:41:01.981	10.150	15.110	OK	10-12-2023	14:41:01.981	10.150	1013	OK
10-12-2023	14:41:02.892	11.061	99.040	23.809	280	0	OK	10-12-2023	14:41:02.892	11.061	15.108	OK	10-12-2023	14:41:02.892	11.061	1013	OK
10-12-2023	14:41:03.987	12.156	99.149	23.796	280	0	OK	10-12-2023	14:41:03.987	12.156	15.108	OK	10-12-2023	14:41:03.987	12.156	1013	OK
10-12-2023	14:41:04.987	13.155	99.166	23.794	280	0	OK	10-12-2023	14:41:04.987	13.155	15.107	OK	10-12-2023	14:41:04.987	13.155	1013	OK
10-12-2023	14:41:05.988	14.156	99.157	23.795	280	0	OK	10-12-2023	14:41:05.988	14.156	15.108	OK	10-12-2023	14:41:05.988	14.156	1013	OK
