#--- Experiment --------------------------------------------------------------------------
#121023_15C_B1A2A3_cory
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.4] - Oxygen Sensor - XB7-536-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	12/7/2023	12/7/2023	23.114000	53.138000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1016.089000	20.190000	100.000000	21.171000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.4 Main]	Time [A Ch.4 Main]	 dt (s) [A Ch.4 Main]	Oxygen (%air sat.) [A Ch.4 Main]	dphi (°) [A Ch.4 Main]	Signal Intensity (mV) [A Ch.4 Main]	Ambient Light (mV) [A Ch.4 Main]	Status [A Ch.4 Main]	Date [A Ch.4 CompT]	Time [A Ch.4 CompT]	 dt (s) [A Ch.4 CompT]	Sample Temp. (°C) [A Ch.4 CompT]	Status [A Ch.4 CompT]	Date [A Ch.4 CompP]	Time [A Ch.4 CompP]	 dt (s) [A Ch.4 CompP]	Pressure (mbar) [A Ch.4 CompP]	Status [A Ch.4 CompP]
10-12-2023	16:06:05.138	0.366	98.150	23.916	282	0	OK	10-12-2023	16:06:05.138	0.366	15.110	OK	10-12-2023	16:06:05.138	0.366	1013	OK
10-12-2023	16:06:06.248	1.477	98.151	23.916	282	0	OK	10-12-2023	16:06:06.248	1.477	15.109	OK	10-12-2023	16:06:06.248	1.477	1013	OK
10-12-2023	16:06:07.235	2.463	98.085	23.924	282	0	OK	10-12-2023	16:06:07.235	2.463	15.109	OK	10-12-2023	16:06:07.235	2.463	1013	OK
10-12-2023	16:06:08.140	3.368	98.233	23.906	282	0	OK	10-12-2023	16:06:08.140	3.368	15.110	OK	10-12-2023	16:06:08.140	3.368	1013	OK
10-12-2023	16:06:09.231	4.459	98.184	23.912	282	0	OK	10-12-2023	16:06:09.231	4.459	15.109	OK	10-12-2023	16:06:09.231	4.459	1013	OK
10-12-2023	16:06:10.237	5.466	98.206	23.909	282	0	OK	10-12-2023	16:06:10.237	5.466	15.112	OK	10-12-2023	16:06:10.237	5.466	1013	OK
10-12-2023	16:06:11.232	6.460	98.136	23.917	282	0	OK	10-12-2023	16:06:11.232	6.460	15.116	OK	10-12-2023	16:06:11.232	6.460	1013	OK
10-12-2023	16:06:12.235	7.464	98.132	23.917	282	0	OK	10-12-2023	16:06:12.235	7.464	15.120	OK	10-12-2023	16:06:12.235	7.464	1013	OK
10-12-2023	16:06:13.234	8.463	98.213	23.907	282	0	OK	10-12-2023	16:06:13.234	8.463	15.122	OK	10-12-2023	16:06:13.234	8.463	1013	OK
10-12-2023	16:06:14.238	9.467	98.165	23.913	282	0	OK	10-12-2023	16:06:14.238	9.467	15.120	OK	10-12-2023	16:06:14.238	9.467	1013	OK
10-12-2023	16:06:15.238	10.467	98.259	23.902	282	1	OK	10-12-2023	16:06:15.238	10.467	15.117	OK	10-12-2023	16:06:15.238	10.467	1013	OK
10-12-2023	16:06:16.240	11.468	98.189	23.911	282	0	OK	10-12-2023	16:06:16.240	11.468	15.112	OK	10-12-2023	16:06:16.240	11.468	1013	OK
10-12-2023	16:06:17.240	12.468	98.152	23.916	282	0	OK	10-12-2023	16:06:17.240	12.468	15.108	OK	10-12-2023	16:06:17.240	12.468	1013	OK
10-12-2023	16:06:18.239	13.467	98.237	23.906	282	0	OK	10-12-2023	16:06:18.239	13.467	15.105	OK	10-12-2023	16:06:18.239	13.467	1013	OK
10-12-2023	16:06:19.263	14.491	98.239	23.906	282	0	OK	10-12-2023	16:06:19.263	14.491	15.103	OK	10-12-2023	16:06:19.263	14.491	1013	OK
