#--- Experiment --------------------------------------------------------------------------
#121023_15C_B1A2A3_tile
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.4] - Oxygen Sensor - XB7-536-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	12/7/2023	12/7/2023	23.114000	53.138000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1016.089000	20.190000	100.000000	21.171000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.4 Main]	Time [A Ch.4 Main]	 dt (s) [A Ch.4 Main]	Oxygen (%air sat.) [A Ch.4 Main]	dphi (°) [A Ch.4 Main]	Signal Intensity (mV) [A Ch.4 Main]	Ambient Light (mV) [A Ch.4 Main]	Status [A Ch.4 Main]	Date [A Ch.4 CompT]	Time [A Ch.4 CompT]	 dt (s) [A Ch.4 CompT]	Sample Temp. (°C) [A Ch.4 CompT]	Status [A Ch.4 CompT]	Date [A Ch.4 CompP]	Time [A Ch.4 CompP]	 dt (s) [A Ch.4 CompP]	Pressure (mbar) [A Ch.4 CompP]	Status [A Ch.4 CompP]
10-12-2023	19:32:19.382	0.418	98.212	23.935	283	0	OK	10-12-2023	19:32:19.382	0.418	14.877	OK	10-12-2023	19:32:19.382	0.418	1013	OK
10-12-2023	19:32:20.381	1.417	98.285	23.926	283	0	OK	10-12-2023	19:32:20.381	1.417	14.878	OK	10-12-2023	19:32:20.381	1.417	1013	OK
10-12-2023	19:32:21.386	2.422	98.212	23.935	283	0	OK	10-12-2023	19:32:21.386	2.422	14.877	OK	10-12-2023	19:32:21.386	2.422	1013	OK
10-12-2023	19:32:22.383	3.419	98.206	23.936	283	0	OK	10-12-2023	19:32:22.383	3.419	14.874	OK	10-12-2023	19:32:22.383	3.419	1013	OK
10-12-2023	19:32:23.386	4.422	98.202	23.937	283	0	OK	10-12-2023	19:32:23.386	4.422	14.870	OK	10-12-2023	19:32:23.386	4.422	1013	OK
10-12-2023	19:32:24.392	5.428	98.278	23.928	283	0	OK	10-12-2023	19:32:24.392	5.428	14.868	OK	10-12-2023	19:32:24.392	5.428	1013	OK
10-12-2023	19:32:25.390	6.426	98.293	23.926	283	0	OK	10-12-2023	19:32:25.390	6.426	14.869	OK	10-12-2023	19:32:25.390	6.426	1013	OK
10-12-2023	19:32:26.392	7.427	98.290	23.926	283	0	OK	10-12-2023	19:32:26.392	7.427	14.873	OK	10-12-2023	19:32:26.392	7.427	1013	OK
10-12-2023	19:32:27.390	8.426	98.257	23.930	283	0	OK	10-12-2023	19:32:27.390	8.426	14.873	OK	10-12-2023	19:32:27.390	8.426	1013	OK
10-12-2023	19:32:28.389	9.425	98.279	23.927	283	0	OK	10-12-2023	19:32:28.389	9.425	14.876	OK	10-12-2023	19:32:28.389	9.425	1013	OK
10-12-2023	19:32:29.391	10.427	98.286	23.926	283	0	OK	10-12-2023	19:32:29.391	10.427	14.877	OK	10-12-2023	19:32:29.391	10.427	1013	OK
10-12-2023	19:32:30.391	11.427	98.211	23.935	283	0	OK	10-12-2023	19:32:30.391	11.427	14.878	OK	10-12-2023	19:32:30.391	11.427	1013	OK
10-12-2023	19:32:31.389	12.425	98.218	23.934	283	0	OK	10-12-2023	19:32:31.389	12.425	14.879	OK	10-12-2023	19:32:31.389	12.425	1013	OK
10-12-2023	19:32:32.388	13.424	98.262	23.929	283	0	OK	10-12-2023	19:32:32.388	13.424	14.876	OK	10-12-2023	19:32:32.388	13.424	1013	OK
10-12-2023	19:32:33.387	14.422	98.300	23.925	283	0	OK	10-12-2023	19:32:33.387	14.422	14.871	OK	10-12-2023	19:32:33.387	14.422	1013	OK
