#--- Experiment --------------------------------------------------------------------------
#121023_15C_empty
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX2 [B] FSO2-C4 SN:24C53407596FD0B5 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [B T1] - PT100 Temperature Sensor - Calibration offset = 0.10°C
#--- Measurement Data --------------------------------------------------------------------
Date [B T1]	Time [B T1]	 dt (s) [B T1]	Sample Temp. (°C) [B T1]	Status [B T1]
10-12-2023	21:15:38.705	0.130	14.607	OK
10-12-2023	21:15:39.720	1.145	14.611	OK
10-12-2023	21:15:40.722	2.147	14.614	OK
10-12-2023	21:15:41.723	3.148	14.617	OK
10-12-2023	21:15:42.723	4.148	14.618	OK
10-12-2023	21:15:43.722	5.146	14.617	OK
10-12-2023	21:15:44.722	6.147	14.612	OK
10-12-2023	21:15:45.724	7.148	14.609	OK
10-12-2023	21:15:46.724	8.148	14.606	OK
10-12-2023	21:15:47.727	9.151	14.604	OK
10-12-2023	21:15:48.742	10.167	14.606	OK
10-12-2023	21:15:49.724	11.148	14.609	OK
10-12-2023	21:15:50.726	12.151	14.612	OK
10-12-2023	21:15:51.726	13.150	14.616	OK
10-12-2023	21:15:52.725	14.150	14.617	OK
10-12-2023	21:15:53.725	15.150	14.617	OK
10-12-2023	21:15:54.724	16.149	14.615	OK
10-12-2023	21:15:55.726	17.150	14.617	OK
10-12-2023	21:15:56.726	18.151	14.619	OK
10-12-2023	21:15:57.727	19.152	14.619	OK
10-12-2023	21:15:58.729	20.153	14.618	OK
10-12-2023	21:15:59.728	21.153	14.617	OK
10-12-2023	21:16:00.729	22.153	14.618	OK
10-12-2023	21:16:01.730	23.155	14.616	OK
10-12-2023	21:16:02.729	24.153	14.616	OK
10-12-2023	21:16:03.729	25.153	14.617	OK
10-12-2023	21:16:04.728	26.153	14.623	OK
10-12-2023	21:16:05.729	27.154	14.626	OK
10-12-2023	21:16:06.731	28.155	14.630	OK
10-12-2023	21:16:07.731	29.156	14.633	OK
10-12-2023	21:16:08.730	30.155	14.635	OK
10-12-2023	21:16:09.734	31.159	14.637	OK
10-12-2023	21:16:10.731	32.155	14.637	OK
10-12-2023	21:16:11.731	33.155	14.637	OK
10-12-2023	21:16:12.735	34.160	14.638	OK
10-12-2023	21:16:13.730	35.155	14.638	OK
10-12-2023	21:16:14.733	36.157	14.637	OK
10-12-2023	21:16:15.732	37.157	14.635	OK
10-12-2023	21:16:16.733	38.157	14.636	OK
10-12-2023	21:16:17.733	39.158	14.640	OK
10-12-2023	21:16:18.736	40.161	14.643	OK
10-12-2023	21:16:19.734	41.159	14.643	OK
10-12-2023	21:16:20.736	42.160	14.643	OK
10-12-2023	21:16:21.735	43.160	14.642	OK
10-12-2023	21:16:22.736	44.160	14.639	OK
10-12-2023	21:16:23.735	45.160	14.637	OK
10-12-2023	21:16:24.736	46.161	14.638	OK
10-12-2023	21:16:25.735	47.160	14.639	OK
10-12-2023	21:16:26.736	48.161	14.640	OK
10-12-2023	21:16:27.737	49.162	14.641	OK
10-12-2023	21:16:28.737	50.161	14.644	OK
10-12-2023	21:16:29.738	51.162	14.645	OK
10-12-2023	21:16:30.742	52.167	14.645	OK
10-12-2023	21:16:31.739	53.164	14.645	OK
10-12-2023	21:16:32.739	54.164	14.646	OK
10-12-2023	21:16:33.739	55.164	14.643	OK
10-12-2023	21:16:34.744	56.169	14.644	OK
10-12-2023	21:16:35.749	57.173	14.641	OK
10-12-2023	21:16:36.745	58.169	14.644	OK
10-12-2023	21:16:37.745	59.169	14.643	OK
10-12-2023	21:16:38.744	60.169	14.644	OK
