#--- Experiment --------------------------------------------------------------------------
#121123_23C_B11A14E14B14A15E15t
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.2] - Oxygen Sensor - XB7-528-210 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	12/7/2023	12/7/2023	22.562000	52.422000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1016.049000	20.183000	100.000000	21.163000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (%air sat.) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]
11-12-2023	17:11:15.255	0.854	108.529	21.391	129	1	OK	11-12-2023	17:11:15.255	0.854	23.057	OK	11-12-2023	17:11:15.255	0.854	1013	OK
11-12-2023	17:11:16.257	1.856	108.624	21.381	129	1	OK	11-12-2023	17:11:16.257	1.856	23.058	OK	11-12-2023	17:11:16.257	1.856	1013	OK
11-12-2023	17:11:17.258	2.856	108.565	21.387	129	1	OK	11-12-2023	17:11:17.258	2.856	23.059	OK	11-12-2023	17:11:17.258	2.856	1013	OK
11-12-2023	17:11:18.255	3.854	108.605	21.383	129	0	OK	11-12-2023	17:11:18.255	3.854	23.058	OK	11-12-2023	17:11:18.255	3.854	1013	OK
11-12-2023	17:11:19.256	4.855	108.675	21.376	129	0	OK	11-12-2023	17:11:19.256	4.855	23.055	OK	11-12-2023	17:11:19.256	4.855	1013	OK
11-12-2023	17:11:20.257	5.855	108.601	21.384	129	0	OK	11-12-2023	17:11:20.257	5.855	23.051	OK	11-12-2023	17:11:20.257	5.855	1013	OK
11-12-2023	17:11:21.255	6.854	108.599	21.385	129	0	OK	11-12-2023	17:11:21.255	6.854	23.043	OK	11-12-2023	17:11:21.255	6.854	1013	OK
11-12-2023	17:11:22.259	7.858	108.485	21.397	129	0	OK	11-12-2023	17:11:22.259	7.858	23.041	OK	11-12-2023	17:11:22.259	7.858	1013	OK
11-12-2023	17:11:23.261	8.859	108.608	21.384	129	1	OK	11-12-2023	17:11:23.261	8.859	23.043	OK	11-12-2023	17:11:23.261	8.859	1013	OK
11-12-2023	17:11:24.258	9.857	108.640	21.380	129	0	OK	11-12-2023	17:11:24.258	9.857	23.051	OK	11-12-2023	17:11:24.258	9.857	1013	OK
11-12-2023	17:11:25.260	10.859	108.742	21.369	129	0	OK	11-12-2023	17:11:25.260	10.859	23.055	OK	11-12-2023	17:11:25.260	10.859	1013	OK
11-12-2023	17:11:26.259	11.858	108.653	21.378	129	0	OK	11-12-2023	17:11:26.259	11.858	23.058	OK	11-12-2023	17:11:26.259	11.858	1013	OK
11-12-2023	17:11:27.259	12.857	108.663	21.377	129	1	OK	11-12-2023	17:11:27.259	12.857	23.058	OK	11-12-2023	17:11:27.259	12.857	1013	OK
11-12-2023	17:11:28.264	13.863	108.698	21.373	129	0	OK	11-12-2023	17:11:28.264	13.863	23.061	OK	11-12-2023	17:11:28.264	13.863	1013	OK
11-12-2023	17:11:29.262	14.860	108.545	21.389	129	1	OK	11-12-2023	17:11:29.262	14.860	23.060	OK	11-12-2023	17:11:29.262	14.860	1013	OK
11-12-2023	17:11:30.261	15.860	108.707	21.372	129	1	OK	11-12-2023	17:11:30.261	15.860	23.062	OK	11-12-2023	17:11:30.261	15.860	1013	OK
11-12-2023	17:11:31.261	16.860	108.612	21.382	128	1	OK	11-12-2023	17:11:31.261	16.860	23.061	OK	11-12-2023	17:11:31.261	16.860	1013	OK
11-12-2023	17:11:32.260	17.859	108.620	21.381	129	0	OK	11-12-2023	17:11:32.260	17.859	23.062	OK	11-12-2023	17:11:32.260	17.859	1013	OK
11-12-2023	17:11:33.262	18.860	108.555	21.388	129	0	OK	11-12-2023	17:11:33.262	18.860	23.060	OK	11-12-2023	17:11:33.262	18.860	1013	OK
11-12-2023	17:11:34.263	19.861	108.573	21.386	129	0	OK	11-12-2023	17:11:34.263	19.861	23.061	OK	11-12-2023	17:11:34.263	19.861	1013	OK
11-12-2023	17:11:35.263	20.862	108.565	21.387	129	0	OK	11-12-2023	17:11:35.263	20.862	23.059	OK	11-12-2023	17:11:35.263	20.862	1013	OK
11-12-2023	17:11:36.262	21.861	108.555	21.388	129	1	OK	11-12-2023	17:11:36.262	21.861	23.060	OK	11-12-2023	17:11:36.262	21.861	1013	OK
11-12-2023	17:11:37.264	22.862	108.553	21.388	129	0	OK	11-12-2023	17:11:37.264	22.862	23.062	OK	11-12-2023	17:11:37.264	22.862	1013	OK
11-12-2023	17:11:38.263	23.861	108.494	21.394	129	0	OK	11-12-2023	17:11:38.263	23.861	23.063	OK	11-12-2023	17:11:38.263	23.861	1013	OK
11-12-2023	17:11:39.262	24.860	108.492	21.394	129	0	OK	11-12-2023	17:11:39.262	24.860	23.066	OK	11-12-2023	17:11:39.262	24.860	1013	OK
11-12-2023	17:11:40.264	25.863	108.580	21.385	129	0	OK	11-12-2023	17:11:40.264	25.863	23.064	OK	11-12-2023	17:11:40.264	25.863	1013	OK
11-12-2023	17:11:41.263	26.862	108.582	21.385	129	1	OK	11-12-2023	17:11:41.263	26.862	23.062	OK	11-12-2023	17:11:41.263	26.862	1013	OK
11-12-2023	17:11:42.263	27.862	108.534	21.390	129	1	OK	11-12-2023	17:11:42.263	27.862	23.062	OK	11-12-2023	17:11:42.263	27.862	1013	OK
11-12-2023	17:11:43.267	28.866	108.632	21.380	129	0	OK	11-12-2023	17:11:43.267	28.866	23.060	OK	11-12-2023	17:11:43.267	28.866	1013	OK
11-12-2023	17:11:44.265	29.863	108.631	21.380	129	0	OK	11-12-2023	17:11:44.265	29.863	23.061	OK	11-12-2023	17:11:44.265	29.863	1013	OK
11-12-2023	17:11:45.266	30.865	108.593	21.384	129	0	OK	11-12-2023	17:11:45.266	30.865	23.060	OK	11-12-2023	17:11:45.266	30.865	1013	OK
11-12-2023	17:11:46.266	31.865	108.600	21.383	129	0	OK	11-12-2023	17:11:46.266	31.865	23.063	OK	11-12-2023	17:11:46.266	31.865	1013	OK
11-12-2023	17:11:47.267	32.866	108.541	21.389	129	1	OK	11-12-2023	17:11:47.267	32.866	23.065	OK	11-12-2023	17:11:47.267	32.866	1013	OK
11-12-2023	17:11:48.266	33.865	108.673	21.375	129	0	OK	11-12-2023	17:11:48.266	33.865	23.068	OK	11-12-2023	17:11:48.266	33.865	1013	OK
11-12-2023	17:11:49.267	34.866	108.539	21.389	129	0	OK	11-12-2023	17:11:49.267	34.866	23.067	OK	11-12-2023	17:11:49.267	34.866	1013	OK
11-12-2023	17:11:50.267	35.866	108.530	21.390	129	0	OK	11-12-2023	17:11:50.267	35.866	23.067	OK	11-12-2023	17:11:50.267	35.866	1013	OK
11-12-2023	17:11:51.267	36.866	108.567	21.386	129	0	OK	11-12-2023	17:11:51.267	36.866	23.068	OK	11-12-2023	17:11:51.267	36.866	1013	OK
11-12-2023	17:11:52.268	37.867	108.458	21.397	129	0	OK	11-12-2023	17:11:52.268	37.867	23.072	OK	11-12-2023	17:11:52.268	37.867	1013	OK
11-12-2023	17:11:53.272	38.871	108.617	21.380	129	1	OK	11-12-2023	17:11:53.272	38.871	23.077	OK	11-12-2023	17:11:53.272	38.871	1013	OK
11-12-2023	17:11:54.269	39.868	108.577	21.384	129	0	OK	11-12-2023	17:11:54.269	39.868	23.079	OK	11-12-2023	17:11:54.269	39.868	1013	OK
11-12-2023	17:11:55.273	40.872	108.502	21.392	129	0	OK	11-12-2023	17:11:55.273	40.872	23.077	OK	11-12-2023	17:11:55.273	40.872	1013	OK
11-12-2023	17:11:56.271	41.870	108.676	21.374	129	0	OK	11-12-2023	17:11:56.271	41.870	23.076	OK	11-12-2023	17:11:56.271	41.870	1013	OK
11-12-2023	17:11:57.274	42.872	108.580	21.384	129	0	OK	11-12-2023	17:11:57.274	42.872	23.075	OK	11-12-2023	17:11:57.274	42.872	1013	OK
