#--- Experiment --------------------------------------------------------------------------
#121123_15C_A7B7E7A8B9E10_cory
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.2] - Oxygen Sensor - XB7-528-210 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	12/7/2023	12/7/2023	22.562000	52.422000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1016.049000	20.183000	100.000000	21.163000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (%air sat.) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]
12-12-2023	11:06:37.478	0.461	103.078	22.350	136	1	OK	12-12-2023	11:06:37.478	0.461	19.171	OK	12-12-2023	11:06:37.478	0.461	1013	OK
12-12-2023	11:06:38.477	1.460	103.034	22.355	136	0	OK	12-12-2023	11:06:38.477	1.460	19.170	OK	12-12-2023	11:06:38.477	1.460	1013	OK
12-12-2023	11:06:39.479	2.462	103.135	22.344	136	0	OK	12-12-2023	11:06:39.479	2.462	19.168	OK	12-12-2023	11:06:39.479	2.462	1013	OK
12-12-2023	11:06:40.480	3.463	103.128	22.345	136	0	OK	12-12-2023	11:06:40.480	3.463	19.166	OK	12-12-2023	11:06:40.480	3.463	1013	OK
12-12-2023	11:06:41.479	4.462	102.977	22.362	136	0	OK	12-12-2023	11:06:41.479	4.462	19.164	OK	12-12-2023	11:06:41.479	4.462	1013	OK
12-12-2023	11:06:42.480	5.463	103.048	22.354	136	1	OK	12-12-2023	11:06:42.480	5.463	19.165	OK	12-12-2023	11:06:42.480	5.463	1013	OK
12-12-2023	11:06:43.482	6.465	102.977	22.362	136	0	OK	12-12-2023	11:06:43.482	6.465	19.164	OK	12-12-2023	11:06:43.482	6.465	1013	OK
12-12-2023	11:06:44.483	7.466	103.074	22.351	136	0	OK	12-12-2023	11:06:44.483	7.466	19.166	OK	12-12-2023	11:06:44.483	7.466	1013	OK
12-12-2023	11:06:45.483	8.466	103.101	22.348	136	1	OK	12-12-2023	11:06:45.483	8.466	19.166	OK	12-12-2023	11:06:45.483	8.466	1013	OK
12-12-2023	11:06:46.485	9.468	103.002	22.359	136	0	OK	12-12-2023	11:06:46.485	9.468	19.166	OK	12-12-2023	11:06:46.485	9.468	1013	OK
12-12-2023	11:06:47.483	10.466	102.956	22.364	136	0	OK	12-12-2023	11:06:47.483	10.466	19.167	OK	12-12-2023	11:06:47.483	10.466	1013	OK
12-12-2023	11:06:48.481	11.464	103.083	22.350	136	0	OK	12-12-2023	11:06:48.481	11.464	19.166	OK	12-12-2023	11:06:48.481	11.464	1013	OK
12-12-2023	11:06:49.482	12.465	102.976	22.362	136	0	OK	12-12-2023	11:06:49.482	12.465	19.165	OK	12-12-2023	11:06:49.482	12.465	1013	OK
12-12-2023	11:06:50.485	13.468	103.068	22.352	136	0	OK	12-12-2023	11:06:50.485	13.468	19.162	OK	12-12-2023	11:06:50.485	13.468	1013	OK
12-12-2023	11:06:51.485	14.468	102.987	22.361	136	0	OK	12-12-2023	11:06:51.485	14.468	19.163	OK	12-12-2023	11:06:51.485	14.468	1013	OK
