#--- Experiment --------------------------------------------------------------------------
#121123_15C_A7B7E7A8B9E10_tile
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.3] - Oxygen Sensor - XA7-533-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	12/7/2023	12/7/2023	22.565000	52.772000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1016.123000	20.208000	100.000000	21.231000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.3 Main]	Time [A Ch.3 Main]	 dt (s) [A Ch.3 Main]	Oxygen (%air sat.) [A Ch.3 Main]	dphi (°) [A Ch.3 Main]	Signal Intensity (mV) [A Ch.3 Main]	Ambient Light (mV) [A Ch.3 Main]	Status [A Ch.3 Main]	Date [A Ch.3 CompT]	Time [A Ch.3 CompT]	 dt (s) [A Ch.3 CompT]	Sample Temp. (°C) [A Ch.3 CompT]	Status [A Ch.3 CompT]	Date [A Ch.3 CompP]	Time [A Ch.3 CompP]	 dt (s) [A Ch.3 CompP]	Pressure (mbar) [A Ch.3 CompP]	Status [A Ch.3 CompP]
12-12-2023	14:47:29.208	0.201	103.429	22.329	189	0	OK	12-12-2023	14:47:29.208	0.201	19.041	OK	12-12-2023	14:47:29.208	0.201	1013	OK
12-12-2023	14:47:30.199	1.192	103.519	22.319	189	0	OK	12-12-2023	14:47:30.199	1.192	19.041	OK	12-12-2023	14:47:30.199	1.192	1013	OK
12-12-2023	14:47:31.202	2.195	103.449	22.327	189	0	OK	12-12-2023	14:47:31.202	2.195	19.039	OK	12-12-2023	14:47:31.202	2.195	1013	OK
12-12-2023	14:47:32.202	3.195	103.443	22.328	189	0	OK	12-12-2023	14:47:32.202	3.195	19.036	OK	12-12-2023	14:47:32.202	3.195	1013	OK
12-12-2023	14:47:33.204	4.197	103.457	22.326	189	0	OK	12-12-2023	14:47:33.204	4.197	19.040	OK	12-12-2023	14:47:33.204	4.197	1013	OK
12-12-2023	14:47:34.201	5.194	103.394	22.333	189	0	OK	12-12-2023	14:47:34.201	5.194	19.041	OK	12-12-2023	14:47:34.201	5.194	1013	OK
12-12-2023	14:47:35.201	6.194	103.396	22.332	189	0	OK	12-12-2023	14:47:35.201	6.194	19.048	OK	12-12-2023	14:47:35.201	6.194	1013	OK
12-12-2023	14:47:36.201	7.195	103.369	22.335	189	0	OK	12-12-2023	14:47:36.201	7.195	19.048	OK	12-12-2023	14:47:36.201	7.195	1013	OK
12-12-2023	14:47:37.204	8.197	103.375	22.334	189	0	OK	12-12-2023	14:47:37.204	8.197	19.052	OK	12-12-2023	14:47:37.204	8.197	1013	OK
12-12-2023	14:47:38.204	9.197	103.495	22.320	189	0	OK	12-12-2023	14:47:38.204	9.197	19.058	OK	12-12-2023	14:47:38.204	9.197	1013	OK
12-12-2023	14:47:39.204	10.198	103.376	22.333	189	0	OK	12-12-2023	14:47:39.204	10.198	19.060	OK	12-12-2023	14:47:39.204	10.198	1013	OK
12-12-2023	14:47:40.204	11.197	103.396	22.331	189	0	OK	12-12-2023	14:47:40.204	11.197	19.058	OK	12-12-2023	14:47:40.204	11.197	1013	OK
12-12-2023	14:47:41.205	12.198	103.471	22.323	189	0	OK	12-12-2023	14:47:41.205	12.198	19.054	OK	12-12-2023	14:47:41.205	12.198	1013	OK
12-12-2023	14:47:42.204	13.198	103.396	22.332	189	0	OK	12-12-2023	14:47:42.204	13.198	19.048	OK	12-12-2023	14:47:42.204	13.198	1013	OK
12-12-2023	14:47:43.206	14.199	103.497	22.321	189	0	OK	12-12-2023	14:47:43.206	14.199	19.046	OK	12-12-2023	14:47:43.206	14.199	1013	OK
