#--- Experiment --------------------------------------------------------------------------
#121123_15C_A7B7E7A8B9E10_tile
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
12-12-2023	14:47:29.028	0.021	19.041	OK
12-12-2023	14:47:30.032	1.025	19.040	OK
12-12-2023	14:47:31.033	2.026	19.041	OK
12-12-2023	14:47:32.031	3.024	19.036	OK
12-12-2023	14:47:33.032	4.025	19.040	OK
12-12-2023	14:47:34.032	5.025	19.042	OK
12-12-2023	14:47:35.034	6.028	19.047	OK
12-12-2023	14:47:36.035	7.029	19.046	OK
12-12-2023	14:47:37.036	8.029	19.051	OK
12-12-2023	14:47:38.035	9.029	19.056	OK
12-12-2023	14:47:39.034	10.027	19.060	OK
12-12-2023	14:47:40.035	11.029	19.058	OK
12-12-2023	14:47:41.036	12.029	19.054	OK
12-12-2023	14:47:42.037	13.031	19.049	OK
12-12-2023	14:47:43.035	14.028	19.048	OK
12-12-2023	14:47:44.035	15.028	19.042	OK
12-12-2023	14:47:45.036	16.029	19.042	OK
12-12-2023	14:47:46.038	17.031	19.040	OK
12-12-2023	14:47:47.039	18.033	19.042	OK
12-12-2023	14:47:48.040	19.033	19.040	OK
12-12-2023	14:47:49.040	20.033	19.041	OK
12-12-2023	14:47:50.037	21.030	19.040	OK
12-12-2023	14:47:51.039	22.032	19.041	OK
12-12-2023	14:47:52.038	23.031	19.042	OK
12-12-2023	14:47:53.040	24.033	19.042	OK
12-12-2023	14:47:54.041	25.034	19.041	OK
12-12-2023	14:47:55.041	26.034	19.038	OK
12-12-2023	14:47:56.038	27.031	19.036	OK
12-12-2023	14:47:57.037	28.030	19.036	OK
12-12-2023	14:47:58.040	29.033	19.036	OK
12-12-2023	14:47:59.040	30.033	19.036	OK
12-12-2023	14:48:00.038	31.031	19.036	OK
12-12-2023	14:48:01.039	32.033	19.039	OK
12-12-2023	14:48:02.039	33.033	19.041	OK
12-12-2023	14:48:03.040	34.034	19.043	OK
12-12-2023	14:48:04.041	35.034	19.042	OK
12-12-2023	14:48:05.041	36.034	19.039	OK
12-12-2023	14:48:06.044	37.037	19.038	OK
12-12-2023	14:48:07.044	38.037	19.036	OK
12-12-2023	14:48:08.041	39.034	19.037	OK
12-12-2023	14:48:09.041	40.034	19.037	OK
12-12-2023	14:48:10.042	41.035	19.036	OK
12-12-2023	14:48:11.045	42.038	19.035	OK
12-12-2023	14:48:12.044	43.037	19.036	OK
12-12-2023	14:48:13.044	44.037	19.041	OK
12-12-2023	14:48:14.045	45.038	19.047	OK
12-12-2023	14:48:15.043	46.036	19.054	OK
12-12-2023	14:48:16.045	47.039	19.058	OK
12-12-2023	14:48:17.046	48.039	19.060	OK
12-12-2023	14:48:18.043	49.036	19.062	OK
12-12-2023	14:48:19.044	50.037	19.059	OK
12-12-2023	14:48:20.044	51.037	19.056	OK
12-12-2023	14:48:21.045	52.038	19.049	OK
12-12-2023	14:48:22.047	53.041	19.044	OK
12-12-2023	14:48:23.048	54.041	19.042	OK
12-12-2023	14:48:24.048	55.041	19.041	OK
12-12-2023	14:48:25.047	56.040	19.040	OK
12-12-2023	14:48:26.048	57.041	19.039	OK
12-12-2023	14:48:27.047	58.040	19.040	OK
12-12-2023	14:48:28.048	59.041	19.038	OK
12-12-2023	14:48:29.045	60.038	19.037	OK
12-12-2023	14:48:30.048	61.042	19.036	OK
12-12-2023	14:48:31.047	62.040	19.039	OK
12-12-2023	14:48:32.048	63.041	19.039	OK
12-12-2023	14:48:33.051	64.045	19.038	OK
12-12-2023	14:48:34.053	65.046	19.034	OK
12-12-2023	14:48:35.054	66.047	19.033	OK
12-12-2023	14:48:36.051	67.044	19.031	OK
12-12-2023	14:48:37.054	68.047	19.030	OK
12-12-2023	14:48:38.054	69.047	19.032	OK
12-12-2023	14:48:39.053	70.046	19.037	OK
12-12-2023	14:48:40.055	71.048	19.042	OK
12-12-2023	14:48:41.054	72.048	19.045	OK
12-12-2023	14:48:42.053	73.046	19.049	OK
12-12-2023	14:48:43.053	74.046	19.050	OK
12-12-2023	14:48:44.053	75.046	19.052	OK
12-12-2023	14:48:45.056	76.050	19.060	OK
12-12-2023	14:48:46.056	77.049	19.068	OK
12-12-2023	14:48:47.056	78.049	19.075	OK
12-12-2023	14:48:48.057	79.050	19.075	OK
12-12-2023	14:48:49.057	80.051	19.078	OK
12-12-2023	14:48:50.058	81.051	19.078	OK
12-12-2023	14:48:51.059	82.052	19.082	OK
12-12-2023	14:48:52.057	83.050	19.077	OK
12-12-2023	14:48:53.062	84.055	19.069	OK
12-12-2023	14:48:54.061	85.054	19.057	OK
12-12-2023	14:48:55.060	86.054	19.048	OK
12-12-2023	14:48:56.064	87.057	19.041	OK
12-12-2023	14:48:57.064	88.057	19.037	OK
12-12-2023	14:48:58.064	89.057	19.035	OK
12-12-2023	14:48:59.062	90.055	19.033	OK
12-12-2023	14:49:00.066	91.059	19.032	OK
12-12-2023	14:49:01.065	92.058	19.033	OK
12-12-2023	14:49:02.067	93.060	19.033	OK
12-12-2023	14:49:03.066	94.059	19.036	OK
12-12-2023	14:49:04.067	95.060	19.039	OK
12-12-2023	14:49:05.066	96.059	19.044	OK
12-12-2023	14:49:06.065	97.058	19.046	OK
12-12-2023	14:49:07.066	98.059	19.047	OK
12-12-2023	14:49:08.069	99.063	19.046	OK
12-12-2023	14:49:09.071	100.064	19.044	OK
12-12-2023	14:49:10.072	101.065	19.041	OK
12-12-2023	14:49:11.070	102.063	19.040	OK
12-12-2023	14:49:12.072	103.066	19.042	OK
12-12-2023	14:49:13.073	104.066	19.043	OK
12-12-2023	14:49:14.073	105.066	19.041	OK
12-12-2023	14:49:15.072	106.065	19.041	OK
12-12-2023	14:49:16.075	107.068	19.039	OK
12-12-2023	14:49:17.074	108.067	19.039	OK
12-12-2023	14:49:18.072	109.065	19.038	OK
12-12-2023	14:49:19.075	110.068	19.040	OK
12-12-2023	14:49:20.079	111.072	19.045	OK
12-12-2023	14:49:21.080	112.073	19.047	OK
12-12-2023	14:49:22.080	113.073	19.056	OK
12-12-2023	14:49:23.078	114.071	19.059	OK
12-12-2023	14:49:24.080	115.073	19.068	OK
12-12-2023	14:49:25.079	116.072	19.075	OK
12-12-2023	14:49:26.079	117.073	19.079	OK
12-12-2023	14:49:27.082	118.075	19.081	OK
12-12-2023	14:49:28.079	119.072	19.079	OK
12-12-2023	14:49:29.079	120.072	19.072	OK
12-12-2023	14:49:30.082	121.075	19.063	OK
12-12-2023	14:49:31.082	122.075	19.056	OK
12-12-2023	14:49:32.084	123.078	19.051	OK
12-12-2023	14:49:33.085	124.078	19.048	OK
12-12-2023	14:49:34.083	125.077	19.045	OK
12-12-2023	14:49:35.083	126.077	19.048	OK
12-12-2023	14:49:36.084	127.078	19.047	OK
12-12-2023	14:49:37.086	128.079	19.045	OK
12-12-2023	14:49:38.088	129.081	19.042	OK
12-12-2023	14:49:39.087	130.081	19.040	OK
12-12-2023	14:49:40.086	131.079	19.043	OK
12-12-2023	14:49:41.086	132.079	19.041	OK
12-12-2023	14:49:42.087	133.080	19.036	OK
12-12-2023	14:49:43.088	134.081	19.027	OK
12-12-2023	14:49:44.087	135.080	19.021	OK
12-12-2023	14:49:45.088	136.082	19.019	OK
