#--- Experiment --------------------------------------------------------------------------
#121123_15C_A7B7E7A8B9E10_tile
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX2 [B] FSO2-C4 SN:24C53407596FD0B5 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [B Ch.3] - Oxygen Sensor - XB7-538-217 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	12/7/2023	12/7/2023	23.088000	52.886000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1016.339000	20.304000	100.000000	21.213000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [B T1] - PT100 Temperature Sensor - Calibration offset = 0.10°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [B P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [B Ch.3 Main]	Time [B Ch.3 Main]	 dt (s) [B Ch.3 Main]	Oxygen (%air sat.) [B Ch.3 Main]	dphi (°) [B Ch.3 Main]	Signal Intensity (mV) [B Ch.3 Main]	Ambient Light (mV) [B Ch.3 Main]	Status [B Ch.3 Main]	Date [B Ch.3 CompT]	Time [B Ch.3 CompT]	 dt (s) [B Ch.3 CompT]	Sample Temp. (°C) [B Ch.3 CompT]	Status [B Ch.3 CompT]	Date [B Ch.3 CompP]	Time [B Ch.3 CompP]	 dt (s) [B Ch.3 CompP]	Pressure (mbar) [B Ch.3 CompP]	Status [B Ch.3 CompP]
12-12-2023	14:47:29.751	0.744	106.828	22.490	219	0	OK	12-12-2023	14:47:29.751	0.744	19.008	OK	12-12-2023	14:47:29.751	0.744	1013	OK
12-12-2023	14:47:30.750	1.743	106.867	22.486	219	0	OK	12-12-2023	14:47:30.750	1.743	19.006	OK	12-12-2023	14:47:30.750	1.743	1013	OK
12-12-2023	14:47:31.754	2.747	106.859	22.487	219	0	OK	12-12-2023	14:47:31.754	2.747	19.004	OK	12-12-2023	14:47:31.754	2.747	1013	OK
12-12-2023	14:47:32.756	3.749	106.862	22.487	219	0	OK	12-12-2023	14:47:32.756	3.749	19.001	OK	12-12-2023	14:47:32.756	3.749	1013	OK
12-12-2023	14:47:33.755	4.748	106.842	22.489	219	0	OK	12-12-2023	14:47:33.755	4.748	19.003	OK	12-12-2023	14:47:33.755	4.748	1013	OK
12-12-2023	14:47:34.756	5.749	106.810	22.492	219	0	OK	12-12-2023	14:47:34.756	5.749	19.007	OK	12-12-2023	14:47:34.756	5.749	1013	OK
12-12-2023	14:47:35.758	6.751	106.798	22.493	219	0	OK	12-12-2023	14:47:35.758	6.751	19.010	OK	12-12-2023	14:47:35.758	6.751	1013	OK
12-12-2023	14:47:36.757	7.750	106.844	22.488	219	0	OK	12-12-2023	14:47:36.757	7.750	19.011	OK	12-12-2023	14:47:36.757	7.750	1013	OK
12-12-2023	14:47:37.759	8.752	106.836	22.489	219	0	OK	12-12-2023	14:47:37.759	8.752	19.009	OK	12-12-2023	14:47:37.759	8.752	1013	OK
12-12-2023	14:47:38.755	9.749	106.773	22.496	219	0	OK	12-12-2023	14:47:38.755	9.749	19.008	OK	12-12-2023	14:47:38.755	9.749	1013	OK
12-12-2023	14:47:39.756	10.749	106.829	22.490	219	0	OK	12-12-2023	14:47:39.756	10.749	19.007	OK	12-12-2023	14:47:39.756	10.749	1013	OK
12-12-2023	14:47:40.755	11.748	106.811	22.492	219	0	OK	12-12-2023	14:47:40.755	11.748	19.006	OK	12-12-2023	14:47:40.755	11.748	1013	OK
12-12-2023	14:47:41.754	12.747	106.831	22.490	219	0	OK	12-12-2023	14:47:41.754	12.747	19.005	OK	12-12-2023	14:47:41.754	12.747	1013	OK
12-12-2023	14:47:42.755	13.748	106.768	22.497	219	0	OK	12-12-2023	14:47:42.755	13.748	19.003	OK	12-12-2023	14:47:42.755	13.748	1013	OK
12-12-2023	14:47:43.757	14.750	106.832	22.490	219	0	OK	12-12-2023	14:47:43.757	14.750	19.004	OK	12-12-2023	14:47:43.757	14.750	1013	OK
12-12-2023	14:47:44.756	15.750	106.853	22.488	219	0	OK	12-12-2023	14:47:44.756	15.750	19.001	OK	12-12-2023	14:47:44.756	15.750	1013	OK
12-12-2023	14:47:45.757	16.750	106.834	22.490	219	0	OK	12-12-2023	14:47:45.757	16.750	19.002	OK	12-12-2023	14:47:45.757	16.750	1013	OK
12-12-2023	14:47:46.759	17.752	106.816	22.492	219	0	OK	12-12-2023	14:47:46.759	17.752	19.001	OK	12-12-2023	14:47:46.759	17.752	1013	OK
12-12-2023	14:47:47.758	18.751	106.817	22.492	219	0	OK	12-12-2023	14:47:47.758	18.751	19.000	OK	12-12-2023	14:47:47.758	18.751	1013	OK
12-12-2023	14:47:48.756	19.750	106.805	22.493	219	0	OK	12-12-2023	14:47:48.756	19.750	19.003	OK	12-12-2023	14:47:48.756	19.750	1013	OK
12-12-2023	14:47:49.760	20.753	106.792	22.494	219	0	OK	12-12-2023	14:47:49.760	20.753	19.007	OK	12-12-2023	14:47:49.760	20.753	1013	OK
12-12-2023	14:47:50.762	21.755	106.816	22.491	219	0	OK	12-12-2023	14:47:50.762	21.755	19.011	OK	12-12-2023	14:47:50.762	21.755	1013	OK
12-12-2023	14:47:51.762	22.755	106.778	22.495	219	0	OK	12-12-2023	14:47:51.762	22.755	19.012	OK	12-12-2023	14:47:51.762	22.755	1013	OK
12-12-2023	14:47:52.761	23.754	106.795	22.493	219	0	OK	12-12-2023	14:47:52.761	23.754	19.014	OK	12-12-2023	14:47:52.761	23.754	1013	OK
12-12-2023	14:47:53.760	24.754	106.838	22.488	219	0	OK	12-12-2023	14:47:53.760	24.754	19.017	OK	12-12-2023	14:47:53.760	24.754	1013	OK
12-12-2023	14:47:54.762	25.756	106.681	22.505	219	0	OK	12-12-2023	14:47:54.762	25.756	19.017	OK	12-12-2023	14:47:54.762	25.756	1013	OK
12-12-2023	14:47:55.761	26.754	106.804	22.492	219	0	OK	12-12-2023	14:47:55.761	26.754	19.014	OK	12-12-2023	14:47:55.761	26.754	1013	OK
12-12-2023	14:47:56.761	27.754	106.817	22.491	219	0	OK	12-12-2023	14:47:56.761	27.754	19.010	OK	12-12-2023	14:47:56.761	27.754	1013	OK
12-12-2023	14:47:57.763	28.756	106.737	22.500	219	0	OK	12-12-2023	14:47:57.763	28.756	19.007	OK	12-12-2023	14:47:57.763	28.756	1013	OK
12-12-2023	14:47:58.764	29.758	106.794	22.494	219	0	OK	12-12-2023	14:47:58.764	29.758	19.005	OK	12-12-2023	14:47:58.764	29.758	1013	OK
12-12-2023	14:47:59.765	30.759	106.710	22.503	219	0	OK	12-12-2023	14:47:59.765	30.759	19.006	OK	12-12-2023	14:47:59.765	30.759	1013	OK
12-12-2023	14:48:00.763	31.757	106.804	22.493	219	0	OK	12-12-2023	14:48:00.763	31.757	19.004	OK	12-12-2023	14:48:00.763	31.757	1013	OK
12-12-2023	14:48:01.765	32.758	106.769	22.497	219	0	OK	12-12-2023	14:48:01.765	32.758	19.002	OK	12-12-2023	14:48:01.765	32.758	1013	OK
12-12-2023	14:48:02.767	33.760	106.778	22.496	219	0	OK	12-12-2023	14:48:02.767	33.760	19.002	OK	12-12-2023	14:48:02.767	33.760	1013	OK
12-12-2023	14:48:03.767	34.760	106.823	22.491	219	0	OK	12-12-2023	14:48:03.767	34.760	19.003	OK	12-12-2023	14:48:03.767	34.760	1013	OK
12-12-2023	14:48:04.765	35.758	106.804	22.493	219	0	OK	12-12-2023	14:48:04.765	35.758	19.004	OK	12-12-2023	14:48:04.765	35.758	1013	OK
12-12-2023	14:48:05.764	36.757	106.748	22.499	219	0	OK	12-12-2023	14:48:05.764	36.757	19.005	OK	12-12-2023	14:48:05.764	36.757	1013	OK
12-12-2023	14:48:06.768	37.762	106.691	22.505	219	0	OK	12-12-2023	14:48:06.768	37.762	19.007	OK	12-12-2023	14:48:06.768	37.762	1013	OK
12-12-2023	14:48:07.768	38.761	106.762	22.497	219	0	OK	12-12-2023	14:48:07.768	38.761	19.009	OK	12-12-2023	14:48:07.768	38.761	1013	OK
12-12-2023	14:48:08.770	39.763	106.778	22.495	219	0	OK	12-12-2023	14:48:08.770	39.763	19.012	OK	12-12-2023	14:48:08.770	39.763	1013	OK
12-12-2023	14:48:09.768	40.761	106.677	22.506	219	0	OK	12-12-2023	14:48:09.768	40.761	19.012	OK	12-12-2023	14:48:09.768	40.761	1013	OK
12-12-2023	14:48:10.772	41.765	106.779	22.495	219	0	OK	12-12-2023	14:48:10.772	41.765	19.011	OK	12-12-2023	14:48:10.772	41.765	1013	OK
12-12-2023	14:48:11.771	42.764	106.791	22.494	219	0	OK	12-12-2023	14:48:11.771	42.764	19.008	OK	12-12-2023	14:48:11.771	42.764	1013	OK
12-12-2023	14:48:12.771	43.764	106.783	22.495	219	0	OK	12-12-2023	14:48:12.771	43.764	19.007	OK	12-12-2023	14:48:12.771	43.764	1013	OK
12-12-2023	14:48:13.772	44.765	106.809	22.492	219	0	OK	12-12-2023	14:48:13.772	44.765	19.008	OK	12-12-2023	14:48:13.772	44.765	1013	OK
12-12-2023	14:48:14.771	45.765	106.714	22.502	219	0	OK	12-12-2023	14:48:14.771	45.765	19.012	OK	12-12-2023	14:48:14.771	45.765	1013	OK
12-12-2023	14:48:15.771	46.764	106.751	22.498	219	0	OK	12-12-2023	14:48:15.771	46.764	19.011	OK	12-12-2023	14:48:15.771	46.764	1013	OK
12-12-2023	14:48:16.771	47.764	106.761	22.497	219	0	OK	12-12-2023	14:48:16.771	47.764	19.011	OK	12-12-2023	14:48:16.771	47.764	1013	OK
12-12-2023	14:48:17.771	48.764	106.738	22.500	219	0	OK	12-12-2023	14:48:17.771	48.764	19.006	OK	12-12-2023	14:48:17.771	48.764	1013	OK
12-12-2023	14:48:18.774	49.767	106.795	22.494	219	0	OK	12-12-2023	14:48:18.774	49.767	19.004	OK	12-12-2023	14:48:18.774	49.767	1013	OK
12-12-2023	14:48:19.773	50.766	106.754	22.499	219	0	OK	12-12-2023	14:48:19.773	50.766	18.998	OK	12-12-2023	14:48:19.773	50.766	1013	OK
12-12-2023	14:48:20.773	51.766	106.751	22.500	219	0	OK	12-12-2023	14:48:20.773	51.766	18.992	OK	12-12-2023	14:48:20.773	51.766	1013	OK
12-12-2023	14:48:21.772	52.766	106.731	22.502	219	0	OK	12-12-2023	14:48:21.772	52.766	18.993	OK	12-12-2023	14:48:21.772	52.766	1013	OK
12-12-2023	14:48:22.775	53.768	106.675	22.508	219	0	OK	12-12-2023	14:48:22.775	53.768	18.994	OK	12-12-2023	14:48:22.775	53.768	1013	OK
12-12-2023	14:48:23.774	54.767	106.718	22.503	219	0	OK	12-12-2023	14:48:23.774	54.767	18.998	OK	12-12-2023	14:48:23.774	54.767	1013	OK
12-12-2023	14:48:24.774	55.767	106.883	22.485	219	0	OK	12-12-2023	14:48:24.774	55.767	18.998	OK	12-12-2023	14:48:24.774	55.767	1013	OK
12-12-2023	14:48:25.775	56.769	106.783	22.496	219	0	OK	12-12-2023	14:48:25.775	56.769	18.997	OK	12-12-2023	14:48:25.775	56.769	1013	OK
12-12-2023	14:48:26.775	57.769	106.706	22.504	219	0	OK	12-12-2023	14:48:26.775	57.769	19.000	OK	12-12-2023	14:48:26.775	57.769	1013	OK
12-12-2023	14:48:27.773	58.767	106.756	22.499	219	0	OK	12-12-2023	14:48:27.773	58.767	18.996	OK	12-12-2023	14:48:27.773	58.767	1013	OK
12-12-2023	14:48:28.777	59.770	106.728	22.502	219	0	OK	12-12-2023	14:48:28.777	59.770	18.997	OK	12-12-2023	14:48:28.777	59.770	1013	OK
12-12-2023	14:48:29.777	60.770	106.664	22.509	219	0	OK	12-12-2023	14:48:29.777	60.770	18.996	OK	12-12-2023	14:48:29.777	60.770	1013	OK
12-12-2023	14:48:30.778	61.771	106.736	22.501	219	0	OK	12-12-2023	14:48:30.778	61.771	18.998	OK	12-12-2023	14:48:30.778	61.771	1013	OK
12-12-2023	14:48:31.778	62.771	106.642	22.511	219	0	OK	12-12-2023	14:48:31.778	62.771	19.000	OK	12-12-2023	14:48:31.778	62.771	1013	OK
12-12-2023	14:48:32.777	63.770	106.729	22.502	219	0	OK	12-12-2023	14:48:32.777	63.770	18.996	OK	12-12-2023	14:48:32.777	63.770	1013	OK
12-12-2023	14:48:33.778	64.772	106.712	22.504	219	0	OK	12-12-2023	14:48:33.778	64.772	18.994	OK	12-12-2023	14:48:33.778	64.772	1013	OK
12-12-2023	14:48:34.780	65.773	106.658	22.510	219	0	OK	12-12-2023	14:48:34.780	65.773	18.993	OK	12-12-2023	14:48:34.780	65.773	1013	OK
12-12-2023	14:48:35.778	66.771	106.724	22.503	219	0	OK	12-12-2023	14:48:35.778	66.771	18.991	OK	12-12-2023	14:48:35.778	66.771	1013	OK
12-12-2023	14:48:36.779	67.772	106.723	22.503	219	0	OK	12-12-2023	14:48:36.779	67.772	18.992	OK	12-12-2023	14:48:36.779	67.772	1013	OK
12-12-2023	14:48:37.780	68.774	106.804	22.494	219	0	OK	12-12-2023	14:48:37.780	68.774	18.994	OK	12-12-2023	14:48:37.780	68.774	1013	OK
12-12-2023	14:48:38.779	69.772	106.792	22.495	219	0	OK	12-12-2023	14:48:38.779	69.772	18.997	OK	12-12-2023	14:48:38.779	69.772	1013	OK
12-12-2023	14:48:39.777	70.771	106.790	22.495	219	0	OK	12-12-2023	14:48:39.777	70.771	18.999	OK	12-12-2023	14:48:39.777	70.771	1013	OK
12-12-2023	14:48:40.778	71.771	106.701	22.505	219	0	OK	12-12-2023	14:48:40.778	71.771	18.996	OK	12-12-2023	14:48:40.778	71.771	1013	OK
12-12-2023	14:48:41.781	72.774	106.768	22.498	219	0	OK	12-12-2023	14:48:41.781	72.774	18.993	OK	12-12-2023	14:48:41.781	72.774	1013	OK
12-12-2023	14:48:42.781	73.774	106.730	22.502	219	0	OK	12-12-2023	14:48:42.781	73.774	18.995	OK	12-12-2023	14:48:42.781	73.774	1013	OK
12-12-2023	14:48:43.783	74.776	106.764	22.498	219	0	OK	12-12-2023	14:48:43.783	74.776	18.998	OK	12-12-2023	14:48:43.783	74.776	1013	OK
12-12-2023	14:48:44.782	75.775	106.827	22.491	219	0	OK	12-12-2023	14:48:44.782	75.775	18.999	OK	12-12-2023	14:48:44.782	75.775	1013	OK
12-12-2023	14:48:45.780	76.774	106.773	22.497	219	0	OK	12-12-2023	14:48:45.780	76.774	18.998	OK	12-12-2023	14:48:45.780	76.774	1013	OK
