#--- Experiment --------------------------------------------------------------------------
#121223_15C_A2B2E2B3E3A4_cory
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.3] - Oxygen Sensor - XA7-533-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	12/7/2023	12/7/2023	22.565000	52.772000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1016.123000	20.208000	100.000000	21.231000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.3 Main]	Time [A Ch.3 Main]	 dt (s) [A Ch.3 Main]	Oxygen (%air sat.) [A Ch.3 Main]	dphi (°) [A Ch.3 Main]	Signal Intensity (mV) [A Ch.3 Main]	Ambient Light (mV) [A Ch.3 Main]	Status [A Ch.3 Main]	Date [A Ch.3 CompT]	Time [A Ch.3 CompT]	 dt (s) [A Ch.3 CompT]	Sample Temp. (°C) [A Ch.3 CompT]	Status [A Ch.3 CompT]	Date [A Ch.3 CompP]	Time [A Ch.3 CompP]	 dt (s) [A Ch.3 CompP]	Pressure (mbar) [A Ch.3 CompP]	Status [A Ch.3 CompP]
12-12-2023	18:20:21.882	0.129	96.017	23.621	202	0	OK	12-12-2023	18:20:21.882	0.129	15.069	OK	12-12-2023	18:20:21.882	0.129	1013	OK
12-12-2023	18:20:22.882	1.129	95.943	23.629	201	0	OK	12-12-2023	18:20:22.882	1.129	15.079	OK	12-12-2023	18:20:22.882	1.129	1013	OK
12-12-2023	18:20:23.883	2.130	96.026	23.619	201	0	OK	12-12-2023	18:20:23.883	2.130	15.077	OK	12-12-2023	18:20:23.883	2.130	1013	OK
12-12-2023	18:20:24.885	3.132	95.932	23.632	201	0	OK	12-12-2023	18:20:24.885	3.132	15.064	OK	12-12-2023	18:20:24.885	3.132	1013	OK
12-12-2023	18:20:25.884	4.131	95.914	23.637	201	0	OK	12-12-2023	18:20:25.884	4.131	15.040	OK	12-12-2023	18:20:25.884	4.131	1013	OK
12-12-2023	18:20:26.885	5.132	96.042	23.624	201	0	OK	12-12-2023	18:20:26.885	5.132	15.016	OK	12-12-2023	18:20:26.885	5.132	1013	OK
12-12-2023	18:20:27.886	6.133	96.067	23.623	201	0	OK	12-12-2023	18:20:27.886	6.133	14.997	OK	12-12-2023	18:20:27.886	6.133	1013	OK
12-12-2023	18:20:28.887	7.133	96.052	23.626	201	0	OK	12-12-2023	18:20:28.887	7.133	14.987	OK	12-12-2023	18:20:28.887	7.133	1013	OK
12-12-2023	18:20:29.885	8.132	96.049	23.627	201	1	OK	12-12-2023	18:20:29.885	8.132	14.981	OK	12-12-2023	18:20:29.885	8.132	1013	OK
12-12-2023	18:20:30.885	9.132	96.021	23.631	201	0	OK	12-12-2023	18:20:30.885	9.132	14.976	OK	12-12-2023	18:20:30.885	9.132	1013	OK
12-12-2023	18:20:31.887	10.133	96.067	23.626	201	0	OK	12-12-2023	18:20:31.887	10.133	14.971	OK	12-12-2023	18:20:31.887	10.133	1013	OK
12-12-2023	18:20:32.887	11.134	96.115	23.620	201	0	OK	12-12-2023	18:20:32.887	11.134	14.972	OK	12-12-2023	18:20:32.887	11.134	1013	OK
12-12-2023	18:20:33.886	12.133	96.075	23.625	201	1	OK	12-12-2023	18:20:33.886	12.133	14.971	OK	12-12-2023	18:20:33.886	12.133	1013	OK
12-12-2023	18:20:34.888	13.135	96.153	23.615	201	0	OK	12-12-2023	18:20:34.888	13.135	14.975	OK	12-12-2023	18:20:34.888	13.135	1013	OK
12-12-2023	18:20:35.888	14.135	96.047	23.628	201	0	OK	12-12-2023	18:20:35.888	14.135	14.975	OK	12-12-2023	18:20:35.888	14.135	1013	OK
12-12-2023	18:20:36.889	15.136	96.043	23.628	201	0	OK	12-12-2023	18:20:36.889	15.136	14.979	OK	12-12-2023	18:20:36.889	15.136	1013	OK
12-12-2023	18:20:37.892	16.139	96.085	23.622	201	0	OK	12-12-2023	18:20:37.892	16.139	14.987	OK	12-12-2023	18:20:37.892	16.139	1013	OK
12-12-2023	18:20:38.889	17.136	96.047	23.625	201	0	OK	12-12-2023	18:20:38.889	17.136	15.001	OK	12-12-2023	18:20:38.889	17.136	1013	OK
12-12-2023	18:20:39.890	18.137	96.144	23.611	201	0	OK	12-12-2023	18:20:39.890	18.137	15.020	OK	12-12-2023	18:20:39.890	18.137	1013	OK
12-12-2023	18:20:40.890	19.137	96.059	23.619	201	0	OK	12-12-2023	18:20:40.890	19.137	15.041	OK	12-12-2023	18:20:40.890	19.137	1013	OK
12-12-2023	18:20:41.890	20.137	95.987	23.626	201	0	OK	12-12-2023	18:20:41.890	20.137	15.058	OK	12-12-2023	18:20:41.890	20.137	1013	OK
12-12-2023	18:20:42.889	21.136	95.994	23.624	201	0	OK	12-12-2023	18:20:42.889	21.136	15.068	OK	12-12-2023	18:20:42.889	21.136	1013	OK
12-12-2023	18:20:43.890	22.137	96.003	23.622	201	0	OK	12-12-2023	18:20:43.890	22.137	15.076	OK	12-12-2023	18:20:43.890	22.137	1013	OK
12-12-2023	18:20:44.890	23.136	95.984	23.624	201	0	OK	12-12-2023	18:20:44.890	23.136	15.079	OK	12-12-2023	18:20:44.890	23.136	1013	OK
12-12-2023	18:20:45.892	24.139	96.024	23.620	201	0	OK	12-12-2023	18:20:45.892	24.139	15.071	OK	12-12-2023	18:20:45.892	24.139	1013	OK
12-12-2023	18:20:46.891	25.138	95.962	23.629	201	0	OK	12-12-2023	18:20:46.891	25.138	15.058	OK	12-12-2023	18:20:46.891	25.138	1013	OK
12-12-2023	18:20:47.893	26.140	96.044	23.621	201	0	OK	12-12-2023	18:20:47.893	26.140	15.040	OK	12-12-2023	18:20:47.893	26.140	1013	OK
12-12-2023	18:20:48.891	27.138	96.098	23.616	201	0	OK	12-12-2023	18:20:48.891	27.138	15.026	OK	12-12-2023	18:20:48.891	27.138	1013	OK
12-12-2023	18:20:49.890	28.137	96.062	23.621	201	0	OK	12-12-2023	18:20:49.890	28.137	15.020	OK	12-12-2023	18:20:49.890	28.137	1013	OK
12-12-2023	18:20:50.891	29.137	96.124	23.614	201	0	OK	12-12-2023	18:20:50.891	29.137	15.015	OK	12-12-2023	18:20:50.891	29.137	1013	OK
12-12-2023	18:20:51.891	30.138	96.090	23.619	201	0	OK	12-12-2023	18:20:51.891	30.138	15.008	OK	12-12-2023	18:20:51.891	30.138	1013	OK
12-12-2023	18:20:52.893	31.139	96.110	23.618	201	0	OK	12-12-2023	18:20:52.893	31.139	14.995	OK	12-12-2023	18:20:52.893	31.139	1013	OK
12-12-2023	18:20:53.895	32.141	96.031	23.629	201	0	OK	12-12-2023	18:20:53.895	32.141	14.983	OK	12-12-2023	18:20:53.895	32.141	1013	OK
12-12-2023	18:20:54.896	33.143	96.169	23.613	201	0	OK	12-12-2023	18:20:54.896	33.143	14.975	OK	12-12-2023	18:20:54.896	33.143	1013	OK
12-12-2023	18:20:55.893	34.140	96.155	23.615	201	0	OK	12-12-2023	18:20:55.893	34.140	14.972	OK	12-12-2023	18:20:55.893	34.140	1013	OK
12-12-2023	18:20:56.892	35.139	96.062	23.626	201	0	OK	12-12-2023	18:20:56.892	35.139	14.976	OK	12-12-2023	18:20:56.892	35.139	1013	OK
12-12-2023	18:20:57.893	36.140	96.057	23.626	201	0	OK	12-12-2023	18:20:57.893	36.140	14.981	OK	12-12-2023	18:20:57.893	36.140	1013	OK
12-12-2023	18:20:58.894	37.140	96.094	23.621	201	0	OK	12-12-2023	18:20:58.894	37.140	14.986	OK	12-12-2023	18:20:58.894	37.140	1013	OK
12-12-2023	18:20:59.894	38.141	96.087	23.621	201	0	OK	12-12-2023	18:20:59.894	38.141	14.993	OK	12-12-2023	18:20:59.894	38.141	1013	OK
12-12-2023	18:21:00.894	39.140	96.101	23.618	201	0	OK	12-12-2023	18:21:00.894	39.140	15.005	OK	12-12-2023	18:21:00.894	39.140	1013	OK
12-12-2023	18:21:01.894	40.140	96.103	23.616	201	0	OK	12-12-2023	18:21:01.894	40.140	15.020	OK	12-12-2023	18:21:01.894	40.140	1013	OK
12-12-2023	18:21:02.893	41.140	96.059	23.620	201	0	OK	12-12-2023	18:21:02.893	41.140	15.033	OK	12-12-2023	18:21:02.893	41.140	1013	OK
12-12-2023	18:21:03.891	42.138	95.945	23.633	201	0	OK	12-12-2023	18:21:03.891	42.138	15.041	OK	12-12-2023	18:21:03.891	42.138	1013	OK
12-12-2023	18:21:04.893	43.140	96.031	23.622	201	0	OK	12-12-2023	18:21:04.893	43.140	15.045	OK	12-12-2023	18:21:04.893	43.140	1013	OK
12-12-2023	18:21:05.893	44.140	96.047	23.620	201	0	OK	12-12-2023	18:21:05.893	44.140	15.046	OK	12-12-2023	18:21:05.893	44.140	1013	OK
12-12-2023	18:21:06.894	45.140	96.002	23.625	201	0	OK	12-12-2023	18:21:06.894	45.140	15.050	OK	12-12-2023	18:21:06.894	45.140	1013	OK
12-12-2023	18:21:07.893	46.140	96.068	23.616	201	0	OK	12-12-2023	18:21:07.893	46.140	15.058	OK	12-12-2023	18:21:07.893	46.140	1013	OK
12-12-2023	18:21:08.894	47.141	95.976	23.626	201	0	OK	12-12-2023	18:21:08.894	47.141	15.070	OK	12-12-2023	18:21:08.894	47.141	1013	OK
12-12-2023	18:21:09.895	48.141	96.036	23.618	201	0	OK	12-12-2023	18:21:09.895	48.141	15.076	OK	12-12-2023	18:21:09.895	48.141	1013	OK
12-12-2023	18:21:10.895	49.142	96.000	23.622	201	0	OK	12-12-2023	18:21:10.895	49.142	15.079	OK	12-12-2023	18:21:10.895	49.142	1013	OK
