#--- Experiment --------------------------------------------------------------------------
#121223_15C_A2B2E2B3E3A4_cory
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.4] - Oxygen Sensor - XB7-536-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	12/7/2023	12/7/2023	23.114000	53.138000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1016.089000	20.190000	100.000000	21.171000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.4 Main]	Time [A Ch.4 Main]	 dt (s) [A Ch.4 Main]	Oxygen (%air sat.) [A Ch.4 Main]	dphi (°) [A Ch.4 Main]	Signal Intensity (mV) [A Ch.4 Main]	Ambient Light (mV) [A Ch.4 Main]	Status [A Ch.4 Main]	Date [A Ch.4 CompT]	Time [A Ch.4 CompT]	 dt (s) [A Ch.4 CompT]	Sample Temp. (°C) [A Ch.4 CompT]	Status [A Ch.4 CompT]	Date [A Ch.4 CompP]	Time [A Ch.4 CompP]	 dt (s) [A Ch.4 CompP]	Pressure (mbar) [A Ch.4 CompP]	Status [A Ch.4 CompP]
12-12-2023	18:20:22.181	0.427	98.567	23.870	280	0	OK	12-12-2023	18:20:22.181	0.427	15.071	OK	12-12-2023	18:20:22.181	0.427	1013	OK
12-12-2023	18:20:23.180	1.427	98.518	23.875	280	0	OK	12-12-2023	18:20:23.180	1.427	15.079	OK	12-12-2023	18:20:23.180	1.427	1013	OK
12-12-2023	18:20:24.181	2.428	98.539	23.873	280	0	OK	12-12-2023	18:20:24.181	2.428	15.075	OK	12-12-2023	18:20:24.181	2.428	1013	OK
12-12-2023	18:20:25.181	3.427	98.529	23.876	280	0	OK	12-12-2023	18:20:25.181	3.427	15.059	OK	12-12-2023	18:20:25.181	3.427	1013	OK
12-12-2023	18:20:26.180	4.427	98.568	23.874	280	0	OK	12-12-2023	18:20:26.180	4.427	15.035	OK	12-12-2023	18:20:26.180	4.427	1013	OK
12-12-2023	18:20:27.181	5.428	98.542	23.880	280	0	OK	12-12-2023	18:20:27.181	5.428	15.010	OK	12-12-2023	18:20:27.181	5.428	1013	OK
12-12-2023	18:20:28.182	6.428	98.655	23.868	280	0	OK	12-12-2023	18:20:28.182	6.428	14.995	OK	12-12-2023	18:20:28.182	6.428	1013	OK
12-12-2023	18:20:29.182	7.429	98.607	23.875	280	0	OK	12-12-2023	18:20:29.182	7.429	14.985	OK	12-12-2023	18:20:29.182	7.429	1013	OK
12-12-2023	18:20:30.183	8.430	98.713	23.863	280	0	OK	12-12-2023	18:20:30.183	8.430	14.978	OK	12-12-2023	18:20:30.183	8.430	1013	OK
12-12-2023	18:20:31.183	9.430	98.542	23.884	280	0	OK	12-12-2023	18:20:31.183	9.430	14.974	OK	12-12-2023	18:20:31.183	9.430	1013	OK
12-12-2023	18:20:32.184	10.431	98.595	23.878	280	0	OK	12-12-2023	18:20:32.184	10.431	14.971	OK	12-12-2023	18:20:32.184	10.431	1013	OK
12-12-2023	18:20:33.185	11.432	98.594	23.878	280	0	OK	12-12-2023	18:20:33.185	11.432	14.972	OK	12-12-2023	18:20:33.185	11.432	1013	OK
12-12-2023	18:20:34.184	12.431	98.627	23.874	280	0	OK	12-12-2023	18:20:34.184	12.431	14.972	OK	12-12-2023	18:20:34.184	12.431	1013	OK
12-12-2023	18:20:35.184	13.431	98.666	23.869	280	0	OK	12-12-2023	18:20:35.184	13.431	14.975	OK	12-12-2023	18:20:35.184	13.431	1013	OK
12-12-2023	18:20:36.186	14.433	98.590	23.878	280	0	OK	12-12-2023	18:20:36.186	14.433	14.976	OK	12-12-2023	18:20:36.186	14.433	1013	OK
12-12-2023	18:20:37.187	15.433	98.635	23.872	280	0	OK	12-12-2023	18:20:37.187	15.433	14.981	OK	12-12-2023	18:20:37.187	15.433	1013	OK
12-12-2023	18:20:38.188	16.434	98.620	23.873	280	0	OK	12-12-2023	18:20:38.188	16.434	14.989	OK	12-12-2023	18:20:38.188	16.434	1013	OK
12-12-2023	18:20:39.188	17.435	98.571	23.877	280	0	OK	12-12-2023	18:20:39.188	17.435	15.005	OK	12-12-2023	18:20:39.188	17.435	1013	OK
12-12-2023	18:20:40.188	18.435	98.577	23.874	280	0	OK	12-12-2023	18:20:40.188	18.435	15.025	OK	12-12-2023	18:20:40.188	18.435	1013	OK
12-12-2023	18:20:41.188	19.435	98.609	23.868	280	0	OK	12-12-2023	18:20:41.188	19.435	15.044	OK	12-12-2023	18:20:41.188	19.435	1013	OK
12-12-2023	18:20:42.189	20.436	98.486	23.881	280	0	OK	12-12-2023	18:20:42.189	20.436	15.060	OK	12-12-2023	18:20:42.189	20.436	1013	OK
12-12-2023	18:20:43.191	21.438	98.501	23.878	280	0	OK	12-12-2023	18:20:43.191	21.438	15.071	OK	12-12-2023	18:20:43.191	21.438	1013	OK
12-12-2023	18:20:44.191	22.437	98.503	23.877	280	0	OK	12-12-2023	18:20:44.191	22.437	15.078	OK	12-12-2023	18:20:44.191	22.437	1013	OK
12-12-2023	18:20:45.191	23.437	98.487	23.879	280	0	OK	12-12-2023	18:20:45.191	23.437	15.077	OK	12-12-2023	18:20:45.191	23.437	1013	OK
12-12-2023	18:20:46.191	24.438	98.554	23.872	280	0	OK	12-12-2023	18:20:46.191	24.438	15.067	OK	12-12-2023	18:20:46.191	24.438	1013	OK
12-12-2023	18:20:47.192	25.439	98.553	23.874	280	0	OK	12-12-2023	18:20:47.192	25.439	15.051	OK	12-12-2023	18:20:47.192	25.439	1013	OK
12-12-2023	18:20:48.192	26.439	98.553	23.876	280	0	OK	12-12-2023	18:20:48.192	26.439	15.033	OK	12-12-2023	18:20:48.192	26.439	1013	OK
12-12-2023	18:20:49.192	27.438	98.569	23.875	280	0	OK	12-12-2023	18:20:49.192	27.438	15.025	OK	12-12-2023	18:20:49.192	27.438	1013	OK
