#--- Experiment --------------------------------------------------------------------------
#121223_15C_A2B2E2B3E3A4_cory
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX2 [B] FSO2-C4 SN:24C53407596FD0B5 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [B Ch.2] - Oxygen Sensor - XB7-529-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	12/7/2023	12/7/2023	23.048000	52.931000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1016.354000	20.385000	100.000000	21.223000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [B T1] - PT100 Temperature Sensor - Calibration offset = 0.10°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [B P1] - Fixed Pressure
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [B Ch.2 Main]	Time [B Ch.2 Main]	 dt (s) [B Ch.2 Main]	Oxygen (%air sat.) [B Ch.2 Main]	dphi (°) [B Ch.2 Main]	Signal Intensity (mV) [B Ch.2 Main]	Ambient Light (mV) [B Ch.2 Main]	Status [B Ch.2 Main]	Date [B Ch.2 CompT]	Time [B Ch.2 CompT]	 dt (s) [B Ch.2 CompT]	Sample Temp. (°C) [B Ch.2 CompT]	Status [B Ch.2 CompT]	Date [B Ch.2 CompP]	Time [B Ch.2 CompP]	 dt (s) [B Ch.2 CompP]	Pressure (mbar) [B Ch.2 CompP]	Status [B Ch.2 CompP]
12-12-2023	18:20:21.768	0.015	96.283	24.094	149	0	OK	12-12-2023	18:20:21.768	0.015	15.144	OK	12-12-2023	18:20:21.768	0.015	1013	OK
12-12-2023	18:20:22.762	1.009	96.173	24.107	149	0	OK	12-12-2023	18:20:22.762	1.009	15.148	OK	12-12-2023	18:20:22.762	1.009	1013	OK
12-12-2023	18:20:23.762	2.009	96.183	24.105	149	0	OK	12-12-2023	18:20:23.762	2.009	15.155	OK	12-12-2023	18:20:23.762	2.009	1013	OK
12-12-2023	18:20:24.763	3.010	96.167	24.106	149	0	OK	12-12-2023	18:20:24.763	3.010	15.164	OK	12-12-2023	18:20:24.763	3.010	1013	OK
12-12-2023	18:20:25.763	4.010	96.173	24.104	149	0	OK	12-12-2023	18:20:25.763	4.010	15.175	OK	12-12-2023	18:20:25.763	4.010	1013	OK
12-12-2023	18:20:26.764	5.011	96.159	24.105	149	0	OK	12-12-2023	18:20:26.764	5.011	15.181	OK	12-12-2023	18:20:26.764	5.011	1013	OK
12-12-2023	18:20:27.765	6.012	96.200	24.100	149	0	OK	12-12-2023	18:20:27.765	6.012	15.181	OK	12-12-2023	18:20:27.765	6.012	1013	OK
12-12-2023	18:20:28.765	7.011	96.135	24.109	149	0	OK	12-12-2023	18:20:28.765	7.011	15.172	OK	12-12-2023	18:20:28.765	7.011	1013	OK
12-12-2023	18:20:29.765	8.012	96.227	24.099	149	0	OK	12-12-2023	18:20:29.765	8.012	15.160	OK	12-12-2023	18:20:29.765	8.012	1013	OK
12-12-2023	18:20:30.764	9.011	96.290	24.093	149	0	OK	12-12-2023	18:20:30.764	9.011	15.145	OK	12-12-2023	18:20:30.764	9.011	1013	OK
12-12-2023	18:20:31.765	10.011	96.192	24.107	149	0	OK	12-12-2023	18:20:31.765	10.011	15.128	OK	12-12-2023	18:20:31.765	10.011	1013	OK
12-12-2023	18:20:32.765	11.012	96.266	24.099	149	0	OK	12-12-2023	18:20:32.765	11.012	15.118	OK	12-12-2023	18:20:32.765	11.012	1013	OK
12-12-2023	18:20:33.766	12.012	96.229	24.105	149	0	OK	12-12-2023	18:20:33.766	12.012	15.105	OK	12-12-2023	18:20:33.766	12.012	1013	OK
12-12-2023	18:20:34.766	13.013	96.192	24.111	149	0	OK	12-12-2023	18:20:34.766	13.013	15.093	OK	12-12-2023	18:20:34.766	13.013	1013	OK
12-12-2023	18:20:35.766	14.013	96.188	24.113	149	0	OK	12-12-2023	18:20:35.766	14.013	15.079	OK	12-12-2023	18:20:35.766	14.013	1013	OK
12-12-2023	18:20:36.768	15.014	96.344	24.095	149	0	OK	12-12-2023	18:20:36.768	15.014	15.068	OK	12-12-2023	18:20:36.768	15.014	1013	OK
12-12-2023	18:20:37.768	16.014	96.310	24.100	149	0	OK	12-12-2023	18:20:37.768	16.014	15.061	OK	12-12-2023	18:20:37.768	16.014	1013	OK
12-12-2023	18:20:38.769	17.016	96.321	24.099	149	0	OK	12-12-2023	18:20:38.769	17.016	15.058	OK	12-12-2023	18:20:38.769	17.016	1013	OK
12-12-2023	18:20:39.769	18.016	96.292	24.103	149	0	OK	12-12-2023	18:20:39.769	18.016	15.054	OK	12-12-2023	18:20:39.769	18.016	1013	OK
12-12-2023	18:20:40.770	19.016	96.333	24.098	149	0	OK	12-12-2023	18:20:40.770	19.016	15.054	OK	12-12-2023	18:20:40.770	19.016	1013	OK
12-12-2023	18:20:41.769	20.016	96.335	24.098	149	0	OK	12-12-2023	18:20:41.769	20.016	15.052	OK	12-12-2023	18:20:41.769	20.016	1013	OK
12-12-2023	18:20:42.768	21.015	96.288	24.104	149	0	OK	12-12-2023	18:20:42.768	21.015	15.050	OK	12-12-2023	18:20:42.768	21.015	1013	OK
12-12-2023	18:20:43.769	22.016	96.335	24.098	149	0	OK	12-12-2023	18:20:43.769	22.016	15.052	OK	12-12-2023	18:20:43.769	22.016	1013	OK
12-12-2023	18:20:44.770	23.016	96.351	24.096	149	0	OK	12-12-2023	18:20:44.770	23.016	15.052	OK	12-12-2023	18:20:44.770	23.016	1013	OK
12-12-2023	18:20:45.770	24.017	96.297	24.102	149	0	OK	12-12-2023	18:20:45.770	24.017	15.058	OK	12-12-2023	18:20:45.770	24.017	1013	OK
