#--- Experiment --------------------------------------------------------------------------
#121223_15C_A2B2E2B3E3A4_tile
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX2 [B] FSO2-C4 SN:24C53407596FD0B5 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [B T1] - PT100 Temperature Sensor - Calibration offset = 0.10°C
#--- Measurement Data --------------------------------------------------------------------
Date [B T1]	Time [B T1]	 dt (s) [B T1]	Sample Temp. (°C) [B T1]	Status [B T1]
12-12-2023	21:54:41.933	0.015	14.943	OK
12-12-2023	21:54:42.934	1.015	14.942	OK
12-12-2023	21:54:43.936	2.018	14.938	OK
12-12-2023	21:54:44.938	3.020	14.932	OK
12-12-2023	21:54:45.937	4.019	14.924	OK
12-12-2023	21:54:46.938	5.020	14.920	OK
12-12-2023	21:54:47.941	6.023	14.918	OK
12-12-2023	21:54:48.941	7.022	14.916	OK
12-12-2023	21:54:49.942	8.024	14.915	OK
12-12-2023	21:54:50.939	9.020	14.915	OK
12-12-2023	21:54:51.940	10.021	14.917	OK
12-12-2023	21:54:52.943	11.024	14.919	OK
12-12-2023	21:54:53.942	12.024	14.922	OK
12-12-2023	21:54:54.944	13.025	14.924	OK
12-12-2023	21:54:55.943	14.025	14.926	OK
12-12-2023	21:54:56.944	15.025	14.927	OK
12-12-2023	21:54:57.945	16.026	14.930	OK
12-12-2023	21:54:58.945	17.026	14.931	OK
12-12-2023	21:54:59.942	18.023	14.933	OK
12-12-2023	21:55:00.941	19.023	14.928	OK
12-12-2023	21:55:01.943	20.024	14.924	OK
12-12-2023	21:55:02.945	21.026	14.919	OK
12-12-2023	21:55:03.945	22.027	14.917	OK
12-12-2023	21:55:04.942	23.024	14.917	OK
12-12-2023	21:55:05.946	24.027	14.922	OK
12-12-2023	21:55:06.945	25.027	14.928	OK
12-12-2023	21:55:07.947	26.028	14.931	OK
12-12-2023	21:55:08.944	27.026	14.931	OK
12-12-2023	21:55:09.945	28.027	14.923	OK
12-12-2023	21:55:10.945	29.027	14.917	OK
12-12-2023	21:55:11.948	30.030	14.915	OK
12-12-2023	21:55:12.948	31.030	14.918	OK
12-12-2023	21:55:13.948	32.030	14.924	OK
12-12-2023	21:55:14.948	33.030	14.925	OK
12-12-2023	21:55:15.947	34.028	14.921	OK
12-12-2023	21:55:16.947	35.029	14.914	OK
12-12-2023	21:55:17.948	36.030	14.907	OK
12-12-2023	21:55:18.945	37.027	14.899	OK
12-12-2023	21:55:19.948	38.029	14.890	OK
12-12-2023	21:55:20.950	39.032	14.885	OK
12-12-2023	21:55:21.951	40.032	14.880	OK
12-12-2023	21:55:22.951	41.033	14.883	OK
12-12-2023	21:55:23.949	42.031	14.884	OK
12-12-2023	21:55:24.951	43.033	14.887	OK
12-12-2023	21:55:25.951	44.032	14.887	OK
12-12-2023	21:55:26.950	45.032	14.889	OK
12-12-2023	21:55:27.948	46.030	14.890	OK
12-12-2023	21:55:28.949	47.031	14.890	OK
12-12-2023	21:55:29.947	48.029	14.889	OK
12-12-2023	21:55:30.950	49.032	14.888	OK
12-12-2023	21:55:31.949	50.031	14.890	OK
12-12-2023	21:55:32.952	51.034	14.896	OK
12-12-2023	21:55:33.953	52.034	14.903	OK
12-12-2023	21:55:34.952	53.034	14.912	OK
12-12-2023	21:55:35.952	54.033	14.921	OK
12-12-2023	21:55:36.949	55.031	14.925	OK
12-12-2023	21:55:37.950	56.031	14.924	OK
12-12-2023	21:55:38.950	57.032	14.918	OK
12-12-2023	21:55:39.952	58.033	14.914	OK
12-12-2023	21:55:40.954	59.036	14.912	OK
12-12-2023	21:55:41.954	60.035	14.910	OK
12-12-2023	21:55:42.954	61.035	14.908	OK
12-12-2023	21:55:43.954	62.036	14.907	OK
12-12-2023	21:55:44.955	63.036	14.905	OK
12-12-2023	21:55:45.955	64.036	14.899	OK
12-12-2023	21:55:46.956	65.037	14.892	OK
12-12-2023	21:55:47.954	66.036	14.884	OK
12-12-2023	21:55:48.954	67.036	14.884	OK
12-12-2023	21:55:49.957	68.039	14.887	OK
12-12-2023	21:55:50.954	69.036	14.892	OK
12-12-2023	21:55:51.957	70.039	14.896	OK
12-12-2023	21:55:52.957	71.039	14.899	OK
12-12-2023	21:55:53.959	72.040	14.900	OK
12-12-2023	21:55:54.960	73.041	14.900	OK
12-12-2023	21:55:55.958	74.040	14.900	OK
12-12-2023	21:55:56.957	75.038	14.898	OK
12-12-2023	21:55:57.957	76.039	14.897	OK
12-12-2023	21:55:58.960	77.042	14.896	OK
12-12-2023	21:55:59.961	78.043	14.893	OK
12-12-2023	21:56:00.960	79.042	14.887	OK
12-12-2023	21:56:01.960	80.042	14.884	OK
12-12-2023	21:56:02.959	81.040	14.883	OK
12-12-2023	21:56:03.960	82.041	14.884	OK
12-12-2023	21:56:04.960	83.042	14.885	OK
12-12-2023	21:56:05.958	84.040	14.886	OK
12-12-2023	21:56:06.959	85.041	14.889	OK
12-12-2023	21:56:07.961	86.043	14.888	OK
12-12-2023	21:56:08.963	87.045	14.888	OK
12-12-2023	21:56:09.964	88.045	14.887	OK
12-12-2023	21:56:10.964	89.045	14.888	OK
12-12-2023	21:56:11.964	90.045	14.887	OK
12-12-2023	21:56:12.964	91.045	14.885	OK
12-12-2023	21:56:13.963	92.045	14.881	OK
12-12-2023	21:56:14.961	93.043	14.881	OK
12-12-2023	21:56:15.961	94.042	14.885	OK
12-12-2023	21:56:16.962	95.044	14.890	OK
12-12-2023	21:56:17.965	96.047	14.896	OK
12-12-2023	21:56:18.966	97.047	14.897	OK
12-12-2023	21:56:19.968	98.050	14.900	OK
12-12-2023	21:56:20.967	99.049	14.901	OK
