#--- Experiment --------------------------------------------------------------------------																																											
#110823_19_coryofftiles																																											
#																																											
#--- System ------------------------------------------------------------------------------																																											
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com																																											
#HOFFMAN-LAB01																																											
#--- Instrument --------------------------------------------------------------------------																																											
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001																																											
#--- Channel -----------------------------------------------------------------------------																																											
#Channel [A Ch.2] - Oxygen Sensor - XB7-528-210 																																											
#--- Settings & Calibration --------------------------------------------------------------																																											
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																							
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000																							
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																							
#	11/5/2023	11/5/2023	23.155000	52.916000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1014.871000	17.634000	100.000000	22.612000	20.950000																							
#--- Temperature Compensation Channel ----------------------------------------------------																																											
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Pressure Compensation Channel -------------------------------------------------------																																											
#Compensation Channel [A P1] - Fixed Pressure																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Channel -----------------------------------------------------------------------------																																											
#Channel [A Ch.3] - Oxygen Sensor - XB7-538-217 																																											
#--- Settings & Calibration --------------------------------------------------------------																																											
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																							
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000																							
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																							
#	11/5/2023	11/5/2023	22.973000	53.614000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1010.900000	19.037000	100.000000	22.299000	20.950000																							
#--- Temperature Compensation Channel ----------------------------------------------------																																											
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Pressure Compensation Channel -------------------------------------------------------																																											
#Compensation Channel [A P1] - Fixed Pressure																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Channel -----------------------------------------------------------------------------																																											
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																											
#--- Measurement Data --------------------------------------------------------------------																																											
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (%air sat.) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]	Date [A Ch.3 Main]	Time [A Ch.3 Main]	 dt (s) [A Ch.3 Main]	Oxygen (%air sat.) [A Ch.3 Main]	dphi (°) [A Ch.3 Main]	Signal Intensity (mV) [A Ch.3 Main]	Ambient Light (mV) [A Ch.3 Main]	Status [A Ch.3 Main]	Date [A Ch.3 CompT]	Time [A Ch.3 CompT]	 dt (s) [A Ch.3 CompT]	Sample Temp. (°C) [A Ch.3 CompT]	Status [A Ch.3 CompT]	Date [A Ch.3 CompP]	Time [A Ch.3 CompP]	 dt (s) [A Ch.3 CompP]	Pressure (mbar) [A Ch.3 CompP]	Status [A Ch.3 CompP]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
08-11-2023	19:54:19.448	0.250	101.279	22.867	148	0	OK	08-11-2023	19:54:19.448	0.250	19.179	OK	08-11-2023	19:54:19.448	0.250	1013	OK	08-11-2023	19:54:19.914	0.716	100.779	22.842	317	0	OK	08-11-2023	19:54:19.914	0.716	19.177	OK	08-11-2023	19:54:19.914	0.716	1013	OK	08-11-2023	19:54:20.217	1.019	19.177	OK			
08-11-2023	19:54:20.449	1.251	101.281	22.867	148	0	OK	08-11-2023	19:54:20.449	1.251	19.177	OK	08-11-2023	19:54:20.449	1.251	1013	OK	08-11-2023	19:54:20.913	1.716	100.846	22.834	317	0	OK	08-11-2023	19:54:20.913	1.716	19.178	OK	08-11-2023	19:54:20.913	1.716	1013	OK	08-11-2023	19:54:21.218	2.020	19.175	OK			
08-11-2023	19:54:21.447	2.249	101.264	22.869	148	0	OK	08-11-2023	19:54:21.447	2.249	19.177	OK	08-11-2023	19:54:21.447	2.249	1013	OK	08-11-2023	19:54:21.914	2.716	100.788	22.841	317	0	OK	08-11-2023	19:54:21.914	2.716	19.176	OK	08-11-2023	19:54:21.914	2.716	1013	OK	08-11-2023	19:54:22.218	3.020	19.177	OK			
08-11-2023	19:54:22.449	3.251	101.317	22.863	148	0	OK	08-11-2023	19:54:22.449	3.251	19.176	OK	08-11-2023	19:54:22.449	3.251	1013	OK	08-11-2023	19:54:22.915	3.717	100.863	22.832	317	0	OK	08-11-2023	19:54:22.915	3.717	19.178	OK	08-11-2023	19:54:22.915	3.717	1013	OK	08-11-2023	19:54:23.218	4.020	19.180	OK			
08-11-2023	19:54:23.448	4.250	101.427	22.850	148	0	OK	08-11-2023	19:54:23.448	4.250	19.179	OK	08-11-2023	19:54:23.448	4.250	1013	OK	08-11-2023	19:54:23.914	4.716	100.811	22.838	317	0	OK	08-11-2023	19:54:23.914	4.716	19.179	OK	08-11-2023	19:54:23.914	4.716	1013	OK	08-11-2023	19:54:24.218	5.020	19.179	OK			
08-11-2023	19:54:24.450	5.252	101.426	22.850	148	0	OK	08-11-2023	19:54:24.450	5.252	19.180	OK	08-11-2023	19:54:24.450	5.252	1013	OK	08-11-2023	19:54:24.915	5.717	100.869	22.831	317	0	OK	08-11-2023	19:54:24.915	5.717	19.181	OK	08-11-2023	19:54:24.915	5.717	1013	OK	08-11-2023	19:54:25.219	6.021	19.181	OK			
08-11-2023	19:54:25.451	6.253	101.503	22.841	148	0	OK	08-11-2023	19:54:25.451	6.253	19.181	OK	08-11-2023	19:54:25.451	6.253	1013	OK	08-11-2023	19:54:25.915	6.718	100.893	22.828	316	0	OK	08-11-2023	19:54:25.915	6.718	19.183	OK	08-11-2023	19:54:25.915	6.718	1013	OK	08-11-2023	19:54:26.220	7.022	19.183	OK			
08-11-2023	19:54:26.451	7.253	101.416	22.851	148	0	OK	08-11-2023	19:54:26.451	7.253	19.182	OK	08-11-2023	19:54:26.451	7.253	1013	OK	08-11-2023	19:54:26.917	7.719	100.878	22.830	317	0	OK	08-11-2023	19:54:26.917	7.719	19.181	OK	08-11-2023	19:54:26.917	7.719	1013	OK	08-11-2023	19:54:27.222	8.024	19.181	OK			
08-11-2023	19:54:27.450	8.252	101.408	22.852	148	0	OK	08-11-2023	19:54:27.450	8.252	19.181	OK	08-11-2023	19:54:27.450	8.252	1013	OK	08-11-2023	19:54:27.919	8.721	100.922	22.825	316	0	OK	08-11-2023	19:54:27.919	8.721	19.180	OK	08-11-2023	19:54:27.919	8.721	1013	OK	08-11-2023	19:54:28.220	9.022	19.180	OK			
08-11-2023	19:54:28.450	9.252	101.497	22.842	148	0	OK	08-11-2023	19:54:28.450	9.252	19.179	OK	08-11-2023	19:54:28.450	9.252	1013	OK	08-11-2023	19:54:28.919	9.721	100.968	22.820	316	0	OK	08-11-2023	19:54:28.919	9.721	19.176	OK	08-11-2023	19:54:28.919	9.721	1013	OK	08-11-2023	19:54:29.220	10.022	19.175	OK			
08-11-2023	19:54:29.453	10.255	101.474	22.845	148	0	OK	08-11-2023	19:54:29.453	10.255	19.175	OK	08-11-2023	19:54:29.453	10.255	1013	OK	08-11-2023	19:54:29.918	10.721	100.986	22.818	316	0	OK	08-11-2023	19:54:29.918	10.721	19.175	OK	08-11-2023	19:54:29.918	10.721	1013	OK	08-11-2023	19:54:30.222	11.024	19.176	OK			
08-11-2023	19:54:30.448	11.250	101.525	22.839	148	0	OK	08-11-2023	19:54:30.448	11.250	19.176	OK	08-11-2023	19:54:30.448	11.250	1013	OK	08-11-2023	19:54:30.918	11.720	100.910	22.827	317	0	OK	08-11-2023	19:54:30.918	11.720	19.174	OK	08-11-2023	19:54:30.918	11.720	1013	OK	08-11-2023	19:54:31.222	12.024	19.174	OK			
08-11-2023	19:54:31.449	12.251	101.554	22.836	148	0	OK	08-11-2023	19:54:31.449	12.251	19.173	OK	08-11-2023	19:54:31.449	12.251	1013	OK	08-11-2023	19:54:31.916	12.719	100.996	22.817	316	0	OK	08-11-2023	19:54:31.916	12.719	19.174	OK	08-11-2023	19:54:31.916	12.719	1013	OK	08-11-2023	19:54:32.220	13.022	19.174	OK			
