date,temperature,time_start,time_end,box,channel,genet,tank,run,polyps,sum_body_size_mm,sum_body_mass_g
11/30/23,19,12:30:00,15:15:00,1,1,B,6,Corynactis,6,26.165,4.1033
11/30/23,19,12:30:00,15:15:00,1,2,B,7,Corynactis,4,17.75,2.8129
11/30/23,19,12:30:00,15:15:00,1,3,B,8,Corynactis,6,26.585,4.2215
11/30/23,19,12:30:00,15:15:00,1,4,B,9,Corynactis,4,16.775,2.5922
11/30/23,19,16:00:00,17:00:00,1,1,B,6,Tile,NA,NA,NA
11/30/23,19,16:00:00,17:00:00,1,2,B,7,Tile,NA,NA,NA
11/30/23,19,16:00:00,17:00:00,1,3,B,8,Tile,NA,NA,NA
11/30/23,19,16:00:00,17:00:00,1,4,B,9,Tile,NA,NA,NA
11/30/23,19,17:00:00,02:00:00,1,1,NA,NA,Empty,NA,NA,NA
11/30/23,19,17:00:00,02:00:00,1,2,NA,NA,Empty,NA,NA,NA
11/30/23,19,17:00:00,02:00:00,1,3,NA,NA,Empty,NA,NA,NA
11/30/23,19,17:00:00,02:00:00,1,4,NA,NA,Empty,NA,NA,NA
12/1/23,19,12:30:00,15:45:00,1,1,E,6,Corynactis,4,14.635,2.161
12/1/23,19,12:30:00,15:45:00,1,2,E,7,Corynactis,5,21.04,3.2715
12/1/23,19,12:30:00,15:45:00,1,3,E,8,Corynactis,8,33.205,5.1155
12/1/23,19,12:30:00,15:45:00,1,4,E,9,Corynactis,7,25.245,3.6133
12/1/23,19,16:00:00,17:30:00,1,1,E,6,Tile,NA,NA,NA
12/1/23,19,16:00:00,17:30:00,1,2,E,7,Tile,NA,NA,NA
12/1/23,19,16:00:00,17:30:00,1,3,E,8,Tile,NA,NA,NA
12/1/23,19,16:00:00,17:30:00,1,4,E,9,Tile,NA,NA,NA
12/1/23,19,17:45:00,21:00:00,1,1,B,6,Corynactis,3,8.97,1.278
12/1/23,19,17:45:00,21:00:00,1,2,B,10,Corynactis,5,21.625,3.3633
12/1/23,19,17:45:00,21:00:00,1,3,E,8,Corynactis,5,25.27,4.23
12/1/23,19,17:45:00,21:00:00,1,4,E,10,Corynactis,8,30.275,4.4103
12/1/23,19,21:30:00,22:30:00,1,1,B,6,Tile,NA,NA,NA
12/1/23,19,21:30:00,22:30:00,1,2,B,10,Tile,NA,NA,NA
12/1/23,19,21:30:00,22:30:00,1,3,E,8,Tile,NA,NA,NA
12/1/23,19,21:30:00,22:30:00,1,4,E,10,Tile,NA,NA,NA
12/1/23,19,22:30:00,02:00:00,1,1,NA,NA,Empty,NA,NA,NA
12/1/23,19,22:30:00,02:00:00,1,2,NA,NA,Empty,NA,NA,NA
12/1/23,19,22:30:00,02:00:00,1,3,NA,NA,Empty,NA,NA,NA
12/1/23,19,22:30:00,02:00:00,1,4,NA,NA,Empty,NA,NA,NA
12/2/23,19,12:45:00,15:45:00,1,1,A,6,Corynactis,7,33.005,5.0161
12/2/23,19,12:45:00,15:45:00,1,2,A,8,Corynactis,3,15.475,2.6077
12/2/23,19,12:45:00,15:45:00,1,3,A,9,Corynactis,5,24.275,4.0126
12/2/23,19,12:45:00,15:45:00,1,4,A,10,Corynactis,7,26.435,3.8471
12/2/23,19,16:15:00,18:00:00,1,1,A,6,Tile,NA,NA,NA
12/2/23,19,16:15:00,18:00:00,1,2,A,8,Tile,NA,NA,NA
12/2/23,19,16:15:00,18:00:00,1,3,A,9,Tile,NA,NA,NA
12/2/23,19,16:15:00,18:00:00,1,4,A,10,Tile,NA,NA,NA
12/2/23,19,18:00:00,21:00:00,1,1,A,6,Corynactis,4,14.195,2.0146
12/2/23,19,18:00:00,21:00:00,1,2,A,7,Corynactis,7,32.525,5.2002
12/2/23,19,18:00:00,21:00:00,1,3,NA,NA,Empty,NA,NA,NA
12/2/23,19,18:00:00,21:00:00,1,4,NA,NA,Empty,NA,NA,NA
12/2/23,19,21:15:00,22:30:00,1,1,A,6,Tile,NA,NA,NA
12/2/23,19,21:15:00,22:30:00,1,2,A,7,Tile,NA,NA,NA
12/2/23,19,21:15:00,22:30:00,1,3,NA,NA,Empty,NA,NA,NA
12/2/23,19,21:15:00,22:30:00,1,4,NA,NA,Empty,NA,NA,NA
12/2/23,19,22:30:00,02:00:00,1,1,NA,NA,Empty,NA,NA,NA
12/2/23,19,22:30:00,02:00:00,1,2,NA,NA,Empty,NA,NA,NA
12/2/23,19,22:30:00,02:00:00,1,3,NA,NA,Empty,NA,NA,NA
12/2/23,19,22:30:00,02:00:00,1,4,NA,NA,Empty,NA,NA,NA
12/3/23,23,11:45:00,15:30:00,1,1,A,11,Corynactis,6,26.02,4.0474
12/3/23,23,11:45:00,15:30:00,1,2,A,12,Corynactis,3,13.43,2.112
12/3/23,23,11:45:00,15:30:00,1,3,A,13,Corynactis,5,25.89,4.4251
12/3/23,23,11:45:00,15:30:00,1,4,A,14,Corynactis,7,29.525,4.5299
12/3/23,23,15:30:00,17:00:00,1,1,A,11,Tile,NA,NA,NA
12/3/23,23,15:30:00,17:00:00,1,2,A,12,Tile,NA,NA,NA
12/3/23,23,15:30:00,17:00:00,1,3,A,13,Tile,NA,NA,NA
12/3/23,23,15:30:00,17:00:00,1,4,A,14,Tile,NA,NA,NA
12/3/23,23,17:15:00,20:15:00,1,1,B,11,Corynactis,3,15.83,2.6838
12/3/23,23,17:15:00,20:15:00,1,2,B,12,Corynactis,5,25.205,4.1741
12/3/23,23,17:15:00,20:15:00,1,3,B,13,Corynactis,6,27.545,4.4344
12/3/23,23,17:15:00,20:15:00,1,4,B,14,Corynactis,5,21.635,3.3718
12/3/23,23,20:45:00,22:00:00,1,1,B,11,Tile,NA,NA,NA
12/3/23,23,20:45:00,22:00:00,1,2,B,12,Tile,NA,NA,NA
12/3/23,23,20:45:00,22:00:00,1,3,B,13,Tile,NA,NA,NA
12/3/23,23,20:45:00,22:00:00,1,4,B,14,Tile,NA,NA,NA
12/3/23,23,22:00:00,02:00:00,1,1,NA,NA,Empty,NA,NA,NA
12/3/23,23,22:00:00,02:00:00,1,2,NA,NA,Empty,NA,NA,NA
12/3/23,23,22:00:00,02:00:00,1,3,NA,NA,Empty,NA,NA,NA
12/3/23,23,22:00:00,02:00:00,1,4,NA,NA,Empty,NA,NA,NA
12/4/23,23,10:45:00,13:45:00,1,1,E,11,Corynactis,5,18.645,2.7892
12/4/23,23,10:45:00,13:45:00,1,2,E,12,Corynactis,3,12.06,1.8058
12/4/23,23,10:45:00,13:45:00,1,3,E,13,Corynactis,7,24.425,3.433
12/4/23,23,10:45:00,13:45:00,1,4,E,14,Corynactis,4,19.675,3.2619
12/4/23,23,14:15:00,15:30:00,1,1,E,11,Tile,NA,NA,NA
12/4/23,23,14:15:00,15:30:00,1,2,E,12,Tile,NA,NA,NA
12/4/23,23,14:15:00,15:30:00,1,3,E,13,Tile,NA,NA,NA
12/4/23,23,14:15:00,15:30:00,1,4,E,14,Tile,NA,NA,NA
12/4/23,23,15:45:00,02:00:00,1,1,NA,NA,Empty,NA,NA,NA
12/4/23,23,15:45:00,02:00:00,1,2,NA,NA,Empty,NA,NA,NA
12/4/23,23,15:45:00,02:00:00,1,3,NA,NA,Empty,NA,NA,NA
12/4/23,23,15:45:00,02:00:00,1,4,NA,NA,Empty,NA,NA,NA
12/5/23,23,10:15:00,13:30:00,1,1,E,11,Corynactis,4,14.33,2.0548
12/5/23,23,10:15:00,13:30:00,1,2,A,15,Corynactis,5,22.73,3.64
12/5/23,23,10:15:00,13:30:00,1,3,B,15,Corynactis,4,20.095,3.402
12/5/23,23,10:15:00,13:30:00,1,4,E,15,Corynactis,3,8.2215,1.0544
12/5/23,23,13:45:00,15:40:00,1,1,E,11,Tile,NA,NA,NA
12/5/23,23,13:45:00,15:40:00,1,2,A,15,Tile,NA,NA,NA
12/5/23,23,13:45:00,15:40:00,1,3,B,15,Tile,NA,NA,NA
12/5/23,23,13:45:00,15:40:00,1,4,E,15,Tile,NA,NA,NA
12/5/23,23,NA,NA,1,1,NA,NA,Empty,NA,NA,NA
12/5/23,23,NA,NA,1,2,NA,NA,Empty,NA,NA,NA
