#--- Experiment --------------------------------------------------------------------------																																																																															
#120623_23C_B12A13emptyx2_cory																																																																															
#																																																																															
#--- System ------------------------------------------------------------------------------																																																																															
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com																																																																															
#HOFFMAN-LAB01																																																																															
#--- Instrument --------------------------------------------------------------------------																																																																															
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001																																																																															
#--- Channel -----------------------------------------------------------------------------																																																																															
#Channel [A Ch.1] - Oxygen Sensor - XB7-538-217 																																																																															
#--- Settings & Calibration --------------------------------------------------------------																																																																															
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																																																											
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000																																																											
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																																																											
#	11/24/2023	11/24/2023	23.326000	53.493000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.203000	19.184000	100.000000	21.670000	20.950000																																																											
#--- Temperature Compensation Channel ----------------------------------------------------																																																																															
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Pressure Compensation Channel -------------------------------------------------------																																																																															
#Compensation Channel [A P1] - Fixed Pressure																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Channel -----------------------------------------------------------------------------																																																																															
#Channel [A Ch.2] - Oxygen Sensor - XB7-528-210 																																																																															
#--- Settings & Calibration --------------------------------------------------------------																																																																															
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																																																											
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000																																																											
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																																																											
#	11/24/2023	11/24/2023	22.788000	52.916000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.304000	19.227000	100.000000	21.417000	20.950000																																																											
#--- Temperature Compensation Channel ----------------------------------------------------																																																																															
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Pressure Compensation Channel -------------------------------------------------------																																																																															
#Compensation Channel [A P1] - Fixed Pressure																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Channel -----------------------------------------------------------------------------																																																																															
#Channel [A Ch.3] - Oxygen Sensor - XA7-533-211 																																																																															
#--- Settings & Calibration --------------------------------------------------------------																																																																															
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																																																											
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000																																																											
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																																																											
#	11/24/2023	11/24/2023	22.829000	52.792000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.346000	19.205000	100.000000	21.498000	20.950000																																																											
#--- Temperature Compensation Channel ----------------------------------------------------																																																																															
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Pressure Compensation Channel -------------------------------------------------------																																																																															
#Compensation Channel [A P1] - Fixed Pressure																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Channel -----------------------------------------------------------------------------																																																																															
#Channel [A Ch.4] - Oxygen Sensor - XB7-536-211 																																																																															
#--- Settings & Calibration --------------------------------------------------------------																																																																															
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																																																											
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000																																																											
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																																																											
#	11/24/2023	11/24/2023	23.486000	53.362000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.403000	19.245000	100.000000	21.411000	20.950000																																																											
#--- Temperature Compensation Channel ----------------------------------------------------																																																																															
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Pressure Compensation Channel -------------------------------------------------------																																																																															
#Compensation Channel [A P1] - Fixed Pressure																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Channel -----------------------------------------------------------------------------																																																																															
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.05°C																																																																															
#--- Measurement Data --------------------------------------------------------------------																																																																															
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (%air sat.) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]	Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (%air sat.) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]	Date [A Ch.3 Main]	Time [A Ch.3 Main]	 dt (s) [A Ch.3 Main]	Oxygen (%air sat.) [A Ch.3 Main]	dphi (°) [A Ch.3 Main]	Signal Intensity (mV) [A Ch.3 Main]	Ambient Light (mV) [A Ch.3 Main]	Status [A Ch.3 Main]	Date [A Ch.3 CompT]	Time [A Ch.3 CompT]	 dt (s) [A Ch.3 CompT]	Sample Temp. (°C) [A Ch.3 CompT]	Status [A Ch.3 CompT]	Date [A Ch.3 CompP]	Time [A Ch.3 CompP]	 dt (s) [A Ch.3 CompP]	Pressure (mbar) [A Ch.3 CompP]	Status [A Ch.3 CompP]	Date [A Ch.4 Main]	Time [A Ch.4 Main]	 dt (s) [A Ch.4 Main]	Oxygen (%air sat.) [A Ch.4 Main]	dphi (°) [A Ch.4 Main]	Signal Intensity (mV) [A Ch.4 Main]	Ambient Light (mV) [A Ch.4 Main]	Status [A Ch.4 Main]	Date [A Ch.4 CompT]	Time [A Ch.4 CompT]	 dt (s) [A Ch.4 CompT]	Sample Temp. (°C) [A Ch.4 CompT]	Status [A Ch.4 CompT]	Date [A Ch.4 CompP]	Time [A Ch.4 CompP]	 dt (s) [A Ch.4 CompP]	Pressure (mbar) [A Ch.4 CompP]	Status [A Ch.4 CompP]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
06-12-2023	12:09:50.668	0.494	115.670	21.270	220	0	OK	06-12-2023	12:09:50.668	0.494	22.905	OK	06-12-2023	12:09:50.668	0.494	1013	OK	06-12-2023	12:09:50.769	0.595	111.784	21.157	128	0	OK	06-12-2023	12:09:50.769	0.595	22.905	OK	06-12-2023	12:09:50.769	0.595	1013	OK	06-12-2023	12:09:50.879	0.705	98.552	22.639	192	0	OK	06-12-2023	12:09:50.879	0.705	22.905	OK	06-12-2023	12:09:50.879	0.705	1013	OK	06-12-2023	12:09:50.976	0.802	101.731	22.924	263	0	OK	06-12-2023	12:09:50.976	0.802	22.905	OK	06-12-2023	12:09:50.976	0.802	1013	OK	06-12-2023	12:09:50.192	0.018	22.905	OK			
06-12-2023	12:09:51.672	1.498	115.617	21.275	220	0	OK	06-12-2023	12:09:51.672	1.498	22.907	OK	06-12-2023	12:09:51.672	1.498	1013	OK	06-12-2023	12:09:51.771	1.597	111.743	21.161	128	0	OK	06-12-2023	12:09:51.771	1.597	22.907	OK	06-12-2023	12:09:51.771	1.597	1013	OK	06-12-2023	12:09:51.882	1.708	98.661	22.626	192	0	OK	06-12-2023	12:09:51.882	1.708	22.907	OK	06-12-2023	12:09:51.882	1.708	1013	OK	06-12-2023	12:09:51.976	1.803	101.720	22.925	263	0	OK	06-12-2023	12:09:51.976	1.803	22.907	OK	06-12-2023	12:09:51.976	1.803	1013	OK	06-12-2023	12:09:51.192	1.018	22.905	OK			
06-12-2023	12:09:52.672	2.499	115.576	21.279	220	0	OK	06-12-2023	12:09:52.672	2.499	22.908	OK	06-12-2023	12:09:52.672	2.499	1013	OK	06-12-2023	12:09:52.769	2.596	111.653	21.170	128	0	OK	06-12-2023	12:09:52.769	2.596	22.908	OK	06-12-2023	12:09:52.769	2.596	1013	OK	06-12-2023	12:09:52.881	2.707	98.609	22.632	192	0	OK	06-12-2023	12:09:52.881	2.707	22.908	OK	06-12-2023	12:09:52.881	2.707	1013	OK	06-12-2023	12:09:52.978	2.805	101.789	22.917	263	0	OK	06-12-2023	12:09:52.978	2.805	22.908	OK	06-12-2023	12:09:52.978	2.805	1013	OK	06-12-2023	12:09:52.193	2.020	22.908	OK			
06-12-2023	12:09:53.669	3.496	115.647	21.272	220	0	OK	06-12-2023	12:09:53.669	3.496	22.908	OK	06-12-2023	12:09:53.669	3.496	1013	OK	06-12-2023	12:09:53.770	3.597	111.752	21.160	128	0	OK	06-12-2023	12:09:53.770	3.597	22.908	OK	06-12-2023	12:09:53.770	3.597	1013	OK	06-12-2023	12:09:53.878	3.705	98.651	22.627	192	0	OK	06-12-2023	12:09:53.878	3.705	22.908	OK	06-12-2023	12:09:53.878	3.705	1013	OK	06-12-2023	12:09:53.975	3.802	101.702	22.927	263	0	OK	06-12-2023	12:09:53.975	3.802	22.908	OK	06-12-2023	12:09:53.975	3.802	1013	OK	06-12-2023	12:09:53.194	3.021	22.907	OK			
06-12-2023	12:09:54.672	4.498	115.606	21.276	220	0	OK	06-12-2023	12:09:54.672	4.498	22.908	OK	06-12-2023	12:09:54.672	4.498	1013	OK	06-12-2023	12:09:54.771	4.597	111.752	21.160	128	0	OK	06-12-2023	12:09:54.771	4.597	22.908	OK	06-12-2023	12:09:54.771	4.597	1013	OK	06-12-2023	12:09:54.884	4.710	98.618	22.631	192	0	OK	06-12-2023	12:09:54.884	4.710	22.907	OK	06-12-2023	12:09:54.884	4.710	1013	OK	06-12-2023	12:09:54.977	4.803	101.694	22.928	263	0	OK	06-12-2023	12:09:54.977	4.803	22.907	OK	06-12-2023	12:09:54.977	4.803	1013	OK	06-12-2023	12:09:54.197	4.023	22.908	OK			
06-12-2023	12:09:55.671	5.497	115.648	21.272	220	0	OK	06-12-2023	12:09:55.671	5.497	22.906	OK	06-12-2023	12:09:55.671	5.497	1013	OK	06-12-2023	12:09:55.770	5.596	111.635	21.172	128	0	OK	06-12-2023	12:09:55.770	5.596	22.906	OK	06-12-2023	12:09:55.770	5.596	1013	OK																			06-12-2023	12:09:55.883	5.709	101.686	22.929	263	0	OK	06-12-2023	12:09:55.883	5.709	22.906	OK	06-12-2023	12:09:55.883	5.709	1013	OK	06-12-2023	12:09:55.193	5.020	22.906	OK			
06-12-2023	12:09:56.669	6.495	115.525	21.284	220	0	OK	06-12-2023	12:09:56.669	6.495	22.908	OK	06-12-2023	12:09:56.669	6.495	1013	OK	06-12-2023	12:09:56.771	6.598	111.732	21.162	128	0	OK	06-12-2023	12:09:56.771	6.598	22.908	OK	06-12-2023	12:09:56.771	6.598	1013	OK																																					06-12-2023	12:09:56.197	6.023	22.906	OK			
06-12-2023	12:09:57.671	7.497	115.486	21.288	220	0	OK	06-12-2023	12:09:57.671	7.497	22.907	OK	06-12-2023	12:09:57.671	7.497	1013	OK	06-12-2023	12:09:57.773	7.600	111.812	21.154	128	0	OK	06-12-2023	12:09:57.773	7.600	22.907	OK	06-12-2023	12:09:57.773	7.600	1013	OK																																					06-12-2023	12:09:57.195	7.021	22.907	OK			
06-12-2023	12:09:58.674	8.500	115.627	21.274	220	0	OK	06-12-2023	12:09:58.674	8.500	22.907	OK	06-12-2023	12:09:58.674	8.500	1013	OK	06-12-2023	12:09:58.773	8.599	111.635	21.172	128	0	OK	06-12-2023	12:09:58.773	8.599	22.906	OK	06-12-2023	12:09:58.773	8.599	1013	OK																																					06-12-2023	12:09:58.197	8.024	22.907	OK			
06-12-2023	12:09:59.671	9.498	115.660	21.271	220	0	OK	06-12-2023	12:09:59.671	9.498	22.904	OK	06-12-2023	12:09:59.671	9.498	1013	OK	06-12-2023	12:09:59.772	9.598	111.736	21.162	128	0	OK	06-12-2023	12:09:59.772	9.598	22.903	OK	06-12-2023	12:09:59.772	9.598	1013	OK																																					06-12-2023	12:09:59.200	9.026	22.906	OK			
06-12-2023	12:10:00.674	10.500	115.591	21.278	220	0	OK	06-12-2023	12:10:00.674	10.500	22.902	OK	06-12-2023	12:10:00.674	10.500	1013	OK	06-12-2023	12:10:00.772	10.598	111.570	21.179	128	0	OK	06-12-2023	12:10:00.772	10.598	22.901	OK	06-12-2023	12:10:00.772	10.598	1013	OK																																					06-12-2023	12:10:00.198	10.024	22.901	OK			
06-12-2023	12:10:01.672	11.498	115.695	21.268	220	0	OK	06-12-2023	12:10:01.672	11.498	22.899	OK	06-12-2023	12:10:01.672	11.498	1013	OK	06-12-2023	12:10:01.772	11.598	111.770	21.159	128	0	OK	06-12-2023	12:10:01.772	11.598	22.899	OK	06-12-2023	12:10:01.772	11.598	1013	OK																																					06-12-2023	12:10:01.199	11.025	22.900	OK			
06-12-2023	12:10:02.675	12.501	115.555	21.282	220	0	OK	06-12-2023	12:10:02.675	12.501	22.898	OK	06-12-2023	12:10:02.675	12.501	1013	OK	06-12-2023	12:10:02.774	12.601	111.711	21.165	128	0	OK	06-12-2023	12:10:02.774	12.601	22.898	OK	06-12-2023	12:10:02.774	12.601	1013	OK																																					06-12-2023	12:10:02.201	12.027	22.898	OK			
06-12-2023	12:10:03.674	13.501	115.656	21.272	220	0	OK	06-12-2023	12:10:03.674	13.501	22.898	OK	06-12-2023	12:10:03.674	13.501	1013	OK	06-12-2023	12:10:03.774	13.600	111.652	21.171	128	0	OK	06-12-2023	12:10:03.774	13.600	22.898	OK	06-12-2023	12:10:03.774	13.600	1013	OK																																					06-12-2023	12:10:03.199	13.025	22.896	OK			
06-12-2023	12:10:04.672	14.498	115.405	21.297	220	0	OK	06-12-2023	12:10:04.672	14.498	22.896	OK	06-12-2023	12:10:04.672	14.498	1013	OK	06-12-2023	12:10:04.773	14.599	111.802	21.156	128	0	OK	06-12-2023	12:10:04.773	14.599	22.896	OK	06-12-2023	12:10:04.773	14.599	1013	OK																																					06-12-2023	12:10:04.202	14.028	22.896	OK			
06-12-2023	12:10:05.673	15.499	115.549	21.283	220	0	OK	06-12-2023	12:10:05.673	15.499	22.893	OK	06-12-2023	12:10:05.673	15.499	1013	OK	06-12-2023	12:10:05.775	15.602	111.637	21.173	128	0	OK	06-12-2023	12:10:05.775	15.602	22.893	OK	06-12-2023	12:10:05.775	15.602	1013	OK																																					06-12-2023	12:10:05.202	15.028	22.896	OK			
06-12-2023	12:10:06.675	16.502	115.564	21.282	220	0	OK	06-12-2023	12:10:06.675	16.502	22.888	OK	06-12-2023	12:10:06.675	16.502	1013	OK	06-12-2023	12:10:06.775	16.601	111.770	21.160	128	0	OK	06-12-2023	12:10:06.775	16.601	22.888	OK	06-12-2023	12:10:06.775	16.601	1013	OK																																					06-12-2023	12:10:06.200	16.026	22.892	OK			
06-12-2023	12:10:07.674	17.500	115.566	21.282	220	0	OK	06-12-2023	12:10:07.674	17.500	22.886	OK	06-12-2023	12:10:07.674	17.500	1013	OK	06-12-2023	12:10:07.773	17.599	111.722	21.165	128	0	OK	06-12-2023	12:10:07.773	17.599	22.886	OK	06-12-2023	12:10:07.773	17.599	1013	OK																																					06-12-2023	12:10:07.202	17.028	22.888	OK			
06-12-2023	12:10:08.676	18.502	115.537	21.285	220	0	OK	06-12-2023	12:10:08.676	18.502	22.884	OK	06-12-2023	12:10:08.676	18.502	1013	OK	06-12-2023	12:10:08.784	18.611	111.665	21.171	128	0	OK	06-12-2023	12:10:08.784	18.611	22.883	OK	06-12-2023	12:10:08.784	18.611	1013	OK																																					06-12-2023	12:10:08.201	18.027	22.885	OK			
06-12-2023	12:10:09.678	19.504	115.548	21.284	220	0	OK	06-12-2023	12:10:09.678	19.504	22.883	OK	06-12-2023	12:10:09.678	19.504	1013	OK	06-12-2023	12:10:09.778	19.604	111.693	21.168	128	0	OK	06-12-2023	12:10:09.778	19.604	22.885	OK	06-12-2023	12:10:09.778	19.604	1013	OK																																					06-12-2023	12:10:09.199	19.026	22.883	OK			
06-12-2023	12:10:10.676	20.502	115.516	21.287	220	0	OK	06-12-2023	12:10:10.676	20.502	22.885	OK	06-12-2023	12:10:10.676	20.502	1013	OK	06-12-2023	12:10:10.774	20.600	111.664	21.171	128	0	OK	06-12-2023	12:10:10.774	20.600	22.885	OK	06-12-2023	12:10:10.774	20.600	1013	OK																																					06-12-2023	12:10:10.202	20.028	22.884	OK			
